Orthogroup	Homo_sapiens	Octodon_degus
OG0000004	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6P3F9T5|A0A6P3F9T5_OCTDE
OG0000004	sp|Q8NGK0|O51G2_HUMAN	tr|A0A6P3FNX8|A0A6P3FNX8_OCTDE
OG0000004	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6P3VDR0|A0A6P3VDR0_OCTDE
OG0000004	sp|Q8NH63|O51H1_HUMAN	tr|A0A6P3F9R8|A0A6P3F9R8_OCTDE, tr|A0A6P3FPQ9|A0A6P3FPQ9_OCTDE, tr|A0A6P3FPW6|A0A6P3FPW6_OCTDE
OG0000004	sp|Q9H342|O51J1_HUMAN	tr|A0A6P3FP38|A0A6P3FP38_OCTDE, tr|A0A6P3FNZ4|A0A6P3FNZ4_OCTDE, tr|A0A6P3FPZ1|A0A6P3FPZ1_OCTDE
OG0000004	sp|A6NGY5|O51F1_HUMAN	tr|A0A6P3FPP9|A0A6P3FPP9_OCTDE
OG0000004	sp|Q8NH61|O51F2_HUMAN	tr|A0A6P3FAH4|A0A6P3FAH4_OCTDE
OG0000004	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6P3F9Z5|A0A6P3F9Z5_OCTDE, tr|A0A6P6DCU8|A0A6P6DCU8_OCTDE, tr|A0A6P3F9S3|A0A6P3F9S3_OCTDE, tr|A0A6P3FL56|A0A6P3FL56_OCTDE
OG0000004	sp|Q9H344|O51I2_HUMAN	tr|A0A6P3FL87|A0A6P3FL87_OCTDE
OG0000004	sp|Q9H343|O51I1_HUMAN	tr|A0A6P3VDJ9|A0A6P3VDJ9_OCTDE, tr|A0A6P3FAS0|A0A6P3FAS0_OCTDE, tr|A0A6P3FPS7|A0A6P3FPS7_OCTDE, tr|A0A6P3FP47|A0A6P3FP47_OCTDE, tr|A0A6P3F9V5|A0A6P3F9V5_OCTDE
