Orthogroup	Mus_musculus	Suricata_suricatta
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A673V3P2|A0A673V3P2_SURSU
OG0000000	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A673VG64|A0A673VG64_SURSU
OG0000000	sp|Q8BQC8|RBAK_MOUSE	tr|A0A673TC53|A0A673TC53_SURSU
OG0000000	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A673TSU3|A0A673TSU3_SURSU
OG0000000	sp|Q6P560|ZN182_MOUSE	tr|A0A673VLB2|A0A673VLB2_SURSU
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|A0A673UU84|A0A673UU84_SURSU, tr|A0A673UWA9|A0A673UWA9_SURSU, tr|A0A673UY04|A0A673UY04_SURSU
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A673U6J4|A0A673U6J4_SURSU, tr|A0A673TW52|A0A673TW52_SURSU, tr|A0A673U0H0|A0A673U0H0_SURSU, tr|A0A673TUJ9|A0A673TUJ9_SURSU, tr|A0A673TWG4|A0A673TWG4_SURSU, tr|A0A673V657|A0A673V657_SURSU, tr|A0A673UYB6|A0A673UYB6_SURSU, tr|A0A673UUM5|A0A673UUM5_SURSU, tr|A0A673V5B4|A0A673V5B4_SURSU
OG0000000	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A673VGN4|A0A673VGN4_SURSU, tr|A0A673SS87|A0A673SS87_SURSU, tr|A0A673SJR2|A0A673SJR2_SURSU
OG0000000	sp|Q60585|ZFP30_MOUSE	tr|A0A673V6A6|A0A673V6A6_SURSU
OG0000000	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A673V516|A0A673V516_SURSU
OG0000000	sp|P10755|ZFP14_MOUSE	tr|A0A673UT60|A0A673UT60_SURSU
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A673UYP6|A0A673UYP6_SURSU
OG0000000	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A673UV49|A0A673UV49_SURSU
OG0000000	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A673V1K8|A0A673V1K8_SURSU, tr|A0A673V760|A0A673V760_SURSU, tr|A0A673VBG8|A0A673VBG8_SURSU
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|A0A673SVH0|A0A673SVH0_SURSU, tr|A0A673V7C6|A0A673V7C6_SURSU, tr|A0A673V140|A0A673V140_SURSU, tr|A0A673TX14|A0A673TX14_SURSU, tr|A0A673TWY0|A0A673TWY0_SURSU
