Orthogroup	Homo_sapiens	Microcebus_murinus
OG0000000	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8B7HX91|A0A8B7HX91_MICMU
OG0000000	sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q9H346|O52D1_HUMAN	tr|A0A8C5V567|A0A8C5V567_MICMU
OG0000000	sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN	tr|A0A8C5Y7W5|A0A8C5Y7W5_MICMU
OG0000002	sp|Q8NGZ3|O13G1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47883|OR3A4_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, tr|A0A2R8YED5|A0A2R8YED5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN	tr|A0A8C5VYA0|A0A8C5VYA0_MICMU
OG0000003	sp|Q8NG98|OR7D4_HUMAN	tr|A0A8C5UY02|A0A8C5UY02_MICMU
OG0000003	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A8B7G4U8|A0A8B7G4U8_MICMU
OG0000003	sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN	tr|A0A8C5VPK7|A0A8C5VPK7_MICMU
OG0000003	sp|Q15612|OR1Q1_HUMAN, sp|P47888|OR3A3_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN	tr|A0A8C5V7D8|A0A8C5V7D8_MICMU
OG0000004	sp|P0C623|OR4Q2_HUMAN	tr|A0A8C5VZF1|A0A8C5VZF1_MICMU
OG0000004	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN	tr|A0A8B7EMZ5|A0A8B7EMZ5_MICMU
