Orthogroup	Mus_musculus	Peromyscus_maniculatus_bairdii
OG0000015	tr|A0A075B619|A0A075B619_MOUSE, tr|A0A075B607|A0A075B607_MOUSE, tr|A0A075B6A1|A0A075B6A1_MOUSE, tr|A0A0G2JF94|A0A0G2JF94_MOUSE, tr|A0A075B612|A0A075B612_MOUSE, tr|A0A0B4J1N7|A0A0B4J1N7_MOUSE, tr|A0A075B636|A0A075B636_MOUSE, tr|A0A0B4J1K4|A0A0B4J1K4_MOUSE, tr|A0A075B614|A0A075B614_MOUSE, tr|A0A075B6D8|A0A075B6D8_MOUSE, tr|Q5R1I8|Q5R1I8_MOUSE, tr|A0A075B654|A0A075B654_MOUSE, tr|Q5R1F6|Q5R1F6_MOUSE, tr|A0A075B652|A0A075B652_MOUSE, tr|A0A075B5Z7|A0A075B5Z7_MOUSE, tr|A0A075B642|A0A075B642_MOUSE, tr|A0A075B622|A0A075B622_MOUSE, tr|Q5R1H8|Q5R1H8_MOUSE, tr|A0A075B641|A0A075B641_MOUSE, tr|A0A075B633|A0A075B633_MOUSE, tr|A0A075B616|A0A075B616_MOUSE, tr|A0A087WRX6|A0A087WRX6_MOUSE, tr|A0A0B4J1J9|A0A0B4J1J9_MOUSE, tr|A0A0G2JG17|A0A0G2JG17_MOUSE, tr|A0A087WRQ3|A0A087WRQ3_MOUSE, tr|A0A075B6D1|A0A075B6D1_MOUSE, tr|A0A0B4J1N1|A0A0B4J1N1_MOUSE, tr|A0A0G2JFX6|A0A0G2JFX6_MOUSE, tr|A0A075B604|A0A075B604_MOUSE, tr|Q5R1I1|Q5R1I1_MOUSE, sp|P01739|TVA2_MOUSE, tr|Q5R1I3|Q5R1I3_MOUSE, tr|A0A0G2JEV5|A0A0G2JEV5_MOUSE, tr|A0A075B620|A0A075B620_MOUSE, tr|Q5R1H9|Q5R1H9_MOUSE, tr|A0A075B6C1|A0A075B6C1_MOUSE	tr|A0A6I9LUX9|A0A6I9LUX9_PERMB
OG0000023	sp|P10400|POL1_MOUSE	tr|A0A6J0EHN0|A0A6J0EHN0_PERMB, tr|A0A6J0D4M0|A0A6J0D4M0_PERMB, tr|A0A6J0EI61|A0A6J0EI61_PERMB, tr|A0A6J0E0V8|A0A6J0E0V8_PERMB, tr|A0A6J0DNZ2|A0A6J0DNZ2_PERMB, tr|A0A6J0CVA9|A0A6J0CVA9_PERMB, tr|A0A6J0CPU9|A0A6J0CPU9_PERMB, tr|A0A6J0D2K1|A0A6J0D2K1_PERMB, tr|A0A6I9L0G1|A0A6I9L0G1_PERMB, tr|A0A6J0CYT3|A0A6J0CYT3_PERMB, tr|A0A6J0CQ32|A0A6J0CQ32_PERMB, tr|A0A6J0DQH9|A0A6J0DQH9_PERMB, tr|A0A6J0E360|A0A6J0E360_PERMB, tr|A0A6J0CZZ8|A0A6J0CZZ8_PERMB, tr|A0A6J0DY54|A0A6J0DY54_PERMB, tr|A0A6J0DXG5|A0A6J0DXG5_PERMB, tr|A0A6J0CSQ0|A0A6J0CSQ0_PERMB, tr|A0A6J0CKB4|A0A6J0CKB4_PERMB, tr|A0A6J0DFH4|A0A6J0DFH4_PERMB, tr|A0A6J0CHT1|A0A6J0CHT1_PERMB, tr|A0A6J0DKY1|A0A6J0DKY1_PERMB, tr|A0A6J0DM38|A0A6J0DM38_PERMB, tr|A0A6J0CUT4|A0A6J0CUT4_PERMB, tr|A0A6J0CU82|A0A6J0CU82_PERMB, tr|A0A6J0EGK0|A0A6J0EGK0_PERMB, tr|A0A6J0EB41|A0A6J0EB41_PERMB, tr|A0A6J0E7D9|A0A6J0E7D9_PERMB, tr|A0A6J0CUR2|A0A6J0CUR2_PERMB, tr|A0A6J0DW23|A0A6J0DW23_PERMB, tr|A0A6J0D0A2|A0A6J0D0A2_PERMB, tr|A0A6J0E8P0|A0A6J0E8P0_PERMB, tr|A0A6J0DJ45|A0A6J0DJ45_PERMB
OG0000026	tr|A7VMS3|A7VMS3_MOUSE	tr|A0A6J0CTM3|A0A6J0CTM3_PERMB
OG0000026	sp|P01896|HA1Z_MOUSE	tr|A0A6I9MBU5|A0A6I9MBU5_PERMB, tr|A0A6J0CRL0|A0A6J0CRL0_PERMB, tr|A0A6I9MJ78|A0A6I9MJ78_PERMB, tr|A0A6I9MFW7|A0A6I9MFW7_PERMB, tr|A0A6J0CPF7|A0A6J0CPF7_PERMB, tr|A0A6J0CVS2|A0A6J0CVS2_PERMB, tr|A0A6I9M7M8|A0A6I9M7M8_PERMB, tr|A0A6J0CS41|A0A6J0CS41_PERMB, tr|A0A6I9MHJ9|A0A6I9MHJ9_PERMB, tr|A0A6I9MIX0|A0A6I9MIX0_PERMB, tr|A0A6I9MRD9|A0A6I9MRD9_PERMB, tr|A0A6J0D0J0|A0A6J0D0J0_PERMB, tr|A0A6I9MQX4|A0A6I9MQX4_PERMB, tr|A0A6I9MAQ5|A0A6I9MAQ5_PERMB, tr|A0A6J0D0I4|A0A6J0D0I4_PERMB, tr|A0A6J0CV83|A0A6J0CV83_PERMB, tr|A0A6I9MED5|A0A6I9MED5_PERMB, tr|A0A6J0CMR4|A0A6J0CMR4_PERMB, tr|A0A6I9MFL3|A0A6I9MFL3_PERMB, tr|A0A6I9MKT2|A0A6I9MKT2_PERMB, tr|A0A6I9M944|A0A6I9M944_PERMB, tr|A0A6I9MJJ7|A0A6I9MJJ7_PERMB, tr|A0A6I9MPN2|A0A6I9MPN2_PERMB, tr|A0A6J0CS59|A0A6J0CS59_PERMB, tr|A0A6I9MQH9|A0A6I9MQH9_PERMB, tr|A0A6I9M4R2|A0A6I9M4R2_PERMB, tr|A0A6I9ML70|A0A6I9ML70_PERMB, tr|A0A6I9M5U9|A0A6I9M5U9_PERMB, tr|A0A6J0CWU8|A0A6J0CWU8_PERMB
OG0000027	tr|Q80UI7|Q80UI7_MOUSE	tr|A0A6I9M9I4|A0A6I9M9I4_PERMB
OG0000027	tr|Q8JZX6|Q8JZX6_MOUSE	tr|A0A6I9MQH5|A0A6I9MQH5_PERMB, tr|A0A6J0CX79|A0A6J0CX79_PERMB, tr|A0A6I9MPT3|A0A6I9MPT3_PERMB, tr|A0A6I9MJT8|A0A6I9MJT8_PERMB, tr|A0A6I9MEN6|A0A6I9MEN6_PERMB, tr|A0A6I9MQT4|A0A6I9MQT4_PERMB, tr|A0A6I9MQX9|A0A6I9MQX9_PERMB, tr|A0A6J0CGM3|A0A6J0CGM3_PERMB, tr|A0A6I9M7R0|A0A6I9M7R0_PERMB, tr|A0A6J0CW21|A0A6J0CW21_PERMB, tr|A0A6I9MF00|A0A6I9MF00_PERMB, tr|A0A6I9MMK0|A0A6I9MMK0_PERMB, tr|A0A6I9MNR4|A0A6I9MNR4_PERMB, tr|A0A6I9MPS5|A0A6I9MPS5_PERMB, tr|A0A6I9MQD5|A0A6I9MQD5_PERMB, tr|A0A6J0CW65|A0A6J0CW65_PERMB, tr|A0A6I9M0W0|A0A6I9M0W0_PERMB, tr|A0A6I9MQI9|A0A6I9MQI9_PERMB, tr|A0A6I9MPU2|A0A6I9MPU2_PERMB, tr|A0A6I9MJB3|A0A6I9MJB3_PERMB, tr|A0A6I9MBV3|A0A6I9MBV3_PERMB, tr|A0A6I9MH58|A0A6I9MH58_PERMB, tr|A0A6I9MPK6|A0A6I9MPK6_PERMB, tr|A0A6I9MG82|A0A6I9MG82_PERMB, tr|A0A6I9M824|A0A6I9M824_PERMB, tr|A0A6I9MC92|A0A6I9MC92_PERMB
OG0000034	tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|A2CGC2|A2CGC2_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|A2CG92|A2CG92_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|A0A571BG86|A0A571BG86_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|J3QML3|J3QML3_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|J3QN64|J3QN64_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE	tr|A0A6I9M8F1|A0A6I9M8F1_PERMB
OG0000040	tr|Q8VG73|Q8VG73_MOUSE	tr|A0A6I9MBK7|A0A6I9MBK7_PERMB
OG0000040	tr|Q8VG59|Q8VG59_MOUSE	tr|A0A6I9M4G4|A0A6I9M4G4_PERMB
OG0000040	tr|Q8VGM8|Q8VGM8_MOUSE	tr|A0A6J0CVF4|A0A6J0CVF4_PERMB, tr|A0A6I9MFM9|A0A6I9MFM9_PERMB
