Orthogroup	Mus_musculus	Oryctolagus_cuniculus
OG0000008	sp|P11260|LORF1_MOUSE	tr|A0A5F9CFA2|A0A5F9CFA2_RABIT, tr|A0A5F9DL39|A0A5F9DL39_RABIT, tr|A0A5F9DPX9|A0A5F9DPX9_RABIT, tr|U3KN29|U3KN29_RABIT, tr|A0A5F9C9Q4|A0A5F9C9Q4_RABIT, tr|A0A5F9D140|A0A5F9D140_RABIT, tr|U3KMP6|U3KMP6_RABIT, tr|A0A5F9C1T9|A0A5F9C1T9_RABIT, tr|A0A5F9DLJ0|A0A5F9DLJ0_RABIT, tr|A0A5F9DAG2|A0A5F9DAG2_RABIT, tr|A0A5F9C5T0|A0A5F9C5T0_RABIT, tr|U3KMS2|U3KMS2_RABIT, tr|A0A5F9CE10|A0A5F9CE10_RABIT, tr|A0A5F9D2T3|A0A5F9D2T3_RABIT, tr|U3KMN3|U3KMN3_RABIT, tr|A0A5F9CRX7|A0A5F9CRX7_RABIT, tr|A0A5F9DS07|A0A5F9DS07_RABIT, tr|A0A5F9CR90|A0A5F9CR90_RABIT, tr|A0A5F9DI54|A0A5F9DI54_RABIT, tr|A0A5F9CB60|A0A5F9CB60_RABIT, tr|A0A5F9D8Z1|A0A5F9D8Z1_RABIT, tr|A0A5F9CQP9|A0A5F9CQP9_RABIT, tr|A0A5F9CG77|A0A5F9CG77_RABIT, tr|U3KLW1|U3KLW1_RABIT, tr|U3KM42|U3KM42_RABIT, tr|A0A5F9DFE3|A0A5F9DFE3_RABIT, tr|A0A5F9DVF7|A0A5F9DVF7_RABIT, tr|A0A5F9CUE5|A0A5F9CUE5_RABIT, tr|A0A5F9C179|A0A5F9C179_RABIT, tr|U3KPJ7|U3KPJ7_RABIT, tr|A0A5F9C194|A0A5F9C194_RABIT, tr|U3KNZ2|U3KNZ2_RABIT, tr|A0A5F9D3I0|A0A5F9D3I0_RABIT, tr|A0A5F9CED5|A0A5F9CED5_RABIT, tr|A0A5F9DIZ5|A0A5F9DIZ5_RABIT, tr|A0A5F9C9D1|A0A5F9C9D1_RABIT, tr|A0A5F9CSM7|A0A5F9CSM7_RABIT, tr|A0A5F9DID2|A0A5F9DID2_RABIT, tr|U3KPN1|U3KPN1_RABIT, tr|A0A5F9DTR9|A0A5F9DTR9_RABIT, tr|A0A5F9CN70|A0A5F9CN70_RABIT, tr|U3KMA5|U3KMA5_RABIT, tr|A0A5F9D3Y2|A0A5F9D3Y2_RABIT, tr|U3KMZ8|U3KMZ8_RABIT, tr|A0A5F9DDM9|A0A5F9DDM9_RABIT, tr|A0A5F9D047|A0A5F9D047_RABIT, tr|U3KPF3|U3KPF3_RABIT, tr|A0A5F9C5R4|A0A5F9C5R4_RABIT
OG0000012	tr|Q9CXH3|Q9CXH3_MOUSE	tr|A0A5F9CK23|A0A5F9CK23_RABIT
OG0000012	tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N248|L7N248_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|F7D043|F7D043_MOUSE, tr|J3KMP8|J3KMP8_MOUSE	tr|A0A5F9C6D1|A0A5F9C6D1_RABIT, tr|G1SIL7|G1SIL7_RABIT
OG0000025	tr|A0A3B2WB67|A0A3B2WB67_MOUSE	tr|G1U6R7|G1U6R7_RABIT, tr|G1TUC0|G1TUC0_RABIT, tr|G1TY24|G1TY24_RABIT, tr|G1U584|G1U584_RABIT, tr|G1TF00|G1TF00_RABIT, tr|G1U8P7|G1U8P7_RABIT, tr|G1U1X4|G1U1X4_RABIT, tr|G1U0P9|G1U0P9_RABIT, tr|G1TWB4|G1TWB4_RABIT, tr|G1U2X2|G1U2X2_RABIT, tr|G1TUL6|G1TUL6_RABIT, tr|G1TTW1|G1TTW1_RABIT, tr|G1TZL6|G1TZL6_RABIT, tr|G1TJF4|G1TJF4_RABIT, tr|G1TP60|G1TP60_RABIT, tr|G1TL19|G1TL19_RABIT, tr|G1U284|G1U284_RABIT, tr|G1TGL6|G1TGL6_RABIT, tr|G1TIM8|G1TIM8_RABIT, tr|G1TUD9|G1TUD9_RABIT, tr|G1TJI2|G1TJI2_RABIT, tr|G1TZ17|G1TZ17_RABIT, tr|G1U605|G1U605_RABIT, tr|G1TIX9|G1TIX9_RABIT, tr|G1TMX9|G1TMX9_RABIT, tr|G1U2S8|G1U2S8_RABIT, tr|G1THA1|G1THA1_RABIT, tr|G1TRE5|G1TRE5_RABIT, tr|G1TUJ3|G1TUJ3_RABIT, tr|G1TQF0|G1TQF0_RABIT, tr|G1TFR9|G1TFR9_RABIT, tr|G1THU3|G1THU3_RABIT
OG0000027	sp|P62751|RL23A_MOUSE	tr|G1TEV5|G1TEV5_RABIT, tr|G1SE76|G1SE76_RABIT, tr|G1TRP8|G1TRP8_RABIT, tr|G1T638|G1T638_RABIT, tr|G1U7T5|G1U7T5_RABIT, tr|G1TJX1|G1TJX1_RABIT, tr|G1TJT7|G1TJT7_RABIT, tr|G1U6E2|G1U6E2_RABIT, tr|G1TUP9|G1TUP9_RABIT, tr|G1TEW2|G1TEW2_RABIT, tr|G1U7W6|G1U7W6_RABIT, tr|G1TIJ9|G1TIJ9_RABIT, tr|A0A5F9CWX6|A0A5F9CWX6_RABIT, tr|A0A5F9CF91|A0A5F9CF91_RABIT, tr|G1TF04|G1TF04_RABIT, tr|G1TJX9|G1TJX9_RABIT, tr|G1TPQ9|G1TPQ9_RABIT, tr|G1TX54|G1TX54_RABIT, tr|G1TM80|G1TM80_RABIT, tr|G1TMI7|G1TMI7_RABIT, tr|G1TQE0|G1TQE0_RABIT, tr|G1TNX0|G1TNX0_RABIT, tr|G1U1A7|G1U1A7_RABIT, tr|G1U5S9|G1U5S9_RABIT, tr|G1TIW2|G1TIW2_RABIT, tr|G1TYW9|G1TYW9_RABIT, tr|G1U712|G1U712_RABIT, tr|G1U8T8|G1U8T8_RABIT, tr|G1TY70|G1TY70_RABIT, tr|A0A5F9CPF0|A0A5F9CPF0_RABIT, tr|A0A5F9CT55|A0A5F9CT55_RABIT, tr|A0A5F9CX29|A0A5F9CX29_RABIT
OG0000032	sp|Q8C567|NCTR1_MOUSE	tr|A0A5F9CCR9|A0A5F9CCR9_RABIT, tr|A0A5F9D312|A0A5F9D312_RABIT, tr|A0A5F9C3B3|A0A5F9C3B3_RABIT, tr|A0A5F9CZ66|A0A5F9CZ66_RABIT, tr|A0A5F9DTA1|A0A5F9DTA1_RABIT, tr|A0A5F9CPM6|A0A5F9CPM6_RABIT, tr|A0A5F9CPT4|A0A5F9CPT4_RABIT, tr|G1SD56|G1SD56_RABIT, tr|A0A5F9DKG9|A0A5F9DKG9_RABIT, tr|A0A5F9CRA4|A0A5F9CRA4_RABIT, tr|A0A5F9CZS0|A0A5F9CZS0_RABIT, tr|A0A5F9D977|A0A5F9D977_RABIT, tr|A0A5F9DN07|A0A5F9DN07_RABIT, tr|A0A5F9CVF4|A0A5F9CVF4_RABIT, tr|A0A5F9D2M6|A0A5F9D2M6_RABIT, tr|A0A5F9DSK0|A0A5F9DSK0_RABIT, tr|A0A5F9CA93|A0A5F9CA93_RABIT, tr|A0A5F9CD77|A0A5F9CD77_RABIT, tr|G1TJ60|G1TJ60_RABIT, tr|A0A5F9DJU0|A0A5F9DJU0_RABIT, tr|A0A5F9DIA0|A0A5F9DIA0_RABIT, tr|A0A5F9D7H2|A0A5F9D7H2_RABIT, tr|G1SRU8|G1SRU8_RABIT, tr|G1SMH0|G1SMH0_RABIT, tr|A0A5F9CQ95|A0A5F9CQ95_RABIT, tr|A0A5F9CPH1|A0A5F9CPH1_RABIT, tr|G1SL19|G1SL19_RABIT
OG0000033	sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q3TQ88|Q3TQ88_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q62056|Q62056_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE	tr|G1SVN7|G1SVN7_RABIT
OG0000035	sp|Q810Z1|LCN10_MOUSE, tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, sp|Q924P3|LCN8_MOUSE, sp|A2AJB7|LCN5_MOUSE	sp|C0HJA9|OBP3_RABIT
OG0000035	tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE	tr|G1U400|G1U400_RABIT
OG0000039	tr|A0A571BG86|A0A571BG86_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|J3QN64|J3QN64_MOUSE, tr|J3QML3|J3QML3_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE, tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|A2CGC2|A2CGC2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|A2CG92|A2CG92_MOUSE	tr|G1THG3|G1THG3_RABIT
