Orthogroup	Homo_sapiens	Theropithecus_gelada
OG0000000	sp|Q8N769|CN178_HUMAN	tr|A0A8D2FN06|A0A8D2FN06_THEGE
OG0000000	sp|Q5T7P6|TMM78_HUMAN	tr|A0A8D2FCD7|A0A8D2FCD7_THEGE, tr|A0A8D2K2B2|A0A8D2K2B2_THEGE, tr|A0A8D2GJX2|A0A8D2GJX2_THEGE, tr|A0A8D2ETD7|A0A8D2ETD7_THEGE, tr|A0A8D2K8P6|A0A8D2K8P6_THEGE
OG0000000	sp|A0A096LPI5|GVQW2_HUMAN	tr|A0A8D2EN16|A0A8D2EN16_THEGE, tr|A0A8D2FS59|A0A8D2FS59_THEGE, tr|A0A8D2K3N8|A0A8D2K3N8_THEGE, tr|A0A8D2EIS4|A0A8D2EIS4_THEGE, tr|A0A8D2EBQ9|A0A8D2EBQ9_THEGE, tr|A0A8D2JWV8|A0A8D2JWV8_THEGE, tr|A0A8D2FVC9|A0A8D2FVC9_THEGE, tr|A0A8D2K1F1|A0A8D2K1F1_THEGE, tr|A0A8D2EKU8|A0A8D2EKU8_THEGE, tr|A0A8D2JZ78|A0A8D2JZ78_THEGE
OG0000000	sp|Q8N976|YG039_HUMAN	tr|A0A8D2GFC4|A0A8D2GFC4_THEGE, tr|A0A8D2EGM6|A0A8D2EGM6_THEGE, tr|A0A8D2F2Y8|A0A8D2F2Y8_THEGE, tr|A0A8D2ECN2|A0A8D2ECN2_THEGE, tr|A0A8D2ET51|A0A8D2ET51_THEGE, tr|A0A8D2F0N8|A0A8D2F0N8_THEGE, tr|A0A8D2E3R2|A0A8D2E3R2_THEGE, tr|A0A8D2FP28|A0A8D2FP28_THEGE, tr|A0A8D2GHK2|A0A8D2GHK2_THEGE, tr|A0A8D2F0Q4|A0A8D2F0Q4_THEGE, tr|A0A8D2K5U6|A0A8D2K5U6_THEGE, tr|A0A8D2G8Y8|A0A8D2G8Y8_THEGE, tr|A0A8D2E911|A0A8D2E911_THEGE, tr|A0A8D2G9L6|A0A8D2G9L6_THEGE, tr|A0A8D2G157|A0A8D2G157_THEGE, tr|A0A8D2G4B9|A0A8D2G4B9_THEGE, tr|A0A8D2FGW1|A0A8D2FGW1_THEGE, tr|A0A8D2EJS6|A0A8D2EJS6_THEGE, tr|A0A8D2GE31|A0A8D2GE31_THEGE, tr|A0A8D2ELQ4|A0A8D2ELQ4_THEGE, tr|A0A8D2ERA5|A0A8D2ERA5_THEGE, tr|A0A8D2G6P0|A0A8D2G6P0_THEGE
OG0000002	sp|Q03924|ZN117_HUMAN, sp|P52744|ZN138_HUMAN, sp|Q9UII5|ZN107_HUMAN, sp|Q03923|ZNF85_HUMAN, sp|O75373|ZN737_HUMAN, sp|Q6ZN08|ZNF66_HUMAN, sp|P35789|ZNF93_HUMAN, sp|Q5JVG8|ZN506_HUMAN, sp|O75346|ZN253_HUMAN, sp|Q68DY1|ZN626_HUMAN, sp|Q96H40|ZN486_HUMAN, sp|Q03938|ZNF90_HUMAN, sp|Q9Y2Q1|ZN257_HUMAN, sp|Q8TD23|ZN675_HUMAN, sp|Q96N22|ZN681_HUMAN, sp|P17038|ZNF43_HUMAN, sp|Q86V71|ZN429_HUMAN, sp|A8MTY0|ZN724_HUMAN, sp|P17019|ZN708_HUMAN, sp|Q14593|ZN273_HUMAN, sp|Q03936|ZNF92_HUMAN, sp|P0DPD5|ZN723_HUMAN, sp|A8MXY4|ZNF99_HUMAN, sp|A6NN14|ZN729_HUMAN, sp|Q8NEM1|ZN680_HUMAN, sp|Q6ZMV8|ZN730_HUMAN, sp|Q9P255|ZN492_HUMAN, sp|A6NK75|ZNF98_HUMAN, sp|Q05481|ZNF91_HUMAN, sp|O75437|ZN254_HUMAN, sp|A6NNF4|ZN726_HUMAN, sp|O43345|ZN208_HUMAN, sp|P0DKX0|ZN728_HUMAN, sp|Q8N7Q3|ZN676_HUMAN, sp|Q96N38|ZN714_HUMAN, sp|Q6ZR52|ZN493_HUMAN, sp|Q8NE65|ZN738_HUMAN, sp|Q9H8G1|ZN430_HUMAN, sp|Q8IYN0|ZN100_HUMAN, sp|Q8TF32|ZN431_HUMAN	tr|A0A8D2JW91|A0A8D2JW91_THEGE
OG0000003	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A8D2K1N8|A0A8D2K1N8_THEGE
OG0000003	sp|Q8NH42|OR4KD_HUMAN	tr|A0A8D2F7R6|A0A8D2F7R6_THEGE
OG0000003	sp|Q8NH43|OR4L1_HUMAN	tr|A0A8D2K195|A0A8D2K195_THEGE, tr|A0A8D2F8Q4|A0A8D2F8Q4_THEGE
OG0000003	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8D2F7C7|A0A8D2F7C7_THEGE
OG0000003	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A8D2F9Q9|A0A8D2F9Q9_THEGE, tr|A0A8D2K1E9|A0A8D2K1E9_THEGE
