Orthogroup	Homo_sapiens	Macaca_nemestrina
OG0000000	sp|Q96R08|OR5BC_HUMAN	tr|A0A2K6CHN0|A0A2K6CHN0_MACNE
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A2K6ANL7|A0A2K6ANL7_MACNE
OG0000000	sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN	tr|A0A2K6BCV2|A0A2K6BCV2_MACNE
OG0000000	sp|Q8NGP9|O5AR1_HUMAN, sp|Q8N127|O5AS1_HUMAN	tr|A0A2K6B049|A0A2K6B049_MACNE
OG0000000	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K6BJQ6|A0A2K6BJQ6_MACNE
OG0000000	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A2K6B0K6|A0A2K6B0K6_MACNE
OG0000000	sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A2K6ATA8|A0A2K6ATA8_MACNE
OG0000000	sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN	tr|A0A2K6B6H7|A0A2K6B6H7_MACNE
OG0000000	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2K6CWN7|A0A2K6CWN7_MACNE
OG0000000	sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN	tr|A0A2K6BBB8|A0A2K6BBB8_MACNE
OG0000001	sp|Q9Y5P0|O51B4_HUMAN	tr|A0A2K6CA97|A0A2K6CA97_MACNE
OG0000001	sp|Q8NH60|O52J3_HUMAN	tr|A0A2K6DIR8|A0A2K6DIR8_MACNE
OG0000001	sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2K6E5Y0|A0A2K6E5Y0_MACNE
OG0000001	sp|Q9H346|O52D1_HUMAN	tr|A0A2K6DJD1|A0A2K6DJD1_MACNE
OG0000001	sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGJ2|O52H1_HUMAN	tr|A0A2K6DY68|A0A2K6DY68_MACNE
OG0000001	sp|Q8NGI2|O52N4_HUMAN	tr|A0A2K6B7U2|A0A2K6B7U2_MACNE
OG0000001	sp|Q8NH56|O52N5_HUMAN	tr|A0A2K6CIQ2|A0A2K6CIQ2_MACNE
OG0000001	sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN	tr|A0A2K6B684|A0A2K6B684_MACNE
OG0000001	sp|Q8NGF1|O52R1_HUMAN, sp|Q6IF63|O52W1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN	tr|A0A2K6DW71|A0A2K6DW71_MACNE
OG0000001	sp|Q8NH57|O52P1_HUMAN	tr|A0A2K6DNQ6|A0A2K6DNQ6_MACNE
OG0000001	sp|Q8TCB6|O51E1_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2K6AXB4|A0A2K6AXB4_MACNE
OG0000001	sp|Q8NH64|O51A7_HUMAN	tr|A0A2K6EB46|A0A2K6EB46_MACNE
OG0000001	sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN	tr|A0A2K6D9X1|A0A2K6D9X1_MACNE
OG0000001	tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A2K6CCA9|A0A2K6CCA9_MACNE
OG0000002	sp|Q8NH94|OR1L1_HUMAN	tr|A0A2K6BCC1|A0A2K6BCC1_MACNE
OG0000002	sp|Q8NHA8|OR1FC_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q15619|OR1C1_HUMAN	tr|A0A2K6CVB3|A0A2K6CVB3_MACNE
OG0000002	sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN	tr|A0A2K6B429|A0A2K6B429_MACNE
OG0000002	tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN	tr|A0A2K6B8D5|A0A2K6B8D5_MACNE
OG0000003	sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K6BE02|A0A2K6BE02_MACNE
OG0000003	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN	tr|A0A2K6B7E9|A0A2K6B7E9_MACNE
OG0000003	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2K6B7C4|A0A2K6B7C4_MACNE
OG0000003	sp|Q8NGC6|OR4KH_HUMAN	tr|A0A2K6ANI2|A0A2K6ANI2_MACNE
OG0000003	sp|Q8NGC2|OR4E2_HUMAN	tr|A0A2K6CZL9|A0A2K6CZL9_MACNE
OG0000003	sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGN0|OR4D5_HUMAN	tr|A0A2K6ARB9|A0A2K6ARB9_MACNE
