Orthogroup	Homo_sapiens	Cebus_imitator
OG0000000	sp|Q8NH18|OR5J2_HUMAN	tr|A0A2K5Q7Y5|A0A2K5Q7Y5_CEBIM
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A2K5RY49|A0A2K5RY49_CEBIM
OG0000000	sp|Q96R08|OR5BC_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R09|OR5B2_HUMAN	tr|A0A2K5R1L3|A0A2K5R1L3_CEBIM
OG0000000	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A2K5S5G5|A0A2K5S5G5_CEBIM
OG0000000	sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A2K5S6D2|A0A2K5S6D2_CEBIM
OG0000000	sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN	tr|A0A2K5RT26|A0A2K5RT26_CEBIM
OG0000000	sp|Q8NH85|OR5R1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN	tr|A0A2K5RDW4|A0A2K5RDW4_CEBIM
OG0000000	sp|P0C617|O5AL1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2K5PE05|A0A2K5PE05_CEBIM
OG0000001	sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN	tr|A0A2K5PK80|A0A2K5PK80_CEBIM
OG0000001	sp|Q6IF63|O52W1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NGK5|O52M1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN	tr|A0A2K5Q961|A0A2K5Q961_CEBIM
OG0000002	sp|Q8NGI6|OR4DA_HUMAN	tr|A0A2K5PC49|A0A2K5PC49_CEBIM
OG0000002	sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K5PA61|A0A2K5PA61_CEBIM
OG0000002	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K5QLZ2|A0A2K5QLZ2_CEBIM
OG0000002	sp|Q8NGC3|O10G2_HUMAN, sp|Q8NGC4|O10G3_HUMAN, sp|Q8NH81|O10G6_HUMAN, sp|Q8NGN2|O10S1_HUMAN, sp|Q8NH80|O10D3_HUMAN, sp|Q8NGN3|O10G4_HUMAN, sp|Q8NGN4|O10G9_HUMAN, sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGN5|O10G8_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NGC2|OR4E2_HUMAN	tr|A0A2K5PA20|A0A2K5PA20_CEBIM
OG0000002	sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|P0C623|OR4Q2_HUMAN	tr|A0A2K5QK91|A0A2K5QK91_CEBIM
OG0000002	sp|Q8NGJ1|OR4D6_HUMAN	tr|A0A2K5S6I5|A0A2K5S6I5_CEBIM
OG0000003	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A2K5PAL6|A0A2K5PAL6_CEBIM
OG0000003	sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN	tr|A0A2K5PDG9|A0A2K5PDG9_CEBIM
OG0000003	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN	tr|A0A2K5PNT6|A0A2K5PNT6_CEBIM
OG0000005	sp|Q8NGZ0|O2AJ1_HUMAN	tr|A0A2K5S8K4|A0A2K5S8K4_CEBIM
OG0000005	sp|Q8NG97|OR2Z1_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG84|O2AK2_HUMAN	tr|A0A2K5PJ37|A0A2K5PJ37_CEBIM
OG0000005	sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN	tr|A0A2K5PJR7|A0A2K5PJR7_CEBIM
OG0000006	sp|C9JN71|ZN878_HUMAN	tr|A0A2K5RPU1|A0A2K5RPU1_CEBIM
OG0000006	sp|Q96I27|ZN625_HUMAN	tr|A0A2K5RC29|A0A2K5RC29_CEBIM
OG0000006	sp|Q8N7K0|ZN433_HUMAN	tr|A0A2K5REZ4|A0A2K5REZ4_CEBIM
OG0000006	sp|P17024|ZNF20_HUMAN	tr|A0A2K5P8P3|A0A2K5P8P3_CEBIM
OG0000006	sp|Q8TBZ8|ZN564_HUMAN	tr|A0A2K5QT93|A0A2K5QT93_CEBIM
OG0000006	sp|P17017|ZNF14_HUMAN	tr|A0A2K5S253|A0A2K5S253_CEBIM
OG0000006	sp|Q8N972|ZN709_HUMAN	tr|A0A2K5RB20|A0A2K5RB20_CEBIM
OG0000006	sp|Q3KP31|ZN791_HUMAN	tr|A0A2K5QST9|A0A2K5QST9_CEBIM
OG0000006	sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN	tr|A0A2K5QTI6|A0A2K5QTI6_CEBIM
OG0000006	sp|P52737|ZN136_HUMAN	tr|A0A2K5PHJ4|A0A2K5PHJ4_CEBIM
OG0000006	sp|Q7L945|ZN627_HUMAN	tr|A0A2K5SDF5|A0A2K5SDF5_CEBIM
