Orthogroup	Homo_sapiens	Odocoileus_virginianus_texanus
OG0000002	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6J0X3S9|A0A6J0X3S9_ODOVR
OG0000002	sp|Q96R72|OR4K3_HUMAN	tr|A0A6J0X1R8|A0A6J0X1R8_ODOVR, tr|A0A6J0W327|A0A6J0W327_ODOVR
OG0000002	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6J0Y414|A0A6J0Y414_ODOVR
OG0000002	sp|Q8NH42|OR4KD_HUMAN	tr|A0A6J0Y4W0|A0A6J0Y4W0_ODOVR, tr|A0A6J0Y4S5|A0A6J0Y4S5_ODOVR
OG0000002	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6J0Y421|A0A6J0Y421_ODOVR, tr|A0A6J0Y3Y5|A0A6J0Y3Y5_ODOVR, tr|A0A6J0Y441|A0A6J0Y441_ODOVR, tr|A0A6J0Y3X7|A0A6J0Y3X7_ODOVR
OG0000002	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A6J0ZFL8|A0A6J0ZFL8_ODOVR
OG0000002	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6J0ZEQ9|A0A6J0ZEQ9_ODOVR, tr|A0A6J0ZER5|A0A6J0ZER5_ODOVR
OG0000002	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A6J0ZE59|A0A6J0ZE59_ODOVR, tr|A0A6J0ZD93|A0A6J0ZD93_ODOVR
OG0000003	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A6J0VTW6|A0A6J0VTW6_ODOVR
OG0000003	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A6J0Y3U9|A0A6J0Y3U9_ODOVR
OG0000003	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A6J0VWY9|A0A6J0VWY9_ODOVR
OG0000003	sp|O95371|OR2C1_HUMAN	tr|A0A6J0Z6K3|A0A6J0Z6K3_ODOVR
OG0000003	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A6J0XA89|A0A6J0XA89_ODOVR, tr|A0A6J0YCG3|A0A6J0YCG3_ODOVR, tr|A0A6J0XNJ1|A0A6J0XNJ1_ODOVR, tr|A0A6J0YB99|A0A6J0YB99_ODOVR, tr|A0A6J0YC65|A0A6J0YC65_ODOVR, tr|A0A6J0YCF8|A0A6J0YCF8_ODOVR, tr|A0A6J0X1M9|A0A6J0X1M9_ODOVR, tr|A0A6J0YAZ6|A0A6J0YAZ6_ODOVR, tr|A0A6J0YDY9|A0A6J0YDY9_ODOVR
OG0000003	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A6J0VH78|A0A6J0VH78_ODOVR, tr|A0A6J0VIP2|A0A6J0VIP2_ODOVR
OG0000003	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A6J0YCD8|A0A6J0YCD8_ODOVR, tr|A0A6J0VUM4|A0A6J0VUM4_ODOVR, tr|A0A6J0YCG7|A0A6J0YCG7_ODOVR, tr|A0A6J0YC78|A0A6J0YC78_ODOVR, tr|A0A6J0VT07|A0A6J0VT07_ODOVR, tr|A0A6J0YB92|A0A6J0YB92_ODOVR
OG0000003	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A6J0YE95|A0A6J0YE95_ODOVR, tr|A0A6J0VKU8|A0A6J0VKU8_ODOVR
OG0000003	sp|P59922|OR2B8_HUMAN	tr|A0A6J0YCF3|A0A6J0YCF3_ODOVR, tr|A0A6J0YC69|A0A6J0YC69_ODOVR, tr|A0A6J0YAT3|A0A6J0YAT3_ODOVR, tr|A0A6J0YAY7|A0A6J0YAY7_ODOVR, tr|A0A6J0XA14|A0A6J0XA14_ODOVR, tr|A0A6J0Z7P4|A0A6J0Z7P4_ODOVR, tr|A0A6J0X7E9|A0A6J0X7E9_ODOVR
OG0000004	sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06312|KV401_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN	tr|A0A6J0WY86|A0A6J0WY86_ODOVR
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|A0A6J0YH24|A0A6J0YH24_ODOVR, tr|A0A6J0YGQ4|A0A6J0YGQ4_ODOVR
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|A0A6J0YH36|A0A6J0YH36_ODOVR, tr|A0A6J0YIN9|A0A6J0YIN9_ODOVR
OG0000005	sp|Q8NH61|O51F2_HUMAN	tr|A0A6J0XE47|A0A6J0XE47_ODOVR
OG0000005	sp|A6NGY5|O51F1_HUMAN	tr|A0A6J0XE51|A0A6J0XE51_ODOVR, tr|A0A6J0XFI0|A0A6J0XFI0_ODOVR
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6J0XFH5|A0A6J0XFH5_ODOVR, tr|A0A6J0XE32|A0A6J0XE32_ODOVR, tr|A0A6J0XJ54|A0A6J0XJ54_ODOVR, tr|A0A6J0XGG7|A0A6J0XGG7_ODOVR, tr|A0A6J0XJ48|A0A6J0XJ48_ODOVR
OG0000005	sp|Q9H342|O51J1_HUMAN	tr|A0A6J0YWG4|A0A6J0YWG4_ODOVR, tr|A0A6J0YVW3|A0A6J0YVW3_ODOVR, tr|A0A6J0YY42|A0A6J0YY42_ODOVR, tr|A0A6J0YY47|A0A6J0YY47_ODOVR, tr|A0A6J0YW12|A0A6J0YW12_ODOVR, tr|A0A6J0YH41|A0A6J0YH41_ODOVR, tr|A0A6J0YIQ0|A0A6J0YIQ0_ODOVR, tr|A0A6J0YTL9|A0A6J0YTL9_ODOVR, tr|A0A6J0YGX8|A0A6J0YGX8_ODOVR
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|A0A6J0WV54|A0A6J0WV54_ODOVR, tr|A0A6J0Y5U4|A0A6J0Y5U4_ODOVR, tr|A0A6J0YWG9|A0A6J0YWG9_ODOVR, tr|A0A6J0YW05|A0A6J0YW05_ODOVR, tr|A0A6J0YXT5|A0A6J0YXT5_ODOVR, tr|A0A6J0XFI5|A0A6J0XFI5_ODOVR, tr|A0A6J0XGG3|A0A6J0XGG3_ODOVR
