Orthogroup	Homo_sapiens	Ursus_americanus
OG0000000	sp|Q9UJW7|ZN229_HUMAN	tr|A0A452QBG2|A0A452QBG2_URSAM
OG0000000	sp|Q3KNS6|ZN829_HUMAN	tr|A0A452QHN6|A0A452QHN6_URSAM, tr|A0A452S1V0|A0A452S1V0_URSAM
OG0000000	sp|Q8TAF7|ZN461_HUMAN	tr|A0A452R8Z6|A0A452R8Z6_URSAM, tr|A0A452S3H1|A0A452S3H1_URSAM
OG0000000	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A452QHA5|A0A452QHA5_URSAM, tr|A0A452QJS5|A0A452QJS5_URSAM, tr|A0A452QE47|A0A452QE47_URSAM, tr|A0A452QVK6|A0A452QVK6_URSAM, tr|A0A452QKK3|A0A452QKK3_URSAM, tr|A0A452Q941|A0A452Q941_URSAM, tr|A0A452RBS2|A0A452RBS2_URSAM, tr|A0A452QKJ4|A0A452QKJ4_URSAM, tr|A0A452QK98|A0A452QK98_URSAM, tr|A0A452QK99|A0A452QK99_URSAM, tr|A0A452R8X9|A0A452R8X9_URSAM, tr|A0A452QH23|A0A452QH23_URSAM, tr|A0A452QVF3|A0A452QVF3_URSAM, tr|A0A452QA48|A0A452QA48_URSAM, tr|A0A452QD96|A0A452QD96_URSAM, tr|A0A452QD46|A0A452QD46_URSAM, tr|A0A452QED8|A0A452QED8_URSAM, tr|A0A452QAF3|A0A452QAF3_URSAM, tr|A0A452QD59|A0A452QD59_URSAM
OG0000000	sp|Q8N7M2|ZN283_HUMAN	tr|A0A452SPA0|A0A452SPA0_URSAM, tr|A0A452STV6|A0A452STV6_URSAM, tr|A0A452QBJ8|A0A452QBJ8_URSAM, tr|A0A452QGL6|A0A452QGL6_URSAM
OG0000002	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A452Q9I5|A0A452Q9I5_URSAM, tr|A0A452QK09|A0A452QK09_URSAM, tr|A0A452QK01|A0A452QK01_URSAM
OG0000002	sp|Q8N628|OR2C3_HUMAN	tr|A0A452RA66|A0A452RA66_URSAM
OG0000002	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A452SFI7|A0A452SFI7_URSAM, tr|A0A452S3Q0|A0A452S3Q0_URSAM, tr|A0A452QE05|A0A452QE05_URSAM, tr|A0A452RA59|A0A452RA59_URSAM, tr|A0A452RHH4|A0A452RHH4_URSAM, tr|A0A452S3T3|A0A452S3T3_URSAM, tr|A0A452RK42|A0A452RK42_URSAM
OG0000002	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A452QEF4|A0A452QEF4_URSAM, tr|A0A452QLV3|A0A452QLV3_URSAM, tr|A0A452QPM9|A0A452QPM9_URSAM, tr|A0A452QE73|A0A452QE73_URSAM
OG0000003	sp|Q8NGK1|O51G1_HUMAN	tr|A0A452RGH7|A0A452RGH7_URSAM
