Orthogroup	Homo_sapiens	Canis_lupus_familiaris
OG0000000	sp|O00370|LORF2_HUMAN	tr|A0A8P0TRD9|A0A8P0TRD9_CANLF
OG0000000	sp|Q9H606|PRORY_HUMAN	tr|A0A8P0T0Y1|A0A8P0T0Y1_CANLF, tr|A0A8P0PFG3|A0A8P0PFG3_CANLF, tr|A0A8I3PKK5|A0A8I3PKK5_CANLF, tr|A0A8I3NV24|A0A8I3NV24_CANLF, tr|A0A8P0T2D2|A0A8P0T2D2_CANLF, tr|A0A8I3PU77|A0A8I3PU77_CANLF, tr|A0A8P0PFV6|A0A8P0PFV6_CANLF, tr|A0A8P0PNW0|A0A8P0PNW0_CANLF, tr|A0A8P0TD11|A0A8P0TD11_CANLF, tr|A0A8P0TCV4|A0A8P0TCV4_CANLF, tr|A0A8P0SZI9|A0A8P0SZI9_CANLF, tr|A0A8P0P7A8|A0A8P0P7A8_CANLF, tr|A0A8P0TEF3|A0A8P0TEF3_CANLF, tr|A0A8P0T818|A0A8P0T818_CANLF, tr|A0A8I3N1G2|A0A8I3N1G2_CANLF, tr|A0A8P0NV07|A0A8P0NV07_CANLF, tr|A0A8P0PF68|A0A8P0PF68_CANLF, tr|A0A8P0TL68|A0A8P0TL68_CANLF, tr|A0A8P0TKZ6|A0A8P0TKZ6_CANLF, tr|A0A8P0T202|A0A8P0T202_CANLF, tr|A0A8P0PDY1|A0A8P0PDY1_CANLF, tr|A0A8P0T9S8|A0A8P0T9S8_CANLF, tr|A0A8P0TL72|A0A8P0TL72_CANLF, tr|A0A8P0PQG8|A0A8P0PQG8_CANLF, tr|A0A8P0THC6|A0A8P0THC6_CANLF, tr|A0A8I3NAD0|A0A8I3NAD0_CANLF, tr|A0A8P0NTU0|A0A8P0NTU0_CANLF, tr|A0A8P0TUG5|A0A8P0TUG5_CANLF, tr|A0A8P0PGL2|A0A8P0PGL2_CANLF, tr|A0A8P0TUF6|A0A8P0TUF6_CANLF, tr|A0A8P0TGG7|A0A8P0TGG7_CANLF, tr|A0A8I3MQY8|A0A8I3MQY8_CANLF, tr|A0A8P0NZ49|A0A8P0NZ49_CANLF, tr|A0A8P0P661|A0A8P0P661_CANLF, tr|A0A8I3S9J4|A0A8I3S9J4_CANLF, tr|A0A8I3PEE9|A0A8I3PEE9_CANLF, tr|A0A8P0TA59|A0A8P0TA59_CANLF, tr|A0A8I3RTS3|A0A8I3RTS3_CANLF, tr|A0A8I3PCM6|A0A8I3PCM6_CANLF, tr|A0A8P0PMM2|A0A8P0PMM2_CANLF, tr|A0A8P0T8R7|A0A8P0T8R7_CANLF, tr|A0A8I3Q0V8|A0A8I3Q0V8_CANLF, tr|A0A8P0SY35|A0A8P0SY35_CANLF, tr|A0A8P0P2E1|A0A8P0P2E1_CANLF, tr|A0A8P0T3U2|A0A8P0T3U2_CANLF, tr|A0A8I3NR59|A0A8I3NR59_CANLF, tr|A0A8I3PUD8|A0A8I3PUD8_CANLF, tr|A0A8P0T7H7|A0A8P0T7H7_CANLF, tr|A0A8I3PND9|A0A8I3PND9_CANLF, tr|A0A8P0PAR2|A0A8P0PAR2_CANLF, tr|A0A8I3RTI6|A0A8I3RTI6_CANLF, tr|A0A8P0TBR2|A0A8P0TBR2_CANLF, tr|A0A8P0NUS9|A0A8P0NUS9_CANLF, tr|A0A8P0P9E7|A0A8P0P9E7_CANLF, tr|A0A8P0PS91|A0A8P0PS91_CANLF, tr|A0A8P0TI21|A0A8P0TI21_CANLF, tr|A0A8P0P6N2|A0A8P0P6N2_CANLF, tr|A0A8I3MH18|A0A8I3MH18_CANLF, tr|A0A8P0T7B6|A0A8P0T7B6_CANLF, tr|A0A8I3RSX2|A0A8I3RSX2_CANLF, tr|A0A8I3QZC7|A0A8I3QZC7_CANLF, tr|A0A8I3NYA5|A0A8I3NYA5_CANLF, tr|A0A8I3NWX3|A0A8I3NWX3_CANLF, tr|A0A8P0NTX8|A0A8P0NTX8_CANLF, tr|A0A8P0T901|A0A8P0T901_CANLF, tr|A0A8I3NC32|A0A8I3NC32_CANLF, tr|A0A8P0P3B8|A0A8P0P3B8_CANLF, tr|A0A8P0T2R6|A0A8P0T2R6_CANLF, tr|A0A8I3QJH4|A0A8I3QJH4_CANLF, tr|A0A8P0T7R1|A0A8P0T7R1_CANLF, tr|A0A8I3PN30|A0A8I3PN30_CANLF, tr|A0A8P0P8F7|A0A8P0P8F7_CANLF, tr|A0A8P0TQA6|A0A8P0TQA6_CANLF, tr|A0A8I3QY77|A0A8I3QY77_CANLF, tr|A0A8P0NTM3|A0A8P0NTM3_CANLF, tr|A0A8P0P0V0|A0A8P0P0V0_CANLF, tr|A0A8I3MRX5|A0A8I3MRX5_CANLF, tr|A0A8P0PN13|A0A8P0PN13_CANLF, tr|A0A8I3NQC2|A0A8I3NQC2_CANLF, tr|A0A8P0TQD2|A0A8P0TQD2_CANLF, tr|A0A8P0TET9|A0A8P0TET9_CANLF, tr|A0A8P0PBU6|A0A8P0PBU6_CANLF, tr|A0A8I3PGY0|A0A8I3PGY0_CANLF, tr|A0A8P0PEF8|A0A8P0PEF8_CANLF, tr|A0A8P0NTQ0|A0A8P0NTQ0_CANLF, tr|A0A8P0TG35|A0A8P0TG35_CANLF, tr|A0A8P0TRM1|A0A8P0TRM1_CANLF, tr|A0A8I3S3Z8|A0A8I3S3Z8_CANLF, tr|A0A8P0TLC4|A0A8P0TLC4_CANLF, tr|A0A8P0TD36|A0A8P0TD36_CANLF, tr|A0A8P0SX55|A0A8P0SX55_CANLF, tr|A0A8I3NA25|A0A8I3NA25_CANLF, tr|A0A8I3RVL9|A0A8I3RVL9_CANLF, tr|A0A8P0TIU1|A0A8P0TIU1_CANLF, tr|A0A8I3MAX1|A0A8I3MAX1_CANLF, tr|A0A8P0T1K2|A0A8P0T1K2_CANLF, tr|A0A8I3RXJ6|A0A8I3RXJ6_CANLF, tr|A0A8I3S403|A0A8I3S403_CANLF, tr|A0A8P0NNQ2|A0A8P0NNQ2_CANLF, tr|A0A8P0PN69|A0A8P0PN69_CANLF, tr|A0A8I3N826|A0A8I3N826_CANLF, tr|A0A8I3MM17|A0A8I3MM17_CANLF, tr|A0A8I3MRN0|A0A8I3MRN0_CANLF, tr|A0A8I3PWV6|A0A8I3PWV6_CANLF, tr|A0A8P0SZQ5|A0A8P0SZQ5_CANLF, tr|A0A8I3RRJ0|A0A8I3RRJ0_CANLF, tr|A0A8P0T7E3|A0A8P0T7E3_CANLF, tr|A0A8P0TG34|A0A8P0TG34_CANLF, tr|A0A8I3NT27|A0A8I3NT27_CANLF, tr|A0A8I3PT40|A0A8I3PT40_CANLF, tr|A0A8P0PID9|A0A8P0PID9_CANLF, tr|A0A8I3MRU3|A0A8I3MRU3_CANLF, tr|A0A8I3PCD0|A0A8I3PCD0_CANLF, tr|A0A8P0PAN7|A0A8P0PAN7_CANLF, tr|A0A8P0NV24|A0A8P0NV24_CANLF, tr|A0A8I3N677|A0A8I3N677_CANLF, tr|A0A8I3ND54|A0A8I3ND54_CANLF, tr|A0A8I3N3F3|A0A8I3N3F3_CANLF, tr|A0A8I3P5K7|A0A8I3P5K7_CANLF, tr|A0A8I3S6V7|A0A8I3S6V7_CANLF, tr|A0A8P0SXW2|A0A8P0SXW2_CANLF, tr|A0A8I3RZ56|A0A8I3RZ56_CANLF, tr|A0A8P0TMZ3|A0A8P0TMZ3_CANLF, tr|A0A8I3QJ55|A0A8I3QJ55_CANLF, tr|A0A8P0TSQ1|A0A8P0TSQ1_CANLF, tr|A0A8I3NM14|A0A8I3NM14_CANLF, tr|A0A8P0T7T2|A0A8P0T7T2_CANLF, tr|A0A8I3N1F7|A0A8I3N1F7_CANLF, tr|A0A8I3MQ63|A0A8I3MQ63_CANLF, tr|A0A8P0P6F9|A0A8P0P6F9_CANLF, tr|A0A8I3N3M1|A0A8I3N3M1_CANLF, tr|A0A8I3RRF5|A0A8I3RRF5_CANLF, tr|A0A8I3S1B0|A0A8I3S1B0_CANLF, tr|A0A8P0TMA9|A0A8P0TMA9_CANLF, tr|A0A8P0TQ52|A0A8P0TQ52_CANLF, tr|A0A8I3PHF2|A0A8I3PHF2_CANLF, tr|A0A8I3PYG4|A0A8I3PYG4_CANLF, tr|A0A8P0TUC7|A0A8P0TUC7_CANLF, tr|A0A8I3PE75|A0A8I3PE75_CANLF, tr|A0A8I3S5F9|A0A8I3S5F9_CANLF, tr|A0A8P0P8K3|A0A8P0P8K3_CANLF, tr|A0A8P0PIM4|A0A8P0PIM4_CANLF, tr|A0A8P0P9X4|A0A8P0P9X4_CANLF, tr|A0A8I3MZF9|A0A8I3MZF9_CANLF, tr|A0A8P0P9I3|A0A8P0P9I3_CANLF, tr|A0A8I3S056|A0A8I3S056_CANLF, tr|A0A8I3Q9P7|A0A8I3Q9P7_CANLF, tr|A0A8P0P9X3|A0A8P0P9X3_CANLF, tr|A0A8P0TVK0|A0A8P0TVK0_CANLF, tr|A0A8I3MNZ0|A0A8I3MNZ0_CANLF, tr|A0A8P0TMJ4|A0A8P0TMJ4_CANLF, tr|A0A8P0T9K4|A0A8P0T9K4_CANLF, tr|A0A8P0TBQ7|A0A8P0TBQ7_CANLF, tr|A0A8P0TAN8|A0A8P0TAN8_CANLF, tr|A0A8I3P9X6|A0A8I3P9X6_CANLF, tr|A0A8P0T0M3|A0A8P0T0M3_CANLF, tr|A0A8I3RSZ0|A0A8I3RSZ0_CANLF, tr|A0A8I3PE16|A0A8I3PE16_CANLF, tr|A0A8P0NUX9|A0A8P0NUX9_CANLF, tr|A0A8P0T6T8|A0A8P0T6T8_CANLF, tr|A0A8I3RP06|A0A8I3RP06_CANLF, tr|A0A8P0P8V7|A0A8P0P8V7_CANLF, tr|A0A8I3RXR6|A0A8I3RXR6_CANLF, tr|A0A8I3P9L9|A0A8I3P9L9_CANLF, tr|A0A8I3MXU3|A0A8I3MXU3_CANLF, tr|A0A8P0T6R2|A0A8P0T6R2_CANLF, tr|A0A8I3MCM3|A0A8I3MCM3_CANLF, tr|A0A8P0PC37|A0A8P0PC37_CANLF, tr|A0A8P0TMH1|A0A8P0TMH1_CANLF, tr|A0A8P0PQQ0|A0A8P0PQQ0_CANLF, tr|A0A8I3PM04|A0A8I3PM04_CANLF
OG0000001	sp|Q9UN81|LORF1_HUMAN	tr|A0A8I3P1J1|A0A8I3P1J1_CANLF, tr|A0A8I3MLN1|A0A8I3MLN1_CANLF, tr|A0A8P0TLA5|A0A8P0TLA5_CANLF, tr|A0A8P0TKK8|A0A8P0TKK8_CANLF, tr|A0A8P0PP08|A0A8P0PP08_CANLF, tr|A0A8I3PGJ6|A0A8I3PGJ6_CANLF, tr|A0A8P0TSS3|A0A8P0TSS3_CANLF, tr|A0A8I3NT96|A0A8I3NT96_CANLF, tr|A0A8I3S7Z5|A0A8I3S7Z5_CANLF, tr|A0A8I3NP45|A0A8I3NP45_CANLF, tr|A0A8P0TM26|A0A8P0TM26_CANLF, tr|A0A8P0TQY8|A0A8P0TQY8_CANLF, tr|A0A8I3S1A3|A0A8I3S1A3_CANLF, tr|A0A8P0PHC0|A0A8P0PHC0_CANLF, tr|A0A8P0TKL8|A0A8P0TKL8_CANLF, tr|A0A8I3RUI4|A0A8I3RUI4_CANLF, tr|A0A8P0TPZ7|A0A8P0TPZ7_CANLF, tr|A0A8I3SA62|A0A8I3SA62_CANLF, tr|A0A8P0PHV5|A0A8P0PHV5_CANLF, tr|A0A8I3MTQ8|A0A8I3MTQ8_CANLF, tr|A0A8P0PJF6|A0A8P0PJF6_CANLF, tr|A0A8I3PAA0|A0A8I3PAA0_CANLF, tr|A0A8P0PGU7|A0A8P0PGU7_CANLF, tr|A0A8P0PKH5|A0A8P0PKH5_CANLF, tr|A0A8P0TQY3|A0A8P0TQY3_CANLF, tr|A0A8P0P9D6|A0A8P0P9D6_CANLF, tr|A0A8P0P052|A0A8P0P052_CANLF, tr|A0A8I3RYC7|A0A8I3RYC7_CANLF, tr|A0A8I3N4G6|A0A8I3N4G6_CANLF, tr|A0A8I3PCT7|A0A8I3PCT7_CANLF, tr|A0A8I3MGK0|A0A8I3MGK0_CANLF, tr|A0A8P0PKH4|A0A8P0PKH4_CANLF, tr|A0A8I3NCH4|A0A8I3NCH4_CANLF, tr|A0A8P0PN89|A0A8P0PN89_CANLF, tr|A0A8I3PBC6|A0A8I3PBC6_CANLF, tr|A0A8I3P8Q6|A0A8I3P8Q6_CANLF, tr|A0A8I3PBI3|A0A8I3PBI3_CANLF, tr|A0A8P0TTU7|A0A8P0TTU7_CANLF, tr|A0A8I3NTA7|A0A8I3NTA7_CANLF, tr|A0A8P0TQV0|A0A8P0TQV0_CANLF, tr|A0A8I3N017|A0A8I3N017_CANLF, tr|A0A8P0TVP0|A0A8P0TVP0_CANLF, tr|A0A8P0TQ65|A0A8P0TQ65_CANLF, tr|A0A8P0TUS5|A0A8P0TUS5_CANLF, tr|A0A8I3N0G5|A0A8I3N0G5_CANLF, tr|A0A8P0PGR0|A0A8P0PGR0_CANLF, tr|A0A8P0PH58|A0A8P0PH58_CANLF, tr|A0A8P0PMG2|A0A8P0PMG2_CANLF, tr|A0A8I3S2B8|A0A8I3S2B8_CANLF, tr|A0A8P0TUC9|A0A8P0TUC9_CANLF, tr|A0A8I3P5Z5|A0A8I3P5Z5_CANLF, tr|A0A8P0PRX9|A0A8P0PRX9_CANLF, tr|A0A8P0PH91|A0A8P0PH91_CANLF, tr|A0A8P0PAI5|A0A8P0PAI5_CANLF, tr|A0A8P0T6C5|A0A8P0T6C5_CANLF, tr|A0A8P0PKH8|A0A8P0PKH8_CANLF, tr|A0A8I3MQ55|A0A8I3MQ55_CANLF, tr|A0A8P0PGB4|A0A8P0PGB4_CANLF, tr|A0A8I3PZP4|A0A8I3PZP4_CANLF, tr|A0A8P0TRF4|A0A8P0TRF4_CANLF, tr|A0A8P0PQ63|A0A8P0PQ63_CANLF, tr|A0A8I3NW83|A0A8I3NW83_CANLF, tr|A0A8P0PFZ5|A0A8P0PFZ5_CANLF, tr|A0A8I3PH32|A0A8I3PH32_CANLF, tr|A0A8I3NEX8|A0A8I3NEX8_CANLF, tr|A0A8P0TUA6|A0A8P0TUA6_CANLF, tr|A0A8P0PFD5|A0A8P0PFD5_CANLF, tr|A0A8I3PZI4|A0A8I3PZI4_CANLF, tr|A0A8I3PX57|A0A8I3PX57_CANLF, tr|A0A8I3PS90|A0A8I3PS90_CANLF, tr|A0A8P0PS32|A0A8P0PS32_CANLF
OG0000004	sp|O14556|G3PT_HUMAN	tr|A0A8I3QBL2|A0A8I3QBL2_CANLF, tr|A0A8I3MEA4|A0A8I3MEA4_CANLF, tr|A0A8I3S9R2|A0A8I3S9R2_CANLF, tr|A0A8P0PJX6|A0A8P0PJX6_CANLF, tr|A0A8I3ME71|A0A8I3ME71_CANLF, tr|A0A8I3NSX3|A0A8I3NSX3_CANLF, tr|A0A8P0TDC3|A0A8P0TDC3_CANLF, tr|A0A8I3S0H7|A0A8I3S0H7_CANLF, tr|A0A8P0SXR7|A0A8P0SXR7_CANLF, tr|A0A8P0SQM8|A0A8P0SQM8_CANLF, tr|A0A8I3P8C1|A0A8I3P8C1_CANLF, tr|A0A8I3RTT0|A0A8I3RTT0_CANLF, tr|A0A8I3P8S6|A0A8I3P8S6_CANLF, tr|A0A8I3P2H8|A0A8I3P2H8_CANLF, tr|A0A8I3P771|A0A8I3P771_CANLF, tr|A0A8P0PG11|A0A8P0PG11_CANLF
OG0000004	sp|P04406|G3P_HUMAN	tr|A0A8I3Q5N9|A0A8I3Q5N9_CANLF, sp|Q28259|G3P_CANLF, tr|A0A8I3N362|A0A8I3N362_CANLF, tr|A0A8I3NF31|A0A8I3NF31_CANLF, tr|A0A8I3Q6B9|A0A8I3Q6B9_CANLF, tr|A0A8I3Q407|A0A8I3Q407_CANLF, tr|A0A8I3NPU2|A0A8I3NPU2_CANLF, tr|A0A8I3N6A4|A0A8I3N6A4_CANLF, tr|A0A8I3QPR4|A0A8I3QPR4_CANLF, tr|A0A8I3P3Q2|A0A8I3P3Q2_CANLF, tr|A0A8I3P4M1|A0A8I3P4M1_CANLF, tr|A0A8I3PS87|A0A8I3PS87_CANLF, tr|A0A8P0NQS9|A0A8P0NQS9_CANLF, tr|A0A8I3N5H2|A0A8I3N5H2_CANLF, tr|A0A8I3NW58|A0A8I3NW58_CANLF, tr|A0A8I3P2U1|A0A8I3P2U1_CANLF, tr|A0A8P0TE20|A0A8P0TE20_CANLF, tr|A0A8I3P6L0|A0A8I3P6L0_CANLF, tr|A0A8P0TUM8|A0A8P0TUM8_CANLF, tr|A0A8I3QDX6|A0A8I3QDX6_CANLF, tr|A0A8I3MN01|A0A8I3MN01_CANLF, tr|A0A8P0NS54|A0A8P0NS54_CANLF, tr|A0A8I3NQC7|A0A8I3NQC7_CANLF, tr|A0A8P0TEE0|A0A8P0TEE0_CANLF, tr|A0A8P0SUU8|A0A8P0SUU8_CANLF, tr|A0A8I3PZE8|A0A8I3PZE8_CANLF, tr|A0A8I3S6N5|A0A8I3S6N5_CANLF, tr|A0A8P0P9A6|A0A8P0P9A6_CANLF, tr|A0A8I3NBV4|A0A8I3NBV4_CANLF
OG0000007	sp|O75947|ATP5H_HUMAN	tr|A0A8I3NZZ6|A0A8I3NZZ6_CANLF, tr|E2RHH8|E2RHH8_CANLF, tr|A0A8I3NMI0|A0A8I3NMI0_CANLF, tr|A0A8P0NNB6|A0A8P0NNB6_CANLF, tr|A0A8I3PC93|A0A8I3PC93_CANLF, tr|A0A8P0SRA0|A0A8P0SRA0_CANLF, tr|A0A8I3RZC5|A0A8I3RZC5_CANLF, tr|A0A8P0NSU8|A0A8P0NSU8_CANLF, tr|A0A8I3RYY3|A0A8I3RYY3_CANLF, tr|A0A8I3MHE4|A0A8I3MHE4_CANLF, tr|A0A8P0SGF6|A0A8P0SGF6_CANLF, tr|A0A8I3N318|A0A8I3N318_CANLF, tr|A0A8I3NUP2|A0A8I3NUP2_CANLF, tr|A0A8I3RUV0|A0A8I3RUV0_CANLF, tr|A0A8P0SVS6|A0A8P0SVS6_CANLF, tr|A0A8I3N496|A0A8I3N496_CANLF, tr|A0A8I3PFP3|A0A8I3PFP3_CANLF, tr|A0A8P0NQP8|A0A8P0NQP8_CANLF, tr|A0A8I3RTP7|A0A8I3RTP7_CANLF, tr|A0A8P0NNX5|A0A8P0NNX5_CANLF, tr|A0A8I3P1G0|A0A8I3P1G0_CANLF, tr|A0A8P0TN32|A0A8P0TN32_CANLF, tr|A0A8I3Q3L5|A0A8I3Q3L5_CANLF, tr|A0A8I3QA49|A0A8I3QA49_CANLF, tr|A0A8I3N5P6|A0A8I3N5P6_CANLF, tr|A0A8I3RXW2|A0A8I3RXW2_CANLF, tr|A0A8I3RZX0|A0A8I3RZX0_CANLF, tr|A0A8I3PYV1|A0A8I3PYV1_CANLF, tr|A0A8I3P7K9|A0A8I3P7K9_CANLF, tr|A0A8P0TLS9|A0A8P0TLS9_CANLF, tr|A0A8P0N8K4|A0A8P0N8K4_CANLF, tr|A0A8I3P208|A0A8I3P208_CANLF, tr|A0A8I3Q3T4|A0A8I3Q3T4_CANLF
OG0000008	sp|O15480|MAGB3_HUMAN	tr|A0A8P0T658|A0A8P0T658_CANLF, tr|A0A8I3NTD5|A0A8I3NTD5_CANLF
OG0000008	sp|A2A368|MAGBG_HUMAN	tr|A0A8I3PI12|A0A8I3PI12_CANLF
OG0000008	sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN	tr|A0A8I3Q8K4|A0A8I3Q8K4_CANLF
OG0000008	sp|Q96M61|MAGBI_HUMAN, sp|Q96LZ2|MAGBA_HUMAN	sp|Q9TTY4|MAGBA_CANLF
