Orthogroup	Homo_sapiens	Cervus_elaphus_hippelaphus
OG0000000	sp|Q86XU0|ZN677_HUMAN	tr|A0A212DBM6|A0A212DBM6_CEREH, tr|A0A212DCW3|A0A212DCW3_CEREH
OG0000000	sp|Q96PQ6|ZN317_HUMAN	tr|A0A212D1A6|A0A212D1A6_CEREH
OG0000000	sp|Q13360|ZN177_HUMAN	tr|A0A212D114|A0A212D114_CEREH, tr|A0A212D092|A0A212D092_CEREH
OG0000000	sp|Q9NZV7|ZIM2_HUMAN	tr|A0A212D0J0|A0A212D0J0_CEREH, tr|A0A212D109|A0A212D109_CEREH, tr|A0A212DDL5|A0A212DDL5_CEREH
OG0000000	sp|Q8NEP9|ZN555_HUMAN	tr|A0A212D1N0|A0A212D1N0_CEREH
OG0000000	sp|Q32M78|ZN699_HUMAN	tr|A0A212D2S9|A0A212D2S9_CEREH
OG0000000	sp|Q15973|ZN124_HUMAN	tr|A0A212D2U8|A0A212D2U8_CEREH, tr|A0A212D2C7|A0A212D2C7_CEREH, tr|A0A212D0Z0|A0A212D0Z0_CEREH, tr|A0A212D2A8|A0A212D2A8_CEREH
OG0000000	sp|P17098|ZNF8_HUMAN	tr|A0A212DCT9|A0A212DCT9_CEREH, tr|A0A212DDM0|A0A212DDM0_CEREH, tr|A0A212DCN6|A0A212DCN6_CEREH, tr|A0A212DDD4|A0A212DDD4_CEREH, tr|A0A212C305|A0A212C305_CEREH, tr|A0A212C333|A0A212C333_CEREH, tr|A0A212C3Z5|A0A212C3Z5_CEREH, tr|A0A212DE00|A0A212DE00_CEREH
OG0000000	sp|P17031|ZNF26_HUMAN	tr|A0A212D8M4|A0A212D8M4_CEREH
OG0000000	sp|Q14587|ZN268_HUMAN	tr|A0A212D9I3|A0A212D9I3_CEREH
OG0000000	sp|Q9GZX5|ZN350_HUMAN	tr|A0A212DC56|A0A212DC56_CEREH
OG0000000	sp|Q8N883|ZN614_HUMAN	tr|A0A212DDP6|A0A212DDP6_CEREH
OG0000000	sp|Q8TF47|ZFP90_HUMAN	tr|A0A212DBY4|A0A212DBY4_CEREH
OG0000000	sp|P21506|ZNF10_HUMAN	tr|A0A212D6N5|A0A212D6N5_CEREH
OG0000000	sp|Q99676|ZN184_HUMAN	tr|A0A212D5K0|A0A212D5K0_CEREH
OG0000000	sp|Q96K75|ZN514_HUMAN	tr|A0A212CXB5|A0A212CXB5_CEREH
OG0000000	sp|Q5MCW4|ZN569_HUMAN	tr|A0A212DCP5|A0A212DCP5_CEREH
OG0000000	sp|Q3ZCX4|ZN568_HUMAN	tr|A0A212DBF5|A0A212DBF5_CEREH
OG0000000	sp|Q96RE9|ZN300_HUMAN	tr|A0A212D1F5|A0A212D1F5_CEREH
OG0000000	sp|P51814|ZNF41_HUMAN	tr|A0A212C0Q7|A0A212C0Q7_CEREH, tr|A0A212BZY5|A0A212BZY5_CEREH
OG0000000	sp|P17032|ZN37A_HUMAN	tr|A0A212CP67|A0A212CP67_CEREH, tr|A0A212D4H4|A0A212D4H4_CEREH, tr|A0A212CNY6|A0A212CNY6_CEREH, tr|A0A212CPX5|A0A212CPX5_CEREH
OG0000000	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN	tr|A0A212DDU8|A0A212DDU8_CEREH
OG0000000	sp|Q9NYW8|RBAK_HUMAN	tr|A0A212CYN9|A0A212CYN9_CEREH
OG0000000	sp|Q5JNZ3|ZN311_HUMAN	tr|A0A212D4W1|A0A212D4W1_CEREH
OG0000000	sp|P17036|ZNF3_HUMAN	tr|A0A212D002|A0A212D002_CEREH, tr|A0A212CZW7|A0A212CZW7_CEREH
OG0000000	sp|P17027|ZNF23_HUMAN	tr|A0A212C8Y1|A0A212C8Y1_CEREH, tr|A0A212DCF8|A0A212DCF8_CEREH
OG0000000	sp|O60765|Z354A_HUMAN	tr|A0A212D0Z8|A0A212D0Z8_CEREH
OG0000000	sp|Q86Y25|Z354C_HUMAN	tr|A0A212D134|A0A212D134_CEREH
OG0000000	sp|Q14929|ZN169_HUMAN	tr|A0A212DBR1|A0A212DBR1_CEREH, tr|A0A212CM67|A0A212CM67_CEREH
OG0000000	sp|Q8IZ26|ZNF34_HUMAN	tr|A0A212CEN7|A0A212CEN7_CEREH
OG0000000	sp|P15622|ZN250_HUMAN	tr|A0A212D0U6|A0A212D0U6_CEREH
OG0000000	sp|A6NFI3|ZN316_HUMAN	tr|A0A212CEP3|A0A212CEP3_CEREH, tr|A0A212CZI8|A0A212CZI8_CEREH
OG0000000	sp|A6NM28|ZFP92_HUMAN	tr|A0A212BZ72|A0A212BZ72_CEREH
OG0000000	sp|Q8IVP9|ZN547_HUMAN	tr|A0A212DD11|A0A212DD11_CEREH, tr|A0A212DDE8|A0A212DDE8_CEREH, tr|A0A212DBT0|A0A212DBT0_CEREH
OG0000000	sp|Q13106|ZN154_HUMAN	tr|A0A212DEB4|A0A212DEB4_CEREH
OG0000000	sp|Q8IVC4|ZN584_HUMAN	tr|A0A212DDM3|A0A212DDM3_CEREH, tr|A0A212DDI0|A0A212DDI0_CEREH, tr|A0A212DBC5|A0A212DBC5_CEREH
OG0000000	sp|Q8N141|ZFP82_HUMAN	tr|A0A212DE75|A0A212DE75_CEREH
OG0000000	sp|Q969W8|ZN566_HUMAN	tr|A0A212DCE5|A0A212DCE5_CEREH
OG0000000	sp|Q3KNS6|ZN829_HUMAN	tr|A0A212DBG3|A0A212DBG3_CEREH
OG0000000	sp|Q8NA42|ZN383_HUMAN	tr|A0A212DCY8|A0A212DCY8_CEREH
OG0000000	sp|P52738|ZN140_HUMAN	tr|A0A212D933|A0A212D933_CEREH
OG0000000	sp|Q96ND8|ZN583_HUMAN	tr|A0A212DC18|A0A212DC18_CEREH, tr|A0A212DEH8|A0A212DEH8_CEREH
OG0000000	sp|Q8TAF7|ZN461_HUMAN	tr|A0A212DC59|A0A212DC59_CEREH, tr|A0A212DDC1|A0A212DDC1_CEREH
OG0000000	sp|Q5HYK9|ZN667_HUMAN	tr|A0A212DBJ0|A0A212DBJ0_CEREH, tr|A0A212DC09|A0A212DC09_CEREH
OG0000000	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A212DBX3|A0A212DBX3_CEREH, tr|A0A212DCD9|A0A212DCD9_CEREH, tr|A0A212DDW4|A0A212DDW4_CEREH
