Orthogroup	Mus_musculus	Phyllostomus_discolor
OG0000004	tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18524|HVM53_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01804|HVM35_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, sp|P01795|HVM26_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01789|HVM20_MOUSE, sp|P84751|HVM63_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE	tr|A0A7E6D1Q6|A0A7E6D1Q6_9CHIR
OG0000006	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A6J2MAM7|A0A6J2MAM7_9CHIR, tr|A0A7E6EGB1|A0A7E6EGB1_9CHIR, tr|A0A6J2M8L2|A0A6J2M8L2_9CHIR, tr|A0A7E6E9B1|A0A7E6E9B1_9CHIR, tr|A0A7E6EB94|A0A7E6EB94_9CHIR, tr|A0A7E6EAM5|A0A7E6EAM5_9CHIR, tr|A0A6J2MGE9|A0A6J2MGE9_9CHIR, tr|A0A6J2MAQ6|A0A6J2MAQ6_9CHIR, tr|A0A7E6EAF0|A0A7E6EAF0_9CHIR, tr|A0A7E6EH57|A0A7E6EH57_9CHIR, tr|A0A7E6EFK4|A0A7E6EFK4_9CHIR, tr|A0A7E6EBM7|A0A7E6EBM7_9CHIR, tr|A0A6J2MCW0|A0A6J2MCW0_9CHIR, tr|A0A6J2MAQ3|A0A6J2MAQ3_9CHIR, tr|A0A6J2MCX9|A0A6J2MCX9_9CHIR, tr|A0A6J2MFU3|A0A6J2MFU3_9CHIR, tr|A0A6J2MGG6|A0A6J2MGG6_9CHIR, tr|A0A6J2MCV4|A0A6J2MCV4_9CHIR, tr|A0A6J2MAR1|A0A6J2MAR1_9CHIR, tr|A0A6J2MCW7|A0A6J2MCW7_9CHIR, tr|A0A6J2MFV0|A0A6J2MFV0_9CHIR, tr|A0A7E6E963|A0A7E6E963_9CHIR, tr|A0A6J2MCP5|A0A6J2MCP5_9CHIR, tr|A0A6J2M7U5|A0A6J2M7U5_9CHIR, tr|A0A7E6EA75|A0A7E6EA75_9CHIR, tr|A0A6J2MEG4|A0A6J2MEG4_9CHIR, tr|A0A7E6EAS8|A0A7E6EAS8_9CHIR, tr|A0A6J2MEK2|A0A6J2MEK2_9CHIR, tr|A0A6J2MBJ4|A0A6J2MBJ4_9CHIR, tr|A0A6J2MBT8|A0A6J2MBT8_9CHIR, tr|A0A6J2MA45|A0A6J2MA45_9CHIR, tr|A0A6J2MBU6|A0A6J2MBU6_9CHIR, tr|A0A7E6EB73|A0A7E6EB73_9CHIR, tr|A0A6J2MF10|A0A6J2MF10_9CHIR, tr|A0A6J2MC44|A0A6J2MC44_9CHIR, tr|A0A6J2MDZ1|A0A6J2MDZ1_9CHIR, tr|A0A6J2MBS1|A0A6J2MBS1_9CHIR, tr|A0A6J2MCT8|A0A6J2MCT8_9CHIR, tr|A0A6J2MG81|A0A6J2MG81_9CHIR, tr|A0A6J2MGA3|A0A6J2MGA3_9CHIR, tr|A0A6J2MD17|A0A6J2MD17_9CHIR, tr|A0A7E6EFL7|A0A7E6EFL7_9CHIR, tr|A0A6J2MDB9|A0A6J2MDB9_9CHIR, tr|A0A7E6EDP7|A0A7E6EDP7_9CHIR, tr|A0A6J2MAV2|A0A6J2MAV2_9CHIR, tr|A0A6J2NAE3|A0A6J2NAE3_9CHIR, tr|A0A6J2MAA2|A0A6J2MAA2_9CHIR, tr|A0A6J2MG87|A0A6J2MG87_9CHIR, tr|A0A6J2MCS9|A0A6J2MCS9_9CHIR, tr|A0A6J2MCQ6|A0A6J2MCQ6_9CHIR, tr|A0A6J2MAK4|A0A6J2MAK4_9CHIR, tr|A0A6J2MFN9|A0A6J2MFN9_9CHIR, tr|A0A6J2MAL0|A0A6J2MAL0_9CHIR, tr|A0A6J2MFP4|A0A6J2MFP4_9CHIR, tr|A0A6J2MCQ1|A0A6J2MCQ1_9CHIR, tr|A0A6J2MCT4|A0A6J2MCT4_9CHIR
OG0000008	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE	tr|A0A6J2NFD4|A0A6J2NFD4_9CHIR
OG0000008	tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A7E6CXF7|A0A7E6CXF7_9CHIR
OG0000014	tr|Q9EQA9|Q9EQA9_MOUSE, tr|L7N210|L7N210_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|K7N678|K7N678_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE	tr|A0A6J2MXL5|A0A6J2MXL5_9CHIR
OG0000020	tr|Q7TRM6|Q7TRM6_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE	tr|A0A7E6E755|A0A7E6E755_9CHIR
OG0000024	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A6J2N8Q5|A0A6J2N8Q5_9CHIR
OG0000024	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A6J2N905|A0A6J2N905_9CHIR, tr|A0A6J2N942|A0A6J2N942_9CHIR, tr|A0A6J2NF58|A0A6J2NF58_9CHIR
OG0000024	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A6J2L921|A0A6J2L921_9CHIR, tr|A0A6J2MTQ4|A0A6J2MTQ4_9CHIR, tr|A0A6J2MYN2|A0A6J2MYN2_9CHIR, tr|A0A6J2MZ47|A0A6J2MZ47_9CHIR, tr|A0A6J2MSJ1|A0A6J2MSJ1_9CHIR, tr|A0A6J2ND62|A0A6J2ND62_9CHIR, tr|A0A6J2NE73|A0A6J2NE73_9CHIR, tr|A0A6J2NEU3|A0A6J2NEU3_9CHIR, tr|A0A6J2NCI7|A0A6J2NCI7_9CHIR, tr|A0A6J2N7Z2|A0A6J2N7Z2_9CHIR, tr|A0A6J2N7N7|A0A6J2N7N7_9CHIR, tr|A0A6J2N7G2|A0A6J2N7G2_9CHIR, tr|A0A6J2N9C8|A0A6J2N9C8_9CHIR, tr|A0A6J2N7D3|A0A6J2N7D3_9CHIR, tr|A0A6J2N7Y9|A0A6J2N7Y9_9CHIR, tr|A0A6J2NEV4|A0A6J2NEV4_9CHIR, tr|A0A6J2N9A4|A0A6J2N9A4_9CHIR, tr|A0A6J2N7B6|A0A6J2N7B6_9CHIR, tr|A0A6J2N921|A0A6J2N921_9CHIR
OG0000029	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A7E6CS22|A0A7E6CS22_9CHIR
