Orthogroup	Mus_musculus	Myotis_lucifugus
OG0000005	tr|Q7TQU8|Q7TQU8_MOUSE	tr|G1Q5T4|G1Q5T4_MYOLU, tr|G1PCQ5|G1PCQ5_MYOLU, tr|G1QA42|G1QA42_MYOLU, tr|G1QE36|G1QE36_MYOLU, tr|G1QC81|G1QC81_MYOLU, tr|G1PIV7|G1PIV7_MYOLU, tr|G1QAU0|G1QAU0_MYOLU, tr|G1QBF8|G1QBF8_MYOLU, tr|G1Q6A2|G1Q6A2_MYOLU, tr|G1QEG1|G1QEG1_MYOLU, tr|G1Q231|G1Q231_MYOLU, tr|G1Q8C0|G1Q8C0_MYOLU, tr|G1QFJ1|G1QFJ1_MYOLU, tr|G1Q7R7|G1Q7R7_MYOLU, tr|G1Q2P8|G1Q2P8_MYOLU, tr|G1Q753|G1Q753_MYOLU, tr|G1Q1E7|G1Q1E7_MYOLU, tr|G1Q2H5|G1Q2H5_MYOLU, tr|G1QEH0|G1QEH0_MYOLU, tr|G1Q7E6|G1Q7E6_MYOLU, tr|G1Q491|G1Q491_MYOLU, tr|G1QG27|G1QG27_MYOLU, tr|G1Q502|G1Q502_MYOLU, tr|G1Q6P1|G1Q6P1_MYOLU, tr|G1QFD7|G1QFD7_MYOLU, tr|G1QCX3|G1QCX3_MYOLU, tr|G1PY22|G1PY22_MYOLU, tr|G1Q607|G1Q607_MYOLU, tr|L7N1G6|L7N1G6_MYOLU, tr|G1Q3A9|G1Q3A9_MYOLU, tr|G1Q562|G1Q562_MYOLU, tr|G1QAD5|G1QAD5_MYOLU, tr|G1Q3Q0|G1Q3Q0_MYOLU, tr|G1QF15|G1QF15_MYOLU, tr|G1QBG4|G1QBG4_MYOLU, tr|G1Q7P1|G1Q7P1_MYOLU, tr|G1Q252|G1Q252_MYOLU, tr|G1Q466|G1Q466_MYOLU, tr|G1Q6C1|G1Q6C1_MYOLU, tr|L7N174|L7N174_MYOLU, tr|G1Q5Z8|G1Q5Z8_MYOLU, tr|G1PZG1|G1PZG1_MYOLU, tr|G1QDN0|G1QDN0_MYOLU, tr|G1Q0F2|G1Q0F2_MYOLU, tr|G1Q9X7|G1Q9X7_MYOLU, tr|G1PZ36|G1PZ36_MYOLU, tr|G1Q5Z7|G1Q5Z7_MYOLU, tr|G1QAX7|G1QAX7_MYOLU, tr|G1QD41|G1QD41_MYOLU, tr|G1QE39|G1QE39_MYOLU, tr|G1PYF8|G1PYF8_MYOLU, tr|G1Q1P9|G1Q1P9_MYOLU, tr|G1Q7B7|G1Q7B7_MYOLU, tr|G1Q4E8|G1Q4E8_MYOLU, tr|G1PY94|G1PY94_MYOLU, tr|G1Q1Z9|G1Q1Z9_MYOLU, tr|G1Q0H0|G1Q0H0_MYOLU, tr|G1PZR0|G1PZR0_MYOLU, tr|G1QDC6|G1QDC6_MYOLU, tr|G1Q3C4|G1Q3C4_MYOLU, tr|G1QCA6|G1QCA6_MYOLU, tr|G1PYK7|G1PYK7_MYOLU, tr|G1Q8N1|G1Q8N1_MYOLU
OG0000007	tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE	tr|G1P5U7|G1P5U7_MYOLU
OG0000007	tr|Q8VFH0|Q8VFH0_MOUSE	tr|G1PCE7|G1PCE7_MYOLU
OG0000007	tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE	tr|G1QB10|G1QB10_MYOLU
OG0000013	sp|Q60882|OL145_MOUSE	tr|G1QAV3|G1QAV3_MYOLU
OG0000013	tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|K7N678|K7N678_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, sp|P34985|OL143_MOUSE, tr|L7N210|L7N210_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE	tr|G1NSY1|G1NSY1_MYOLU
OG0000016	sp|B2RXC5|ZN382_MOUSE	tr|G1PRG4|G1PRG4_MYOLU, tr|G1NU24|G1NU24_MYOLU
OG0000016	sp|A2A761|ZFP69_MOUSE	tr|G1Q3J4|G1Q3J4_MYOLU
OG0000016	sp|Q8BGV5|ZNF8_MOUSE	tr|G1NZA9|G1NZA9_MYOLU, tr|G1PQ71|G1PQ71_MYOLU
OG0000016	sp|Q61967|ZFP90_MOUSE	tr|L7N1M7|L7N1M7_MYOLU, tr|G1PKB5|G1PKB5_MYOLU, tr|G1P093|G1P093_MYOLU, tr|G1PQI7|G1PQI7_MYOLU, tr|G1PD56|G1PD56_MYOLU, tr|G1PT73|G1PT73_MYOLU, tr|G1PD43|G1PD43_MYOLU, tr|G1P618|G1P618_MYOLU, tr|L7N142|L7N142_MYOLU, tr|G1PV76|G1PV76_MYOLU, tr|G1P1U2|G1P1U2_MYOLU
