Orthogroup	Homo_sapiens	Myotis_myotis
OG0000001	sp|Q9UN81|LORF1_HUMAN	tr|A0A7J7ZXG9|A0A7J7ZXG9_MYOMY, tr|A0A7J7ZY96|A0A7J7ZY96_MYOMY, tr|A0A7J7TTQ9|A0A7J7TTQ9_MYOMY, tr|A0A7J7VI68|A0A7J7VI68_MYOMY, tr|A0A7J8AL89|A0A7J8AL89_MYOMY, tr|A0A7J7XHR8|A0A7J7XHR8_MYOMY, tr|A0A7J7SR84|A0A7J7SR84_MYOMY, tr|A0A7J8AN45|A0A7J8AN45_MYOMY, tr|A0A7J7Z5L1|A0A7J7Z5L1_MYOMY, tr|A0A7J7TTS3|A0A7J7TTS3_MYOMY, tr|A0A7J7VYW8|A0A7J7VYW8_MYOMY, tr|A0A7J7WHY5|A0A7J7WHY5_MYOMY, tr|A0A7J7RG06|A0A7J7RG06_MYOMY, tr|A0A7J7Z4N3|A0A7J7Z4N3_MYOMY, tr|A0A7J7Z518|A0A7J7Z518_MYOMY, tr|A0A7J7Z6M6|A0A7J7Z6M6_MYOMY, tr|A0A7J7Z4T5|A0A7J7Z4T5_MYOMY, tr|A0A7J7Z4Q0|A0A7J7Z4Q0_MYOMY, tr|A0A7J7U5L8|A0A7J7U5L8_MYOMY, tr|A0A7J8AMN5|A0A7J8AMN5_MYOMY, tr|A0A7J7TTT0|A0A7J7TTT0_MYOMY, tr|A0A7J7ZXE6|A0A7J7ZXE6_MYOMY, tr|A0A7J7SC70|A0A7J7SC70_MYOMY, tr|A0A7J7ZZI4|A0A7J7ZZI4_MYOMY, tr|A0A7J8AM28|A0A7J8AM28_MYOMY, tr|A0A7J7ZYH7|A0A7J7ZYH7_MYOMY, tr|A0A7J7UQ18|A0A7J7UQ18_MYOMY, tr|A0A7J7VYY2|A0A7J7VYY2_MYOMY, tr|A0A7J7XII9|A0A7J7XII9_MYOMY, tr|A0A7J7UPF7|A0A7J7UPF7_MYOMY, tr|A0A7J7YEU0|A0A7J7YEU0_MYOMY, tr|A0A7J7TJ13|A0A7J7TJ13_MYOMY, tr|A0A7J7Z568|A0A7J7Z568_MYOMY, tr|A0A7J7ZX06|A0A7J7ZX06_MYOMY, tr|A0A7J7YE65|A0A7J7YE65_MYOMY, tr|A0A7J7WIE7|A0A7J7WIE7_MYOMY, tr|A0A7J7Z4I2|A0A7J7Z4I2_MYOMY, tr|A0A7J7R1A3|A0A7J7R1A3_MYOMY, tr|A0A7J8ALX3|A0A7J8ALX3_MYOMY, tr|A0A7J7Z4D8|A0A7J7Z4D8_MYOMY, tr|A0A7J7YER0|A0A7J7YER0_MYOMY, tr|A0A7J7YE16|A0A7J7YE16_MYOMY, tr|A0A7J7ZY01|A0A7J7ZY01_MYOMY, tr|A0A7J7YEG6|A0A7J7YEG6_MYOMY, tr|A0A7J7Z562|A0A7J7Z562_MYOMY, tr|A0A7J7Z4K2|A0A7J7Z4K2_MYOMY, tr|A0A7J7YE18|A0A7J7YE18_MYOMY, tr|A0A7J7XZP8|A0A7J7XZP8_MYOMY, tr|A0A7J7ZYM8|A0A7J7ZYM8_MYOMY, tr|A0A7J7XIU6|A0A7J7XIU6_MYOMY, tr|A0A7J7U553|A0A7J7U553_MYOMY, tr|A0A7J8ALJ0|A0A7J8ALJ0_MYOMY, tr|A0A7J7WI32|A0A7J7WI32_MYOMY, tr|A0A7J8AMN9|A0A7J8AMN9_MYOMY, tr|A0A7J7Z4Q1|A0A7J7Z4Q1_MYOMY, tr|A0A7J8AMX3|A0A7J8AMX3_MYOMY, tr|A0A7J8AM38|A0A7J8AM38_MYOMY, tr|A0A7J7Z675|A0A7J7Z675_MYOMY, tr|A0A7J8AM11|A0A7J8AM11_MYOMY, tr|A0A7J7WW79|A0A7J7WW79_MYOMY, tr|A0A7J7YDK9|A0A7J7YDK9_MYOMY, tr|A0A7J7ZXZ4|A0A7J7ZXZ4_MYOMY, tr|A0A7J7Z4R2|A0A7J7Z4R2_MYOMY, tr|A0A7J7YDI3|A0A7J7YDI3_MYOMY, tr|A0A7J7QZR3|A0A7J7QZR3_MYOMY, tr|A0A7J7WWD3|A0A7J7WWD3_MYOMY, tr|A0A7J7YDY7|A0A7J7YDY7_MYOMY, tr|A0A7J7YEE8|A0A7J7YEE8_MYOMY, tr|A0A7J8AMN1|A0A7J8AMN1_MYOMY, tr|A0A7J7Y029|A0A7J7Y029_MYOMY, tr|A0A7J7WHK5|A0A7J7WHK5_MYOMY, tr|A0A7J7XHB1|A0A7J7XHB1_MYOMY, tr|A0A7J7SR27|A0A7J7SR27_MYOMY, tr|A0A7J7WHW3|A0A7J7WHW3_MYOMY, tr|A0A7J8AN46|A0A7J8AN46_MYOMY, tr|A0A7J7TTU5|A0A7J7TTU5_MYOMY, tr|A0A7J7XHX4|A0A7J7XHX4_MYOMY, tr|A0A7J7UPT9|A0A7J7UPT9_MYOMY, tr|A0A7J7YEJ8|A0A7J7YEJ8_MYOMY, tr|A0A7J7SBR2|A0A7J7SBR2_MYOMY, tr|A0A7J7Z695|A0A7J7Z695_MYOMY, tr|A0A7J7V3V4|A0A7J7V3V4_MYOMY, tr|A0A7J7Z4C9|A0A7J7Z4C9_MYOMY, tr|A0A7J7QUI9|A0A7J7QUI9_MYOMY, tr|A0A7J7WVM7|A0A7J7WVM7_MYOMY, tr|A0A7J7Z575|A0A7J7Z575_MYOMY, tr|A0A7J7Z643|A0A7J7Z643_MYOMY, tr|A0A7J7VIF9|A0A7J7VIF9_MYOMY, tr|A0A7J7Y071|A0A7J7Y071_MYOMY, tr|A0A7J7ZXG2|A0A7J7ZXG2_MYOMY, tr|A0A7J7TIC8|A0A7J7TIC8_MYOMY, tr|A0A7J7ZXU1|A0A7J7ZXU1_MYOMY, tr|A0A7J7VYR3|A0A7J7VYR3_MYOMY, tr|A0A7J8ALM1|A0A7J8ALM1_MYOMY, tr|A0A7J7Z4N0|A0A7J7Z4N0_MYOMY, tr|A0A7J7XH91|A0A7J7XH91_MYOMY, tr|A0A7J7WHT2|A0A7J7WHT2_MYOMY, tr|A0A7J7ZXS5|A0A7J7ZXS5_MYOMY, tr|A0A7J7WHI9|A0A7J7WHI9_MYOMY, tr|A0A7J7Z506|A0A7J7Z506_MYOMY, tr|A0A7J7V3S3|A0A7J7V3S3_MYOMY, tr|A0A7J7UPP6|A0A7J7UPP6_MYOMY, tr|A0A7J7TTS7|A0A7J7TTS7_MYOMY, tr|A0A7J7Z454|A0A7J7Z454_MYOMY, tr|A0A7J7S1S9|A0A7J7S1S9_MYOMY, tr|A0A7J7ZY75|A0A7J7ZY75_MYOMY, tr|A0A7J7Z472|A0A7J7Z472_MYOMY
OG0000005	sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P01602|KV105_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P06312|KV401_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN	tr|A0A7J7ZXX0|A0A7J7ZXX0_MYOMY
OG0000006	sp|Q8NH93|OR1L3_HUMAN	tr|A0A7J7UQG9|A0A7J7UQG9_MYOMY
OG0000006	sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P34982|OR1D2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O60431|OR1I1_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O14581|OR7AH_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NGR8|OR1L8_HUMAN	tr|A0A7J7UQB9|A0A7J7UQB9_MYOMY
OG0000007	sp|Q9NP64|ZCC17_HUMAN	tr|A0A7J8A3I3|A0A7J8A3I3_MYOMY, tr|A0A7J7RSL4|A0A7J7RSL4_MYOMY, tr|A0A7J7QTP8|A0A7J7QTP8_MYOMY, tr|A0A7J7ZY91|A0A7J7ZY91_MYOMY, tr|A0A7J7RVE6|A0A7J7RVE6_MYOMY, tr|A0A7J7Y0N0|A0A7J7Y0N0_MYOMY, tr|A0A7J7U5D9|A0A7J7U5D9_MYOMY, tr|A0A7J8AHQ0|A0A7J8AHQ0_MYOMY, tr|A0A7J7U5E5|A0A7J7U5E5_MYOMY, tr|A0A7J7ZXH6|A0A7J7ZXH6_MYOMY, tr|A0A7J7Z5B5|A0A7J7Z5B5_MYOMY, tr|A0A7J7Y001|A0A7J7Y001_MYOMY, tr|A0A7J7Y019|A0A7J7Y019_MYOMY, tr|A0A7J7WHS6|A0A7J7WHS6_MYOMY, tr|A0A7J7XH85|A0A7J7XH85_MYOMY, tr|A0A7J7SC58|A0A7J7SC58_MYOMY, tr|A0A7J7XH19|A0A7J7XH19_MYOMY, tr|A0A7J7QT55|A0A7J7QT55_MYOMY, tr|A0A7J8AMZ3|A0A7J8AMZ3_MYOMY, tr|A0A7J7RUS5|A0A7J7RUS5_MYOMY, tr|A0A7J7SCD3|A0A7J7SCD3_MYOMY, tr|A0A7J7XI15|A0A7J7XI15_MYOMY, tr|A0A7J7RUQ3|A0A7J7RUQ3_MYOMY, tr|A0A7J7SCG9|A0A7J7SCG9_MYOMY, tr|A0A7J7ZYE8|A0A7J7ZYE8_MYOMY, tr|A0A7J7VYZ4|A0A7J7VYZ4_MYOMY, tr|A0A7J7TII5|A0A7J7TII5_MYOMY, tr|A0A7J7TIB7|A0A7J7TIB7_MYOMY, tr|A0A7J7R7F8|A0A7J7R7F8_MYOMY, tr|A0A7J7QVI6|A0A7J7QVI6_MYOMY, tr|A0A7J7XHE1|A0A7J7XHE1_MYOMY, tr|A0A7J7ZYT2|A0A7J7ZYT2_MYOMY, tr|A0A7J7TTT1|A0A7J7TTT1_MYOMY, tr|A0A7J7XHY3|A0A7J7XHY3_MYOMY, tr|A0A7J7SC99|A0A7J7SC99_MYOMY, tr|A0A7J7U5C7|A0A7J7U5C7_MYOMY, tr|A0A7J7WW63|A0A7J7WW63_MYOMY, tr|A0A7J7XH18|A0A7J7XH18_MYOMY
OG0000008	sp|Q9Y5I4|PCDC2_HUMAN, sp|Q9Y5H6|PCDA8_HUMAN, sp|Q9Y5I1|PCDAB_HUMAN, sp|Q9UN75|PCDAC_HUMAN, sp|Q9Y5I2|PCDAA_HUMAN, sp|Q9Y5H8|PCDA3_HUMAN, sp|Q9Y5H5|PCDA9_HUMAN, sp|Q9UN72|PCDA7_HUMAN, sp|Q9UN74|PCDA4_HUMAN, sp|Q9Y5I3|PCDA1_HUMAN, sp|Q9Y5H9|PCDA2_HUMAN, sp|Q9Y5H7|PCDA5_HUMAN, sp|Q9Y5I0|PCDAD_HUMAN, sp|Q9UN73|PCDA6_HUMAN, sp|Q9H158|PCDC1_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN	tr|A0A7J7XHT8|A0A7J7XHT8_MYOMY
OG0000010	tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN	tr|A0A7J7QSA5|A0A7J7QSA5_MYOMY
OG0000012	sp|Q9H606|PRORY_HUMAN	tr|A0A7J7SCL6|A0A7J7SCL6_MYOMY
OG0000012	sp|O00370|LORF2_HUMAN	tr|A0A7J7ZX09|A0A7J7ZX09_MYOMY, tr|A0A7J7WW87|A0A7J7WW87_MYOMY, tr|A0A7J8AMR7|A0A7J8AMR7_MYOMY, tr|A0A7J7ZYH6|A0A7J7ZYH6_MYOMY, tr|A0A7J7Y079|A0A7J7Y079_MYOMY, tr|A0A7J7VZ97|A0A7J7VZ97_MYOMY, tr|A0A7J7XHX9|A0A7J7XHX9_MYOMY, tr|A0A7J7ZY43|A0A7J7ZY43_MYOMY, tr|A0A7J7TIG8|A0A7J7TIG8_MYOMY, tr|A0A7J7YED2|A0A7J7YED2_MYOMY, tr|A0A7J7ZXJ0|A0A7J7ZXJ0_MYOMY, tr|A0A7J7ZXI5|A0A7J7ZXI5_MYOMY, tr|A0A7J7YE79|A0A7J7YE79_MYOMY, tr|A0A7J7WI20|A0A7J7WI20_MYOMY, tr|A0A7J7YDU1|A0A7J7YDU1_MYOMY, tr|A0A7J7SSA5|A0A7J7SSA5_MYOMY, tr|A0A7J7Z509|A0A7J7Z509_MYOMY, tr|A0A7J7SC71|A0A7J7SC71_MYOMY, tr|A0A7J7QS92|A0A7J7QS92_MYOMY, tr|A0A7J7YDV3|A0A7J7YDV3_MYOMY, tr|A0A7J8ALW1|A0A7J8ALW1_MYOMY, tr|A0A7J7YDR5|A0A7J7YDR5_MYOMY, tr|A0A7J7YDJ9|A0A7J7YDJ9_MYOMY, tr|A0A7J7YE12|A0A7J7YE12_MYOMY, tr|A0A7J7R069|A0A7J7R069_MYOMY, tr|A0A7J7Z5E5|A0A7J7Z5E5_MYOMY, tr|A0A7J7YE38|A0A7J7YE38_MYOMY, tr|A0A7J7Y022|A0A7J7Y022_MYOMY, tr|A0A7J7ZYQ9|A0A7J7ZYQ9_MYOMY, tr|A0A7J7RSN8|A0A7J7RSN8_MYOMY, tr|A0A7J7YE21|A0A7J7YE21_MYOMY
OG0000013	sp|Q8N9K5|ZN565_HUMAN	tr|A0A7J7SE04|A0A7J7SE04_MYOMY
