Orthogroup	Homo_sapiens	Pteropus_alecto
OG0000000	sp|Q8NGR9|OR1N2_HUMAN	tr|L5K5J9|L5K5J9_PTEAL
OG0000000	sp|Q8NGS3|OR1J1_HUMAN	tr|L5K775|L5K775_PTEAL
OG0000000	sp|Q8NGS1|OR1J4_HUMAN	tr|L5K4I6|L5K4I6_PTEAL
OG0000000	sp|Q8NGS2|OR1J2_HUMAN	tr|L5K511|L5K511_PTEAL
OG0000000	sp|P47890|OR1G1_HUMAN	tr|L5JRK7|L5JRK7_PTEAL
OG0000000	sp|Q8NH06|OR1P1_HUMAN	tr|L5JYV8|L5JYV8_PTEAL
OG0000000	sp|Q8NGS0|OR1N1_HUMAN	tr|L5K802|L5K802_PTEAL
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|L5KCM9|L5KCM9_PTEAL
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|L5KD05|L5KD05_PTEAL, tr|L5KF70|L5KF70_PTEAL
OG0000002	sp|Q8NGK0|O51G2_HUMAN	tr|L5KFA1|L5KFA1_PTEAL
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|L5KD34|L5KD34_PTEAL
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|L5KF99|L5KF99_PTEAL, tr|L5KDP3|L5KDP3_PTEAL
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|L5L7P3|L5L7P3_PTEAL, tr|L5L7F1|L5L7F1_PTEAL, tr|L5L9A7|L5L9A7_PTEAL
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|L5L9A2|L5L9A2_PTEAL
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|L5L890|L5L890_PTEAL
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|L5L7E1|L5L7E1_PTEAL, tr|L5L8P1|L5L8P1_PTEAL, tr|L5L886|L5L886_PTEAL, tr|L5L998|L5L998_PTEAL, tr|L5L7N7|L5L7N7_PTEAL
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|L5KDL2|L5KDL2_PTEAL
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|L5KD01|L5KD01_PTEAL, tr|L5KF65|L5KF65_PTEAL, tr|L5KG03|L5KG03_PTEAL
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|L5KCL4|L5KCL4_PTEAL, tr|L5KG08|L5KG08_PTEAL, tr|L5KD16|L5KD16_PTEAL, tr|L5KDL6|L5KDL6_PTEAL
OG0000002	sp|Q8TCB6|O51E1_HUMAN	tr|L5KF85|L5KF85_PTEAL, tr|L5L7D6|L5L7D6_PTEAL
OG0000002	sp|Q9H341|O51M1_HUMAN	tr|L5KCL9|L5KCL9_PTEAL, tr|L5KD08|L5KD08_PTEAL
OG0000003	sp|Q96RB7|OR5MB_HUMAN	tr|L5L6Y5|L5L6Y5_PTEAL
OG0000003	sp|Q8NGP4|OR5M3_HUMAN	tr|L5K7X6|L5K7X6_PTEAL
OG0000003	sp|Q8NGP3|OR5M9_HUMAN	tr|L5KAE8|L5KAE8_PTEAL
OG0000003	sp|Q8NGP6|OR5M8_HUMAN	tr|L5K7I0|L5K7I0_PTEAL, tr|L5K9N0|L5K9N0_PTEAL
OG0000003	sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN	tr|L5L266|L5L266_PTEAL
OG0000003	sp|Q96R09|OR5B2_HUMAN	tr|L5L202|L5L202_PTEAL
OG0000003	sp|Q8NGF7|OR5BH_HUMAN	tr|L5L2A1|L5L2A1_PTEAL
OG0000003	sp|Q8NH48|OR5B3_HUMAN	tr|L5L3Y9|L5L3Y9_PTEAL
OG0000003	sp|Q96R08|OR5BC_HUMAN	tr|L5K572|L5K572_PTEAL
OG0000003	sp|A6NL26|OR5BL_HUMAN	tr|L5L1V3|L5L1V3_PTEAL
OG0000004	sp|Q8NH55|O52E5_HUMAN	tr|L5KF24|L5KF24_PTEAL
OG0000004	sp|Q8NH60|O52J3_HUMAN	tr|L5KD29|L5KD29_PTEAL
OG0000004	sp|Q8NGF0|O52B6_HUMAN	tr|L5KCZ3|L5KCZ3_PTEAL
OG0000004	sp|P0C646|O52Z1_HUMAN	tr|L5KD20|L5KD20_PTEAL, tr|L5JRH4|L5JRH4_PTEAL, tr|L5KG15|L5KG15_PTEAL
OG0000004	sp|Q8NGK2|O52B4_HUMAN	tr|L5L3B1|L5L3B1_PTEAL
OG0000004	sp|Q96RD2|O52B2_HUMAN	tr|L5KDE9|L5KDE9_PTEAL, tr|L5KFT7|L5KFT7_PTEAL
OG0000004	sp|Q8NGJ2|O52H1_HUMAN	tr|L5KCY6|L5KCY6_PTEAL, tr|L5KF56|L5KF56_PTEAL, tr|L5KDK4|L5KDK4_PTEAL, tr|L5KFZ2|L5KFZ2_PTEAL
OG0000004	sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN	tr|L5L2P6|L5L2P6_PTEAL, tr|L5KCP2|L5KCP2_PTEAL, tr|L5KG27|L5KG27_PTEAL, tr|L5KF81|L5KF81_PTEAL, tr|L5KD23|L5KD23_PTEAL, tr|L5KDM7|L5KDM7_PTEAL, tr|L5KD27|L5KD27_PTEAL, tr|L5KDJ3|L5KDJ3_PTEAL, tr|L5KFY4|L5KFY4_PTEAL, tr|L5KCU5|L5KCU5_PTEAL, tr|L5KF94|L5KF94_PTEAL, tr|L5KDN5|L5KDN5_PTEAL, tr|L5L7E5|L5L7E5_PTEAL, tr|L5L2P1|L5L2P1_PTEAL
