Orthogroup	Mus_musculus	Mesocricetus_auratus
OG0000000	tr|Q8R2B8|Q8R2B8_MOUSE, tr|K7N731|K7N731_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|L7N226|L7N226_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|L7N227|L7N227_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|L7N293|L7N293_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|L7N270|L7N270_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|K9J7G9|K9J7G9_MOUSE	tr|A0A1U7QQW7|A0A1U7QQW7_MESAU
OG0000010	tr|B1B1D3|B1B1D3_MOUSE	tr|A0A1U8CTN2|A0A1U8CTN2_MESAU
OG0000010	tr|E9PWT2|E9PWT2_MOUSE	tr|A0A3Q0CFL4|A0A3Q0CFL4_MESAU, tr|A0A3Q0CEL6|A0A3Q0CEL6_MESAU, tr|A0A1U8CRE4|A0A1U8CRE4_MESAU, tr|A0A1U8CZR3|A0A1U8CZR3_MESAU, tr|A0A3Q0CAH7|A0A3Q0CAH7_MESAU, tr|A0A3Q0CEB7|A0A3Q0CEB7_MESAU, tr|A0A3Q0CFE7|A0A3Q0CFE7_MESAU, tr|A0A3Q0CF23|A0A3Q0CF23_MESAU, tr|A0A1U8CSD7|A0A1U8CSD7_MESAU, tr|A0A3Q0CEC3|A0A3Q0CEC3_MESAU, tr|A0A3Q0CF26|A0A3Q0CF26_MESAU, tr|A0A1U8CZR8|A0A1U8CZR8_MESAU, tr|A0A1U8CMB5|A0A1U8CMB5_MESAU, tr|A0A1U8CZ19|A0A1U8CZ19_MESAU, tr|A0A3Q0CEK3|A0A3Q0CEK3_MESAU, tr|A0A3Q0CF16|A0A3Q0CF16_MESAU, tr|A0A1U8CBS2|A0A1U8CBS2_MESAU, tr|A0A1U8CSX7|A0A1U8CSX7_MESAU, tr|A0A3Q0CEL9|A0A3Q0CEL9_MESAU, tr|A0A1U8CRD8|A0A1U8CRD8_MESAU, tr|A0A1U8CZ09|A0A1U8CZ09_MESAU, tr|A0A1U8D0J3|A0A1U8D0J3_MESAU, tr|A0A3Q0CDV9|A0A3Q0CDV9_MESAU, tr|A0A3Q0CEM3|A0A3Q0CEM3_MESAU, tr|A0A1U8CNI9|A0A1U8CNI9_MESAU, tr|A0A3Q0CEW5|A0A3Q0CEW5_MESAU, tr|A0A3Q0CA65|A0A3Q0CA65_MESAU, tr|A0A3Q0CEW0|A0A3Q0CEW0_MESAU, tr|A0A3Q0CFW4|A0A3Q0CFW4_MESAU, tr|A0A1U8CRE9|A0A1U8CRE9_MESAU, tr|A0A3Q0CA51|A0A3Q0CA51_MESAU, tr|A0A3Q0CA91|A0A3Q0CA91_MESAU, tr|A0A3Q0CFV9|A0A3Q0CFV9_MESAU, tr|A0A3Q0CE12|A0A3Q0CE12_MESAU, tr|A0A1U8D0N9|A0A1U8D0N9_MESAU, tr|A0A3Q0CEK7|A0A3Q0CEK7_MESAU, tr|A0A1U8CZ29|A0A1U8CZ29_MESAU, tr|A0A1U7QV67|A0A1U7QV67_MESAU, tr|A0A3Q0CDV2|A0A3Q0CDV2_MESAU
OG0000011	tr|A0A0G2JFX6|A0A0G2JFX6_MOUSE, tr|A0A075B604|A0A075B604_MOUSE, tr|Q5R1H9|Q5R1H9_MOUSE, tr|A0A075B6C1|A0A075B6C1_MOUSE, tr|A0A075B620|A0A075B620_MOUSE, tr|A0A0G2JEV5|A0A0G2JEV5_MOUSE, tr|Q5R1I3|Q5R1I3_MOUSE, sp|P01739|TVA2_MOUSE, tr|Q5R1I1|Q5R1I1_MOUSE, tr|A0A075B6D1|A0A075B6D1_MOUSE, tr|A0A0B4J1N1|A0A0B4J1N1_MOUSE, tr|A0A075B636|A0A075B636_MOUSE, tr|A0A0B4J1N7|A0A0B4J1N7_MOUSE, tr|A0A075B612|A0A075B612_MOUSE, tr|A0A075B6A1|A0A075B6A1_MOUSE, tr|A0A0G2JF94|A0A0G2JF94_MOUSE, tr|A0A075B619|A0A075B619_MOUSE, tr|A0A075B607|A0A075B607_MOUSE, tr|A0A0B4J1K4|A0A0B4J1K4_MOUSE, tr|A0A075B6D8|A0A075B6D8_MOUSE, tr|A0A075B614|A0A075B614_MOUSE, tr|A0A075B654|A0A075B654_MOUSE, tr|Q5R1I8|Q5R1I8_MOUSE, tr|A0A075B652|A0A075B652_MOUSE, tr|Q5R1F6|Q5R1F6_MOUSE, tr|A0A075B642|A0A075B642_MOUSE, tr|A0A075B622|A0A075B622_MOUSE, tr|A0A075B5Z7|A0A075B5Z7_MOUSE, tr|A0A0B4J1J9|A0A0B4J1J9_MOUSE, tr|A0A0G2JG17|A0A0G2JG17_MOUSE, tr|A0A087WRX6|A0A087WRX6_MOUSE, tr|A0A075B661|A0A075B661_MOUSE, tr|Q5R1A4|Q5R1A4_MOUSE, tr|A0A075B658|A0A075B658_MOUSE, tr|A0A0G2JGQ7|A0A0G2JGQ7_MOUSE, tr|A0A075B650|A0A075B650_MOUSE, tr|A0A075B646|A0A075B646_MOUSE, tr|A0A075B608|A0A075B608_MOUSE, tr|A0A075B617|A0A075B617_MOUSE, tr|A0A075B634|A0A075B634_MOUSE, tr|A0A075B653|A0A075B653_MOUSE	tr|A0A3Q0DFW1|A0A3Q0DFW1_MESAU
OG0000018	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A1U8CRK1|A0A1U8CRK1_MESAU
OG0000018	tr|Q8VGU6|Q8VGU6_MOUSE	tr|A0A1U7R8M4|A0A1U7R8M4_MESAU
OG0000018	tr|Q8VGU7|Q8VGU7_MOUSE	tr|A0A1U7QXZ1|A0A1U7QXZ1_MESAU
OG0000018	tr|Q8VGU8|Q8VGU8_MOUSE	tr|A0A1U7RB19|A0A1U7RB19_MESAU, tr|A0A1U7R0Y4|A0A1U7R0Y4_MESAU
OG0000019	tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE	tr|A0A3Q0CM29|A0A3Q0CM29_MESAU
OG0000021	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A1U7QKD3|A0A1U7QKD3_MESAU
