Orthogroup	Mus_musculus	Nomascus_leucogenys
OG0000002	sp|Q60879|OLF3_MOUSE	tr|G1SBF5|G1SBF5_NOMLE
OG0000002	tr|B1ARL3|B1ARL3_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE	tr|A0A2I3GC94|A0A2I3GC94_NOMLE
OG0000002	tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE	tr|G1QZ74|G1QZ74_NOMLE
OG0000004	tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE	tr|G1SC00|G1SC00_NOMLE
OG0000004	tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE	tr|G1SBZ8|G1SBZ8_NOMLE
OG0000005	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2I3HNU2|A0A2I3HNU2_NOMLE
OG0000005	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2I3G1L8|A0A2I3G1L8_NOMLE
OG0000005	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2I3FUE7|A0A2I3FUE7_NOMLE
OG0000005	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2I3HJL4|A0A2I3HJL4_NOMLE
OG0000005	sp|Q80W31|ZN569_MOUSE	tr|G1RIZ7|G1RIZ7_NOMLE, tr|G1S539|G1S539_NOMLE, tr|G1S562|G1S562_NOMLE, tr|A0A2I3HLF3|A0A2I3HLF3_NOMLE
OG0000005	sp|Q6P560|ZN182_MOUSE	tr|A0A2I3HRJ9|A0A2I3HRJ9_NOMLE, tr|G1RHK4|G1RHK4_NOMLE, tr|G1QSX3|G1QSX3_NOMLE, tr|G1R1W7|G1R1W7_NOMLE, tr|G1QTD4|G1QTD4_NOMLE, tr|A0A2I3GDA3|A0A2I3GDA3_NOMLE, tr|A0A2I3HAS2|A0A2I3HAS2_NOMLE, tr|G1QR91|G1QR91_NOMLE, tr|G1QTE0|G1QTE0_NOMLE
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|M3Z979|M3Z979_NOMLE, tr|G1R1Z0|G1R1Z0_NOMLE, tr|G1R203|G1R203_NOMLE, tr|A0A2I3HRZ8|A0A2I3HRZ8_NOMLE, tr|A0A2I3HPS9|A0A2I3HPS9_NOMLE, tr|G1R200|G1R200_NOMLE, tr|G1R1Z4|G1R1Z4_NOMLE, tr|G1RPK4|G1RPK4_NOMLE, tr|A0A2I3G6J4|A0A2I3G6J4_NOMLE, tr|G1RPI5|G1RPI5_NOMLE, tr|A0A2I3HHF8|A0A2I3HHF8_NOMLE
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A2I3HL83|A0A2I3HL83_NOMLE, tr|A0A2I3H1W2|A0A2I3H1W2_NOMLE, tr|G1S4L8|G1S4L8_NOMLE, tr|G1QKN3|G1QKN3_NOMLE, tr|A0A2I3H7F6|A0A2I3H7F6_NOMLE, tr|G1S4L6|G1S4L6_NOMLE, tr|G1QWG9|G1QWG9_NOMLE, tr|G1RBK5|G1RBK5_NOMLE
OG0000005	sp|B2RXC5|ZN382_MOUSE	tr|G1S574|G1S574_NOMLE, tr|G1QRZ0|G1QRZ0_NOMLE
OG0000010	tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE	tr|A0A2I3H2T5|A0A2I3H2T5_NOMLE
OG0000010	tr|Q924X8|Q924X8_MOUSE	tr|A0A2I3HJK9|A0A2I3HJK9_NOMLE
OG0000010	tr|Q8VGX6|Q8VGX6_MOUSE	tr|G1S982|G1S982_NOMLE
OG0000010	tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE	tr|G1S978|G1S978_NOMLE
OG0000010	tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE	tr|A0A2I3HZH1|A0A2I3HZH1_NOMLE
