Orthogroup	Homo_sapiens	Monodon_monoceros
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A4U1F9B0|A0A4U1F9B0_MONMO
OG0000000	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A4U1EM61|A0A4U1EM61_MONMO
OG0000000	sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN	tr|A0A4U1ENN8|A0A4U1ENN8_MONMO
OG0000000	sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8WZ94|OR5P3_HUMAN	tr|A0A4U1FAT8|A0A4U1FAT8_MONMO
OG0000000	sp|P0C626|OR5G3_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|Q8NGX8|OR6Y1_HUMAN, sp|O95007|OR6B1_HUMAN, sp|Q8NGW1|OR6B3_HUMAN, sp|Q6IFH4|OR6B2_HUMAN, tr|A0A2R8YED5|A0A2R8YED5_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q8NGW6|OR6K6_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q8NHC6|O14L1_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|P47883|OR3A4_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47881|OR3A1_HUMAN, sp|Q8NGE7|OR9K2_HUMAN	tr|A0A4U1FS91|A0A4U1FS91_MONMO
OG0000001	sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A4V5P8A2|A0A4V5P8A2_MONMO, tr|A0A4V5P5H4|A0A4V5P5H4_MONMO
OG0000001	sp|Q8TCB6|O51E1_HUMAN	tr|A0A4U1EDZ1|A0A4U1EDZ1_MONMO
OG0000001	sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A4U1ECS0|A0A4U1ECS0_MONMO
OG0000001	sp|Q9H342|O51J1_HUMAN, sp|Q8NGI1|O56B2_HUMAN, sp|Q8NGI3|O56B1_HUMAN, sp|Q8NH76|O56B4_HUMAN, sp|P0C7T3|O56A5_HUMAN, sp|Q8NGH8|O56A4_HUMAN, sp|Q8NGH5|O56A1_HUMAN, sp|Q8NH54|O56A3_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK5|O52M1_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGK2|O52B4_HUMAN	tr|A0A4U1EK64|A0A4U1EK64_MONMO
OG0000003	sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN	tr|A0A4U1EIQ2|A0A4U1EIQ2_MONMO
