Orthogroup	Mus_musculus	Neovison_vison
OG0000002	tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, sp|P01753|HVM09_MOUSE, sp|P01754|HVM10_MOUSE, sp|P06328|HVM49_MOUSE, sp|P01749|HVM05_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, sp|P03980|HVM48_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, sp|P01748|HVM04_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, sp|P01746|HVM02_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, sp|P01757|HVM13_MOUSE, sp|P06330|HVM51_MOUSE, sp|P06329|HVM50_MOUSE, sp|P01745|HVM01_MOUSE, sp|P01747|HVM03_MOUSE, sp|P01756|HVM12_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A075B5T8|A0A075B5T8_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A075B5W7|A0A075B5W7_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE	tr|A0A8C7AG87|A0A8C7AG87_NEOVI
OG0000003	tr|L7MTS5|L7MTS5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|B1AUV7|B1AUV7_MOUSE	tr|A0A8C7C4R4|A0A8C7C4R4_NEOVI
OG0000003	tr|Q3UX49|Q3UX49_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|A2A8N0|A2A8N0_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|E9Q5G7|OOG1_MOUSE, tr|A2A958|A2A958_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|L7MU96|L7MU96_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, sp|Q99MW3|PRAL1_MOUSE, tr|B1ARV6|B1ARV6_MOUSE, tr|Q9D2F1|Q9D2F1_MOUSE	tr|A0A8C7ETW9|A0A8C7ETW9_NEOVI
OG0000013	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8C7BK04|A0A8C7BK04_NEOVI
OG0000013	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A8C7EMS3|A0A8C7EMS3_NEOVI
OG0000013	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A8C7ADF7|A0A8C7ADF7_NEOVI, tr|A0A8C7AQW6|A0A8C7AQW6_NEOVI
OG0000013	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C7ADE7|A0A8C7ADE7_NEOVI, tr|A0A8C7AMT9|A0A8C7AMT9_NEOVI
OG0000013	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8C7AGV8|A0A8C7AGV8_NEOVI
OG0000013	tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE	tr|A0A8C7A823|A0A8C7A823_NEOVI, tr|A0A8C7AF76|A0A8C7AF76_NEOVI, tr|A0A8C7AN95|A0A8C7AN95_NEOVI, tr|A0A8C7AMR5|A0A8C7AMR5_NEOVI, tr|A0A8C7A8I5|A0A8C7A8I5_NEOVI, tr|A0A8C7A8J3|A0A8C7A8J3_NEOVI
OG0000014	sp|B2RXC5|ZN382_MOUSE	tr|A0A8C7BFM6|A0A8C7BFM6_NEOVI
