Orthogroup	Homo_sapiens	Camelus_ferus 
OG0000000	sp|Q8NGM1|OR4CF_HUMAN	tr|S9XJQ6|S9XJQ6_CAMFR
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|S9WMQ0|S9WMQ0_CAMFR
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|S9XYZ2|S9XYZ2_CAMFR
OG0000000	sp|Q96R67|OR4CC_HUMAN	tr|S9WL94|S9WL94_CAMFR, tr|S9X3K6|S9X3K6_CAMFR, tr|S9WMQ4|S9WMQ4_CAMFR, tr|S9XPB2|S9XPB2_CAMFR
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|S9WEM1|S9WEM1_CAMFR, tr|S9WL90|S9WL90_CAMFR
OG0000000	sp|Q8NGF9|OR4X2_HUMAN	tr|S9XPA7|S9XPA7_CAMFR, tr|S9WL86|S9WL86_CAMFR
OG0000000	sp|Q8NH49|OR4X1_HUMAN	tr|S9WMP6|S9WMP6_CAMFR
OG0000000	sp|Q8NGL7|OR4P4_HUMAN	tr|S9YCL9|S9YCL9_CAMFR, tr|S9XGG0|S9XGG0_CAMFR, tr|S9X3L2|S9X3L2_CAMFR, tr|S9YMG6|S9YMG6_CAMFR, tr|S9XC33|S9XC33_CAMFR, tr|S9X9Y8|S9X9Y8_CAMFR, tr|S9X3K1|S9X3K1_CAMFR
OG0000000	sp|Q8NH72|OR4C6_HUMAN	tr|S9XUR9|S9XUR9_CAMFR, tr|S9XDP8|S9XDP8_CAMFR, tr|S9W374|S9W374_CAMFR
OG0000002	sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S5|KV127_HUMAN	tr|S9YCZ2|S9YCZ2_CAMFR
OG0000002	sp|P06312|KV401_HUMAN	tr|S9WUC8|S9WUC8_CAMFR
OG0000002	sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN	tr|S9X3E8|S9X3E8_CAMFR
