Orthogroup	Homo_sapiens	Molossus_molossus
OG0000000	sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A7J8ESP6|A0A7J8ESP6_MOLMO
OG0000000	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A7J8K023|A0A7J8K023_MOLMO
OG0000000	sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN	tr|A0A7J8BYZ9|A0A7J8BYZ9_MOLMO
OG0000000	sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN	tr|A0A7J8ET04|A0A7J8ET04_MOLMO
OG0000000	sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN	tr|A0A7J8ET60|A0A7J8ET60_MOLMO
OG0000000	sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN	tr|A0A7J8ERB2|A0A7J8ERB2_MOLMO
OG0000000	tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL3|OR5DE_HUMAN	tr|A0A7J8ESZ1|A0A7J8ESZ1_MOLMO
OG0000002	sp|O00370|LORF2_HUMAN	tr|A0A7J8J7U0|A0A7J8J7U0_MOLMO
OG0000002	sp|Q9H606|PRORY_HUMAN	tr|A0A7J8JXB5|A0A7J8JXB5_MOLMO, tr|A0A7J8HCE4|A0A7J8HCE4_MOLMO, tr|A0A7J8ERB0|A0A7J8ERB0_MOLMO, tr|A0A7J8B6Y3|A0A7J8B6Y3_MOLMO, tr|A0A7J8E2N2|A0A7J8E2N2_MOLMO, tr|A0A7J8DTN6|A0A7J8DTN6_MOLMO, tr|A0A7J8JXB3|A0A7J8JXB3_MOLMO, tr|A0A7J8HDQ4|A0A7J8HDQ4_MOLMO, tr|A0A7J8DQF6|A0A7J8DQF6_MOLMO, tr|A0A7J8E2P1|A0A7J8E2P1_MOLMO, tr|A0A7J8HI92|A0A7J8HI92_MOLMO, tr|A0A7J8CZ23|A0A7J8CZ23_MOLMO, tr|A0A7J8HD00|A0A7J8HD00_MOLMO, tr|A0A7J8FRV7|A0A7J8FRV7_MOLMO, tr|A0A7J8J6G6|A0A7J8J6G6_MOLMO, tr|A0A7J8HHP8|A0A7J8HHP8_MOLMO, tr|A0A7J8ERN2|A0A7J8ERN2_MOLMO, tr|A0A7J8HCQ6|A0A7J8HCQ6_MOLMO, tr|A0A7J8J7V6|A0A7J8J7V6_MOLMO, tr|A0A7J8I9B0|A0A7J8I9B0_MOLMO, tr|A0A7J8GQV9|A0A7J8GQV9_MOLMO, tr|A0A7J8I1C6|A0A7J8I1C6_MOLMO, tr|A0A7J8JWY7|A0A7J8JWY7_MOLMO, tr|A0A7J8J047|A0A7J8J047_MOLMO, tr|A0A7J8HHT2|A0A7J8HHT2_MOLMO, tr|A0A7J8DPR8|A0A7J8DPR8_MOLMO, tr|A0A7J8E387|A0A7J8E387_MOLMO, tr|A0A7J8JVR8|A0A7J8JVR8_MOLMO, tr|A0A7J8GKX8|A0A7J8GKX8_MOLMO, tr|A0A7J8JVF6|A0A7J8JVF6_MOLMO, tr|A0A7J8HIG3|A0A7J8HIG3_MOLMO, tr|A0A7J8HBR3|A0A7J8HBR3_MOLMO, tr|A0A7J8BYB4|A0A7J8BYB4_MOLMO, tr|A0A7J8HHL8|A0A7J8HHL8_MOLMO, tr|A0A7J8FAL7|A0A7J8FAL7_MOLMO, tr|A0A7J8JX15|A0A7J8JX15_MOLMO, tr|A0A7J8FYY9|A0A7J8FYY9_MOLMO, tr|A0A7J8IZ07|A0A7J8IZ07_MOLMO, tr|A0A7J8HH56|A0A7J8HH56_MOLMO, tr|A0A7J8GL48|A0A7J8GL48_MOLMO, tr|A0A7J8J6A6|A0A7J8J6A6_MOLMO, tr|A0A7J8DU08|A0A7J8DU08_MOLMO, tr|A0A7J8GRU7|A0A7J8GRU7_MOLMO, tr|A0A7J8FSB5|A0A7J8FSB5_MOLMO, tr|A0A7J8I077|A0A7J8I077_MOLMO, tr|A0A7J8ER43|A0A7J8ER43_MOLMO, tr|A0A7J8GL77|A0A7J8GL77_MOLMO, tr|A0A7J8ESE9|A0A7J8ESE9_MOLMO, tr|A0A7J8J6I3|A0A7J8J6I3_MOLMO, tr|A0A7J8F932|A0A7J8F932_MOLMO, tr|A0A7J8HDR3|A0A7J8HDR3_MOLMO, tr|A0A7J8GQC6|A0A7J8GQC6_MOLMO, tr|A0A7J8HCJ0|A0A7J8HCJ0_MOLMO, tr|A0A7J8JX69|A0A7J8JX69_MOLMO, tr|A0A7J8C918|A0A7J8C918_MOLMO, tr|A0A7J8J6G2|A0A7J8J6G2_MOLMO, tr|A0A7J8JW02|A0A7J8JW02_MOLMO, tr|A0A7J8J026|A0A7J8J026_MOLMO, tr|A0A7J8J680|A0A7J8J680_MOLMO, tr|A0A7J8I131|A0A7J8I131_MOLMO, tr|A0A7J8I113|A0A7J8I113_MOLMO, tr|A0A7J8JVV3|A0A7J8JVV3_MOLMO, tr|A0A7J8GKL8|A0A7J8GKL8_MOLMO, tr|A0A7J8HH87|A0A7J8HH87_MOLMO, tr|A0A7J8ES93|A0A7J8ES93_MOLMO, tr|A0A7J8HHT1|A0A7J8HHT1_MOLMO, tr|A0A7J8IZ11|A0A7J8IZ11_MOLMO, tr|A0A7J8JVL1|A0A7J8JVL1_MOLMO, tr|A0A7J8J087|A0A7J8J087_MOLMO
OG0000003	sp|Q9UN81|LORF1_HUMAN	tr|A0A7J8I0W3|A0A7J8I0W3_MOLMO, tr|A0A7J8HH22|A0A7J8HH22_MOLMO, tr|A0A7J8EEG9|A0A7J8EEG9_MOLMO, tr|A0A7J8HCG7|A0A7J8HCG7_MOLMO, tr|A0A7J8HCB1|A0A7J8HCB1_MOLMO, tr|A0A7J8HHV6|A0A7J8HHV6_MOLMO, tr|A0A7J8J6L5|A0A7J8J6L5_MOLMO, tr|A0A7J8GPV9|A0A7J8GPV9_MOLMO, tr|A0A7J8I8Q7|A0A7J8I8Q7_MOLMO, tr|A0A7J8BMV4|A0A7J8BMV4_MOLMO, tr|A0A7J8F9C2|A0A7J8F9C2_MOLMO, tr|A0A7J8JVR9|A0A7J8JVR9_MOLMO, tr|A0A7J8HC29|A0A7J8HC29_MOLMO, tr|A0A7J8JWV2|A0A7J8JWV2_MOLMO, tr|A0A7J8ERK4|A0A7J8ERK4_MOLMO, tr|A0A7J8HZU6|A0A7J8HZU6_MOLMO, tr|A0A7J8HJ05|A0A7J8HJ05_MOLMO, tr|A0A7J8CRT4|A0A7J8CRT4_MOLMO, tr|A0A7J8ERS2|A0A7J8ERS2_MOLMO, tr|A0A7J8GQM7|A0A7J8GQM7_MOLMO, tr|A0A7J8I8W6|A0A7J8I8W6_MOLMO, tr|A0A7J8JVN1|A0A7J8JVN1_MOLMO, tr|A0A7J8J6P1|A0A7J8J6P1_MOLMO, tr|A0A7J8JWP0|A0A7J8JWP0_MOLMO, tr|A0A7J8CRU7|A0A7J8CRU7_MOLMO, tr|A0A7J8JY61|A0A7J8JY61_MOLMO, tr|A0A7J8JWB3|A0A7J8JWB3_MOLMO
