Orthogroup	Homo_sapiens	Gorilla_gorilla_gorilla
OG0000002	sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN	tr|G3S1K9|G3S1K9_GORGO
OG0000002	sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01764|HV323_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN	tr|G3RRX6|G3RRX6_GORGO
OG0000003	sp|Q8NH37|OR4C3_HUMAN	tr|G3R389|G3R389_GORGO
OG0000003	sp|Q8NH72|OR4C6_HUMAN	tr|G3R1H3|G3R1H3_GORGO
OG0000003	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A2I2YTE9|A0A2I2YTE9_GORGO
OG0000003	sp|Q8NGB4|OR4S1_HUMAN	tr|A0A2I2ZR56|A0A2I2ZR56_GORGO
OG0000003	sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN	tr|G3RRH7|G3RRH7_GORGO
OG0000003	sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN	tr|G3RV10|G3RV10_GORGO
OG0000003	sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGL9|OR4CG_HUMAN	tr|G3R7P3|G3R7P3_GORGO
OG0000003	sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NH70|O4A16_HUMAN	tr|A0A2I2ZCE8|A0A2I2ZCE8_GORGO
