Orthogroup	Mus_musculus	Orycteropus_afer_afer
OG0000003	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A8B7AIG0|A0A8B7AIG0_ORYAF, tr|A0A8B7AIG1|A0A8B7AIG1_ORYAF, tr|A0A8B7BB59|A0A8B7BB59_ORYAF, tr|A0A8B7AZA9|A0A8B7AZA9_ORYAF, tr|A0A8B7BDA4|A0A8B7BDA4_ORYAF, tr|A0A8B7BAT2|A0A8B7BAT2_ORYAF, tr|A0A8B7AZA5|A0A8B7AZA5_ORYAF, tr|A0A8B7B0N6|A0A8B7B0N6_ORYAF, tr|A0A8B7B0D4|A0A8B7B0D4_ORYAF, tr|A0A8B7AZJ0|A0A8B7AZJ0_ORYAF, tr|A0A8B7B9I5|A0A8B7B9I5_ORYAF, tr|A0A8B7BA26|A0A8B7BA26_ORYAF, tr|A0A8B7BE57|A0A8B7BE57_ORYAF, tr|A0A8B7B9I6|A0A8B7B9I6_ORYAF, tr|A0A8B7BDF6|A0A8B7BDF6_ORYAF, tr|A0A8B7BA69|A0A8B7BA69_ORYAF, tr|A0A8B7BDN5|A0A8B7BDN5_ORYAF, tr|A0A8B7B9N2|A0A8B7B9N2_ORYAF, tr|A0A8B7BBH3|A0A8B7BBH3_ORYAF, tr|A0A8B7BBD2|A0A8B7BBD2_ORYAF, tr|A0A8B7BCF3|A0A8B7BCF3_ORYAF, tr|A0A8B7B8L8|A0A8B7B8L8_ORYAF, tr|A0A8B7BAD8|A0A8B7BAD8_ORYAF, tr|A0A8B7BA21|A0A8B7BA21_ORYAF, tr|A0A8B7B9I1|A0A8B7B9I1_ORYAF, tr|A0A8B7BCS9|A0A8B7BCS9_ORYAF, tr|A0A8B7BAB0|A0A8B7BAB0_ORYAF, tr|A0A8B7BCD4|A0A8B7BCD4_ORYAF, tr|A0A8B7BAN2|A0A8B7BAN2_ORYAF, tr|A0A8B7BDB3|A0A8B7BDB3_ORYAF, tr|A0A8B7B8Y5|A0A8B7B8Y5_ORYAF, tr|A0A8B7BB54|A0A8B7BB54_ORYAF, tr|A0A8B7BAA6|A0A8B7BAA6_ORYAF, tr|A0A8B7B9I0|A0A8B7B9I0_ORYAF, tr|A0A8B7BCK0|A0A8B7BCK0_ORYAF, tr|A0A8B7B8I0|A0A8B7B8I0_ORYAF, tr|A0A8B7B8I8|A0A8B7B8I8_ORYAF, tr|A0A8B7BB79|A0A8B7BB79_ORYAF, tr|A0A8B7BAD3|A0A8B7BAD3_ORYAF, tr|A0A8B7BAV8|A0A8B7BAV8_ORYAF, tr|A0A8B7B8L3|A0A8B7B8L3_ORYAF, tr|A0A8B7B967|A0A8B7B967_ORYAF, tr|A0A8B7BCG3|A0A8B7BCG3_ORYAF, tr|A0A8B7B8M6|A0A8B7B8M6_ORYAF, tr|A0A8B7B962|A0A8B7B962_ORYAF, tr|A0A8B7BCF8|A0A8B7BCF8_ORYAF, tr|A0A8B7BBA9|A0A8B7BBA9_ORYAF, tr|A0A8B7BEE1|A0A8B7BEE1_ORYAF, tr|A0A8B7B8J4|A0A8B7B8J4_ORYAF, tr|A0A8B7BCT0|A0A8B7BCT0_ORYAF, tr|A0A8B7BD31|A0A8B7BD31_ORYAF, tr|A0A8B7B3J4|A0A8B7B3J4_ORYAF, tr|A0A8B7B3S2|A0A8B7B3S2_ORYAF, tr|A0A8B7BD21|A0A8B7BD21_ORYAF, tr|A0A8B7BE82|A0A8B7BE82_ORYAF, tr|A0A8B7BDP8|A0A8B7BDP8_ORYAF, tr|A0A8B7AIF5|A0A8B7AIF5_ORYAF, tr|A0A8B7AIS3|A0A8B7AIS3_ORYAF, tr|A0A8B7AID4|A0A8B7AID4_ORYAF, tr|A0A8B7AI25|A0A8B7AI25_ORYAF, tr|A0A8B7BAX3|A0A8B7BAX3_ORYAF, tr|A0A8B7BCP7|A0A8B7BCP7_ORYAF, tr|A0A8B7BAV7|A0A8B7BAV7_ORYAF, tr|A0A8B7BCS6|A0A8B7BCS6_ORYAF, tr|A0A8B7BAL8|A0A8B7BAL8_ORYAF, tr|A0A8B7BA33|A0A8B7BA33_ORYAF, tr|A0A8B7AIE9|A0A8B7AIE9_ORYAF, tr|A0A8B7BBY8|A0A8B7BBY8_ORYAF, tr|A0A8B7AIF1|A0A8B7AIF1_ORYAF, tr|A0A8B7ANQ1|A0A8B7ANQ1_ORYAF, tr|A0A8B7AJV4|A0A8B7AJV4_ORYAF, tr|A0A8B7BA09|A0A8B7BA09_ORYAF, tr|A0A8B7B9N1|A0A8B7B9N1_ORYAF, tr|A0A8B7BE03|A0A8B7BE03_ORYAF
OG0000005	sp|Q61967|ZFP90_MOUSE	tr|A0A8B6ZSB3|A0A8B6ZSB3_ORYAF
OG0000005	sp|B2RXC5|ZN382_MOUSE	tr|A0A8B7B8V3|A0A8B7B8V3_ORYAF
OG0000005	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8B6ZZ56|A0A8B6ZZ56_ORYAF
OG0000005	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8B6ZZ61|A0A8B6ZZ61_ORYAF
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A8B6ZMG4|A0A8B6ZMG4_ORYAF, tr|A0A8B6ZMG3|A0A8B6ZMG3_ORYAF, tr|A0A8B6ZP19|A0A8B6ZP19_ORYAF, tr|A0A8B7B549|A0A8B7B549_ORYAF, tr|A0A8B6ZSJ6|A0A8B6ZSJ6_ORYAF, tr|A0A8B6ZQU4|A0A8B6ZQU4_ORYAF, tr|A0A8B6ZQY3|A0A8B6ZQY3_ORYAF, tr|A0A8B7B543|A0A8B7B543_ORYAF
OG0000005	sp|Q7TNU6|ZN250_MOUSE	tr|A0A8B7B4C3|A0A8B7B4C3_ORYAF, tr|A0A8B7B779|A0A8B7B779_ORYAF, tr|A0A8B7B5H3|A0A8B7B5H3_ORYAF, tr|A0A8B7B4U4|A0A8B7B4U4_ORYAF, tr|A0A8B7B3I9|A0A8B7B3I9_ORYAF, tr|A0A8B7B5G8|A0A8B7B5G8_ORYAF, tr|A0A8B7AY44|A0A8B7AY44_ORYAF, tr|A0A8B7B605|A0A8B7B605_ORYAF, tr|A0A8B7B9X1|A0A8B7B9X1_ORYAF, tr|A0A8B7BBS2|A0A8B7BBS2_ORYAF, tr|A0A8B7B2X1|A0A8B7B2X1_ORYAF, tr|A0A8B7B285|A0A8B7B285_ORYAF, tr|A0A8B7B3F3|A0A8B7B3F3_ORYAF
OG0000005	sp|Q80W31|ZN569_MOUSE	tr|A0A8B7B876|A0A8B7B876_ORYAF, tr|A0A8B7B6I1|A0A8B7B6I1_ORYAF, tr|A0A8B7B9H8|A0A8B7B9H8_ORYAF, tr|A0A8B7B738|A0A8B7B738_ORYAF, tr|A0A8B7B5H0|A0A8B7B5H0_ORYAF, tr|A0A8B7B662|A0A8B7B662_ORYAF, tr|A0A8B7B733|A0A8B7B733_ORYAF, tr|A0A8B7B667|A0A8B7B667_ORYAF, tr|A0A8B7B728|A0A8B7B728_ORYAF, tr|A0A8B7B5G3|A0A8B7B5G3_ORYAF, tr|A0A8B7B743|A0A8B7B743_ORYAF, tr|A0A8B7B5H6|A0A8B7B5H6_ORYAF, tr|A0A8B7B9G8|A0A8B7B9G8_ORYAF, tr|A0A8B7B5F6|A0A8B7B5F6_ORYAF, tr|A0A8B7B5E8|A0A8B7B5E8_ORYAF, tr|A0A8B7B5G5|A0A8B7B5G5_ORYAF, tr|A0A8B7B648|A0A8B7B648_ORYAF, tr|A0A8B7B5F5|A0A8B7B5F5_ORYAF, tr|A0A8B7B031|A0A8B7B031_ORYAF, tr|A0A8B7AZ74|A0A8B7AZ74_ORYAF, tr|A0A8B7B0E3|A0A8B7B0E3_ORYAF, tr|A0A8B7B0B8|A0A8B7B0B8_ORYAF, tr|A0A8B7BCP9|A0A8B7BCP9_ORYAF, tr|A0A8B7B9F5|A0A8B7B9F5_ORYAF, tr|A0A8B7BA62|A0A8B7BA62_ORYAF
OG0000005	sp|P17141|ZFP37_MOUSE	tr|A0A8B7A3L6|A0A8B7A3L6_ORYAF, tr|A0A8B6ZLI3|A0A8B6ZLI3_ORYAF
OG0000011	tr|Q5R1I8|Q5R1I8_MOUSE, tr|A0A075B654|A0A075B654_MOUSE, tr|A0A075B6D8|A0A075B6D8_MOUSE, tr|A0A075B614|A0A075B614_MOUSE, tr|A0A075B642|A0A075B642_MOUSE, tr|A0A075B622|A0A075B622_MOUSE, tr|A0A075B5Z7|A0A075B5Z7_MOUSE, tr|Q5R1F6|Q5R1F6_MOUSE, tr|A0A075B652|A0A075B652_MOUSE, tr|A0A087WRQ3|A0A087WRQ3_MOUSE, tr|A0A075B658|A0A075B658_MOUSE, tr|Q5R1A4|Q5R1A4_MOUSE, tr|A0A0G2JGQ7|A0A0G2JGQ7_MOUSE, tr|A0A075B650|A0A075B650_MOUSE, tr|A0A075B646|A0A075B646_MOUSE, tr|A0A075B608|A0A075B608_MOUSE, tr|A0A075B634|A0A075B634_MOUSE, tr|A0A075B653|A0A075B653_MOUSE, tr|A0A075B617|A0A075B617_MOUSE, tr|A0A075B661|A0A075B661_MOUSE, tr|A0A075B616|A0A075B616_MOUSE, tr|A0A075B633|A0A075B633_MOUSE, tr|A0A075B641|A0A075B641_MOUSE, tr|Q5R1H8|Q5R1H8_MOUSE, tr|A0A087WRX6|A0A087WRX6_MOUSE, tr|A0A0B4J1J9|A0A0B4J1J9_MOUSE, tr|A0A0G2JG17|A0A0G2JG17_MOUSE, tr|A0A075B612|A0A075B612_MOUSE, tr|A0A0B4J1N7|A0A0B4J1N7_MOUSE, tr|A0A075B619|A0A075B619_MOUSE, tr|A0A075B607|A0A075B607_MOUSE, tr|A0A0G2JF94|A0A0G2JF94_MOUSE, tr|A0A075B6A1|A0A075B6A1_MOUSE, tr|A0A075B636|A0A075B636_MOUSE, tr|A0A0B4J1K4|A0A0B4J1K4_MOUSE, tr|A0A0B4J1N1|A0A0B4J1N1_MOUSE, tr|A0A075B6D1|A0A075B6D1_MOUSE, tr|A0A0G2JFX6|A0A0G2JFX6_MOUSE, tr|A0A075B604|A0A075B604_MOUSE, tr|Q5R1I1|Q5R1I1_MOUSE, sp|P01739|TVA2_MOUSE, tr|Q5R1I3|Q5R1I3_MOUSE, tr|A0A0G2JEV5|A0A0G2JEV5_MOUSE, tr|A0A075B620|A0A075B620_MOUSE, tr|A0A075B6C1|A0A075B6C1_MOUSE, tr|Q5R1H9|Q5R1H9_MOUSE	tr|A0A8B7ANV0|A0A8B7ANV0_ORYAF
