Orthogroup	Homo_sapiens	Diceros_bicornis_minor
OG0000000	sp|Q8NEP9|ZN555_HUMAN	tr|A0A7J7EIR6|A0A7J7EIR6_DICBM
OG0000000	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A7J7EAE3|A0A7J7EAE3_DICBM
OG0000000	sp|P17032|ZN37A_HUMAN	tr|A0A7J7F2T4|A0A7J7F2T4_DICBM
OG0000000	sp|Q8N184|ZN567_HUMAN	tr|A0A7J7ERG8|A0A7J7ERG8_DICBM, tr|A0A7J7F286|A0A7J7F286_DICBM, tr|A0A7J7ERD4|A0A7J7ERD4_DICBM, tr|A0A7J7F994|A0A7J7F994_DICBM, tr|A0A7J7F889|A0A7J7F889_DICBM
OG0000000	sp|P17030|ZNF25_HUMAN	tr|A0A7J7F1U6|A0A7J7F1U6_DICBM
OG0000000	sp|Q14587|ZN268_HUMAN	tr|A0A7J7F757|A0A7J7F757_DICBM, tr|A0A7J7F750|A0A7J7F750_DICBM
OG0000000	sp|Q8N883|ZN614_HUMAN	tr|A0A7J7EMT6|A0A7J7EMT6_DICBM, tr|A0A7J7ENP3|A0A7J7ENP3_DICBM, tr|A0A7J7EN64|A0A7J7EN64_DICBM
OG0000000	sp|Q8N8J6|ZN615_HUMAN	tr|A0A7J7EMZ2|A0A7J7EMZ2_DICBM
OG0000000	sp|Q86T29|ZN605_HUMAN	tr|A0A7J7F815|A0A7J7F815_DICBM
OG0000000	sp|P51523|ZNF84_HUMAN	tr|A0A7J7F753|A0A7J7F753_DICBM, tr|A0A7J7F7J9|A0A7J7F7J9_DICBM
OG0000000	sp|Q6ZN11|ZN793_HUMAN	tr|A0A7J7F8N8|A0A7J7F8N8_DICBM
OG0000000	sp|Q3ZCX4|ZN568_HUMAN	tr|A0A7J7F8K0|A0A7J7F8K0_DICBM, tr|A0A7J7F9J8|A0A7J7F9J8_DICBM
OG0000000	sp|P17098|ZNF8_HUMAN	tr|A0A7J7FPB1|A0A7J7FPB1_DICBM
OG0000000	sp|Q8WXB4|ZN606_HUMAN	tr|A0A7J7FND1|A0A7J7FND1_DICBM
OG0000000	sp|Q8N859|ZN713_HUMAN	tr|A0A7J7EFT3|A0A7J7EFT3_DICBM
OG0000000	sp|Q9UJW8|ZN180_HUMAN, sp|P21506|ZNF10_HUMAN	tr|A0A7J7FDR3|A0A7J7FDR3_DICBM
OG0000000	sp|Q5JVG2|ZN484_HUMAN	tr|A0A7J7F245|A0A7J7F245_DICBM, tr|A0A7J7F1R8|A0A7J7F1R8_DICBM, tr|A0A7J7F8G7|A0A7J7F8G7_DICBM, tr|A0A7J7EB77|A0A7J7EB77_DICBM
OG0000000	sp|Q9Y6Q3|ZFP37_HUMAN	tr|A0A7J7FPB6|A0A7J7FPB6_DICBM, tr|A0A7J7FN71|A0A7J7FN71_DICBM, tr|A0A7J7F8Q7|A0A7J7F8Q7_DICBM, tr|A0A7J7F8G2|A0A7J7F8G2_DICBM, tr|A0A7J7EPP0|A0A7J7EPP0_DICBM
