Orthogroup	Homo_sapiens	Ailuropoda_melanoleuca
OG0000000	sp|P01780|HV307_HUMAN	tr|A0A7N5JHU6|A0A7N5JHU6_AILME
OG0000000	sp|P01762|HV311_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN	tr|A0A7N5KP54|A0A7N5KP54_AILME
OG0000000	sp|A0A0B4J1X5|HV374_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0J9YXX1|HV5X1_HUMAN, sp|A0A0C4DH38|HV551_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|P0DP01|HV108_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, sp|P01743|HV146_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|P01767|HV353_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH42|HV366_HUMAN	tr|G1LGU9|G1LGU9_AILME
OG0000003	sp|Q8NH40|OR6S1_HUMAN	tr|G1MMZ5|G1MMZ5_AILME
OG0000003	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A7N5KCZ0|A0A7N5KCZ0_AILME, tr|A0A7N5KJL7|A0A7N5KJL7_AILME, tr|G1ML01|G1ML01_AILME, tr|G1LDJ3|G1LDJ3_AILME, tr|G1MKD7|G1MKD7_AILME, tr|A0A7N5P7B2|A0A7N5P7B2_AILME, tr|A0A7N5P2C9|A0A7N5P2C9_AILME, tr|G1L575|G1L575_AILME, tr|G1MLL5|G1MLL5_AILME, tr|D2I6L9|D2I6L9_AILME, tr|A0A7N5JRE1|A0A7N5JRE1_AILME, tr|G1MLP3|G1MLP3_AILME, tr|D2I7M3|D2I7M3_AILME, tr|G1MML2|G1MML2_AILME, tr|G1MMK2|G1MMK2_AILME, tr|G1M7Q8|G1M7Q8_AILME, tr|A0A7N5PAH1|A0A7N5PAH1_AILME, tr|D2I565|D2I565_AILME, tr|A0A7N5JZK9|A0A7N5JZK9_AILME, tr|A0A7N5JNR1|A0A7N5JNR1_AILME, tr|G1MLM3|G1MLM3_AILME, tr|G1LKT2|G1LKT2_AILME, tr|A0A7N5JMI6|A0A7N5JMI6_AILME, tr|G1MLR9|G1MLR9_AILME, tr|G1M5T2|G1M5T2_AILME, tr|A0A7N5JMF8|A0A7N5JMF8_AILME, tr|A0A7N5K5P7|A0A7N5K5P7_AILME, tr|A0A7N5K4F3|A0A7N5K4F3_AILME, tr|A0A7N5K907|A0A7N5K907_AILME, tr|A0A7N5KE39|A0A7N5KE39_AILME, tr|G1MNF9|G1MNF9_AILME, tr|G1LQV6|G1LQV6_AILME, tr|A0A7N5KER6|A0A7N5KER6_AILME, tr|D2HP45|D2HP45_AILME, tr|A0A7N5PA37|A0A7N5PA37_AILME, tr|A0A7N5KJF1|A0A7N5KJF1_AILME, tr|A0A7N5KHU6|A0A7N5KHU6_AILME, tr|D2I6R7|D2I6R7_AILME
OG0000004	sp|P17039|ZNF30_HUMAN	tr|A0A7N5JJV2|A0A7N5JJV2_AILME
OG0000004	sp|Q8N7M2|ZN283_HUMAN	tr|G1LHR6|G1LHR6_AILME
OG0000004	sp|Q9BY31|ZN717_HUMAN	tr|A0A7N5K4Z2|A0A7N5K4Z2_AILME, tr|A0A7N5JK45|A0A7N5JK45_AILME, tr|A0A7N5P017|A0A7N5P017_AILME, tr|A0A7N5JC77|A0A7N5JC77_AILME, tr|G1L2F0|G1L2F0_AILME, tr|A0A7N5KPB0|A0A7N5KPB0_AILME, tr|A0A7N5KNV4|A0A7N5KNV4_AILME
OG0000004	sp|P17032|ZN37A_HUMAN	tr|A0A7N5P9K0|A0A7N5P9K0_AILME
OG0000004	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|G1LLU0|G1LLU0_AILME, tr|A0A7N5KJY6|A0A7N5KJY6_AILME
OG0000004	sp|Q9HCZ1|ZN334_HUMAN	tr|G1KZV7|G1KZV7_AILME, tr|A0A7N5KJJ9|A0A7N5KJJ9_AILME, tr|A0A7N5P825|A0A7N5P825_AILME, tr|A0A7N5JLG4|A0A7N5JLG4_AILME
OG0000004	sp|P17030|ZNF25_HUMAN	tr|G1MCN2|G1MCN2_AILME, tr|A0A7N5KNR5|A0A7N5KNR5_AILME
OG0000004	sp|Q96PE6|ZIM3_HUMAN	tr|A0A7N5JQD8|A0A7N5JQD8_AILME, tr|G1LLC5|G1LLC5_AILME
OG0000005	sp|A6NGY5|O51F1_HUMAN	tr|G1MKR5|G1MKR5_AILME
OG0000005	sp|Q9H342|O51J1_HUMAN	tr|G1ML81|G1ML81_AILME, tr|G1MLB7|G1MLB7_AILME, tr|G1MLM5|G1MLM5_AILME, tr|G1MLA7|G1MLA7_AILME
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|G1ML39|G1ML39_AILME, tr|D2HU37|D2HU37_AILME, tr|D2HU38|D2HU38_AILME
OG0000005	sp|Q8NH59|O51Q1_HUMAN	tr|A0A7N5JR32|A0A7N5JR32_AILME, tr|A0A7N5JTK6|A0A7N5JTK6_AILME, tr|A0A7N5JWR0|A0A7N5JWR0_AILME, tr|A0A7N5KCN0|A0A7N5KCN0_AILME, tr|G1MLE8|G1MLE8_AILME, tr|G1ML96|G1ML96_AILME
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|G1MMT0|G1MMT0_AILME, tr|A0A7N5P3A2|A0A7N5P3A2_AILME, tr|G1MP19|G1MP19_AILME, tr|A0A7N5KM16|A0A7N5KM16_AILME, tr|A0A7N5JJM6|A0A7N5JJM6_AILME, tr|A0A7N5KGI6|A0A7N5KGI6_AILME, tr|A0A7N5K9Q4|A0A7N5K9Q4_AILME, tr|A0A7N5KCP9|A0A7N5KCP9_AILME, tr|G1MK55|G1MK55_AILME, tr|A0A7N5KSD7|A0A7N5KSD7_AILME, tr|A0A7N5KEI7|A0A7N5KEI7_AILME
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G1MP36|G1MP36_AILME, tr|G1MKQ1|G1MKQ1_AILME, tr|A0A7N5JI50|A0A7N5JI50_AILME, tr|A0A7N5KET2|A0A7N5KET2_AILME
