Orthogroup	Mus_musculus	Monodon_monoceros
OG0000001	tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q7TR16|Q7TR16_MOUSE	tr|A0A4U1EB04|A0A4U1EB04_MONMO
OG0000002	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q7TRP7|Q7TRP7_MOUSE, tr|Q7TRU7|Q7TRU7_MOUSE, tr|A0A1B0GSI9|A0A1B0GSI9_MOUSE, tr|Q99NH4|Q99NH4_MOUSE, tr|Q8VG18|Q8VG18_MOUSE, sp|Q6W049|OL688_MOUSE, tr|Q8VGV0|Q8VGV0_MOUSE, tr|Q3SXH8|Q3SXH8_MOUSE, tr|Q8VGV1|Q8VGV1_MOUSE, tr|Q7TRN8|Q7TRN8_MOUSE, tr|A0A2I3BQ57|A0A2I3BQ57_MOUSE, tr|A0A2I3BS13|A0A2I3BS13_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|E9Q546|E9Q546_MOUSE, tr|Q7TRS6|Q7TRS6_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|E9Q545|E9Q545_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q8VG79|Q8VG79_MOUSE	tr|A0A4U1EK64|A0A4U1EK64_MONMO
OG0000003	tr|E9Q8V7|E9Q8V7_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|K7N731|K7N731_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|L7N226|L7N226_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|K7N726|K7N726_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|L7N293|L7N293_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|L7N273|L7N273_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|L7N227|L7N227_MOUSE, tr|L7N270|L7N270_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE	tr|A0A4U1EDV8|A0A4U1EDV8_MONMO
OG0000004	tr|Q8VF22|Q8VF22_MOUSE	tr|A0A4U1FCL9|A0A4U1FCL9_MONMO
OG0000004	tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE, tr|Q8VFV8|Q8VFV8_MOUSE, tr|Q8VF59|Q8VF59_MOUSE, tr|E9Q9Z6|E9Q9Z6_MOUSE, tr|Q7TQR9|Q7TQR9_MOUSE, tr|Q7TQR7|Q7TQR7_MOUSE, tr|A0PK57|A0PK57_MOUSE, sp|Q8VFV4|O1440_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q60880|OL141_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|A2AVB0|A2AVB0_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE	tr|A0A4U1ED23|A0A4U1ED23_MONMO
OG0000011	tr|Q8VFA6|Q8VFA6_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE	tr|A0A4U1ELI9|A0A4U1ELI9_MONMO
OG0000012	tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE	tr|A0A4V5P8A2|A0A4V5P8A2_MONMO
OG0000015	tr|Q497L3|Q497L3_MOUSE, tr|Q6P8I2|Q6P8I2_MOUSE, tr|D3Z235|D3Z235_MOUSE, tr|L7N2D0|L7N2D0_MOUSE, tr|L7N292|L7N292_MOUSE, tr|Q9DAR5|Q9DAR5_MOUSE, tr|D3Z236|D3Z236_MOUSE, tr|D3YXI8|D3YXI8_MOUSE, tr|E9Q7X3|E9Q7X3_MOUSE, tr|A0A286YDG0|A0A286YDG0_MOUSE, tr|Q5EBJ2|Q5EBJ2_MOUSE, tr|F6YU13|F6YU13_MOUSE, tr|L7N234|L7N234_MOUSE, tr|J3KMT2|J3KMT2_MOUSE, tr|E9Q0P0|E9Q0P0_MOUSE, tr|F7D8Y4|F7D8Y4_MOUSE, tr|L7N2B0|L7N2B0_MOUSE, tr|F6T8D7|F6T8D7_MOUSE, tr|J3QM56|J3QM56_MOUSE, tr|J3QN18|J3QN18_MOUSE, tr|M0QWQ9|M0QWQ9_MOUSE, tr|M0QW51|M0QW51_MOUSE, tr|K7N6U8|K7N6U8_MOUSE, tr|E9PXN0|E9PXN0_MOUSE, tr|L7N2E0|L7N2E0_MOUSE, tr|E9Q528|E9Q528_MOUSE, tr|K7N749|K7N749_MOUSE, tr|F7CFJ3|F7CFJ3_MOUSE, tr|F6U3N7|F6U3N7_MOUSE, tr|F6YKY3|F6YKY3_MOUSE, tr|F6YHC1|F6YHC1_MOUSE, tr|L7N218|L7N218_MOUSE, tr|F7BAX1|F7BAX1_MOUSE, tr|F6SKY8|F6SKY8_MOUSE, tr|F7AXR3|F7AXR3_MOUSE, tr|F7ANP4|F7ANP4_MOUSE, tr|F6XGJ4|F6XGJ4_MOUSE, tr|F6ZMY5|F6ZMY5_MOUSE, tr|F7C9A1|F7C9A1_MOUSE, tr|K7N6Z0|K7N6Z0_MOUSE, tr|F6ZIG1|F6ZIG1_MOUSE, tr|E9Q0A2|E9Q0A2_MOUSE, tr|F7BY56|F7BY56_MOUSE, tr|L7N271|L7N271_MOUSE, tr|L7N471|L7N471_MOUSE, tr|L7N2C7|L7N2C7_MOUSE, tr|F6WLE9|F6WLE9_MOUSE, tr|F6QI24|F6QI24_MOUSE	tr|A0A4U1EFD7|A0A4U1EFD7_MONMO
OG0000016	tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R254|Q8R254_MOUSE	tr|A0A4U1F2G2|A0A4U1F2G2_MONMO
OG0000016	tr|Q8R256|Q8R256_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE	tr|A0A4U1EGL9|A0A4U1EGL9_MONMO
