Orthogroup	Mus_musculus	Cercocebus_atys
OG0000001	tr|Q8VGN4|Q8VGN4_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|Q8VF91|Q8VF91_MOUSE	tr|A0A2K5KU86|A0A2K5KU86_CERAT
OG0000003	tr|E9Q554|E9Q554_MOUSE	tr|A0A2K5MZC9|A0A2K5MZC9_CERAT
OG0000003	tr|Q8VH17|Q8VH17_MOUSE	tr|A0A2K5LDX1|A0A2K5LDX1_CERAT
OG0000003	tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE	tr|A0A2K5L7C5|A0A2K5L7C5_CERAT
OG0000003	tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE	tr|A0A2K5KP32|A0A2K5KP32_CERAT
OG0000003	tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE	tr|A0A2K5LYP8|A0A2K5LYP8_CERAT
OG0000003	tr|Q924X8|Q924X8_MOUSE	tr|A0A2K5NDJ4|A0A2K5NDJ4_CERAT
OG0000004	tr|G3X9L8|G3X9L8_MOUSE	tr|A0A2K5KW69|A0A2K5KW69_CERAT
OG0000004	tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VG66|Q8VG66_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q8VG11|Q8VG11_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VFK7|O1020_MOUSE	tr|A0A2K5LB56|A0A2K5LB56_CERAT
OG0000006	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2K5LW62|A0A2K5LW62_CERAT
