Orthogroup	Mus_musculus	Canis_lupus_familiaris
OG0000003	sp|P11260|LORF1_MOUSE	tr|A0A8P0PP08|A0A8P0PP08_CANLF, tr|A0A8I3NT96|A0A8I3NT96_CANLF, tr|A0A8P0TSS3|A0A8P0TSS3_CANLF, tr|A0A8I3PGJ6|A0A8I3PGJ6_CANLF, tr|A0A8I3S7Z5|A0A8I3S7Z5_CANLF, tr|A0A8P0TLA5|A0A8P0TLA5_CANLF, tr|A0A8P0TKK8|A0A8P0TKK8_CANLF, tr|A0A8I3P1J1|A0A8I3P1J1_CANLF, tr|A0A8I3MLN1|A0A8I3MLN1_CANLF, tr|A0A8I3PZP4|A0A8I3PZP4_CANLF, tr|A0A8P0PGB4|A0A8P0PGB4_CANLF, tr|A0A8I3NW83|A0A8I3NW83_CANLF, tr|A0A8P0PFZ5|A0A8P0PFZ5_CANLF, tr|A0A8P0PQ63|A0A8P0PQ63_CANLF, tr|A0A8I3PX57|A0A8I3PX57_CANLF, tr|A0A8P0PFD5|A0A8P0PFD5_CANLF, tr|A0A8P0TUA6|A0A8P0TUA6_CANLF, tr|A0A8I3NEX8|A0A8I3NEX8_CANLF, tr|A0A8I3PH32|A0A8I3PH32_CANLF, tr|A0A8I3PZI4|A0A8I3PZI4_CANLF, tr|A0A8P0PS32|A0A8P0PS32_CANLF, tr|A0A8I3PS90|A0A8I3PS90_CANLF, tr|A0A8P0TRF4|A0A8P0TRF4_CANLF, tr|A0A8I3MQ55|A0A8I3MQ55_CANLF, tr|A0A8P0P9D6|A0A8P0P9D6_CANLF, tr|A0A8I3NCH4|A0A8I3NCH4_CANLF, tr|A0A8P0PKH4|A0A8P0PKH4_CANLF, tr|A0A8I3RYC7|A0A8I3RYC7_CANLF, tr|A0A8I3MGK0|A0A8I3MGK0_CANLF, tr|A0A8I3PCT7|A0A8I3PCT7_CANLF, tr|A0A8P0P052|A0A8P0P052_CANLF, tr|A0A8I3N4G6|A0A8I3N4G6_CANLF, tr|A0A8P0PKH8|A0A8P0PKH8_CANLF, tr|A0A8P0TQY3|A0A8P0TQY3_CANLF, tr|A0A8P0TVP0|A0A8P0TVP0_CANLF, tr|A0A8P0PMG2|A0A8P0PMG2_CANLF, tr|A0A8I3S2B8|A0A8I3S2B8_CANLF, tr|A0A8P0TUC9|A0A8P0TUC9_CANLF, tr|A0A8P0PRX9|A0A8P0PRX9_CANLF, tr|A0A8I3P5Z5|A0A8I3P5Z5_CANLF, tr|A0A8P0PH91|A0A8P0PH91_CANLF, tr|A0A8P0TQ65|A0A8P0TQ65_CANLF, tr|A0A8I3N0G5|A0A8I3N0G5_CANLF, tr|A0A8P0PGR0|A0A8P0PGR0_CANLF, tr|A0A8P0TUS5|A0A8P0TUS5_CANLF, tr|A0A8P0PAI5|A0A8P0PAI5_CANLF, tr|A0A8P0PH58|A0A8P0PH58_CANLF, tr|A0A8P0T6C5|A0A8P0T6C5_CANLF, tr|A0A8I3NTA7|A0A8I3NTA7_CANLF, tr|A0A8I3PBI3|A0A8I3PBI3_CANLF, tr|A0A8P0TTU7|A0A8P0TTU7_CANLF, tr|A0A8P0TQV0|A0A8P0TQV0_CANLF, tr|A0A8I3N017|A0A8I3N017_CANLF, tr|A0A8I3P8Q6|A0A8I3P8Q6_CANLF, tr|A0A8I3PBC6|A0A8I3PBC6_CANLF, tr|A0A8P0PN89|A0A8P0PN89_CANLF, tr|A0A8P0PKH5|A0A8P0PKH5_CANLF, tr|A0A8P0PGU7|A0A8P0PGU7_CANLF, tr|A0A8I3MTQ8|A0A8I3MTQ8_CANLF, tr|A0A8I3PAA0|A0A8I3PAA0_CANLF, tr|A0A8P0PJF6|A0A8P0PJF6_CANLF, tr|A0A8I3SA62|A0A8I3SA62_CANLF, tr|A0A8P0PHV5|A0A8P0PHV5_CANLF, tr|A0A8P0TPZ7|A0A8P0TPZ7_CANLF, tr|A0A8I3NP45|A0A8I3NP45_CANLF, tr|A0A8P0TM26|A0A8P0TM26_CANLF, tr|A0A8P0TQY8|A0A8P0TQY8_CANLF, tr|A0A8P0PHC0|A0A8P0PHC0_CANLF, tr|A0A8P0TKL8|A0A8P0TKL8_CANLF, tr|A0A8I3S1A3|A0A8I3S1A3_CANLF, tr|A0A8I3RUI4|A0A8I3RUI4_CANLF
OG0000005	sp|P18528|HVM57_MOUSE	tr|A0A8I3PL11|A0A8I3PL11_CANLF, tr|A0A8I3PUN5|A0A8I3PUN5_CANLF, tr|A0A8I3PXQ9|A0A8I3PXQ9_CANLF, tr|A0A8P0SXY1|A0A8P0SXY1_CANLF, tr|A0A8I3SAS7|A0A8I3SAS7_CANLF, tr|A0A8I3PTN6|A0A8I3PTN6_CANLF, tr|A0A8I3QCV8|A0A8I3QCV8_CANLF, tr|A0A8P0NUF0|A0A8P0NUF0_CANLF, tr|A0A8I3PDU9|A0A8I3PDU9_CANLF, tr|A0A8P0SU88|A0A8P0SU88_CANLF, tr|A0A8I3SAS3|A0A8I3SAS3_CANLF, tr|A0A8I3QD99|A0A8I3QD99_CANLF, tr|A0A8I3QE86|A0A8I3QE86_CANLF, tr|A0A8I3P941|A0A8I3P941_CANLF, tr|A0A8I3PVC4|A0A8I3PVC4_CANLF, tr|A0A8P0SSP8|A0A8P0SSP8_CANLF, tr|A0A8P0SR11|A0A8P0SR11_CANLF, tr|A0A8I3P6V2|A0A8I3P6V2_CANLF, tr|A0A8I3S3C9|A0A8I3S3C9_CANLF, tr|A0A8I3PUS1|A0A8I3PUS1_CANLF, tr|A0A8I3S5C2|A0A8I3S5C2_CANLF, tr|A0A8P0PB51|A0A8P0PB51_CANLF, tr|A0A8I3P2X4|A0A8I3P2X4_CANLF, tr|A0A8I3P0H3|A0A8I3P0H3_CANLF, tr|A0A8I3P8U3|A0A8I3P8U3_CANLF, tr|A0A8I3PXV8|A0A8I3PXV8_CANLF, tr|A0A8P0PKJ0|A0A8P0PKJ0_CANLF, tr|A0A8I3S6H5|A0A8I3S6H5_CANLF, tr|A0A8I3PUP2|A0A8I3PUP2_CANLF, tr|A0A8P0P539|A0A8P0P539_CANLF, tr|A0A8I3PYF1|A0A8I3PYF1_CANLF, tr|A0A8P0TE47|A0A8P0TE47_CANLF, tr|A0A8I3P4Y5|A0A8I3P4Y5_CANLF, tr|A0A8I3PUA5|A0A8I3PUA5_CANLF, tr|A0A8I3PV91|A0A8I3PV91_CANLF, tr|A0A8I3PVB5|A0A8I3PVB5_CANLF, tr|A0A8I3PQA6|A0A8I3PQA6_CANLF, tr|A0A8P0T0D8|A0A8P0T0D8_CANLF, tr|A0A8P0SPG5|A0A8P0SPG5_CANLF, tr|A0A8P0PE96|A0A8P0PE96_CANLF, tr|A0A8P0T270|A0A8P0T270_CANLF, sp|P01784|HV01_CANLF, sp|P01785|HV02_CANLF, tr|A0A8I3QF04|A0A8I3QF04_CANLF, tr|A0A8I3S0K3|A0A8I3S0K3_CANLF, tr|A0A8I3P2M2|A0A8I3P2M2_CANLF, tr|A0A8I3PWK4|A0A8I3PWK4_CANLF, tr|A0A8I3S9C3|A0A8I3S9C3_CANLF, tr|A0A8I3P4X4|A0A8I3P4X4_CANLF, tr|A0A8P0T490|A0A8P0T490_CANLF, tr|A0A8I3PXN9|A0A8I3PXN9_CANLF, tr|A0A8I3PRE1|A0A8I3PRE1_CANLF, tr|A0A8P0T277|A0A8P0T277_CANLF, tr|A0A8I3PD67|A0A8I3PD67_CANLF, tr|A0A8I3S0G9|A0A8I3S0G9_CANLF, tr|A0A8I3PT15|A0A8I3PT15_CANLF, tr|A0A8P0NQC3|A0A8P0NQC3_CANLF, tr|A0A8P0TH99|A0A8P0TH99_CANLF, tr|A0A8P0SUR8|A0A8P0SUR8_CANLF, tr|A0A8P0NJN2|A0A8P0NJN2_CANLF, tr|A0A8P0NY52|A0A8P0NY52_CANLF, tr|A0A8P0TSS4|A0A8P0TSS4_CANLF, tr|A0A8I3NWR3|A0A8I3NWR3_CANLF, tr|A0A8I3Q5E2|A0A8I3Q5E2_CANLF, tr|A0A8I3P3T7|A0A8I3P3T7_CANLF
OG0000006	tr|B1ARV6|B1ARV6_MOUSE, sp|Q99MW3|PRAL1_MOUSE, tr|Q9D2F1|Q9D2F1_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, tr|L7MU96|L7MU96_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|A2A958|A2A958_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|E9Q5G7|OOG1_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2A8N0|A2A8N0_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|Q3UX49|Q3UX49_MOUSE	tr|A0A8I3Q9E0|A0A8I3Q9E0_CANLF
OG0000021	sp|Q9DCX2|ATP5H_MOUSE	tr|A0A8I3NZZ6|A0A8I3NZZ6_CANLF, tr|E2RHH8|E2RHH8_CANLF, tr|A0A8I3NMI0|A0A8I3NMI0_CANLF, tr|A0A8I3N5P6|A0A8I3N5P6_CANLF, tr|A0A8P0N8K4|A0A8P0N8K4_CANLF, tr|A0A8I3RXW2|A0A8I3RXW2_CANLF, tr|A0A8I3RZX0|A0A8I3RZX0_CANLF, tr|A0A8I3P7K9|A0A8I3P7K9_CANLF, tr|A0A8I3PYV1|A0A8I3PYV1_CANLF, tr|A0A8P0TLS9|A0A8P0TLS9_CANLF, tr|A0A8I3QA49|A0A8I3QA49_CANLF, tr|A0A8I3Q3T4|A0A8I3Q3T4_CANLF, tr|A0A8I3P208|A0A8I3P208_CANLF, tr|A0A8I3Q3L5|A0A8I3Q3L5_CANLF, tr|A0A8P0TN32|A0A8P0TN32_CANLF, tr|A0A8P0NNB6|A0A8P0NNB6_CANLF, tr|A0A8P0NQP8|A0A8P0NQP8_CANLF, tr|A0A8I3RYY3|A0A8I3RYY3_CANLF, tr|A0A8P0NSU8|A0A8P0NSU8_CANLF, tr|A0A8I3RZC5|A0A8I3RZC5_CANLF, tr|A0A8P0SRA0|A0A8P0SRA0_CANLF, tr|A0A8I3PC93|A0A8I3PC93_CANLF, tr|A0A8I3RUV0|A0A8I3RUV0_CANLF, tr|A0A8P0SVS6|A0A8P0SVS6_CANLF, tr|A0A8I3N496|A0A8I3N496_CANLF, tr|A0A8I3NUP2|A0A8I3NUP2_CANLF, tr|A0A8P0SGF6|A0A8P0SGF6_CANLF, tr|A0A8I3N318|A0A8I3N318_CANLF, tr|A0A8I3MHE4|A0A8I3MHE4_CANLF, tr|A0A8I3PFP3|A0A8I3PFP3_CANLF, tr|A0A8I3P1G0|A0A8I3P1G0_CANLF, tr|A0A8I3RTP7|A0A8I3RTP7_CANLF, tr|A0A8P0NNX5|A0A8P0NNX5_CANLF
OG0000026	tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE	tr|A0A8I3NZ93|A0A8I3NZ93_CANLF
OG0000027	tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE	tr|A0A8I3NJ82|A0A8I3NJ82_CANLF
OG0000027	tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, tr|J3KMV2|J3KMV2_MOUSE, sp|Q60884|OL146_MOUSE	tr|A0A8I3NLA2|A0A8I3NLA2_CANLF
OG0000031	sp|P04104|K2C1_MOUSE	sp|Q6EIY9|K2C1_CANLF
OG0000031	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8I3S8A6|A0A8I3S8A6_CANLF
OG0000031	sp|Q9R0H5|K2C71_MOUSE	tr|D6BR72|D6BR72_CANLF
