Orthogroup	Mus_musculus	Bison_bison_bison
OG0000004	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A6P3J039|A0A6P3J039_BISBI, tr|A0A6P3IWQ3|A0A6P3IWQ3_BISBI, tr|A0A6P3H1C0|A0A6P3H1C0_BISBI, tr|A0A6P3IHG1|A0A6P3IHG1_BISBI, tr|A0A6P3IPW1|A0A6P3IPW1_BISBI, tr|A0A6P3I023|A0A6P3I023_BISBI, tr|A0A6P3GVL5|A0A6P3GVL5_BISBI, tr|A0A6P3IYU7|A0A6P3IYU7_BISBI, tr|A0A6P3I1K4|A0A6P3I1K4_BISBI, tr|A0A6P3IGC9|A0A6P3IGC9_BISBI, tr|A0A6P3HCR4|A0A6P3HCR4_BISBI, tr|A0A6P3I1U6|A0A6P3I1U6_BISBI, tr|A0A6P3HB32|A0A6P3HB32_BISBI, tr|A0A6P3GL15|A0A6P3GL15_BISBI, tr|A0A6P3I130|A0A6P3I130_BISBI, tr|A0A6P3GP11|A0A6P3GP11_BISBI, tr|A0A6P3IWT1|A0A6P3IWT1_BISBI, tr|A0A6P3IQR8|A0A6P3IQR8_BISBI, tr|A0A6P3HQU4|A0A6P3HQU4_BISBI, tr|A0A6P3GXW0|A0A6P3GXW0_BISBI, tr|A0A6P3IBV0|A0A6P3IBV0_BISBI, tr|A0A6P3IQX8|A0A6P3IQX8_BISBI, tr|A0A6P3IYY3|A0A6P3IYY3_BISBI, tr|A0A6P3I8K2|A0A6P3I8K2_BISBI, tr|A0A6P3IQ23|A0A6P3IQ23_BISBI, tr|A0A6P3IQW1|A0A6P3IQW1_BISBI, tr|A0A6P3IWT5|A0A6P3IWT5_BISBI, tr|A0A6P3IQV6|A0A6P3IQV6_BISBI, tr|A0A6P3IQX5|A0A6P3IQX5_BISBI, tr|A0A6P3IQY2|A0A6P3IQY2_BISBI, tr|A0A6P3J034|A0A6P3J034_BISBI, tr|A0A6P3GVV2|A0A6P3GVV2_BISBI, tr|A0A6P3GXB2|A0A6P3GXB2_BISBI, tr|A0A6P3GX35|A0A6P3GX35_BISBI, tr|A0A6P3IYX7|A0A6P3IYX7_BISBI, tr|A0A6P3GU39|A0A6P3GU39_BISBI, tr|A0A6P3IQV1|A0A6P3IQV1_BISBI, tr|A0A6P3J033|A0A6P3J033_BISBI, tr|A0A6P3GWI9|A0A6P3GWI9_BISBI, tr|A0A6P3IZA6|A0A6P3IZA6_BISBI, tr|A0A6P3HXR4|A0A6P3HXR4_BISBI, tr|A0A6P3HB69|A0A6P3HB69_BISBI, tr|A0A6P3IQ07|A0A6P3IQ07_BISBI, tr|A0A6P3GJG7|A0A6P3GJG7_BISBI, tr|A0A6P3G4W3|A0A6P3G4W3_BISBI, tr|A0A6P3IHJ5|A0A6P3IHJ5_BISBI, tr|A0A6P3IP98|A0A6P3IP98_BISBI, tr|A0A6P3IHK0|A0A6P3IHK0_BISBI, tr|A0A6P3GJ64|A0A6P3GJ64_BISBI, tr|A0A6P3GK00|A0A6P3GK00_BISBI, tr|A0A6P3GJP2|A0A6P3GJP2_BISBI, tr|A0A6P3GJG2|A0A6P3GJG2_BISBI, tr|A0A6P3G4V8|A0A6P3G4V8_BISBI, tr|A0A6P3GJ59|A0A6P3GJ59_BISBI, tr|A0A6P3GAW9|A0A6P3GAW9_BISBI, tr|A0A6P3GAX4|A0A6P3GAX4_BISBI, tr|A0A6P3GAY0|A0A6P3GAY0_BISBI, tr|A0A6P3IHE3|A0A6P3IHE3_BISBI, tr|A0A6P3IRQ4|A0A6P3IRQ4_BISBI, tr|A0A6P3IP86|A0A6P3IP86_BISBI, tr|A0A6P3IPZ9|A0A6P3IPZ9_BISBI, tr|A0A6P3IHF6|A0A6P3IHF6_BISBI, tr|A0A6P3IP91|A0A6P3IP91_BISBI, tr|A0A6P3IRQ9|A0A6P3IRQ9_BISBI, tr|A0A6P3IPV7|A0A6P3IPV7_BISBI, tr|A0A6P3IHA1|A0A6P3IHA1_BISBI
OG0000006	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A6P3GUU8|A0A6P3GUU8_BISBI
OG0000006	tr|G3UW88|G3UW88_MOUSE	tr|A0A6P3IPE2|A0A6P3IPE2_BISBI, tr|A0A6P3IHQ3|A0A6P3IHQ3_BISBI, tr|A0A6P3IRX2|A0A6P3IRX2_BISBI, tr|A0A6P3GL82|A0A6P3GL82_BISBI, tr|A0A6P3H771|A0A6P3H771_BISBI, tr|A0A6P3GWR5|A0A6P3GWR5_BISBI, tr|A0A6P3GW66|A0A6P3GW66_BISBI, tr|A0A6P3GXT0|A0A6P3GXT0_BISBI, tr|A0A6P3IYV2|A0A6P3IYV2_BISBI, tr|A0A6P3GXH3|A0A6P3GXH3_BISBI, tr|A0A6P3IJG6|A0A6P3IJG6_BISBI, tr|A0A6P3H4U9|A0A6P3H4U9_BISBI, tr|A0A6P3IYM2|A0A6P3IYM2_BISBI, tr|A0A6P3H071|A0A6P3H071_BISBI, tr|A0A6P3GNC0|A0A6P3GNC0_BISBI, tr|A0A6P3H506|A0A6P3H506_BISBI, tr|A0A6P3GZU5|A0A6P3GZU5_BISBI, tr|A0A6P3HBB0|A0A6P3HBB0_BISBI, tr|A0A6P3GRV4|A0A6P3GRV4_BISBI, tr|A0A6P3GL06|A0A6P3GL06_BISBI, tr|A0A6P3J188|A0A6P3J188_BISBI, tr|A0A6P3GZ47|A0A6P3GZ47_BISBI, tr|A0A6P3H4D0|A0A6P3H4D0_BISBI, tr|A0A6P3GGV5|A0A6P3GGV5_BISBI, tr|A0A6P3GZ75|A0A6P3GZ75_BISBI, tr|A0A6P3IQK6|A0A6P3IQK6_BISBI, tr|A0A6P3H080|A0A6P3H080_BISBI, tr|A0A6P3J0G1|A0A6P3J0G1_BISBI, tr|A0A6P3GRF8|A0A6P3GRF8_BISBI, tr|A0A6P3H5I3|A0A6P3H5I3_BISBI, tr|A0A6P3HUH6|A0A6P3HUH6_BISBI, tr|A0A6P3IPZ2|A0A6P3IPZ2_BISBI, tr|A0A6P3GQ86|A0A6P3GQ86_BISBI, tr|A0A6P3GBN1|A0A6P3GBN1_BISBI, tr|A0A6P3GTB2|A0A6P3GTB2_BISBI, tr|A0A6P3GSQ9|A0A6P3GSQ9_BISBI, tr|A0A6P3III9|A0A6P3III9_BISBI, tr|A0A6P3GHR0|A0A6P3GHR0_BISBI, tr|A0A6P3INA3|A0A6P3INA3_BISBI, tr|A0A6P3GTV6|A0A6P3GTV6_BISBI, tr|A0A6P3GKA7|A0A6P3GKA7_BISBI, tr|A0A6P3GE12|A0A6P3GE12_BISBI, tr|A0A6P3I3T6|A0A6P3I3T6_BISBI, tr|A0A6P3IHP7|A0A6P3IHP7_BISBI, tr|A0A6P3GMC8|A0A6P3GMC8_BISBI, tr|A0A6P3GK33|A0A6P3GK33_BISBI, tr|A0A6P3I0E5|A0A6P3I0E5_BISBI, tr|A0A6P3ILY0|A0A6P3ILY0_BISBI, tr|A0A6P3HIB0|A0A6P3HIB0_BISBI, tr|A0A6P3GYP4|A0A6P3GYP4_BISBI, tr|A0A6P3I4T7|A0A6P3I4T7_BISBI, tr|A0A6P3H1G2|A0A6P3H1G2_BISBI, tr|A0A6P3HNP5|A0A6P3HNP5_BISBI, tr|A0A6P3IYW0|A0A6P3IYW0_BISBI
OG0000012	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A6P3GHY8|A0A6P3GHY8_BISBI
OG0000012	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A6P3HW08|A0A6P3HW08_BISBI
OG0000012	tr|E9PWF9|E9PWF9_MOUSE	tr|A0A6P3HZZ1|A0A6P3HZZ1_BISBI
OG0000012	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A6P3HQG7|A0A6P3HQG7_BISBI, tr|A0A6P3GX17|A0A6P3GX17_BISBI
OG0000012	tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A6P3I1K8|A0A6P3I1K8_BISBI, tr|A0A6P3J658|A0A6P3J658_BISBI, tr|A0A6P3GW47|A0A6P3GW47_BISBI
OG0000012	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A6P3IXI8|A0A6P3IXI8_BISBI
OG0000012	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A6P3GUQ6|A0A6P3GUQ6_BISBI, tr|A0A6P3HS66|A0A6P3HS66_BISBI, tr|A0A6P3H0V1|A0A6P3H0V1_BISBI, tr|A0A6P3I4Q5|A0A6P3I4Q5_BISBI, tr|A0A6P3J0I3|A0A6P3J0I3_BISBI, tr|A0A6P3HQT5|A0A6P3HQT5_BISBI, tr|A0A6P3GTC6|A0A6P3GTC6_BISBI
