Orthogroup	Homo_sapiens	Cavia_porcellus
OG0000001	sp|Q9H344|O51I2_HUMAN	tr|A0A286XL01|A0A286XL01_CAVPO
OG0000001	sp|Q8NH61|O51F2_HUMAN	tr|H0UTZ6|H0UTZ6_CAVPO, tr|H0W8R7|H0W8R7_CAVPO
OG0000001	sp|A6NGY5|O51F1_HUMAN	tr|H0VEH5|H0VEH5_CAVPO, tr|H0VDM0|H0VDM0_CAVPO, tr|H0VLM4|H0VLM4_CAVPO
OG0000001	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A286X791|A0A286X791_CAVPO
OG0000001	sp|Q8NGK0|O51G2_HUMAN	tr|H0W5J5|H0W5J5_CAVPO, tr|H0VY53|H0VY53_CAVPO, tr|H0W380|H0W380_CAVPO
OG0000001	sp|Q8NGK1|O51G1_HUMAN	tr|A0A286XHC3|A0A286XHC3_CAVPO, tr|H0UUU5|H0UUU5_CAVPO
OG0000001	sp|Q8NH63|O51H1_HUMAN	tr|A0A286XC69|A0A286XC69_CAVPO, tr|A0A286XMT7|A0A286XMT7_CAVPO, tr|H0VT11|H0VT11_CAVPO
OG0000001	sp|Q8NH59|O51Q1_HUMAN	tr|A0A286XWV0|A0A286XWV0_CAVPO, tr|A0A286XSG1|A0A286XSG1_CAVPO, tr|A0A286XSP1|A0A286XSP1_CAVPO, tr|A0A286XT50|A0A286XT50_CAVPO, tr|A0A286XDA2|A0A286XDA2_CAVPO, tr|A0A286XEJ6|A0A286XEJ6_CAVPO
OG0000001	sp|Q9H342|O51J1_HUMAN	tr|A0A286Y0Y3|A0A286Y0Y3_CAVPO, tr|A0A286X868|A0A286X868_CAVPO, tr|A0A286XMY0|A0A286XMY0_CAVPO, tr|H0VVC1|H0VVC1_CAVPO, tr|A0A286X9K7|A0A286X9K7_CAVPO, tr|A0A286Y4R6|A0A286Y4R6_CAVPO
OG0000002	sp|Q8NGM9|OR8D4_HUMAN	tr|H0WA99|H0WA99_CAVPO, tr|H0W3T0|H0W3T0_CAVPO, tr|A0A286XR44|A0A286XR44_CAVPO, tr|A0A286XSA2|A0A286XSA2_CAVPO, tr|A0A286XKM3|A0A286XKM3_CAVPO, tr|A0A286XPA9|A0A286XPA9_CAVPO, tr|A0A286XC39|A0A286XC39_CAVPO, tr|A0A286XDZ3|A0A286XDZ3_CAVPO, tr|A0A286Y0X8|A0A286Y0X8_CAVPO, tr|A0A286Y2K8|A0A286Y2K8_CAVPO, tr|A0A286XRK0|A0A286XRK0_CAVPO, tr|A0A286XLV9|A0A286XLV9_CAVPO, tr|H0VYN1|H0VYN1_CAVPO, tr|A0A286XK74|A0A286XK74_CAVPO, tr|A0A286Y5Q9|A0A286Y5Q9_CAVPO, tr|A0A286XBC4|A0A286XBC4_CAVPO, tr|H0VIQ7|H0VIQ7_CAVPO, tr|H0VCM1|H0VCM1_CAVPO, tr|H0W6C2|H0W6C2_CAVPO, tr|H0VKT2|H0VKT2_CAVPO, tr|H0V9R8|H0V9R8_CAVPO, tr|A0A286X8Y3|A0A286X8Y3_CAVPO, tr|A0A286XYY9|A0A286XYY9_CAVPO, tr|A0A286XF65|A0A286XF65_CAVPO, tr|A0A286XUS4|A0A286XUS4_CAVPO, tr|A0A286XQN3|A0A286XQN3_CAVPO, tr|A0A286XVU6|A0A286XVU6_CAVPO, tr|A0A286XYK4|A0A286XYK4_CAVPO, tr|A0A286XJ69|A0A286XJ69_CAVPO, tr|A0A286XQZ5|A0A286XQZ5_CAVPO, tr|A0A286XW87|A0A286XW87_CAVPO, tr|A0A286XXX0|A0A286XXX0_CAVPO, tr|A0A286Y673|A0A286Y673_CAVPO, tr|A0A286XHY1|A0A286XHY1_CAVPO, tr|H0VI90|H0VI90_CAVPO, tr|A0A286XAM0|A0A286XAM0_CAVPO, tr|A0A286XHA4|A0A286XHA4_CAVPO, tr|H0VIQ4|H0VIQ4_CAVPO, tr|A0A286XK27|A0A286XK27_CAVPO, tr|A0A286XVT9|A0A286XVT9_CAVPO, tr|A0A286XWC2|A0A286XWC2_CAVPO, tr|A0A286XFU6|A0A286XFU6_CAVPO, tr|A0A286XA86|A0A286XA86_CAVPO, tr|A0A286Y665|A0A286Y665_CAVPO
