Orthogroup	Homo_sapiens	Rhinolophus_ferrumequinum
OG0000001	sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN	tr|A0A671DW97|A0A671DW97_RHIFE
OG0000001	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A671ENT7|A0A671ENT7_RHIFE
OG0000001	sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O60431|OR1I1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|P47890|OR1G1_HUMAN, sp|P34982|OR1D2_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN	tr|A0A671G278|A0A671G278_RHIFE
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A671F4I8|A0A671F4I8_RHIFE, tr|A0A671F400|A0A671F400_RHIFE
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|B2KHX5|B2KHX5_RHIFE
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A671F3T3|A0A671F3T3_RHIFE
OG0000002	sp|Q9H341|O51M1_HUMAN	tr|A0A671F4K8|A0A671F4K8_RHIFE
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A671EVV2|A0A671EVV2_RHIFE
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A671EVM3|A0A671EVM3_RHIFE, tr|B2KI04|B2KI04_RHIFE
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A671EW09|A0A671EW09_RHIFE, tr|A0A671EW75|A0A671EW75_RHIFE
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A671F1A5|A0A671F1A5_RHIFE
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|A0A671F0K4|A0A671F0K4_RHIFE, tr|A0A671F8Q5|A0A671F8Q5_RHIFE
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A671F336|A0A671F336_RHIFE
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A671F2Y4|A0A671F2Y4_RHIFE
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A671FB90|A0A671FB90_RHIFE, tr|A0A671F946|A0A671F946_RHIFE, tr|A0A671F2T2|A0A671F2T2_RHIFE, tr|A0A671F916|A0A671F916_RHIFE, tr|B2KHX8|B2KHX8_RHIFE
OG0000004	sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|A6NH00|OR2T8_HUMAN	tr|A0A671FCG0|A0A671FCG0_RHIFE
