Orthogroup	Mus_musculus	Equus_asinus_asinus
OG0000002	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A8C4M2U1|A0A8C4M2U1_EQUAS
OG0000002	tr|Q5U406|Q5U406_MOUSE	tr|A0A8C4MZ62|A0A8C4MZ62_EQUAS
OG0000002	sp|Q3V080|ZN583_MOUSE	tr|A0A8C4PTQ1|A0A8C4PTQ1_EQUAS
OG0000002	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C4PG51|A0A8C4PG51_EQUAS
OG0000002	sp|Q60585|ZFP30_MOUSE	tr|A0A8C4L354|A0A8C4L354_EQUAS
OG0000002	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C4KW84|A0A8C4KW84_EQUAS
OG0000002	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8C4KXI9|A0A8C4KXI9_EQUAS
OG0000002	sp|P10755|ZFP14_MOUSE	tr|A0A8C4PG63|A0A8C4PG63_EQUAS, tr|A0A8C4MVW7|A0A8C4MVW7_EQUAS, tr|A0A8C4L5H9|A0A8C4L5H9_EQUAS, tr|A0A8C4L5I8|A0A8C4L5I8_EQUAS
OG0000002	sp|Q2TL60|ZN667_MOUSE	tr|A0A8C4LH15|A0A8C4LH15_EQUAS, tr|A0A8C4MWQ8|A0A8C4MWQ8_EQUAS, tr|A0A8C4PUK2|A0A8C4PUK2_EQUAS, tr|A0A8C4PUK0|A0A8C4PUK0_EQUAS, tr|A0A8C4N3J9|A0A8C4N3J9_EQUAS, tr|A0A8C4PUX9|A0A8C4PUX9_EQUAS, tr|A0A8C4MUN7|A0A8C4MUN7_EQUAS, tr|A0A8C4MUP5|A0A8C4MUP5_EQUAS, tr|A0A8C4MWE9|A0A8C4MWE9_EQUAS, tr|A0A8C4MWE0|A0A8C4MWE0_EQUAS, tr|A0A8C4PTK2|A0A8C4PTK2_EQUAS, tr|A0A8C4KYC9|A0A8C4KYC9_EQUAS, tr|A0A8C4PNX8|A0A8C4PNX8_EQUAS, tr|A0A8C4L003|A0A8C4L003_EQUAS, tr|A0A8C4KXX5|A0A8C4KXX5_EQUAS, tr|A0A8C4KXQ4|A0A8C4KXQ4_EQUAS, tr|A0A8C4MQ98|A0A8C4MQ98_EQUAS
OG0000002	tr|Q9CXH3|Q9CXH3_MOUSE, tr|Q0P5U5|Q0P5U5_MOUSE	tr|A0A8C4MSU6|A0A8C4MSU6_EQUAS, tr|A0A8C4KY50|A0A8C4KY50_EQUAS, tr|A0A8C4LJ27|A0A8C4LJ27_EQUAS, tr|A0A8C4MMK4|A0A8C4MMK4_EQUAS, tr|A0A8C4PR66|A0A8C4PR66_EQUAS, tr|A0A8C4L8U5|A0A8C4L8U5_EQUAS, tr|A0A8C4L3J9|A0A8C4L3J9_EQUAS, tr|A0A8C4MW29|A0A8C4MW29_EQUAS, tr|A0A8C4LZW4|A0A8C4LZW4_EQUAS, tr|A0A8C4PRU1|A0A8C4PRU1_EQUAS, tr|A0A8C4LCH9|A0A8C4LCH9_EQUAS
