Orthogroup	Homo_sapiens	Camelus_dromedarius
OG0000000	sp|Q6ZS27|ZN662_HUMAN	tr|A0A5N4D038|A0A5N4D038_CAMDR
OG0000000	sp|Q8NB42|ZN527_HUMAN	tr|A0A5N4DRA0|A0A5N4DRA0_CAMDR
OG0000000	sp|Q96ND8|ZN583_HUMAN	tr|A0A5N4DTR2|A0A5N4DTR2_CAMDR, tr|A0A5N4DU82|A0A5N4DU82_CAMDR
OG0000000	sp|P52738|ZN140_HUMAN	tr|A0A5N4C8I5|A0A5N4C8I5_CAMDR
OG0000000	sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A5N4DQM0|A0A5N4DQM0_CAMDR
OG0000000	sp|Q3KNS6|ZN829_HUMAN	tr|A0A5N4DU91|A0A5N4DU91_CAMDR, tr|A0A5N4DR21|A0A5N4DR21_CAMDR, tr|A0A5N4DQZ8|A0A5N4DQZ8_CAMDR, tr|A0A5N4DQA5|A0A5N4DQA5_CAMDR
OG0000000	sp|Q52M93|Z585B_HUMAN, sp|Q6P3V2|Z585A_HUMAN	tr|A0A5N4C0W2|A0A5N4C0W2_CAMDR, tr|A0A5N4DVC8|A0A5N4DVC8_CAMDR
OG0000000	sp|P51786|ZN157_HUMAN	tr|A0A5N4E9S8|A0A5N4E9S8_CAMDR, tr|A0A5N4C386|A0A5N4C386_CAMDR
OG0000000	sp|P17032|ZN37A_HUMAN	tr|A0A5N4DIF3|A0A5N4DIF3_CAMDR, tr|A0A5N4DIF6|A0A5N4DIF6_CAMDR
OG0000000	sp|Q9BY31|ZN717_HUMAN	tr|A0A5N4C8I0|A0A5N4C8I0_CAMDR, tr|A0A5N4CUU2|A0A5N4CUU2_CAMDR, tr|A0A5N4DIP8|A0A5N4DIP8_CAMDR, tr|A0A5N4CX37|A0A5N4CX37_CAMDR, tr|A0A5N4DI25|A0A5N4DI25_CAMDR
OG0000000	sp|Q2M218|ZN630_HUMAN	tr|A0A5N4C2M8|A0A5N4C2M8_CAMDR
OG0000000	sp|Q96RE9|ZN300_HUMAN	tr|A0A5N4ECA8|A0A5N4ECA8_CAMDR
OG0000000	sp|P17014|ZNF12_HUMAN	tr|A0A5N4DUT2|A0A5N4DUT2_CAMDR, tr|A0A5N4DUP8|A0A5N4DUP8_CAMDR, tr|A0A5N4DQJ8|A0A5N4DQJ8_CAMDR, tr|A0A5N4CXI4|A0A5N4CXI4_CAMDR, tr|A0A5N4CXH6|A0A5N4CXH6_CAMDR
OG0000000	sp|Q5T5D7|ZN684_HUMAN	tr|A0A5N4DBA7|A0A5N4DBA7_CAMDR, tr|A0A5N4DBE9|A0A5N4DBE9_CAMDR
OG0000000	sp|P17030|ZNF25_HUMAN	tr|A0A5N4CT46|A0A5N4CT46_CAMDR, tr|A0A5N4DII9|A0A5N4DII9_CAMDR
OG0000000	sp|Q9P2J8|ZN624_HUMAN	tr|A0A5N4DR87|A0A5N4DR87_CAMDR, tr|A0A5N4C8Y7|A0A5N4C8Y7_CAMDR, tr|A0A5N4DR96|A0A5N4DR96_CAMDR, tr|A0A5N4D3V0|A0A5N4D3V0_CAMDR
OG0000000	sp|Q13360|ZN177_HUMAN	tr|A0A5N4CLJ6|A0A5N4CLJ6_CAMDR
OG0000000	sp|Q32M78|ZN699_HUMAN	tr|A0A5N4CJL8|A0A5N4CJL8_CAMDR, tr|A0A5N4CK27|A0A5N4CK27_CAMDR, tr|A0A5N4CK20|A0A5N4CK20_CAMDR
OG0000000	sp|Q8N859|ZN713_HUMAN	tr|A0A5N4C915|A0A5N4C915_CAMDR, tr|A0A5N4CWZ3|A0A5N4CWZ3_CAMDR
OG0000000	sp|Q5FWF6|ZN789_HUMAN	tr|A0A5N4C8G1|A0A5N4C8G1_CAMDR, tr|A0A5N4CXW5|A0A5N4CXW5_CAMDR
OG0000000	sp|Q8N9F8|ZN454_HUMAN	tr|A0A5N4CMI5|A0A5N4CMI5_CAMDR
OG0000000	sp|Q8IZ26|ZNF34_HUMAN	tr|A0A5N4CH67|A0A5N4CH67_CAMDR, tr|A0A5N4CFZ7|A0A5N4CFZ7_CAMDR, tr|A0A5N4CH05|A0A5N4CH05_CAMDR
OG0000000	sp|Q8NEA5|CS018_HUMAN	tr|A0A5N4DV92|A0A5N4DV92_CAMDR
OG0000000	sp|P17098|ZNF8_HUMAN	tr|A0A5N4DRU8|A0A5N4DRU8_CAMDR
OG0000000	sp|P52742|ZN135_HUMAN	tr|A0A5N4DVE6|A0A5N4DVE6_CAMDR
OG0000000	sp|P17027|ZNF23_HUMAN	tr|A0A5N4DR24|A0A5N4DR24_CAMDR
OG0000000	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A5N4DUT5|A0A5N4DUT5_CAMDR
OG0000000	sp|Q9NQX6|ZN331_HUMAN	tr|A0A5N4DQ80|A0A5N4DQ80_CAMDR, tr|A0A5N4DTN7|A0A5N4DTN7_CAMDR, tr|A0A5N4DUS2|A0A5N4DUS2_CAMDR
OG0000001	sp|O00370|LORF2_HUMAN	tr|A0A5N4EED4|A0A5N4EED4_CAMDR
OG0000001	sp|Q9H606|PRORY_HUMAN	tr|A0A5N4EIV6|A0A5N4EIV6_CAMDR, tr|A0A5N4D285|A0A5N4D285_CAMDR, tr|A0A5N4CHE8|A0A5N4CHE8_CAMDR, tr|A0A5N4C6B9|A0A5N4C6B9_CAMDR, tr|A0A5N4CNM3|A0A5N4CNM3_CAMDR, tr|A0A5N4E7J2|A0A5N4E7J2_CAMDR, tr|A0A5N4CX74|A0A5N4CX74_CAMDR, tr|A0A5N4DFZ7|A0A5N4DFZ7_CAMDR, tr|A0A5N4EIQ3|A0A5N4EIQ3_CAMDR, tr|A0A5N4D9X1|A0A5N4D9X1_CAMDR, tr|A0A5N4DF74|A0A5N4DF74_CAMDR, tr|A0A5N4DYH7|A0A5N4DYH7_CAMDR, tr|A0A5N4CEK6|A0A5N4CEK6_CAMDR, tr|A0A5N4E8Q2|A0A5N4E8Q2_CAMDR, tr|A0A5N4D9C3|A0A5N4D9C3_CAMDR, tr|A0A5N4CV96|A0A5N4CV96_CAMDR, tr|A0A5N4CWR2|A0A5N4CWR2_CAMDR, tr|A0A5N4DXD1|A0A5N4DXD1_CAMDR, tr|A0A5N4DVL4|A0A5N4DVL4_CAMDR, tr|A0A5N4E8G6|A0A5N4E8G6_CAMDR, tr|A0A5N4CRM1|A0A5N4CRM1_CAMDR, tr|A0A5N4DUT1|A0A5N4DUT1_CAMDR, tr|A0A5N4C0I9|A0A5N4C0I9_CAMDR, tr|A0A5N4CXC1|A0A5N4CXC1_CAMDR, tr|A0A5N4C5C9|A0A5N4C5C9_CAMDR, tr|A0A5N4CV48|A0A5N4CV48_CAMDR, tr|A0A5N4E1W9|A0A5N4E1W9_CAMDR, tr|A0A5N4C0V6|A0A5N4C0V6_CAMDR, tr|A0A5N4E5E0|A0A5N4E5E0_CAMDR, tr|A0A5N4CAM1|A0A5N4CAM1_CAMDR, tr|A0A5N4CBQ9|A0A5N4CBQ9_CAMDR, tr|A0A5N4D9B5|A0A5N4D9B5_CAMDR, tr|A0A5N4D451|A0A5N4D451_CAMDR, tr|A0A5N4EE51|A0A5N4EE51_CAMDR, tr|A0A5N4C698|A0A5N4C698_CAMDR, tr|A0A5N4CFE4|A0A5N4CFE4_CAMDR, tr|A0A5N4E9I0|A0A5N4E9I0_CAMDR, tr|A0A5N4EGU4|A0A5N4EGU4_CAMDR, tr|A0A5N4D6A7|A0A5N4D6A7_CAMDR, tr|A0A5N4DHK1|A0A5N4DHK1_CAMDR, tr|A0A5N4DEU0|A0A5N4DEU0_CAMDR, tr|A0A5N4EJL9|A0A5N4EJL9_CAMDR, tr|A0A5N4D095|A0A5N4D095_CAMDR, tr|A0A5N4DQ54|A0A5N4DQ54_CAMDR, tr|A0A5N4CXS2|A0A5N4CXS2_CAMDR, tr|A0A5N4D3Q6|A0A5N4D3Q6_CAMDR, tr|A0A5N4E9D6|A0A5N4E9D6_CAMDR, tr|A0A5N4DKU1|A0A5N4DKU1_CAMDR, tr|A0A5N4D1P3|A0A5N4D1P3_CAMDR, tr|A0A5N4DZ36|A0A5N4DZ36_CAMDR, tr|A0A5N4CVT8|A0A5N4CVT8_CAMDR, tr|A0A5N4EI20|A0A5N4EI20_CAMDR, tr|A0A5N4EJV3|A0A5N4EJV3_CAMDR, tr|A0A5N4C0M8|A0A5N4C0M8_CAMDR
OG0000002	sp|Q8NH37|OR4C3_HUMAN	tr|A0A5N4DM62|A0A5N4DM62_CAMDR
OG0000002	sp|Q8NGL6|O4A15_HUMAN	tr|A0A5N4DM37|A0A5N4DM37_CAMDR, tr|A0A5N4CBP5|A0A5N4CBP5_CAMDR, tr|A0A5N4DNM1|A0A5N4DNM1_CAMDR, tr|A0A5N4DMC9|A0A5N4DMC9_CAMDR, tr|A0A5N4DNS5|A0A5N4DNS5_CAMDR, tr|A0A5N4CBF6|A0A5N4CBF6_CAMDR, tr|A0A5N4DNH1|A0A5N4DNH1_CAMDR, tr|A0A5N4DNI9|A0A5N4DNI9_CAMDR, tr|A0A5N4DPB6|A0A5N4DPB6_CAMDR, tr|A0A5N4DPU8|A0A5N4DPU8_CAMDR, tr|A0A5N4DPH2|A0A5N4DPH2_CAMDR, tr|A0A5N4DM04|A0A5N4DM04_CAMDR, tr|A0A5N4CBP7|A0A5N4CBP7_CAMDR, tr|A0A5N4CC53|A0A5N4CC53_CAMDR, tr|A0A5N4CBN3|A0A5N4CBN3_CAMDR, tr|A0A5N4DM59|A0A5N4DM59_CAMDR, tr|A0A5N4CB47|A0A5N4CB47_CAMDR, tr|A0A5N4DNQ6|A0A5N4DNQ6_CAMDR, tr|A0A5N4DM31|A0A5N4DM31_CAMDR, tr|A0A5N4DM57|A0A5N4DM57_CAMDR, tr|A0A5N4DN23|A0A5N4DN23_CAMDR, tr|A0A5N4DP58|A0A5N4DP58_CAMDR, tr|A0A5N4E0K7|A0A5N4E0K7_CAMDR, tr|A0A5N4DMQ5|A0A5N4DMQ5_CAMDR, tr|A0A5N4DN05|A0A5N4DN05_CAMDR, tr|A0A5N4DN01|A0A5N4DN01_CAMDR, tr|A0A5N4DPE8|A0A5N4DPE8_CAMDR, tr|A0A5N4DN26|A0A5N4DN26_CAMDR, tr|A0A5N4DPI5|A0A5N4DPI5_CAMDR, tr|A0A5N4DPN0|A0A5N4DPN0_CAMDR, tr|A0A5N4DM82|A0A5N4DM82_CAMDR, tr|A0A5N4DLQ6|A0A5N4DLQ6_CAMDR, tr|A0A5N4CBD0|A0A5N4CBD0_CAMDR, tr|A0A5N4DNI3|A0A5N4DNI3_CAMDR, tr|A0A5N4DMJ3|A0A5N4DMJ3_CAMDR, tr|A0A5N4DM41|A0A5N4DM41_CAMDR, tr|A0A5N4CBN7|A0A5N4CBN7_CAMDR, tr|A0A5N4DP73|A0A5N4DP73_CAMDR, tr|A0A5N4DNI6|A0A5N4DNI6_CAMDR, tr|A0A5N4DL90|A0A5N4DL90_CAMDR, tr|A0A5N4DP39|A0A5N4DP39_CAMDR, tr|A0A5N4DNG4|A0A5N4DNG4_CAMDR, tr|A0A5N4DMW7|A0A5N4DMW7_CAMDR, tr|A0A5N4CD02|A0A5N4CD02_CAMDR, tr|A0A5N4DLA3|A0A5N4DLA3_CAMDR, tr|A0A5N4DLY2|A0A5N4DLY2_CAMDR, tr|A0A5N4CBQ2|A0A5N4CBQ2_CAMDR, tr|A0A5N4DM65|A0A5N4DM65_CAMDR, tr|A0A5N4DNP5|A0A5N4DNP5_CAMDR, tr|A0A5N4DNF3|A0A5N4DNF3_CAMDR, tr|A0A5N4DMQ6|A0A5N4DMQ6_CAMDR, tr|A0A5N4DNQ5|A0A5N4DNQ5_CAMDR, tr|A0A5N4CBL8|A0A5N4CBL8_CAMDR
OG0000006	sp|Q8NH63|O51H1_HUMAN	tr|A0A5N4DM20|A0A5N4DM20_CAMDR
OG0000006	sp|Q9H341|O51M1_HUMAN	tr|A0A5N4DLC9|A0A5N4DLC9_CAMDR
OG0000006	sp|Q9H343|O51I1_HUMAN	tr|A0A5N4DLL0|A0A5N4DLL0_CAMDR, tr|A0A5N4DMH1|A0A5N4DMH1_CAMDR, tr|A0A5N4DLL1|A0A5N4DLL1_CAMDR
OG0000006	sp|Q9H344|O51I2_HUMAN	tr|A0A5N4DLJ5|A0A5N4DLJ5_CAMDR, tr|A0A5N4DMG1|A0A5N4DMG1_CAMDR, tr|A0A5N4DLD3|A0A5N4DLD3_CAMDR
OG0000006	sp|Q8NH59|O51Q1_HUMAN	tr|A0A5N4DP16|A0A5N4DP16_CAMDR, tr|A0A5N4DLD2|A0A5N4DLD2_CAMDR, tr|A0A5N4DP54|A0A5N4DP54_CAMDR, tr|A0A5N4DPC4|A0A5N4DPC4_CAMDR, tr|A0A5N4DLU7|A0A5N4DLU7_CAMDR, tr|A0A5N4DLZ7|A0A5N4DLZ7_CAMDR
OG0000006	sp|A6NGY5|O51F1_HUMAN	tr|A0A5N4DMK0|A0A5N4DMK0_CAMDR
OG0000006	sp|Q8NH61|O51F2_HUMAN	tr|A0A5N4DMB2|A0A5N4DMB2_CAMDR
