Orthogroup	Mus_musculus	Pongo_abelii
OG0000000	tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE	tr|A0A8I5T3I3|A0A8I5T3I3_PONAB
OG0000000	tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE	tr|H2NDH6|H2NDH6_PONAB
OG0000003	sp|Q9D6H2|IFT25_MOUSE	tr|A0A8I5UVM5|A0A8I5UVM5_PONAB
OG0000003	sp|Q8K215|LYRM4_MOUSE	tr|H2P0M0|H2P0M0_PONAB, tr|A0A8I5TGI0|A0A8I5TGI0_PONAB, tr|H2N509|H2N509_PONAB, tr|A0A8I5T152|A0A8I5T152_PONAB, tr|A0A8I5TLE6|A0A8I5TLE6_PONAB, tr|A0A8I5UQL1|A0A8I5UQL1_PONAB, tr|A0A8I5UPA5|A0A8I5UPA5_PONAB, tr|H2NK45|H2NK45_PONAB, tr|A0A8I5UAV7|A0A8I5UAV7_PONAB, tr|A0A8I5TUP4|A0A8I5TUP4_PONAB, tr|A0A8I5T7W1|A0A8I5T7W1_PONAB, tr|A0A8I5U3G1|A0A8I5U3G1_PONAB, tr|A0A8I5US30|A0A8I5US30_PONAB, tr|A0A8I5UVA5|A0A8I5UVA5_PONAB, tr|A0A8I5TBG2|A0A8I5TBG2_PONAB, tr|H2NHY4|H2NHY4_PONAB, tr|A0A8I5TZ86|A0A8I5TZ86_PONAB, tr|A0A8I5TCV7|A0A8I5TCV7_PONAB
OG0000003	sp|P52927|HMGA2_MOUSE	tr|A0A8I5TVI7|A0A8I5TVI7_PONAB, tr|A0A8I5TA80|A0A8I5TA80_PONAB, tr|A0A8I5THT6|A0A8I5THT6_PONAB, tr|H2PAE0|H2PAE0_PONAB, tr|A0A8I5T3W7|A0A8I5T3W7_PONAB, tr|A0A8I5T311|A0A8I5T311_PONAB, tr|A0A8I5UQG5|A0A8I5UQG5_PONAB, tr|A0A8I5YS72|A0A8I5YS72_PONAB, tr|A0A8I5T3H5|A0A8I5T3H5_PONAB, tr|A0A8I5U7P1|A0A8I5U7P1_PONAB
OG0000004	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8I5TP86|A0A8I5TP86_PONAB
OG0000004	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6D2W8G0|A0A6D2W8G0_PONAB
OG0000004	sp|B2RXC5|ZN382_MOUSE	tr|A0A8I5U1Y9|A0A8I5U1Y9_PONAB, sp|Q5RES8|ZN334_PONAB, tr|A0A8I5UA12|A0A8I5UA12_PONAB, tr|A0A8I5YMR9|A0A8I5YMR9_PONAB
OG0000004	tr|Q640N4|Q640N4_MOUSE	tr|A0A2J8XQV6|A0A2J8XQV6_PONAB, tr|A0A8I5UUQ4|A0A8I5UUQ4_PONAB, tr|A0A2J8WNI7|A0A2J8WNI7_PONAB, tr|H2NA66|H2NA66_PONAB, tr|A0A8I5TIA7|A0A8I5TIA7_PONAB, tr|H2NA79|H2NA79_PONAB, tr|A0A8I5TJ34|A0A8I5TJ34_PONAB, tr|H2PCI5|H2PCI5_PONAB, sp|Q5REN4|ZN248_PONAB, tr|A0A8I5YPG9|A0A8I5YPG9_PONAB
OG0000004	tr|A2AE21|A2AE21_MOUSE	tr|A0A8I5TQF8|A0A8I5TQF8_PONAB
