Orthogroup	Mus_musculus	Camelus_ferus 
OG0000002	tr|A0A075B5W7|A0A075B5W7_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, sp|P01749|HVM05_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, sp|P01748|HVM04_MOUSE, sp|P01753|HVM09_MOUSE, sp|P01754|HVM10_MOUSE, sp|P06328|HVM49_MOUSE, tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, sp|P03980|HVM48_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A075B5T8|A0A075B5T8_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, sp|P01746|HVM02_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, sp|P01756|HVM12_MOUSE, sp|P01745|HVM01_MOUSE, sp|P01747|HVM03_MOUSE, sp|P06329|HVM50_MOUSE, sp|P06330|HVM51_MOUSE, sp|P01757|HVM13_MOUSE	tr|S9W7L6|S9W7L6_CAMFR
OG0000005	sp|Q9Z1D7|ZSC12_MOUSE	tr|S9XUT1|S9XUT1_CAMFR
OG0000005	sp|Q8BGS3|ZKSC1_MOUSE	tr|T0NK29|T0NK29_CAMFR
OG0000005	tr|Q8BSL0|Q8BSL0_MOUSE	tr|S9WB75|S9WB75_CAMFR
OG0000005	sp|Q5RJ54|ZSC26_MOUSE	tr|S9WB55|S9WB55_CAMFR
OG0000005	sp|Q9Z1D9|ZN394_MOUSE	tr|S9XR03|S9XR03_CAMFR
OG0000005	tr|Q8BGS5|Q8BGS5_MOUSE	tr|S9XR53|S9XR53_CAMFR
OG0000005	tr|S4R1L6|S4R1L6_MOUSE	tr|S9XR47|S9XR47_CAMFR
OG0000005	tr|E9QAW0|E9QAW0_MOUSE	tr|T0NIW2|T0NIW2_CAMFR, tr|S9YEK7|S9YEK7_CAMFR, tr|S9XBI5|S9XBI5_CAMFR
OG0000005	tr|A2ALW2|A2ALW2_MOUSE	tr|S9YM61|S9YM61_CAMFR, tr|S9YPI6|S9YPI6_CAMFR
OG0000005	sp|Q8R2V3|ZN445_MOUSE	tr|S9XLQ7|S9XLQ7_CAMFR, tr|S9XMZ7|S9XMZ7_CAMFR, tr|S9XF03|S9XF03_CAMFR
OG0000005	tr|B2RTN3|B2RTN3_MOUSE	tr|S9WID2|S9WID2_CAMFR, tr|S9XED2|S9XED2_CAMFR
OG0000005	sp|Q8CF60|ZN263_MOUSE	tr|S9YLJ2|S9YLJ2_CAMFR
OG0000005	tr|Q7TNK4|Q7TNK4_MOUSE	tr|S9X3X7|S9X3X7_CAMFR
OG0000005	sp|Q07231|ZSC21_MOUSE	tr|S9WUR0|S9WUR0_CAMFR, tr|S9YDJ1|S9YDJ1_CAMFR, tr|S9WGA0|S9WGA0_CAMFR, tr|T0MF85|T0MF85_CAMFR
