Orthogroup	Homo_sapiens	Acinonyx_jubatus
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6I9ZUX3|A0A6I9ZUX3_ACIJB
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6I9ZVY7|A0A6I9ZVY7_ACIJB
OG0000000	sp|Q8NH72|OR4C6_HUMAN	tr|A0A6J0A8D1|A0A6J0A8D1_ACIJB, tr|A0A6J0A4N7|A0A6J0A4N7_ACIJB
OG0000000	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A6J0A8C0|A0A6J0A8C0_ACIJB
OG0000000	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A6J0A4P7|A0A6J0A4P7_ACIJB
OG0000000	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A6J0A7J5|A0A6J0A7J5_ACIJB, tr|A0A6J2AI40|A0A6J2AI40_ACIJB, tr|A0A6J0A7L6|A0A6J0A7L6_ACIJB, tr|A0A6J0A4N5|A0A6J0A4N5_ACIJB
OG0000000	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6I9ZUY3|A0A6I9ZUY3_ACIJB
OG0000000	sp|Q8NH49|OR4X1_HUMAN	tr|A0A6I9ZVZ9|A0A6I9ZVZ9_ACIJB
OG0000000	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A6I9ZRF5|A0A6I9ZRF5_ACIJB, tr|A0A6I9ZRG2|A0A6I9ZRG2_ACIJB, tr|A0A6I9ZST4|A0A6I9ZST4_ACIJB
OG0000000	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6I9ZSS4|A0A6I9ZSS4_ACIJB, tr|A0A6I9ZIJ1|A0A6I9ZIJ1_ACIJB, tr|A0A6J0A4M6|A0A6J0A4M6_ACIJB
OG0000000	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6J0A8B4|A0A6J0A8B4_ACIJB, tr|A0A6J0A8G4|A0A6J0A8G4_ACIJB, tr|A0A6J0A4M1|A0A6J0A4M1_ACIJB, tr|A0A6J0A4R6|A0A6J0A4R6_ACIJB, tr|A0A6J0A7J1|A0A6J0A7J1_ACIJB, tr|A0A6J0A4Q6|A0A6J0A4Q6_ACIJB, tr|A0A6J0A4L4|A0A6J0A4L4_ACIJB, tr|A0A6J0A7I4|A0A6J0A7I4_ACIJB, tr|A0A6J0A4N1|A0A6J0A4N1_ACIJB, tr|A0A6J0A780|A0A6J0A780_ACIJB
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|A0A6J0A4N0|A0A6J0A4N0_ACIJB, tr|A0A6J0A785|A0A6J0A785_ACIJB, tr|A0A6I9ZST9|A0A6I9ZST9_ACIJB, tr|A0A6I9ZRG5|A0A6I9ZRG5_ACIJB
