Orthogroup	Homo_sapiens	Balaenoptera_physalus
OG0000000	sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN	tr|A0A643BLD7|A0A643BLD7_BALPH
OG0000000	sp|Q8NGP9|O5AR1_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGG2|OR5T2_HUMAN	tr|A0A6A1Q2N4|A0A6A1Q2N4_BALPH
OG0000000	sp|O95221|OR5F1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|Q8NGC0|O5AU1_HUMAN	tr|A0A643C5F7|A0A643C5F7_BALPH
OG0000000	sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|Q8NGI8|O5AN1_HUMAN	tr|A0A643BUA8|A0A643BUA8_BALPH
OG0000000	sp|Q96RC9|OR8B4_HUMAN	tr|A0A643BLD8|A0A643BLD8_BALPH
OG0000000	sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN	tr|A0A643BLE0|A0A643BLE0_BALPH
OG0000000	sp|Q8NGG7|OR8A1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN	tr|A0A643BLQ1|A0A643BLQ1_BALPH
OG0000000	sp|P0C617|O5AL1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH50|OR8K5_HUMAN	tr|A0A6A1Q298|A0A6A1Q298_BALPH
OG0000000	sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP6|OR5M8_HUMAN	tr|A0A643BK45|A0A643BK45_BALPH
OG0000002	sp|A0A075B6P5|KV228_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN	tr|A0A643BME7|A0A643BME7_BALPH
