Orthogroup	Mus_musculus	Pan_troglodytes
OG0000007	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2I3TWI2|A0A2I3TWI2_PANTR
OG0000007	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2I3SW56|A0A2I3SW56_PANTR
OG0000007	sp|B2RXC5|ZN382_MOUSE	tr|A0A2I3SVA6|A0A2I3SVA6_PANTR, tr|H2QG66|H2QG66_PANTR
OG0000007	sp|Q8BQC8|RBAK_MOUSE	tr|H2RE22|H2RE22_PANTR
OG0000007	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2I3TNU4|A0A2I3TNU4_PANTR, tr|H2QU62|H2QU62_PANTR
OG0000007	tr|Q640N4|Q640N4_MOUSE	tr|A0A2J8JH70|A0A2J8JH70_PANTR, tr|A0A2I3S0E0|A0A2I3S0E0_PANTR, tr|H2Q1T7|H2Q1T7_PANTR, tr|H2QXI9|H2QXI9_PANTR, tr|H2QYI0|H2QYI0_PANTR, tr|A0A2I3T5F9|A0A2I3T5F9_PANTR, tr|A0A2I3SIU9|A0A2I3SIU9_PANTR, tr|H2QZG5|H2QZG5_PANTR
OG0000009	tr|Q8VF85|Q8VF85_MOUSE	tr|H2QA62|H2QA62_PANTR
OG0000009	tr|Q8VET0|Q8VET0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF83|Q8VF83_MOUSE	tr|H2QA61|H2QA61_PANTR
OG0000011	tr|Q8VF06|Q8VF06_MOUSE	tr|A0A2J8P6L9|A0A2J8P6L9_PANTR
OG0000011	tr|Q8VG78|Q8VG78_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|H2Q302|H2Q302_PANTR
OG0000011	tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE	tr|H2RB18|H2RB18_PANTR
OG0000011	tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE	tr|H2Q301|H2Q301_PANTR
OG0000011	tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE	tr|H2Q2Z2|H2Q2Z2_PANTR
