Orthogroup	Mus_musculus	Muntiacus_reevesi
OG0000000	sp|A6X8Z9|TEX55_MOUSE	tr|A0A5N3ULK0|A0A5N3ULK0_MUNRE, tr|A0A5N3XLS9|A0A5N3XLS9_MUNRE, tr|A0A5N3X4C2|A0A5N3X4C2_MUNRE, tr|A0A5J5MWM9|A0A5J5MWM9_MUNRE, tr|A0A5N3USL3|A0A5N3USL3_MUNRE, tr|A0A5J5MMI5|A0A5J5MMI5_MUNRE, tr|A0A5N3XJE4|A0A5N3XJE4_MUNRE, tr|A0A5N3UL12|A0A5N3UL12_MUNRE, tr|A0A5N3XHT2|A0A5N3XHT2_MUNRE, tr|A0A5N3XK26|A0A5N3XK26_MUNRE, tr|A0A5N3UWY9|A0A5N3UWY9_MUNRE, tr|A0A5N3XWE3|A0A5N3XWE3_MUNRE, tr|A0A5N3XRW2|A0A5N3XRW2_MUNRE, tr|A0A5N3VCR2|A0A5N3VCR2_MUNRE, tr|A0A5N3XVE6|A0A5N3XVE6_MUNRE, tr|A0A5N3XEU1|A0A5N3XEU1_MUNRE, tr|A0A5N3XJQ0|A0A5N3XJQ0_MUNRE, tr|A0A5N3XHR6|A0A5N3XHR6_MUNRE, tr|A0A5N3XL63|A0A5N3XL63_MUNRE, tr|A0A5J5MX40|A0A5J5MX40_MUNRE, tr|A0A5N3UNT2|A0A5N3UNT2_MUNRE, tr|A0A5N3X6T0|A0A5N3X6T0_MUNRE, tr|A0A5J5MWT9|A0A5J5MWT9_MUNRE, tr|A0A5N3XFV6|A0A5N3XFV6_MUNRE, tr|A0A5N3X996|A0A5N3X996_MUNRE, tr|A0A5J5N8L4|A0A5J5N8L4_MUNRE, tr|A0A5N3XWB6|A0A5N3XWB6_MUNRE, tr|A0A5N3XP15|A0A5N3XP15_MUNRE, tr|A0A5N3VA83|A0A5N3VA83_MUNRE, tr|A0A5N3W0C3|A0A5N3W0C3_MUNRE, tr|A0A5N3XHH2|A0A5N3XHH2_MUNRE, tr|A0A5N3UN84|A0A5N3UN84_MUNRE, tr|A0A5N3X3M5|A0A5N3X3M5_MUNRE, tr|A0A5J5MQB6|A0A5J5MQB6_MUNRE, tr|A0A5N3VYW8|A0A5N3VYW8_MUNRE, tr|A0A5N3X7A3|A0A5N3X7A3_MUNRE, tr|A0A5N3XI08|A0A5N3XI08_MUNRE, tr|A0A5N3XFV1|A0A5N3XFV1_MUNRE, tr|A0A5N3UMR5|A0A5N3UMR5_MUNRE, tr|A0A5N3VW49|A0A5N3VW49_MUNRE, tr|A0A5N3X2A0|A0A5N3X2A0_MUNRE, tr|A0A5N3XBF6|A0A5N3XBF6_MUNRE, tr|A0A5N3VZ84|A0A5N3VZ84_MUNRE, tr|A0A5J5MFJ2|A0A5J5MFJ2_MUNRE, tr|A0A5N3X4V8|A0A5N3X4V8_MUNRE, tr|A0A5N3X5D4|A0A5N3X5D4_MUNRE, tr|A0A5J5MSR7|A0A5J5MSR7_MUNRE, tr|A0A5N3XHH4|A0A5N3XHH4_MUNRE, tr|A0A5N3W2Y5|A0A5N3W2Y5_MUNRE, tr|A0A5J5MU59|A0A5J5MU59_MUNRE, tr|A0A5J5MLB3|A0A5J5MLB3_MUNRE, tr|A0A5N3XUK7|A0A5N3XUK7_MUNRE, tr|A0A5J5MN79|A0A5J5MN79_MUNRE, tr|A0A5N3XG78|A0A5N3XG78_MUNRE, tr|A0A5N3W066|A0A5N3W066_MUNRE, tr|A0A5N3XEP3|A0A5N3XEP3_MUNRE, tr|A0A5N3XJ59|A0A5N3XJ59_MUNRE, tr|A0A5N3VYM4|A0A5N3VYM4_MUNRE, tr|A0A5J5N9A1|A0A5J5N9A1_MUNRE, tr|A0A5N3XKV2|A0A5N3XKV2_MUNRE, tr|A0A5N3XEC7|A0A5N3XEC7_MUNRE, tr|A0A5J5MPX3|A0A5J5MPX3_MUNRE, tr|A0A5N3XWR7|A0A5N3XWR7_MUNRE, tr|A0A5N3XUL5|A0A5N3XUL5_MUNRE, tr|A0A5J5N2J3|A0A5J5N2J3_MUNRE, tr|A0A5N3XQA5|A0A5N3XQA5_MUNRE, tr|A0A5N3VVJ0|A0A5N3VVJ0_MUNRE, tr|A0A5N3X8L3|A0A5N3X8L3_MUNRE, tr|A0A5N3UX32|A0A5N3UX32_MUNRE, tr|A0A5N3VVL7|A0A5N3VVL7_MUNRE, tr|A0A5N3UKH2|A0A5N3UKH2_MUNRE, tr|A0A5N3X9R6|A0A5N3X9R6_MUNRE, tr|A0A5J5MQ60|A0A5J5MQ60_MUNRE, tr|A0A5N3XB59|A0A5N3XB59_MUNRE, tr|A0A5J5MIH9|A0A5J5MIH9_MUNRE, tr|A0A5N3XCC1|A0A5N3XCC1_MUNRE, tr|A0A5J5MKI5|A0A5J5MKI5_MUNRE, tr|A0A5N3X6S1|A0A5N3X6S1_MUNRE, tr|A0A5N3XSZ1|A0A5N3XSZ1_MUNRE, tr|A0A5N3XW15|A0A5N3XW15_MUNRE, tr|A0A5N3XZE4|A0A5N3XZE4_MUNRE, tr|A0A5N3W1F8|A0A5N3W1F8_MUNRE, tr|A0A5N3X7H4|A0A5N3X7H4_MUNRE, tr|A0A5N3W1S8|A0A5N3W1S8_MUNRE, tr|A0A5N3XAG4|A0A5N3XAG4_MUNRE, tr|A0A5N3XGT3|A0A5N3XGT3_MUNRE, tr|A0A5N3UH57|A0A5N3UH57_MUNRE, tr|A0A5N3X3W5|A0A5N3X3W5_MUNRE, tr|A0A5N3X7R0|A0A5N3X7R0_MUNRE, tr|A0A5N3XP16|A0A5N3XP16_MUNRE, tr|A0A5N3Y249|A0A5N3Y249_MUNRE, tr|A0A5N3X405|A0A5N3X405_MUNRE, tr|A0A5N3XF64|A0A5N3XF64_MUNRE, tr|A0A5N3XG85|A0A5N3XG85_MUNRE, tr|A0A5N3XY40|A0A5N3XY40_MUNRE, tr|A0A5N3UM01|A0A5N3UM01_MUNRE, tr|A0A5J5MLS8|A0A5J5MLS8_MUNRE, tr|A0A5N3XW43|A0A5N3XW43_MUNRE, tr|A0A5N3XIG7|A0A5N3XIG7_MUNRE, tr|A0A5N3UUW8|A0A5N3UUW8_MUNRE, tr|A0A5N3X7J5|A0A5N3X7J5_MUNRE, tr|A0A5N3X5P8|A0A5N3X5P8_MUNRE, tr|A0A5N3XWX0|A0A5N3XWX0_MUNRE, tr|A0A5J5MKU9|A0A5J5MKU9_MUNRE, tr|A0A5N3X9C7|A0A5N3X9C7_MUNRE, tr|A0A5N3VZE8|A0A5N3VZE8_MUNRE, tr|A0A5J5MHC5|A0A5J5MHC5_MUNRE, tr|A0A5N3XYH1|A0A5N3XYH1_MUNRE, tr|A0A5N3XK82|A0A5N3XK82_MUNRE, tr|A0A5N3UMC5|A0A5N3UMC5_MUNRE, tr|A0A5N3V9Y7|A0A5N3V9Y7_MUNRE, tr|A0A5N3UIW4|A0A5N3UIW4_MUNRE, tr|A0A5J5ML17|A0A5J5ML17_MUNRE, tr|A0A5N3ULJ5|A0A5N3ULJ5_MUNRE, tr|A0A5N3UK33|A0A5N3UK33_MUNRE, tr|A0A5N3UI85|A0A5N3UI85_MUNRE, tr|A0A5N3UIM3|A0A5N3UIM3_MUNRE, tr|A0A5N3Y0X3|A0A5N3Y0X3_MUNRE, tr|A0A5N3XGD9|A0A5N3XGD9_MUNRE, tr|A0A5N3XGG8|A0A5N3XGG8_MUNRE, tr|A0A5N3XE62|A0A5N3XE62_MUNRE, tr|A0A5N3XJ71|A0A5N3XJ71_MUNRE, tr|A0A5N3XQ61|A0A5N3XQ61_MUNRE, tr|A0A5J5N1K3|A0A5J5N1K3_MUNRE, tr|A0A5N3XJX2|A0A5N3XJX2_MUNRE, tr|A0A5N3XGP7|A0A5N3XGP7_MUNRE, tr|A0A5N3XVV1|A0A5N3XVV1_MUNRE, tr|A0A5N3XAJ1|A0A5N3XAJ1_MUNRE, tr|A0A5N3XAR0|A0A5N3XAR0_MUNRE, tr|A0A5N3X6R1|A0A5N3X6R1_MUNRE, tr|A0A5N3VA82|A0A5N3VA82_MUNRE, tr|A0A5J5N8Z0|A0A5J5N8Z0_MUNRE, tr|A0A5N3XB66|A0A5N3XB66_MUNRE, tr|A0A5N3UPU8|A0A5N3UPU8_MUNRE, tr|A0A5N3VVL1|A0A5N3VVL1_MUNRE, tr|A0A5N3W1G5|A0A5N3W1G5_MUNRE, tr|A0A5J5MJE5|A0A5J5MJE5_MUNRE, tr|A0A5N3ULA6|A0A5N3ULA6_MUNRE, tr|A0A5N3URY2|A0A5N3URY2_MUNRE, tr|A0A5N3VX53|A0A5N3VX53_MUNRE, tr|A0A5N3VAH0|A0A5N3VAH0_MUNRE, tr|A0A5N3XSL3|A0A5N3XSL3_MUNRE, tr|A0A5N3XQ67|A0A5N3XQ67_MUNRE, tr|A0A5N3W1H9|A0A5N3W1H9_MUNRE, tr|A0A5N3XJF6|A0A5N3XJF6_MUNRE, tr|A0A5N3XGL1|A0A5N3XGL1_MUNRE, tr|A0A5N3XLK9|A0A5N3XLK9_MUNRE, tr|A0A5N3VVD2|A0A5N3VVD2_MUNRE, tr|A0A5N3VZR8|A0A5N3VZR8_MUNRE, tr|A0A5N3UI45|A0A5N3UI45_MUNRE, tr|A0A5N3UM80|A0A5N3UM80_MUNRE, tr|A0A5N3XDK5|A0A5N3XDK5_MUNRE, tr|A0A5N3XM45|A0A5N3XM45_MUNRE, tr|A0A5N3X5B0|A0A5N3X5B0_MUNRE, tr|A0A5N3UK07|A0A5N3UK07_MUNRE, tr|A0A5N3X5H8|A0A5N3X5H8_MUNRE, tr|A0A5N3XRW8|A0A5N3XRW8_MUNRE, tr|A0A5N3XE03|A0A5N3XE03_MUNRE, tr|A0A5N3XM47|A0A5N3XM47_MUNRE, tr|A0A5J5N5Z4|A0A5J5N5Z4_MUNRE, tr|A0A5N3VCK3|A0A5N3VCK3_MUNRE, tr|A0A5N3VBY0|A0A5N3VBY0_MUNRE, tr|A0A5N3XCX4|A0A5N3XCX4_MUNRE, tr|A0A5N3XQ71|A0A5N3XQ71_MUNRE, tr|A0A5N3X573|A0A5N3X573_MUNRE, tr|A0A5N3W2S2|A0A5N3W2S2_MUNRE, tr|A0A5N3X6T4|A0A5N3X6T4_MUNRE, tr|A0A5N3X7W8|A0A5N3X7W8_MUNRE, tr|A0A5J5MGP4|A0A5J5MGP4_MUNRE, tr|A0A5N3XIP3|A0A5N3XIP3_MUNRE, tr|A0A5J5N7N4|A0A5J5N7N4_MUNRE, tr|A0A5N3XPL4|A0A5N3XPL4_MUNRE, tr|A0A5N3X8S1|A0A5N3X8S1_MUNRE, tr|A0A5N3XNM0|A0A5N3XNM0_MUNRE, tr|A0A5N3XFV9|A0A5N3XFV9_MUNRE, tr|A0A5J5MLE3|A0A5J5MLE3_MUNRE, tr|A0A5N3W304|A0A5N3W304_MUNRE, tr|A0A5J5MS96|A0A5J5MS96_MUNRE
OG0000001	sp|Q587J6|LITD1_MOUSE	tr|A0A5N3XE64|A0A5N3XE64_MUNRE
OG0000001	sp|P11260|LORF1_MOUSE	tr|A0A5N3X2M6|A0A5N3X2M6_MUNRE, tr|A0A5N3UVR7|A0A5N3UVR7_MUNRE, tr|A0A5N3USZ4|A0A5N3USZ4_MUNRE, tr|A0A5N3VY30|A0A5N3VY30_MUNRE, tr|A0A5N3XI33|A0A5N3XI33_MUNRE, tr|A0A5N3X8W4|A0A5N3X8W4_MUNRE, tr|A0A5N3W2Z8|A0A5N3W2Z8_MUNRE, tr|A0A5N3XJC2|A0A5N3XJC2_MUNRE, tr|A0A5N3UJQ0|A0A5N3UJQ0_MUNRE, tr|A0A5N3XD58|A0A5N3XD58_MUNRE, tr|A0A5N3VZW8|A0A5N3VZW8_MUNRE, tr|A0A5N3USJ0|A0A5N3USJ0_MUNRE, tr|A0A5N3VWZ1|A0A5N3VWZ1_MUNRE, tr|A0A5N3X4L8|A0A5N3X4L8_MUNRE, tr|A0A5N3X7A5|A0A5N3X7A5_MUNRE, tr|A0A5J5N7D5|A0A5J5N7D5_MUNRE, tr|A0A5N3W1L4|A0A5N3W1L4_MUNRE, tr|A0A5N3ULM0|A0A5N3ULM0_MUNRE, tr|A0A5N3VA72|A0A5N3VA72_MUNRE, tr|A0A5N3VZ66|A0A5N3VZ66_MUNRE, tr|A0A5N3VVR5|A0A5N3VVR5_MUNRE, tr|A0A5N3W1F2|A0A5N3W1F2_MUNRE, tr|A0A5N3XI47|A0A5N3XI47_MUNRE, tr|A0A5J5MVW8|A0A5J5MVW8_MUNRE, tr|A0A5N3W1M2|A0A5N3W1M2_MUNRE, tr|A0A5J5MGL7|A0A5J5MGL7_MUNRE, tr|A0A5N3UM00|A0A5N3UM00_MUNRE, tr|A0A5N3XQ76|A0A5N3XQ76_MUNRE, tr|A0A5J5MLF6|A0A5J5MLF6_MUNRE, tr|A0A5J5MIR2|A0A5J5MIR2_MUNRE, tr|A0A5N3XFZ8|A0A5N3XFZ8_MUNRE, tr|A0A5J5MV48|A0A5J5MV48_MUNRE, tr|A0A5N3X6Y3|A0A5N3X6Y3_MUNRE, tr|A0A5J5ML75|A0A5J5ML75_MUNRE, tr|A0A5N3XCF2|A0A5N3XCF2_MUNRE, tr|A0A5N3XEL8|A0A5N3XEL8_MUNRE, tr|A0A5N3XLQ4|A0A5N3XLQ4_MUNRE, tr|A0A5N3XUZ3|A0A5N3XUZ3_MUNRE, tr|A0A5N3XNX5|A0A5N3XNX5_MUNRE, tr|A0A5J5MK36|A0A5J5MK36_MUNRE, tr|A0A5N3XCR5|A0A5N3XCR5_MUNRE, tr|A0A5J5MW51|A0A5J5MW51_MUNRE, tr|A0A5N3XL20|A0A5N3XL20_MUNRE, tr|A0A5N3XBG8|A0A5N3XBG8_MUNRE, tr|A0A5N3Y072|A0A5N3Y072_MUNRE, tr|A0A5N3X6Z3|A0A5N3X6Z3_MUNRE, tr|A0A5N3X674|A0A5N3X674_MUNRE, tr|A0A5N3X9V8|A0A5N3X9V8_MUNRE, tr|A0A5N3XMR4|A0A5N3XMR4_MUNRE, tr|A0A5N3VXI2|A0A5N3VXI2_MUNRE, tr|A0A5N3XNP4|A0A5N3XNP4_MUNRE, tr|A0A5J5MIX5|A0A5J5MIX5_MUNRE, tr|A0A5N3UP14|A0A5N3UP14_MUNRE, tr|A0A5N3XPC8|A0A5N3XPC8_MUNRE, tr|A0A5N3USJ9|A0A5N3USJ9_MUNRE, tr|A0A5N3UMJ0|A0A5N3UMJ0_MUNRE, tr|A0A5N3VUU4|A0A5N3VUU4_MUNRE, tr|A0A5N3VVN7|A0A5N3VVN7_MUNRE, tr|A0A5N3VYQ7|A0A5N3VYQ7_MUNRE, tr|A0A5N3UUX4|A0A5N3UUX4_MUNRE, tr|A0A5N3UIY8|A0A5N3UIY8_MUNRE, tr|A0A5N3W0H5|A0A5N3W0H5_MUNRE, tr|A0A5N3VBT1|A0A5N3VBT1_MUNRE, tr|A0A5N3VV58|A0A5N3VV58_MUNRE, tr|A0A5N3UQK7|A0A5N3UQK7_MUNRE, tr|A0A5N3UVL6|A0A5N3UVL6_MUNRE, tr|A0A5N3XX73|A0A5N3XX73_MUNRE, tr|A0A5N3UHQ1|A0A5N3UHQ1_MUNRE, tr|A0A5J5MIR0|A0A5J5MIR0_MUNRE, tr|A0A5N3W5R4|A0A5N3W5R4_MUNRE, tr|A0A5N3XDK3|A0A5N3XDK3_MUNRE, tr|A0A5N3XB83|A0A5N3XB83_MUNRE, tr|A0A5N3XQ84|A0A5N3XQ84_MUNRE, tr|A0A5N3UVZ0|A0A5N3UVZ0_MUNRE, tr|A0A5N3VW46|A0A5N3VW46_MUNRE, tr|A0A5N3XWU9|A0A5N3XWU9_MUNRE, tr|A0A5N3WZU5|A0A5N3WZU5_MUNRE, tr|A0A5N3X1X1|A0A5N3X1X1_MUNRE, tr|A0A5N3XVC0|A0A5N3XVC0_MUNRE, tr|A0A5N3XWA8|A0A5N3XWA8_MUNRE, tr|A0A5J5MQC1|A0A5J5MQC1_MUNRE, tr|A0A5N3W255|A0A5N3W255_MUNRE, tr|A0A5N3W2E5|A0A5N3W2E5_MUNRE, tr|A0A5N3XV31|A0A5N3XV31_MUNRE, tr|A0A5N3W1X9|A0A5N3W1X9_MUNRE, tr|A0A5N3Y028|A0A5N3Y028_MUNRE, tr|A0A5N3X7F1|A0A5N3X7F1_MUNRE, tr|A0A5N3XBP3|A0A5N3XBP3_MUNRE, tr|A0A5N3XIM8|A0A5N3XIM8_MUNRE, tr|A0A5N3XRI4|A0A5N3XRI4_MUNRE, tr|A0A5N3UVY1|A0A5N3UVY1_MUNRE, tr|A0A5N3W276|A0A5N3W276_MUNRE, tr|A0A5N3XHK8|A0A5N3XHK8_MUNRE, tr|A0A5N3VZD8|A0A5N3VZD8_MUNRE, tr|A0A5N3X404|A0A5N3X404_MUNRE, tr|A0A5N3XMK3|A0A5N3XMK3_MUNRE, tr|A0A5N3XL39|A0A5N3XL39_MUNRE, tr|A0A5N3X3D6|A0A5N3X3D6_MUNRE, tr|A0A5N3W1C2|A0A5N3W1C2_MUNRE, tr|A0A5N3VXW4|A0A5N3VXW4_MUNRE, tr|A0A5N3VZR5|A0A5N3VZR5_MUNRE, tr|A0A5N3VXZ8|A0A5N3VXZ8_MUNRE, tr|A0A5N3XN68|A0A5N3XN68_MUNRE, tr|A0A5N3VA06|A0A5N3VA06_MUNRE, tr|A0A5N3X8U9|A0A5N3X8U9_MUNRE, tr|A0A5N3XGQ9|A0A5N3XGQ9_MUNRE, tr|A0A5N3USC2|A0A5N3USC2_MUNRE, tr|A0A5N3X4J7|A0A5N3X4J7_MUNRE, tr|A0A5J5N2V6|A0A5J5N2V6_MUNRE, tr|A0A5J5MW46|A0A5J5MW46_MUNRE, tr|A0A5N3XVD6|A0A5N3XVD6_MUNRE, tr|A0A5N3XUQ6|A0A5N3XUQ6_MUNRE, tr|A0A5N3XBR6|A0A5N3XBR6_MUNRE, tr|A0A5N3X2D2|A0A5N3X2D2_MUNRE, tr|A0A5N3XTI7|A0A5N3XTI7_MUNRE, tr|A0A5N3XYK3|A0A5N3XYK3_MUNRE, tr|A0A5N3X5C6|A0A5N3X5C6_MUNRE, tr|A0A5N3VYQ9|A0A5N3VYQ9_MUNRE, tr|A0A5N3XKA7|A0A5N3XKA7_MUNRE, tr|A0A5N3X649|A0A5N3X649_MUNRE, tr|A0A5J5MUW9|A0A5J5MUW9_MUNRE, tr|A0A5J5MXW2|A0A5J5MXW2_MUNRE, tr|A0A5N3XGA8|A0A5N3XGA8_MUNRE, tr|A0A5N3XRD1|A0A5N3XRD1_MUNRE, tr|A0A5N3X6I2|A0A5N3X6I2_MUNRE, tr|A0A5N3X210|A0A5N3X210_MUNRE, tr|A0A5N3W4U7|A0A5N3W4U7_MUNRE, tr|A0A5N3UUM7|A0A5N3UUM7_MUNRE, tr|A0A5N3X8K4|A0A5N3X8K4_MUNRE, tr|A0A5N3XW98|A0A5N3XW98_MUNRE, tr|A0A5N3X217|A0A5N3X217_MUNRE, tr|A0A5N3X3S3|A0A5N3X3S3_MUNRE, tr|A0A5N3X8B4|A0A5N3X8B4_MUNRE, tr|A0A5N3W4S3|A0A5N3W4S3_MUNRE, tr|A0A5N3XQS4|A0A5N3XQS4_MUNRE, tr|A0A5N3VZ92|A0A5N3VZ92_MUNRE, tr|A0A5N3XHF2|A0A5N3XHF2_MUNRE, tr|A0A5N3Y018|A0A5N3Y018_MUNRE, tr|A0A5N3XH15|A0A5N3XH15_MUNRE, tr|A0A5N3UKK2|A0A5N3UKK2_MUNRE
OG0000004	sp|Q6P560|ZN182_MOUSE	tr|A0A5N3UN20|A0A5N3UN20_MUNRE
OG0000004	sp|Q80W31|ZN569_MOUSE	tr|A0A5J5MNM3|A0A5J5MNM3_MUNRE, tr|A0A5J5MVN8|A0A5J5MVN8_MUNRE, tr|A0A5J5MTT3|A0A5J5MTT3_MUNRE, tr|A0A5J5MYV3|A0A5J5MYV3_MUNRE
OG0000004	sp|B2RXC5|ZN382_MOUSE	tr|A0A5J5N3P2|A0A5J5N3P2_MUNRE, tr|A0A5J5MV08|A0A5J5MV08_MUNRE, tr|A0A5J5MRB3|A0A5J5MRB3_MUNRE, tr|A0A5N3W0I4|A0A5N3W0I4_MUNRE, tr|A0A5N3VVQ0|A0A5N3VVQ0_MUNRE, tr|A0A5J5MTQ4|A0A5J5MTQ4_MUNRE, tr|A0A5N3XHA4|A0A5N3XHA4_MUNRE, tr|A0A5J5MWA1|A0A5J5MWA1_MUNRE, tr|A0A5J5N4Q8|A0A5J5N4Q8_MUNRE, tr|A0A5J5MRN5|A0A5J5MRN5_MUNRE, tr|A0A5J5MVD1|A0A5J5MVD1_MUNRE, tr|A0A5J5MY74|A0A5J5MY74_MUNRE, tr|A0A5J5MSV0|A0A5J5MSV0_MUNRE, tr|A0A5J5MS27|A0A5J5MS27_MUNRE, tr|A0A5J5MV22|A0A5J5MV22_MUNRE
OG0000004	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A5J5MXN1|A0A5J5MXN1_MUNRE, tr|A0A5J5MUY2|A0A5J5MUY2_MUNRE, tr|A0A5J5MT69|A0A5J5MT69_MUNRE, tr|A0A5J5MT43|A0A5J5MT43_MUNRE, tr|A0A5J5MTH7|A0A5J5MTH7_MUNRE, tr|A0A5J5MSC2|A0A5J5MSC2_MUNRE, tr|A0A5J5MSH6|A0A5J5MSH6_MUNRE, tr|A0A5J5MUM0|A0A5J5MUM0_MUNRE, tr|A0A5J5MS22|A0A5J5MS22_MUNRE, tr|A0A5N3X8E3|A0A5N3X8E3_MUNRE, tr|A0A5N3XA77|A0A5N3XA77_MUNRE, tr|A0A5N3X8M6|A0A5N3X8M6_MUNRE, tr|A0A5N3X8U3|A0A5N3X8U3_MUNRE, tr|A0A5N3X7F2|A0A5N3X7F2_MUNRE
OG0000004	sp|P17141|ZFP37_MOUSE	tr|A0A5N3VYY6|A0A5N3VYY6_MUNRE, tr|A0A5N3XF90|A0A5N3XF90_MUNRE, tr|A0A5N3XJ22|A0A5N3XJ22_MUNRE, tr|A0A5N3XH54|A0A5N3XH54_MUNRE
OG0000006	sp|Q6P5D4|CP135_MOUSE	tr|A0A5N3VVY4|A0A5N3VVY4_MUNRE
OG0000006	sp|Q8K4F0|CD226_MOUSE	tr|A0A5N3XG15|A0A5N3XG15_MUNRE, tr|A0A5N3X3H7|A0A5N3X3H7_MUNRE, tr|A0A5J5MPC6|A0A5J5MPC6_MUNRE, tr|A0A5N3VCX3|A0A5N3VCX3_MUNRE, tr|A0A5N3XVF8|A0A5N3XVF8_MUNRE, tr|A0A5N3W018|A0A5N3W018_MUNRE, tr|A0A5N3X9A9|A0A5N3X9A9_MUNRE, tr|A0A5N3UKE1|A0A5N3UKE1_MUNRE, tr|A0A5J5N3E6|A0A5J5N3E6_MUNRE, tr|A0A5J5NC72|A0A5J5NC72_MUNRE, tr|A0A5N3X3X6|A0A5N3X3X6_MUNRE, tr|A0A5N3XI54|A0A5N3XI54_MUNRE, tr|A0A5N3XDK6|A0A5N3XDK6_MUNRE, tr|A0A5N3X7W5|A0A5N3X7W5_MUNRE, tr|A0A5N3ULS9|A0A5N3ULS9_MUNRE, tr|A0A5N3XAI4|A0A5N3XAI4_MUNRE, tr|A0A5N3X839|A0A5N3X839_MUNRE, tr|A0A5J5MJ06|A0A5J5MJ06_MUNRE, tr|A0A5N3XFR4|A0A5N3XFR4_MUNRE, tr|A0A5N3XGZ7|A0A5N3XGZ7_MUNRE, tr|A0A5N3X621|A0A5N3X621_MUNRE, tr|A0A5N3XQU9|A0A5N3XQU9_MUNRE, tr|A0A5N3XFA5|A0A5N3XFA5_MUNRE, tr|A0A5J5MI33|A0A5J5MI33_MUNRE, tr|A0A5N3X8Z7|A0A5N3X8Z7_MUNRE, tr|A0A5N3X6U7|A0A5N3X6U7_MUNRE, tr|A0A5N3XIK7|A0A5N3XIK7_MUNRE, tr|A0A5N3XWX8|A0A5N3XWX8_MUNRE, tr|A0A5N3XGF5|A0A5N3XGF5_MUNRE, tr|A0A5J5MUI1|A0A5J5MUI1_MUNRE, tr|A0A5N3UKX2|A0A5N3UKX2_MUNRE, tr|A0A5N3UIW7|A0A5N3UIW7_MUNRE, tr|A0A5N3VCG8|A0A5N3VCG8_MUNRE, tr|A0A5N3UW41|A0A5N3UW41_MUNRE, tr|A0A5N3URI1|A0A5N3URI1_MUNRE, tr|A0A5N3VA08|A0A5N3VA08_MUNRE, tr|A0A5N3UKY4|A0A5N3UKY4_MUNRE, tr|A0A5N3UMU4|A0A5N3UMU4_MUNRE, tr|A0A5N3UKU3|A0A5N3UKU3_MUNRE, tr|A0A5N3UT96|A0A5N3UT96_MUNRE, tr|A0A5J5MQ77|A0A5J5MQ77_MUNRE, tr|A0A5N3XF09|A0A5N3XF09_MUNRE, tr|A0A5N3X9D5|A0A5N3X9D5_MUNRE, tr|A0A5N3VYI2|A0A5N3VYI2_MUNRE, tr|A0A5J5N0M8|A0A5J5N0M8_MUNRE, tr|A0A5J5MM12|A0A5J5MM12_MUNRE, tr|A0A5N3XR00|A0A5N3XR00_MUNRE, tr|A0A5N3XLR0|A0A5N3XLR0_MUNRE, tr|A0A5J5MTX6|A0A5J5MTX6_MUNRE, tr|A0A5N3XXV1|A0A5N3XXV1_MUNRE, tr|A0A5N3XVS3|A0A5N3XVS3_MUNRE, tr|A0A5N3XC67|A0A5N3XC67_MUNRE, tr|A0A5N3XV71|A0A5N3XV71_MUNRE, tr|A0A5N3XX96|A0A5N3XX96_MUNRE
