Orthogroup	Mus_musculus	Ailuropoda_melanoleuca
OG0000002	sp|G3X9G7|ZN809_MOUSE	tr|G1M317|G1M317_AILME
OG0000002	tr|Q923D1|Q923D1_MOUSE	tr|A0A7N5JJF1|A0A7N5JJF1_AILME, tr|G1LTL1|G1LTL1_AILME, tr|A0A7N5JZW5|A0A7N5JZW5_AILME, tr|G1LFJ9|G1LFJ9_AILME
OG0000002	sp|Q7TSH9|ZN184_MOUSE	tr|A0A7N5JTE1|A0A7N5JTE1_AILME, tr|A0A7N5JQD8|A0A7N5JQD8_AILME, tr|A0A7N5JEF7|A0A7N5JEF7_AILME, tr|G1LNZ8|G1LNZ8_AILME, tr|G1LKS4|G1LKS4_AILME, tr|A0A7N5P157|A0A7N5P157_AILME, tr|A0A7N5KNB9|A0A7N5KNB9_AILME, tr|G1LN27|G1LN27_AILME
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|A0A7N5P9K0|A0A7N5P9K0_AILME, tr|A0A7N5KJJ9|A0A7N5KJJ9_AILME, tr|G1KZV7|G1KZV7_AILME, tr|A0A7N5KGI8|A0A7N5KGI8_AILME, tr|A0A7N5KJY6|A0A7N5KJY6_AILME, tr|G1LLU0|G1LLU0_AILME, tr|A0A7N5JLG4|A0A7N5JLG4_AILME, tr|A0A7N5JWZ4|A0A7N5JWZ4_AILME, tr|A0A7N5KPB0|A0A7N5KPB0_AILME, tr|A0A7N5KNV4|A0A7N5KNV4_AILME, tr|G1LJC5|G1LJC5_AILME, tr|G1LJB3|G1LJB3_AILME, tr|A0A7N5P2T4|A0A7N5P2T4_AILME
OG0000002	sp|B2RXC5|ZN382_MOUSE	tr|A0A7N5P825|A0A7N5P825_AILME, tr|G1MCN2|G1MCN2_AILME, tr|A0A7N5J8Y3|A0A7N5J8Y3_AILME
OG0000002	tr|E9QAH2|E9QAH2_MOUSE	tr|G1M421|G1M421_AILME, tr|A0A7N5P573|A0A7N5P573_AILME, tr|A0A7N5KMJ0|A0A7N5KMJ0_AILME, tr|A0A7N5KD66|A0A7N5KD66_AILME, tr|A0A7N5JMG8|A0A7N5JMG8_AILME, tr|A0A7N5KA58|A0A7N5KA58_AILME, tr|D2HXQ0|D2HXQ0_AILME, tr|A0A7N5JIU0|A0A7N5JIU0_AILME, tr|G1M423|G1M423_AILME
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|G1M823|G1M823_AILME, tr|G1LA50|G1LA50_AILME, tr|G1M2G2|G1M2G2_AILME
OG0000002	sp|P17141|ZFP37_MOUSE	tr|G1LLC5|G1LLC5_AILME, tr|A0A7N5PA12|A0A7N5PA12_AILME
OG0000009	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A7N5K5W7|A0A7N5K5W7_AILME, tr|G1MLB1|G1MLB1_AILME, tr|A0A7N5P3W6|A0A7N5P3W6_AILME, tr|G1LRZ1|G1LRZ1_AILME, tr|G1MMY3|G1MMY3_AILME, tr|A0A7N5JR96|A0A7N5JR96_AILME, tr|A0A7N5KS00|A0A7N5KS00_AILME, tr|G1LY12|G1LY12_AILME, tr|G1MK06|G1MK06_AILME, tr|A0A7N5K8J4|A0A7N5K8J4_AILME, tr|A0A7N5P0W1|A0A7N5P0W1_AILME, tr|G1LND8|G1LND8_AILME, tr|A0A7N5PAE8|A0A7N5PAE8_AILME, tr|G1LLT0|G1LLT0_AILME, tr|A0A7N5KKK7|A0A7N5KKK7_AILME, tr|G1MKX3|G1MKX3_AILME, tr|G1M0F4|G1M0F4_AILME, tr|A0A7N5K9Q5|A0A7N5K9Q5_AILME, tr|G1M4F1|G1M4F1_AILME, tr|A0A7N5K5Z3|A0A7N5K5Z3_AILME, tr|A0A7N5P4R8|A0A7N5P4R8_AILME, tr|A0A7N5KDJ0|A0A7N5KDJ0_AILME, tr|A0A7N5KAS5|A0A7N5KAS5_AILME, tr|A0A7N5KN83|A0A7N5KN83_AILME, tr|A0A7N5NZT1|A0A7N5NZT1_AILME, tr|A0A7N5JPX0|A0A7N5JPX0_AILME, tr|A0A7N5K6Z7|A0A7N5K6Z7_AILME, tr|A0A7N5JAC3|A0A7N5JAC3_AILME, tr|G1LVA7|G1LVA7_AILME, tr|A0A7N5K939|A0A7N5K939_AILME, tr|A0A7N5K2E1|A0A7N5K2E1_AILME, tr|A0A7N5P067|A0A7N5P067_AILME, tr|G1MNV7|G1MNV7_AILME, tr|A0A7N5K7M5|A0A7N5K7M5_AILME, tr|A0A7N5P1S5|A0A7N5P1S5_AILME, tr|A0A7N5KR26|A0A7N5KR26_AILME, tr|A0A7N5P6M0|A0A7N5P6M0_AILME, tr|A0A7N5KJW4|A0A7N5KJW4_AILME, tr|A0A7N5K434|A0A7N5K434_AILME, tr|A0A7N5P7P5|A0A7N5P7P5_AILME, tr|G1M3A9|G1M3A9_AILME, tr|A0A7N5JD59|A0A7N5JD59_AILME, tr|A0A7N5P2W8|A0A7N5P2W8_AILME
OG0000014	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A7N5JUP2|A0A7N5JUP2_AILME
