Orthogroup	Mus_musculus	Rattus_norvegicus
OG0000001	tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q9CXH3|Q9CXH3_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A2ANU7|A2ANU7_MOUSE, sp|Q8BZW4|ZN120_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|L7N248|L7N248_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|A0A1W2P6H7|A0A1W2P6H7_MOUSE, tr|A0A0J9YUD4|A0A0J9YUD4_MOUSE, tr|A0A0J9YVH3|A0A0J9YVH3_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|A0A087WNP5|A0A087WNP5_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|L7N267|L7N267_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|F7D043|F7D043_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE	tr|A0A8I6AS42|A0A8I6AS42_RAT
OG0000005	tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50709|DFA11_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50708|DFA10_MOUSE, sp|Q3L180|DFA26_MOUSE, tr|L7N231|L7N231_MOUSE, sp|P28310|DEFA3_MOUSE, tr|F2Z403|F2Z403_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50706|DEFA8_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50713|DFA15_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, tr|D3YX03|D3YX03_MOUSE, tr|Q9D848|Q9D848_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE	tr|A0A8I6GLV0|A0A8I6GLV0_RAT
OG0000008	sp|P11260|LORF1_MOUSE	tr|A0A8I6GBN6|A0A8I6GBN6_RAT, tr|A0A8I6A1C7|A0A8I6A1C7_RAT, tr|A0A8I6ACV9|A0A8I6ACV9_RAT, tr|Q6TXG1|Q6TXG1_RAT, tr|A0A8I5ZPP6|A0A8I5ZPP6_RAT, tr|Q6QI38|Q6QI38_RAT, tr|F7FCR7|F7FCR7_RAT, tr|Q6QI82|Q6QI82_RAT, tr|A0A8I5ZXT0|A0A8I5ZXT0_RAT, tr|F1M834|F1M834_RAT, tr|Q6TXH9|Q6TXH9_RAT, tr|A0A8I6AKB4|A0A8I6AKB4_RAT, tr|A0A8I5ZR50|A0A8I5ZR50_RAT, tr|Q4JFV4|Q4JFV4_RAT, tr|A0A8I5ZLT0|A0A8I5ZLT0_RAT, tr|A0A8I5ZVF4|A0A8I5ZVF4_RAT, tr|A0A8I5Y9T1|A0A8I5Y9T1_RAT, tr|A0A8I5ZSC4|A0A8I5ZSC4_RAT, tr|A0A0G2JVX1|A0A0G2JVX1_RAT, tr|A0A8I6ACP3|A0A8I6ACP3_RAT, tr|M0R606|M0R606_RAT, tr|A0A0G2K002|A0A0G2K002_RAT, tr|A0A0G2K1P6|A0A0G2K1P6_RAT, tr|A0A0G2K1W6|A0A0G2K1W6_RAT, tr|A0A8I6AJ21|A0A8I6AJ21_RAT, tr|A0A8I5YBW1|A0A8I5YBW1_RAT, tr|A0A0G2K433|A0A0G2K433_RAT, tr|F7F9J5|F7F9J5_RAT, tr|A0A8I6AUZ5|A0A8I6AUZ5_RAT, tr|M0RAH1|M0RAH1_RAT, tr|A0A0G2K9M1|A0A0G2K9M1_RAT, tr|A0A8I6ASW1|A0A8I6ASW1_RAT, tr|A0A8I6GDK9|A0A8I6GDK9_RAT, tr|M0R6A8|M0R6A8_RAT, tr|A0A8I6A1P3|A0A8I6A1P3_RAT, tr|M0R6H0|M0R6H0_RAT, tr|A0A8I5YC17|A0A8I5YC17_RAT, tr|M0RD43|M0RD43_RAT
OG0000014	tr|E0CXS8|E0CXS8_MOUSE	tr|A0A8I5ZRP5|A0A8I5ZRP5_RAT, tr|A0A8I5ZYT5|A0A8I5ZYT5_RAT, tr|A0A8I6A9R9|A0A8I6A9R9_RAT
OG0000014	tr|Q9CZU9|Q9CZU9_MOUSE	tr|A0A8I6ANF3|A0A8I6ANF3_RAT, tr|A0A8I5ZPA9|A0A8I5ZPA9_RAT, tr|A0A8I6A488|A0A8I6A488_RAT, tr|A0A8I5ZMJ7|A0A8I5ZMJ7_RAT, tr|A0A8I5ZJI5|A0A8I5ZJI5_RAT, tr|A0A8I6A675|A0A8I6A675_RAT, tr|A0A8I6A9V5|A0A8I6A9V5_RAT, tr|A0A8I6A4E8|A0A8I6A4E8_RAT, tr|A0A8I6AGD1|A0A8I6AGD1_RAT, tr|A0A8I5Y4B9|A0A8I5Y4B9_RAT, tr|A0A8I5ZVD0|A0A8I5ZVD0_RAT, tr|A0A8I6AD16|A0A8I6AD16_RAT, tr|A0A8I6AL02|A0A8I6AL02_RAT, tr|A0A8I5ZKY5|A0A8I5ZKY5_RAT, tr|A0A8I5Y046|A0A8I5Y046_RAT, tr|A0A8I6GEU3|A0A8I6GEU3_RAT, tr|A0A8I5ZPX7|A0A8I5ZPX7_RAT, tr|A0A8I5ZPQ4|A0A8I5ZPQ4_RAT, tr|A0A8I6AE56|A0A8I6AE56_RAT, tr|A0A8I5ZYQ1|A0A8I5ZYQ1_RAT, tr|A0A8I5Y149|A0A8I5Y149_RAT, tr|A0A8I6A4G4|A0A8I6A4G4_RAT, tr|A0A8I6A0Q3|A0A8I6A0Q3_RAT, tr|A0A8I5ZQA2|A0A8I5ZQA2_RAT, tr|A0A8I6AEH0|A0A8I6AEH0_RAT, tr|A0A8I6ALP2|A0A8I6ALP2_RAT
OG0000015	tr|Q7TR42|Q7TR42_MOUSE	tr|D3ZA29|D3ZA29_RAT
OG0000015	tr|Q7TR39|Q7TR39_MOUSE	tr|D4A4L0|D4A4L0_RAT
OG0000015	tr|Q8VFQ7|Q8VFQ7_MOUSE	tr|M0R4T0|M0R4T0_RAT
OG0000015	tr|Q7TR40|Q7TR40_MOUSE	tr|D3ZKQ1|D3ZKQ1_RAT
OG0000015	tr|Q0VBI4|Q0VBI4_MOUSE	tr|D3Z8G1|D3Z8G1_RAT, tr|D4AAC2|D4AAC2_RAT
