Orthogroup	Mus_musculus	Phascolarctos_cinereus
OG0000011	sp|Q05421|CP2E1_MOUSE	tr|A0A6P5KWW0|A0A6P5KWW0_PHACI
OG0000011	tr|Q9WV19|Q9WV19_MOUSE	tr|A0A6P5L0C2|A0A6P5L0C2_PHACI, tr|A0A6P5JBU2|A0A6P5JBU2_PHACI, tr|A0A6P5JBF4|A0A6P5JBF4_PHACI, tr|A0A6P5JWJ0|A0A6P5JWJ0_PHACI, tr|A0A6P5JSK3|A0A6P5JSK3_PHACI, tr|A0A6P5JPY4|A0A6P5JPY4_PHACI, tr|A0A6P5JQ83|A0A6P5JQ83_PHACI, tr|A0A6P5JWM6|A0A6P5JWM6_PHACI, tr|A0A6P5JSJ2|A0A6P5JSJ2_PHACI, tr|A0A6P5JSJ8|A0A6P5JSJ8_PHACI, tr|A0A6P5JQN0|A0A6P5JQN0_PHACI, tr|A0A6P5L4H5|A0A6P5L4H5_PHACI, tr|A0A6P5IC87|A0A6P5IC87_PHACI, tr|A0A6P5JPL8|A0A6P5JPL8_PHACI, tr|A0A6P5JNW8|A0A6P5JNW8_PHACI, tr|A0A6P5JX40|A0A6P5JX40_PHACI, tr|A0A6P5IC60|A0A6P5IC60_PHACI, tr|A0A6P5ICS6|A0A6P5ICS6_PHACI, tr|A0A6P5L3V6|A0A6P5L3V6_PHACI, tr|A0A6P5L4J9|A0A6P5L4J9_PHACI, tr|A0A6P5JPX4|A0A6P5JPX4_PHACI, tr|A0A6P5IC97|A0A6P5IC97_PHACI, tr|A0A6P5JQ90|A0A6P5JQ90_PHACI, tr|A0A6P5JSG2|A0A6P5JSG2_PHACI, tr|A0A6P5JQ95|A0A6P5JQ95_PHACI, tr|A0A6P5JXG3|A0A6P5JXG3_PHACI, tr|A0A6P5JQ42|A0A6P5JQ42_PHACI, tr|A0A6P5JX50|A0A6P5JX50_PHACI, tr|A0A6P5JWI5|A0A6P5JWI5_PHACI, tr|A0A6P5JKP5|A0A6P5JKP5_PHACI, tr|A0A6P5JQA1|A0A6P5JQA1_PHACI, tr|A0A6P5JQ93|A0A6P5JQ93_PHACI, tr|A0A6P5JE46|A0A6P5JE46_PHACI, tr|A0A6P5JPW9|A0A6P5JPW9_PHACI, tr|A0A6P5JX95|A0A6P5JX95_PHACI, tr|A0A6P5JX90|A0A6P5JX90_PHACI, tr|A0A6P5JQK3|A0A6P5JQK3_PHACI, tr|A0A6P5JPX7|A0A6P5JPX7_PHACI, tr|A0A6P5JLX1|A0A6P5JLX1_PHACI, tr|A0A6P5KW97|A0A6P5KW97_PHACI, tr|A0A6P5L4I2|A0A6P5L4I2_PHACI, tr|A0A6P5JAK5|A0A6P5JAK5_PHACI, tr|A0A6P5JAQ2|A0A6P5JAQ2_PHACI, tr|A0A6P5JW46|A0A6P5JW46_PHACI
OG0000014	tr|Q7TRW7|Q7TRW7_MOUSE	tr|A0A6P5IHD7|A0A6P5IHD7_PHACI
OG0000014	sp|Q8VFM9|OLF24_MOUSE	tr|A0A6P5M1M9|A0A6P5M1M9_PHACI
OG0000014	tr|Q7TQU7|Q7TQU7_MOUSE	tr|A0A6P5IS89|A0A6P5IS89_PHACI
OG0000014	tr|B9EHG2|B9EHG2_MOUSE	tr|A0A6P5JPH5|A0A6P5JPH5_PHACI, tr|A0A6P5J9Q9|A0A6P5J9Q9_PHACI, tr|A0A6P5J7U0|A0A6P5J7U0_PHACI
OG0000014	tr|Q8VGJ8|Q8VGJ8_MOUSE	tr|A0A6P5IQC3|A0A6P5IQC3_PHACI, tr|A0A6P5IWB0|A0A6P5IWB0_PHACI
OG0000014	tr|Q8VEU7|Q8VEU7_MOUSE	tr|A0A6P5INS8|A0A6P5INS8_PHACI, tr|A0A6P5IED5|A0A6P5IED5_PHACI, tr|A0A6P5INV2|A0A6P5INV2_PHACI, tr|A0A6P5IPK0|A0A6P5IPK0_PHACI
OG0000014	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A6P5L6C5|A0A6P5L6C5_PHACI
OG0000014	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A6P5ISA5|A0A6P5ISA5_PHACI, tr|A0A6P5IVB4|A0A6P5IVB4_PHACI, tr|A0A6P5IS32|A0A6P5IS32_PHACI, tr|A0A6P5ISH7|A0A6P5ISH7_PHACI, tr|A0A6P5J245|A0A6P5J245_PHACI, tr|A0A6P5IVQ3|A0A6P5IVQ3_PHACI, tr|A0A6P5J180|A0A6P5J180_PHACI
