Orthogroup	Mus_musculus	Marmota_monax
OG0000006	sp|Q9JHB2|OLF19_MOUSE	tr|A0A5E4D3B0|A0A5E4D3B0_MARMO, tr|A0A5E4D5V5|A0A5E4D5V5_MARMO, tr|A0A5E4D2X2|A0A5E4D2X2_MARMO, tr|A0A5E4D314|A0A5E4D314_MARMO, tr|A0A5E4DCN2|A0A5E4DCN2_MARMO, tr|A0A5E4D5T4|A0A5E4D5T4_MARMO, tr|A0A5E4A871|A0A5E4A871_MARMO, tr|A0A5E4A7P3|A0A5E4A7P3_MARMO, tr|A0A5E4A8B1|A0A5E4A8B1_MARMO, tr|A0A5E4A7C6|A0A5E4A7C6_MARMO, tr|A0A5E4A6W1|A0A5E4A6W1_MARMO, tr|A0A5E4A712|A0A5E4A712_MARMO, tr|A0A5E4A8B2|A0A5E4A8B2_MARMO, tr|A0A5E4A7E9|A0A5E4A7E9_MARMO, tr|A0A5E4A796|A0A5E4A796_MARMO, tr|A0A5E4A7R1|A0A5E4A7R1_MARMO, tr|A0A5E4A742|A0A5E4A742_MARMO, tr|A0A5E4A891|A0A5E4A891_MARMO, tr|A0A5E4A731|A0A5E4A731_MARMO, tr|A0A5E4A6T1|A0A5E4A6T1_MARMO, tr|A0A5E4A6P1|A0A5E4A6P1_MARMO, tr|A0A5E4A882|A0A5E4A882_MARMO, tr|A0A5E4A7B6|A0A5E4A7B6_MARMO, tr|A0A5E4A726|A0A5E4A726_MARMO, tr|A0A5E4A740|A0A5E4A740_MARMO, tr|A0A5E4A6Q3|A0A5E4A6Q3_MARMO, tr|A0A5E4A704|A0A5E4A704_MARMO, tr|A0A5E4A7E1|A0A5E4A7E1_MARMO, tr|A0A5E4A7D1|A0A5E4A7D1_MARMO, tr|A0A5E4A788|A0A5E4A788_MARMO, tr|A0A5E4A7C5|A0A5E4A7C5_MARMO, tr|A0A5E4A6P4|A0A5E4A6P4_MARMO, tr|A0A5E4A719|A0A5E4A719_MARMO, tr|A0A5E4A6V1|A0A5E4A6V1_MARMO, tr|A0A5E4A7Q2|A0A5E4A7Q2_MARMO, tr|A0A5E4A752|A0A5E4A752_MARMO, tr|A0A5E4A860|A0A5E4A860_MARMO, tr|A0A5E4A6K9|A0A5E4A6K9_MARMO, tr|A0A5E4A897|A0A5E4A897_MARMO, tr|A0A5E4A6M6|A0A5E4A6M6_MARMO, tr|A0A5E4A6N0|A0A5E4A6N0_MARMO, tr|A0A5E4A734|A0A5E4A734_MARMO, tr|A0A5E4A8E0|A0A5E4A8E0_MARMO, tr|A0A5E4A8C1|A0A5E4A8C1_MARMO, tr|A0A5E4A6Q0|A0A5E4A6Q0_MARMO, tr|A0A5E4A6N4|A0A5E4A6N4_MARMO, tr|A0A5E4A6M1|A0A5E4A6M1_MARMO, tr|A0A5E4A6L6|A0A5E4A6L6_MARMO, tr|A0A5E4A6S2|A0A5E4A6S2_MARMO, tr|A0A5E4A8A2|A0A5E4A8A2_MARMO, tr|A0A5E4B1Z9|A0A5E4B1Z9_MARMO, tr|A0A5E4D044|A0A5E4D044_MARMO, tr|A0A5E4D6U8|A0A5E4D6U8_MARMO, tr|A0A5E4D365|A0A5E4D365_MARMO, tr|A0A5E4D2Z4|A0A5E4D2Z4_MARMO, tr|A0A5E4AA24|A0A5E4AA24_MARMO, tr|A0A5E4DDK8|A0A5E4DDK8_MARMO
OG0000009	tr|E9PVR6|E9PVR6_MOUSE	tr|A0A5E4D1E8|A0A5E4D1E8_MARMO, tr|A0A5E4DC48|A0A5E4DC48_MARMO, tr|A0A5E4D554|A0A5E4D554_MARMO, tr|A0A5E4AY98|A0A5E4AY98_MARMO, tr|A0A5E4BJU5|A0A5E4BJU5_MARMO, tr|A0A5E4CY97|A0A5E4CY97_MARMO, tr|A0A5E4D3W8|A0A5E4D3W8_MARMO, tr|A0A5E4ATG8|A0A5E4ATG8_MARMO, tr|A0A5E4CY54|A0A5E4CY54_MARMO, tr|A0A5E4D761|A0A5E4D761_MARMO, tr|A0A5E4CHH7|A0A5E4CHH7_MARMO, tr|A0A5E4D851|A0A5E4D851_MARMO, tr|A0A5E4D8R2|A0A5E4D8R2_MARMO, tr|A0A5E4C9T9|A0A5E4C9T9_MARMO, tr|A0A5E4D0M5|A0A5E4D0M5_MARMO, tr|A0A5E4D7K5|A0A5E4D7K5_MARMO, tr|A0A5E4CAH1|A0A5E4CAH1_MARMO, tr|A0A5E4CGY0|A0A5E4CGY0_MARMO, tr|A0A5E4D0M3|A0A5E4D0M3_MARMO, tr|A0A5E4DAQ3|A0A5E4DAQ3_MARMO, tr|A0A5E4D1K8|A0A5E4D1K8_MARMO, tr|A0A5E4AW39|A0A5E4AW39_MARMO, tr|A0A5E4CC20|A0A5E4CC20_MARMO, tr|A0A5E4DCB7|A0A5E4DCB7_MARMO, tr|A0A5E4D6L3|A0A5E4D6L3_MARMO, tr|A0A5E4D447|A0A5E4D447_MARMO, tr|A0A5E4CYB1|A0A5E4CYB1_MARMO, tr|A0A5E4DCS0|A0A5E4DCS0_MARMO, tr|A0A5E4DAA4|A0A5E4DAA4_MARMO, tr|A0A5E4DEF0|A0A5E4DEF0_MARMO, tr|A0A5E4D6K2|A0A5E4D6K2_MARMO, tr|A0A5E4DAA8|A0A5E4DAA8_MARMO, tr|A0A5E4D0J4|A0A5E4D0J4_MARMO, tr|A0A5E4CYA5|A0A5E4CYA5_MARMO, tr|A0A5E4C9U0|A0A5E4C9U0_MARMO, tr|A0A5E4DDP7|A0A5E4DDP7_MARMO, tr|A0A5E4D0Q8|A0A5E4D0Q8_MARMO, tr|A0A5E4CAD6|A0A5E4CAD6_MARMO, tr|A0A5E4D7E3|A0A5E4D7E3_MARMO, tr|A0A5E4DDX2|A0A5E4DDX2_MARMO, tr|A0A5E4CYC2|A0A5E4CYC2_MARMO, tr|A0A5E4D7C2|A0A5E4D7C2_MARMO, tr|A0A5E4D610|A0A5E4D610_MARMO, tr|A0A5E4D8R9|A0A5E4D8R9_MARMO, tr|A0A5E4CZW0|A0A5E4CZW0_MARMO, tr|A0A5E4CA44|A0A5E4CA44_MARMO, tr|A0A5E4D5Z3|A0A5E4D5Z3_MARMO, tr|A0A5E4CY60|A0A5E4CY60_MARMO
OG0000012	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|A0A5E4CJ18|A0A5E4CJ18_MARMO, tr|A0A5E4D7N5|A0A5E4D7N5_MARMO, tr|A0A5E4D929|A0A5E4D929_MARMO, tr|A0A5E4B9K7|A0A5E4B9K7_MARMO, tr|A0A5E4D602|A0A5E4D602_MARMO, tr|A0A5E4B8F5|A0A5E4B8F5_MARMO, tr|A0A5E4CQR8|A0A5E4CQR8_MARMO, tr|A0A5E4B780|A0A5E4B780_MARMO, tr|A0A5E4CV57|A0A5E4CV57_MARMO, tr|A0A5E4B745|A0A5E4B745_MARMO, tr|A0A5E4D9J2|A0A5E4D9J2_MARMO, tr|A0A5E4CUB7|A0A5E4CUB7_MARMO, tr|A0A5E4DCT6|A0A5E4DCT6_MARMO, tr|A0A5E4D8M4|A0A5E4D8M4_MARMO, tr|A0A5E4DAL2|A0A5E4DAL2_MARMO, tr|A0A5E4D726|A0A5E4D726_MARMO, tr|A0A5E4D1L1|A0A5E4D1L1_MARMO, tr|A0A5E4BA71|A0A5E4BA71_MARMO, tr|A0A5E4BKW2|A0A5E4BKW2_MARMO, tr|A0A5E4B9J7|A0A5E4B9J7_MARMO, tr|A0A5E4CKG2|A0A5E4CKG2_MARMO, tr|A0A5E4D743|A0A5E4D743_MARMO, tr|A0A5E4D6E0|A0A5E4D6E0_MARMO, tr|A0A5E4D974|A0A5E4D974_MARMO, tr|A0A5E4B791|A0A5E4B791_MARMO, tr|A0A5E4B9G6|A0A5E4B9G6_MARMO, tr|A0A5E4DAF8|A0A5E4DAF8_MARMO, tr|A0A5E4D019|A0A5E4D019_MARMO, tr|A0A5E4CCD5|A0A5E4CCD5_MARMO, tr|A0A5E4CQP4|A0A5E4CQP4_MARMO, tr|A0A5E4CYH4|A0A5E4CYH4_MARMO, tr|A0A5E4CNC4|A0A5E4CNC4_MARMO, tr|A0A5E4CAY3|A0A5E4CAY3_MARMO, tr|A0A5E4CQL1|A0A5E4CQL1_MARMO, tr|A0A5E4D0S5|A0A5E4D0S5_MARMO, tr|A0A5E4CV56|A0A5E4CV56_MARMO, tr|A0A5E4CPU2|A0A5E4CPU2_MARMO, tr|A0A5E4D6N9|A0A5E4D6N9_MARMO, tr|A0A5E4DA21|A0A5E4DA21_MARMO, tr|A0A5E4B8F3|A0A5E4B8F3_MARMO, tr|A0A5E4B754|A0A5E4B754_MARMO, tr|A0A5E4DAG7|A0A5E4DAG7_MARMO, tr|A0A5E4D185|A0A5E4D185_MARMO, tr|A0A5E4D715|A0A5E4D715_MARMO
OG0000014	tr|E9Q512|E9Q512_MOUSE	tr|A0A5E4BBD5|A0A5E4BBD5_MARMO, tr|A0A5E4CPS3|A0A5E4CPS3_MARMO, tr|A0A5E4CXA9|A0A5E4CXA9_MARMO, tr|A0A5E4DJL6|A0A5E4DJL6_MARMO, tr|A0A5E4D906|A0A5E4D906_MARMO, tr|A0A5E4CP96|A0A5E4CP96_MARMO, tr|A0A5E4AY53|A0A5E4AY53_MARMO, tr|A0A5E4D7U9|A0A5E4D7U9_MARMO, tr|A0A5E4D6X3|A0A5E4D6X3_MARMO, tr|A0A5E4CFX5|A0A5E4CFX5_MARMO, tr|A0A5E4BM72|A0A5E4BM72_MARMO, tr|A0A5E4CXY4|A0A5E4CXY4_MARMO, tr|A0A5E4CJX6|A0A5E4CJX6_MARMO, tr|A0A5E4AN63|A0A5E4AN63_MARMO, tr|A0A5E4BAH1|A0A5E4BAH1_MARMO, tr|A0A5E4CPR7|A0A5E4CPR7_MARMO, tr|A0A5E4AXE6|A0A5E4AXE6_MARMO, tr|A0A5E4BA58|A0A5E4BA58_MARMO, tr|A0A5E4ADT3|A0A5E4ADT3_MARMO, tr|A0A5E4CP15|A0A5E4CP15_MARMO, tr|A0A5E4CPT1|A0A5E4CPT1_MARMO, tr|A0A5E4AVB2|A0A5E4AVB2_MARMO, tr|A0A5E4D686|A0A5E4D686_MARMO, tr|A0A5E4BIM4|A0A5E4BIM4_MARMO, tr|A0A5E4D914|A0A5E4D914_MARMO, tr|A0A5E4CXC3|A0A5E4CXC3_MARMO, tr|A0A5E4D6V3|A0A5E4D6V3_MARMO, tr|A0A5E4DDH9|A0A5E4DDH9_MARMO, tr|A0A5E4BJ67|A0A5E4BJ67_MARMO, tr|A0A5E4CWA7|A0A5E4CWA7_MARMO, tr|A0A5E4BL88|A0A5E4BL88_MARMO, tr|A0A5E4CV76|A0A5E4CV76_MARMO, tr|A0A5E4CJW7|A0A5E4CJW7_MARMO, tr|A0A5E4BDC5|A0A5E4BDC5_MARMO, tr|A0A5E4DBC6|A0A5E4DBC6_MARMO, tr|A0A5E4D2F7|A0A5E4D2F7_MARMO, tr|A0A5E4D5H2|A0A5E4D5H2_MARMO, tr|A0A5E4BLJ1|A0A5E4BLJ1_MARMO, tr|A0A5E4C1M7|A0A5E4C1M7_MARMO, tr|A0A5E4CCQ9|A0A5E4CCQ9_MARMO, tr|A0A5E4DEH6|A0A5E4DEH6_MARMO
OG0000015	tr|A0A3B2W3J6|A0A3B2W3J6_MOUSE, tr|A0A3B2W4A7|A0A3B2W4A7_MOUSE, tr|A0A3B2W422|A0A3B2W422_MOUSE, tr|A0A3B2WBA1|A0A3B2WBA1_MOUSE, tr|A0A3B2WB67|A0A3B2WB67_MOUSE, tr|A0A3Q4EG79|A0A3Q4EG79_MOUSE, tr|E9Q0G7|E9Q0G7_MOUSE, tr|Q80Z09|Q80Z09_MOUSE, tr|G3UWA2|G3UWA2_MOUSE, tr|E9Q1L0|E9Q1L0_MOUSE, tr|E9PXJ8|E9PXJ8_MOUSE, tr|E9PUT5|E9PUT5_MOUSE, tr|K7N6V2|K7N6V2_MOUSE, tr|L7N2B8|L7N2B8_MOUSE, tr|A0A3B2WBC8|A0A3B2WBC8_MOUSE, tr|E9Q0K5|E9Q0K5_MOUSE, tr|E9Q0M3|E9Q0M3_MOUSE, tr|K7N712|K7N712_MOUSE, tr|L7N269|L7N269_MOUSE, tr|L7N2A4|L7N2A4_MOUSE, tr|E9Q2U5|E9Q2U5_MOUSE, tr|K7N789|K7N789_MOUSE, tr|E9PZJ7|E9PZJ7_MOUSE, tr|E9QAZ9|E9QAZ9_MOUSE, tr|E9PZK8|E9PZK8_MOUSE, tr|E9Q2J5|E9Q2J5_MOUSE, tr|L7N1Z9|L7N1Z9_MOUSE, tr|A0A3Q4L333|A0A3Q4L333_MOUSE, tr|A0A338P6T0|A0A338P6T0_MOUSE, tr|E9PZU5|E9PZU5_MOUSE, tr|K7N6Z2|K7N6Z2_MOUSE, tr|E9PZ56|E9PZ56_MOUSE, tr|H3BK37|H3BK37_MOUSE, tr|E9PWW0|E9PWW0_MOUSE, tr|L7N279|L7N279_MOUSE, tr|E9PZS9|E9PZS9_MOUSE, tr|E9Q3A5|E9Q3A5_MOUSE, tr|E9PY92|E9PY92_MOUSE, tr|K7N747|K7N747_MOUSE, tr|E9PWD5|E9PWD5_MOUSE, tr|E9PYS0|E9PYS0_MOUSE	tr|A0A5E4CQI3|A0A5E4CQI3_MARMO
OG0000016	tr|Q8VFF6|Q8VFF6_MOUSE	tr|A0A5E4CKV5|A0A5E4CKV5_MARMO, tr|A0A5E4CNA5|A0A5E4CNA5_MARMO, tr|A0A5E4BS06|A0A5E4BS06_MARMO, tr|A0A5E4BSS2|A0A5E4BSS2_MARMO, tr|A0A5E4BRR4|A0A5E4BRR4_MARMO, tr|A0A5E4CKU6|A0A5E4CKU6_MARMO, tr|A0A5E4CKQ3|A0A5E4CKQ3_MARMO, tr|A0A5E4CKM4|A0A5E4CKM4_MARMO, tr|A0A5E4DCG3|A0A5E4DCG3_MARMO, tr|A0A5E4CN95|A0A5E4CN95_MARMO, tr|A0A5E4CKL2|A0A5E4CKL2_MARMO, tr|A0A5E4CKM1|A0A5E4CKM1_MARMO, tr|A0A5E4CM61|A0A5E4CM61_MARMO, tr|A0A5E4CKN0|A0A5E4CKN0_MARMO, tr|A0A5E4DB55|A0A5E4DB55_MARMO, tr|A0A5E4CKN2|A0A5E4CKN2_MARMO, tr|A0A5E4CKP5|A0A5E4CKP5_MARMO, tr|A0A5E4CN67|A0A5E4CN67_MARMO, tr|A0A5E4CMU0|A0A5E4CMU0_MARMO, tr|A0A5E4CN74|A0A5E4CN74_MARMO, tr|A0A5E4CM52|A0A5E4CM52_MARMO, tr|A0A5E4CKR4|A0A5E4CKR4_MARMO, tr|A0A5E4CNB3|A0A5E4CNB3_MARMO, tr|A0A5E4CKN4|A0A5E4CKN4_MARMO, tr|A0A5E4BRJ3|A0A5E4BRJ3_MARMO, tr|A0A5E4CMT1|A0A5E4CMT1_MARMO, tr|A0A5E4CKQ0|A0A5E4CKQ0_MARMO, tr|A0A5E4CKM2|A0A5E4CKM2_MARMO, tr|A0A5E4CKN1|A0A5E4CKN1_MARMO, tr|A0A5E4CKN9|A0A5E4CKN9_MARMO, tr|A0A5E4CKP0|A0A5E4CKP0_MARMO, tr|A0A5E4CXV4|A0A5E4CXV4_MARMO, tr|A0A5E4CKP3|A0A5E4CKP3_MARMO, tr|A0A5E4CMR8|A0A5E4CMR8_MARMO, tr|A0A5E4CKT7|A0A5E4CKT7_MARMO, tr|A0A5E4CM42|A0A5E4CM42_MARMO, tr|A0A5E4CN60|A0A5E4CN60_MARMO, tr|A0A5E4CKK4|A0A5E4CKK4_MARMO, tr|A0A5E4CXT0|A0A5E4CXT0_MARMO
OG0000021	tr|A0A075B5S4|A0A075B5S4_MOUSE	tr|A0A5E4D537|A0A5E4D537_MARMO, tr|A0A5E4CZZ2|A0A5E4CZZ2_MARMO, tr|A0A5E4CZ68|A0A5E4CZ68_MARMO, tr|A0A5E4CZY1|A0A5E4CZY1_MARMO, tr|A0A5E4CZ77|A0A5E4CZ77_MARMO, tr|A0A5E4D976|A0A5E4D976_MARMO, tr|A0A5E4DE74|A0A5E4DE74_MARMO, tr|A0A5E4CWI2|A0A5E4CWI2_MARMO, tr|A0A5E4CH26|A0A5E4CH26_MARMO, tr|A0A5E4D6L8|A0A5E4D6L8_MARMO, tr|A0A5E4CXP7|A0A5E4CXP7_MARMO, tr|A0A5E4DAC6|A0A5E4DAC6_MARMO, tr|A0A5E4CXN8|A0A5E4CXN8_MARMO, tr|A0A5E4CXH9|A0A5E4CXH9_MARMO, tr|A0A5E4CH38|A0A5E4CH38_MARMO, tr|A0A5E4CWN4|A0A5E4CWN4_MARMO, tr|A0A5E4CJR1|A0A5E4CJR1_MARMO, tr|A0A5E4CXM4|A0A5E4CXM4_MARMO, tr|A0A5E4CXM8|A0A5E4CXM8_MARMO, tr|A0A5E4CXQ3|A0A5E4CXQ3_MARMO, tr|A0A5E4D813|A0A5E4D813_MARMO, tr|A0A5E4D4N6|A0A5E4D4N6_MARMO, tr|A0A5E4DAW1|A0A5E4DAW1_MARMO, tr|A0A5E4CHE4|A0A5E4CHE4_MARMO, tr|A0A5E4CYX4|A0A5E4CYX4_MARMO, tr|A0A5E4D5V9|A0A5E4D5V9_MARMO, tr|A0A5E4D6F1|A0A5E4D6F1_MARMO, tr|A0A5E4D7Z7|A0A5E4D7Z7_MARMO, tr|A0A5E4D738|A0A5E4D738_MARMO, tr|A0A5E4D7E8|A0A5E4D7E8_MARMO, tr|A0A5E4DD51|A0A5E4DD51_MARMO, tr|A0A5E4DBI5|A0A5E4DBI5_MARMO, tr|A0A5E4DCQ0|A0A5E4DCQ0_MARMO, tr|A0A5E4CWG4|A0A5E4CWG4_MARMO, tr|A0A5E4DAZ1|A0A5E4DAZ1_MARMO, tr|A0A5E4D8N1|A0A5E4D8N1_MARMO
OG0000024	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A5E4C7R7|A0A5E4C7R7_MARMO
OG0000024	sp|Q8BQC8|RBAK_MOUSE	tr|A0A5E4C5U1|A0A5E4C5U1_MARMO
OG0000024	tr|Q640N4|Q640N4_MOUSE	tr|A0A5E4B6Y3|A0A5E4B6Y3_MARMO
