Orthogroup	Mus_musculus	Tursiops_truncatus
OG0000001	tr|Q7TRS6|Q7TRS6_MOUSE, tr|E9Q546|E9Q546_MOUSE	tr|A0A2U4BPN6|A0A2U4BPN6_TURTR
OG0000001	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2U4BPB5|A0A2U4BPB5_TURTR
OG0000001	tr|E9Q542|E9Q542_MOUSE	tr|A0A2U4BPB4|A0A2U4BPB4_TURTR
OG0000001	tr|Q8VGW2|Q8VGW2_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2U4CE22|A0A2U4CE22_TURTR
OG0000004	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, sp|P01638|KV5A6_MOUSE, sp|P01637|KV5A5_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, sp|P01639|KV5A7_MOUSE, sp|P01641|KV5A8_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01673|KV3AL_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE	tr|A0A6J3PV99|A0A6J3PV99_TURTR
OG0000006	tr|Q8VF35|Q8VF35_MOUSE	tr|A0A6J3QTM5|A0A6J3QTM5_TURTR
OG0000006	sp|Q60891|OL139_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, sp|Q60894|OLF12_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VES2|O1102_MOUSE, sp|Q8VFK7|O1020_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q8VF22|Q8VF22_MOUSE	tr|A0A2U4CH42|A0A2U4CH42_TURTR
OG0000007	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2U4BEH9|A0A2U4BEH9_TURTR
OG0000007	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6J3PYT8|A0A6J3PYT8_TURTR
OG0000007	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6J3Q2Q9|A0A6J3Q2Q9_TURTR
