Orthogroup	Homo_sapiens	Sciurus_vulgaris
OG0000000	sp|O00370|LORF2_HUMAN	tr|A0A8D2DI71|A0A8D2DI71_SCIVU, tr|A0A8D2B1R6|A0A8D2B1R6_SCIVU, tr|A0A8D2AJS4|A0A8D2AJS4_SCIVU, tr|A0A8D2D0U0|A0A8D2D0U0_SCIVU, tr|A0A8D2DF48|A0A8D2DF48_SCIVU, tr|A0A8D2D058|A0A8D2D058_SCIVU, tr|A0A8D2AX50|A0A8D2AX50_SCIVU, tr|A0A8D2AW82|A0A8D2AW82_SCIVU, tr|A0A8D2CP12|A0A8D2CP12_SCIVU, tr|A0A8D2AN42|A0A8D2AN42_SCIVU, tr|A0A8D2AJL4|A0A8D2AJL4_SCIVU, tr|A0A8D2AM96|A0A8D2AM96_SCIVU, tr|A0A8D2ADT7|A0A8D2ADT7_SCIVU, tr|A0A8D2DS36|A0A8D2DS36_SCIVU, tr|A0A8D2CL60|A0A8D2CL60_SCIVU, tr|A0A8D2DFG5|A0A8D2DFG5_SCIVU, tr|A0A8D2DR89|A0A8D2DR89_SCIVU, tr|A0A8D2DXR3|A0A8D2DXR3_SCIVU, tr|A0A8D2DQV3|A0A8D2DQV3_SCIVU, tr|A0A8D2AFD9|A0A8D2AFD9_SCIVU, tr|A0A8D2DWK6|A0A8D2DWK6_SCIVU, tr|A0A8D2AN36|A0A8D2AN36_SCIVU, tr|A0A8D2DWM0|A0A8D2DWM0_SCIVU, tr|A0A8D2AYX2|A0A8D2AYX2_SCIVU, tr|A0A8D2AWH4|A0A8D2AWH4_SCIVU, tr|A0A8D2JS55|A0A8D2JS55_SCIVU, tr|A0A8D2AXC8|A0A8D2AXC8_SCIVU, tr|A0A8D2CLI7|A0A8D2CLI7_SCIVU, tr|A0A8D2CL76|A0A8D2CL76_SCIVU, tr|A0A8D2JPF9|A0A8D2JPF9_SCIVU, tr|A0A8D2BAR9|A0A8D2BAR9_SCIVU, tr|A0A8D2AK94|A0A8D2AK94_SCIVU, tr|A0A8D2AZK6|A0A8D2AZK6_SCIVU, tr|A0A8D2DYW0|A0A8D2DYW0_SCIVU, tr|A0A8D2DGA8|A0A8D2DGA8_SCIVU, tr|A0A8D2D2J4|A0A8D2D2J4_SCIVU, tr|A0A8D2D2K1|A0A8D2D2K1_SCIVU, tr|A0A8D2B8S7|A0A8D2B8S7_SCIVU, tr|A0A8D2JPE1|A0A8D2JPE1_SCIVU, tr|A0A8D2DWC9|A0A8D2DWC9_SCIVU, tr|A0A8D2DA36|A0A8D2DA36_SCIVU, tr|A0A8D2DQ46|A0A8D2DQ46_SCIVU, tr|A0A8D2D359|A0A8D2D359_SCIVU, tr|A0A8D2JKW0|A0A8D2JKW0_SCIVU, tr|A0A8D2B016|A0A8D2B016_SCIVU, tr|A0A8D2JNZ8|A0A8D2JNZ8_SCIVU, tr|A0A8D2AQX5|A0A8D2AQX5_SCIVU, tr|A0A8D2DGJ3|A0A8D2DGJ3_SCIVU, tr|A0A8D2B5I3|A0A8D2B5I3_SCIVU, tr|A0A8D2CR08|A0A8D2CR08_SCIVU, tr|A0A8D2CR12|A0A8D2CR12_SCIVU, tr|A0A8D2AQ62|A0A8D2AQ62_SCIVU, tr|A0A8D2CLV9|A0A8D2CLV9_SCIVU, tr|A0A8D2AEJ4|A0A8D2AEJ4_SCIVU, tr|A0A8D2DWN6|A0A8D2DWN6_SCIVU, tr|A0A8D2AE51|A0A8D2AE51_SCIVU, tr|A0A8D2B1M7|A0A8D2B1M7_SCIVU, tr|A0A8D2B3Q3|A0A8D2B3Q3_SCIVU, tr|A0A8D2AN96|A0A8D2AN96_SCIVU, tr|A0A8D2DW68|A0A8D2DW68_SCIVU, tr|A0A8D2B0I3|A0A8D2B0I3_SCIVU, tr|A0A8D2CNU6|A0A8D2CNU6_SCIVU, tr|A0A8D2CXU7|A0A8D2CXU7_SCIVU, tr|A0A8D2CM66|A0A8D2CM66_SCIVU, tr|A0A8D2DEB3|A0A8D2DEB3_SCIVU, tr|A0A8D2BBQ6|A0A8D2BBQ6_SCIVU, tr|A0A8D2E2L1|A0A8D2E2L1_SCIVU, tr|A0A8D2DVJ2|A0A8D2DVJ2_SCIVU, tr|A0A8D2JLL1|A0A8D2JLL1_SCIVU, tr|A0A8D2AUY1|A0A8D2AUY1_SCIVU, tr|A0A8D2B3H4|A0A8D2B3H4_SCIVU, tr|A0A8D2DSQ7|A0A8D2DSQ7_SCIVU, tr|A0A8D2B385|A0A8D2B385_SCIVU, tr|A0A8D2AV95|A0A8D2AV95_SCIVU
OG0000002	sp|Q8TB69|ZN519_HUMAN	tr|A0A8D2DPC6|A0A8D2DPC6_SCIVU, tr|A0A8D2CRA4|A0A8D2CRA4_SCIVU, tr|A0A8D2AVE7|A0A8D2AVE7_SCIVU, tr|A0A8D2DST6|A0A8D2DST6_SCIVU, tr|A0A8D2E1N4|A0A8D2E1N4_SCIVU, tr|A0A8D2CZP6|A0A8D2CZP6_SCIVU, tr|A0A8D2JSA4|A0A8D2JSA4_SCIVU, tr|A0A8D2DJY8|A0A8D2DJY8_SCIVU, tr|A0A8D2AJC9|A0A8D2AJC9_SCIVU, tr|A0A8D2E1E0|A0A8D2E1E0_SCIVU, tr|A0A8D2CV51|A0A8D2CV51_SCIVU, tr|A0A8D2JKX5|A0A8D2JKX5_SCIVU, tr|A0A8D2BFW2|A0A8D2BFW2_SCIVU, tr|A0A8D2CM51|A0A8D2CM51_SCIVU, tr|A0A8D2CQ31|A0A8D2CQ31_SCIVU, tr|A0A8D2CRD8|A0A8D2CRD8_SCIVU, tr|A0A8D2CR31|A0A8D2CR31_SCIVU, tr|A0A8D2BFS9|A0A8D2BFS9_SCIVU, tr|A0A8D2D4K3|A0A8D2D4K3_SCIVU, tr|A0A8D2DWE4|A0A8D2DWE4_SCIVU, tr|A0A8D2D2S5|A0A8D2D2S5_SCIVU, tr|A0A8D2BBE0|A0A8D2BBE0_SCIVU, tr|A0A8D2DQ19|A0A8D2DQ19_SCIVU, tr|A0A8D2D4R2|A0A8D2D4R2_SCIVU, tr|A0A8D2JQ10|A0A8D2JQ10_SCIVU, tr|A0A8D2DE65|A0A8D2DE65_SCIVU, tr|A0A8D2BD36|A0A8D2BD36_SCIVU, tr|A0A8D2B5V3|A0A8D2B5V3_SCIVU, tr|A0A8D2D335|A0A8D2D335_SCIVU, tr|A0A8D2JPH0|A0A8D2JPH0_SCIVU, tr|A0A8D2E2I7|A0A8D2E2I7_SCIVU, tr|A0A8D2JJC1|A0A8D2JJC1_SCIVU, tr|A0A8D2D324|A0A8D2D324_SCIVU, tr|A0A8D2D1H0|A0A8D2D1H0_SCIVU, tr|A0A8D2DAB1|A0A8D2DAB1_SCIVU, tr|A0A8D2D7I5|A0A8D2D7I5_SCIVU, tr|A0A8D2B659|A0A8D2B659_SCIVU, tr|A0A8D2D0J2|A0A8D2D0J2_SCIVU, tr|A0A8D2DPB3|A0A8D2DPB3_SCIVU, tr|A0A8D2DP95|A0A8D2DP95_SCIVU, tr|A0A8D2JQS5|A0A8D2JQS5_SCIVU, tr|A0A8D2DCN8|A0A8D2DCN8_SCIVU, tr|A0A8D2DCL4|A0A8D2DCL4_SCIVU, tr|A0A8D2DGN4|A0A8D2DGN4_SCIVU, tr|A0A8D2DF10|A0A8D2DF10_SCIVU, tr|A0A8D2JK75|A0A8D2JK75_SCIVU
OG0000004	sp|Q9GZP7|VN1R1_HUMAN	tr|A0A8D2DA62|A0A8D2DA62_SCIVU, tr|A0A8D2D9K0|A0A8D2D9K0_SCIVU, tr|A0A8D2D7Z2|A0A8D2D7Z2_SCIVU, tr|A0A8D2DJG0|A0A8D2DJG0_SCIVU, tr|A0A8D2D9A8|A0A8D2D9A8_SCIVU, tr|A0A8D2JME8|A0A8D2JME8_SCIVU, tr|A0A8D2D9A2|A0A8D2D9A2_SCIVU, tr|A0A8D2JMD2|A0A8D2JMD2_SCIVU, tr|A0A8D2DK45|A0A8D2DK45_SCIVU, tr|A0A8D2DPE6|A0A8D2DPE6_SCIVU, tr|A0A8D2D755|A0A8D2D755_SCIVU, tr|A0A8D2JMJ6|A0A8D2JMJ6_SCIVU, tr|A0A8D2D9R6|A0A8D2D9R6_SCIVU, tr|A0A8D2DAV4|A0A8D2DAV4_SCIVU, tr|A0A8D2D8E8|A0A8D2D8E8_SCIVU, tr|A0A8D2E0W9|A0A8D2E0W9_SCIVU, tr|A0A8D2JNB4|A0A8D2JNB4_SCIVU, tr|A0A8D2E0H3|A0A8D2E0H3_SCIVU, tr|A0A8D2DB99|A0A8D2DB99_SCIVU, tr|A0A8D2JN76|A0A8D2JN76_SCIVU, tr|A0A8D2DBM9|A0A8D2DBM9_SCIVU, tr|A0A8D2D974|A0A8D2D974_SCIVU, tr|A0A8D2DGJ5|A0A8D2DGJ5_SCIVU, tr|A0A8D2DFP9|A0A8D2DFP9_SCIVU, tr|A0A8D2DED6|A0A8D2DED6_SCIVU, tr|A0A8D2DLT5|A0A8D2DLT5_SCIVU, tr|A0A8D2DLF4|A0A8D2DLF4_SCIVU, tr|A0A8D2DIB1|A0A8D2DIB1_SCIVU, tr|A0A8D2DM26|A0A8D2DM26_SCIVU, tr|A0A8D2DJW8|A0A8D2DJW8_SCIVU, tr|A0A8D2DIU3|A0A8D2DIU3_SCIVU, tr|A0A8D2DS05|A0A8D2DS05_SCIVU, tr|A0A8D2DMA5|A0A8D2DMA5_SCIVU, tr|A0A8D2DS25|A0A8D2DS25_SCIVU, tr|A0A8D2JPI8|A0A8D2JPI8_SCIVU, tr|A0A8D2DLL6|A0A8D2DLL6_SCIVU, tr|A0A8D2DJR9|A0A8D2DJR9_SCIVU, tr|A0A8D2DLX9|A0A8D2DLX9_SCIVU, tr|A0A8D2DHH6|A0A8D2DHH6_SCIVU, tr|A0A8D2DPI6|A0A8D2DPI6_SCIVU, tr|A0A8D2JQK6|A0A8D2JQK6_SCIVU
OG0000005	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8D2AEM5|A0A8D2AEM5_SCIVU, tr|A0A8D2CKA2|A0A8D2CKA2_SCIVU, tr|A0A8D2AI05|A0A8D2AI05_SCIVU, tr|A0A8D2AGM0|A0A8D2AGM0_SCIVU, tr|A0A8D2AJQ2|A0A8D2AJQ2_SCIVU, tr|A0A8D2CK86|A0A8D2CK86_SCIVU, tr|A0A8D2AHK5|A0A8D2AHK5_SCIVU, tr|A0A8D2AF08|A0A8D2AF08_SCIVU, tr|A0A8D2AGJ0|A0A8D2AGJ0_SCIVU, tr|A0A8D2AMD9|A0A8D2AMD9_SCIVU, tr|A0A8D2ARK5|A0A8D2ARK5_SCIVU, tr|A0A8D2AIS5|A0A8D2AIS5_SCIVU, tr|A0A8D2ADU9|A0A8D2ADU9_SCIVU, tr|A0A8D2AEP7|A0A8D2AEP7_SCIVU, tr|A0A8D2AN67|A0A8D2AN67_SCIVU, tr|A0A8D2ACV5|A0A8D2ACV5_SCIVU, tr|A0A8D2AFC1|A0A8D2AFC1_SCIVU, tr|A0A8D2AJB7|A0A8D2AJB7_SCIVU, tr|A0A8D2ALT2|A0A8D2ALT2_SCIVU, tr|A0A8D2ADR8|A0A8D2ADR8_SCIVU, tr|A0A8D2AKZ4|A0A8D2AKZ4_SCIVU, tr|A0A8D2AD62|A0A8D2AD62_SCIVU, tr|A0A8D2AMR0|A0A8D2AMR0_SCIVU, tr|A0A8D2ALY2|A0A8D2ALY2_SCIVU, tr|A0A8D2ANQ2|A0A8D2ANQ2_SCIVU, tr|A0A8D2ASL2|A0A8D2ASL2_SCIVU, tr|A0A8D2CLL2|A0A8D2CLL2_SCIVU, tr|A0A8D2ARM4|A0A8D2ARM4_SCIVU, tr|A0A8D2AFP6|A0A8D2AFP6_SCIVU, tr|A0A8D2AM28|A0A8D2AM28_SCIVU, tr|A0A8D2AJP5|A0A8D2AJP5_SCIVU, tr|A0A8D2CJR5|A0A8D2CJR5_SCIVU, tr|A0A8D2ANH8|A0A8D2ANH8_SCIVU, tr|A0A8D2AEB3|A0A8D2AEB3_SCIVU, tr|A0A8D2AEE6|A0A8D2AEE6_SCIVU, tr|A0A8D2AE03|A0A8D2AE03_SCIVU, tr|A0A8D2AJX9|A0A8D2AJX9_SCIVU, tr|A0A8D2AH90|A0A8D2AH90_SCIVU
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN	tr|A0A8D2D945|A0A8D2D945_SCIVU
OG0000011	sp|Q8NH63|O51H1_HUMAN	tr|A0A8D2B1U0|A0A8D2B1U0_SCIVU
OG0000011	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8D2AWM8|A0A8D2AWM8_SCIVU
OG0000011	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8D2AW98|A0A8D2AW98_SCIVU, tr|A0A8D2CN68|A0A8D2CN68_SCIVU
OG0000011	sp|Q9H344|O51I2_HUMAN	tr|A0A8D2AUM4|A0A8D2AUM4_SCIVU
OG0000011	sp|Q9H343|O51I1_HUMAN	tr|A0A8D2AV22|A0A8D2AV22_SCIVU
