Orthogroup	Mus_musculus	Odocoileus_virginianus_texanus
OG0000001	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A6J0VXN7|A0A6J0VXN7_ODOVR, tr|A0A6J0VLP4|A0A6J0VLP4_ODOVR, tr|A0A6J0Y7Z4|A0A6J0Y7Z4_ODOVR, tr|A0A6J0Z3Z7|A0A6J0Z3Z7_ODOVR, tr|A0A6J0X565|A0A6J0X565_ODOVR, tr|A0A6J0YWX2|A0A6J0YWX2_ODOVR, tr|A0A6J0X574|A0A6J0X574_ODOVR, tr|A0A6J0YD46|A0A6J0YD46_ODOVR, tr|A0A6J0YDA3|A0A6J0YDA3_ODOVR, tr|A0A6J0ZAU5|A0A6J0ZAU5_ODOVR, tr|A0A6J0XI00|A0A6J0XI00_ODOVR, tr|A0A6J0VFV8|A0A6J0VFV8_ODOVR, tr|A0A6J0Y8Z7|A0A6J0Y8Z7_ODOVR, tr|A0A6J0YNA1|A0A6J0YNA1_ODOVR, tr|A0A6J0YN63|A0A6J0YN63_ODOVR, tr|A0A6J0W4X5|A0A6J0W4X5_ODOVR, tr|A0A6J0VQF5|A0A6J0VQF5_ODOVR, tr|A0A6J0Z1C1|A0A6J0Z1C1_ODOVR, tr|A0A6J0Y7Y8|A0A6J0Y7Y8_ODOVR, tr|A0A6J0Y7J6|A0A6J0Y7J6_ODOVR, tr|A0A6J0Y8K6|A0A6J0Y8K6_ODOVR, tr|A0A6J0XTU2|A0A6J0XTU2_ODOVR, tr|A0A6J0VHM0|A0A6J0VHM0_ODOVR, tr|A0A6J0XHR3|A0A6J0XHR3_ODOVR, tr|A0A6J0Y870|A0A6J0Y870_ODOVR, tr|A0A6J0VFR8|A0A6J0VFR8_ODOVR, tr|A0A6J0YKY4|A0A6J0YKY4_ODOVR, tr|A0A6J0VJF5|A0A6J0VJF5_ODOVR, tr|A0A6J0YN97|A0A6J0YN97_ODOVR, tr|A0A6J0Z5P1|A0A6J0Z5P1_ODOVR, tr|A0A6J0VK39|A0A6J0VK39_ODOVR, tr|A0A6J0Z8D5|A0A6J0Z8D5_ODOVR, tr|A0A6J0VSB9|A0A6J0VSB9_ODOVR, tr|A0A6J0YPX9|A0A6J0YPX9_ODOVR, tr|A0A6J0VHL5|A0A6J0VHL5_ODOVR, tr|A0A6J0WPB7|A0A6J0WPB7_ODOVR, tr|A0A6J0Z727|A0A6J0Z727_ODOVR, tr|A0A6J0VHR2|A0A6J0VHR2_ODOVR, tr|A0A6J0VJ86|A0A6J0VJ86_ODOVR, tr|A0A6J0YPP2|A0A6J0YPP2_ODOVR, tr|A0A6J0YN87|A0A6J0YN87_ODOVR, tr|A0A6J0Z3C4|A0A6J0Z3C4_ODOVR, tr|A0A6J0Z1C5|A0A6J0Z1C5_ODOVR, tr|A0A6J0Z5M0|A0A6J0Z5M0_ODOVR, tr|A0A6J0Z3Z2|A0A6J0Z3Z2_ODOVR, tr|A0A6J0VHR3|A0A6J0VHR3_ODOVR, tr|A0A6J0VKX5|A0A6J0VKX5_ODOVR, tr|A0A6J0Y8L0|A0A6J0Y8L0_ODOVR, tr|A0A6J0YN68|A0A6J0YN68_ODOVR, tr|A0A6J0Z2M2|A0A6J0Z2M2_ODOVR, tr|A0A6J0VQG9|A0A6J0VQG9_ODOVR, tr|A0A6J0YMP0|A0A6J0YMP0_ODOVR, tr|A0A6J0Y7T5|A0A6J0Y7T5_ODOVR, tr|A0A6J0YPN6|A0A6J0YPN6_ODOVR, tr|A0A6J0VJZ7|A0A6J0VJZ7_ODOVR, tr|A0A6J0Y8K3|A0A6J0Y8K3_ODOVR, tr|A0A6J0X7L0|A0A6J0X7L0_ODOVR, tr|A0A6J0YD39|A0A6J0YD39_ODOVR, tr|A0A6J0VQW5|A0A6J0VQW5_ODOVR, tr|A0A6J0YET3|A0A6J0YET3_ODOVR, tr|A0A6J0YD86|A0A6J0YD86_ODOVR, tr|A0A6J0W548|A0A6J0W548_ODOVR, tr|A0A6J0YCY3|A0A6J0YCY3_ODOVR, tr|A0A6J0YCV4|A0A6J0YCV4_ODOVR, tr|A0A6J0YD81|A0A6J0YD81_ODOVR, tr|A0A6J0X2X7|A0A6J0X2X7_ODOVR, tr|A0A6J0X2Z4|A0A6J0X2Z4_ODOVR, tr|A0A6J0VNA4|A0A6J0VNA4_ODOVR, tr|A0A6J0X570|A0A6J0X570_ODOVR, tr|A0A6J0X7M1|A0A6J0X7M1_ODOVR, tr|A0A6J0X5S4|A0A6J0X5S4_ODOVR, tr|A0A6J0X2Y9|A0A6J0X2Y9_ODOVR, tr|A0A6J0X2X0|A0A6J0X2X0_ODOVR, tr|A0A6J0VNP2|A0A6J0VNP2_ODOVR, tr|A0A6J0WS21|A0A6J0WS21_ODOVR, tr|A0A6J0X2Y4|A0A6J0X2Y4_ODOVR, tr|A0A6J0WMI3|A0A6J0WMI3_ODOVR, tr|A0A6J0WQX2|A0A6J0WQX2_ODOVR, tr|A0A6J0VQC5|A0A6J0VQC5_ODOVR, tr|A0A6J0VJZ3|A0A6J0VJZ3_ODOVR, tr|A0A6J0W143|A0A6J0W143_ODOVR
OG0000003	tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01644|KV5AB_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01637|KV5A5_MOUSE, sp|P01638|KV5A6_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, sp|P01641|KV5A8_MOUSE, sp|P01639|KV5A7_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01661|KV3A9_MOUSE, sp|P01658|KV3A6_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE	tr|A0A6J0WY86|A0A6J0WY86_ODOVR
OG0000007	tr|A0A3B2WB67|A0A3B2WB67_MOUSE, tr|A0A3Q4EG79|A0A3Q4EG79_MOUSE, tr|A0A3B2W422|A0A3B2W422_MOUSE, tr|A0A3B2W4A7|A0A3B2W4A7_MOUSE, tr|A0A3B2W3J6|A0A3B2W3J6_MOUSE, tr|A0A3B2WBA1|A0A3B2WBA1_MOUSE, tr|D3YUI0|D3YUI0_MOUSE, tr|K7N6Y7|K7N6Y7_MOUSE, tr|L7N2B1|L7N2B1_MOUSE, tr|E9Q7S8|E9Q7S8_MOUSE, tr|G5E8G4|G5E8G4_MOUSE, tr|D3YUK6|D3YUK6_MOUSE, tr|W4VSP2|W4VSP2_MOUSE, sp|Q6TAC4|V2R26_MOUSE, tr|E9PXI5|E9PXI5_MOUSE, tr|G3UWA2|G3UWA2_MOUSE, tr|Q80Z09|Q80Z09_MOUSE, tr|E9Q1L0|E9Q1L0_MOUSE, tr|E9Q0G7|E9Q0G7_MOUSE, tr|L7N2A4|L7N2A4_MOUSE, tr|K7N789|K7N789_MOUSE, tr|E9QAZ9|E9QAZ9_MOUSE, tr|E9PYS0|E9PYS0_MOUSE, tr|K7N747|K7N747_MOUSE, tr|E9PWD5|E9PWD5_MOUSE, tr|E9PY92|E9PY92_MOUSE, tr|E9Q3A5|E9Q3A5_MOUSE, tr|E9PZK8|E9PZK8_MOUSE, tr|E9Q2J5|E9Q2J5_MOUSE, tr|L7N1Z9|L7N1Z9_MOUSE, tr|K7N6Z2|K7N6Z2_MOUSE, tr|E9PZU5|E9PZU5_MOUSE, tr|E9PZ56|E9PZ56_MOUSE, tr|A0A338P6T0|A0A338P6T0_MOUSE, tr|A0A3Q4L333|A0A3Q4L333_MOUSE, tr|H3BK37|H3BK37_MOUSE, tr|L7N279|L7N279_MOUSE, tr|E9PWW0|E9PWW0_MOUSE, tr|E9PZS9|E9PZS9_MOUSE, tr|E9PZJ7|E9PZJ7_MOUSE, tr|E9Q2U5|E9Q2U5_MOUSE, tr|E9PXJ8|E9PXJ8_MOUSE, tr|L7N269|L7N269_MOUSE, tr|E9Q0K5|E9Q0K5_MOUSE, tr|E9Q0M3|E9Q0M3_MOUSE, tr|K7N712|K7N712_MOUSE, tr|E9PUT5|E9PUT5_MOUSE, tr|K7N6V2|K7N6V2_MOUSE, tr|L7N2B8|L7N2B8_MOUSE, tr|A0A3B2WBC8|A0A3B2WBC8_MOUSE	tr|A0A6J0Y7F0|A0A6J0Y7F0_ODOVR
OG0000008	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A6J0ZDP8|A0A6J0ZDP8_ODOVR
OG0000008	sp|Q61967|ZFP90_MOUSE	tr|A0A6J0XGY8|A0A6J0XGY8_ODOVR
OG0000008	tr|Q640N4|Q640N4_MOUSE	tr|A0A6J0YBF8|A0A6J0YBF8_ODOVR
OG0000008	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6J0YFN9|A0A6J0YFN9_ODOVR
OG0000008	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6J0YKL9|A0A6J0YKL9_ODOVR
OG0000008	sp|Q80W31|ZN569_MOUSE	tr|A0A6J0YL09|A0A6J0YL09_ODOVR, tr|A0A6J0WVQ3|A0A6J0WVQ3_ODOVR, tr|A0A6J0X697|A0A6J0X697_ODOVR, tr|A0A6J0VQH3|A0A6J0VQH3_ODOVR, tr|A0A6J0W820|A0A6J0W820_ODOVR
OG0000008	sp|Q6P560|ZN182_MOUSE	tr|A0A6J0Y323|A0A6J0Y323_ODOVR, tr|A0A6J0WLT5|A0A6J0WLT5_ODOVR, tr|A0A6J0XR56|A0A6J0XR56_ODOVR, tr|A0A6J0Y7G5|A0A6J0Y7G5_ODOVR, tr|A0A6J0VQC7|A0A6J0VQC7_ODOVR, tr|A0A6J0Y684|A0A6J0Y684_ODOVR, tr|A0A6J0WSZ4|A0A6J0WSZ4_ODOVR, tr|A0A6J0XWY3|A0A6J0XWY3_ODOVR, tr|A0A6J0Y6J9|A0A6J0Y6J9_ODOVR
