Orthogroup	Mus_musculus	Sus_scrofa
OG0000002	sp|P11260|LORF1_MOUSE	tr|A0A5G2QHA5|A0A5G2QHA5_PIG, tr|A0A5G2QE68|A0A5G2QE68_PIG, tr|A0A5G2QUB0|A0A5G2QUB0_PIG, tr|A0A5G2R0P2|A0A5G2R0P2_PIG, tr|A0A5G2QSW7|A0A5G2QSW7_PIG, tr|A0A5G2R2N8|A0A5G2R2N8_PIG, tr|A0A5G2RE23|A0A5G2RE23_PIG, tr|A0A286ZTP4|A0A286ZTP4_PIG, tr|A0A5G2RAW1|A0A5G2RAW1_PIG, tr|A0A5G2R806|A0A5G2R806_PIG, tr|A0A5G2QXV0|A0A5G2QXV0_PIG, tr|A0A5G2QMI8|A0A5G2QMI8_PIG, tr|A0A5G2QEZ7|A0A5G2QEZ7_PIG, tr|A0A5G2QY41|A0A5G2QY41_PIG, tr|A0A5G2QF87|A0A5G2QF87_PIG, tr|A0A5G2RKX7|A0A5G2RKX7_PIG, tr|A0A5G2RG28|A0A5G2RG28_PIG, tr|A0A5G2Q9P4|A0A5G2Q9P4_PIG, tr|A0A5G2QZL0|A0A5G2QZL0_PIG, tr|A0A5G2RG97|A0A5G2RG97_PIG, tr|A0A5G2QB01|A0A5G2QB01_PIG, tr|A0A5G2RA53|A0A5G2RA53_PIG, tr|A0A5G2QFN9|A0A5G2QFN9_PIG, tr|A0A5G2RAL4|A0A5G2RAL4_PIG, tr|A0A5G2QIY2|A0A5G2QIY2_PIG, tr|A0A5G2QIC0|A0A5G2QIC0_PIG, tr|A0A5G2R250|A0A5G2R250_PIG, tr|A0A5G2QWK7|A0A5G2QWK7_PIG, tr|A0A5G2R2N1|A0A5G2R2N1_PIG, tr|A0A5G2QB84|A0A5G2QB84_PIG, tr|A0A5G2QPW6|A0A5G2QPW6_PIG, tr|A0A5G2QRK8|A0A5G2QRK8_PIG, tr|A0A5G2RJW7|A0A5G2RJW7_PIG, tr|A0A5G2R9Z7|A0A5G2R9Z7_PIG, tr|A0A5G2QNT4|A0A5G2QNT4_PIG, tr|A0A5G2QYN4|A0A5G2QYN4_PIG, tr|A0A5G2QI98|A0A5G2QI98_PIG, tr|A0A5G2RKK6|A0A5G2RKK6_PIG, tr|A0A5G2R5Z8|A0A5G2R5Z8_PIG, tr|A0A5G2QDE5|A0A5G2QDE5_PIG, tr|A0A5G2R3G0|A0A5G2R3G0_PIG, tr|A0A5G2RAX1|A0A5G2RAX1_PIG, tr|A0A5G2QUT5|A0A5G2QUT5_PIG, tr|A0A287B438|A0A287B438_PIG, tr|A0A5G2R279|A0A5G2R279_PIG, tr|A0A5G2QYP8|A0A5G2QYP8_PIG, tr|A0A5G2QMZ5|A0A5G2QMZ5_PIG, tr|A0A5G2QMS4|A0A5G2QMS4_PIG, tr|A0A5G2Q981|A0A5G2Q981_PIG, tr|A0A480WXR3|A0A480WXR3_PIG, tr|A0A5G2RC76|A0A5G2RC76_PIG, tr|A0A5G2R4G2|A0A5G2R4G2_PIG, tr|A0A5G2R209|A0A5G2R209_PIG, tr|A0A5G2QWQ5|A0A5G2QWQ5_PIG, tr|A0A5G2R9I3|A0A5G2R9I3_PIG, tr|A0A5G2R1Z4|A0A5G2R1Z4_PIG, tr|A0A5G2QGE5|A0A5G2QGE5_PIG, tr|A0A5G2QTM0|A0A5G2QTM0_PIG, tr|A0A5G2QNR5|A0A5G2QNR5_PIG, tr|A0A5G2RAU5|A0A5G2RAU5_PIG, tr|A0A5G2RBY7|A0A5G2RBY7_PIG, tr|A0A5G2R874|A0A5G2R874_PIG, tr|A0A5G2QAB2|A0A5G2QAB2_PIG, tr|A0A5G2RLG2|A0A5G2RLG2_PIG, tr|A0A5G2RMU3|A0A5G2RMU3_PIG, tr|A0A5G2QWP4|A0A5G2QWP4_PIG, tr|A0A5G2QND6|A0A5G2QND6_PIG, tr|A0A5G2RDK2|A0A5G2RDK2_PIG, tr|A0A5G2QGX4|A0A5G2QGX4_PIG, tr|A0A5G2QMI0|A0A5G2QMI0_PIG, tr|A0A5G2R722|A0A5G2R722_PIG, tr|A0A5G2QZT9|A0A5G2QZT9_PIG, tr|A0A5G2QVN9|A0A5G2QVN9_PIG, tr|A0A5G2R0E9|A0A5G2R0E9_PIG, tr|A0A5G2QD88|A0A5G2QD88_PIG, tr|A0A5G2QYJ8|A0A5G2QYJ8_PIG, tr|A0A5G2QGU1|A0A5G2QGU1_PIG, tr|A0A5G2QNE6|A0A5G2QNE6_PIG, tr|A0A5G2QWU6|A0A5G2QWU6_PIG, tr|A0A287BJV0|A0A287BJV0_PIG, tr|A0A5G2Q8V7|A0A5G2Q8V7_PIG, tr|A0A5G2R1K5|A0A5G2R1K5_PIG, tr|A0A5G2R358|A0A5G2R358_PIG, tr|A0A5G2QQC8|A0A5G2QQC8_PIG, tr|A0A5G2R652|A0A5G2R652_PIG, tr|A0A5G2QIJ3|A0A5G2QIJ3_PIG, tr|A0A5G2R5B4|A0A5G2R5B4_PIG, tr|A0A5G2QP10|A0A5G2QP10_PIG, tr|A0A5G2QTB7|A0A5G2QTB7_PIG, tr|A0A5G2QIS8|A0A5G2QIS8_PIG, tr|A0A5G2QTA8|A0A5G2QTA8_PIG, tr|A0A5G2RBQ9|A0A5G2RBQ9_PIG, tr|A0A5G2QCC4|A0A5G2QCC4_PIG, tr|A0A5G2RE39|A0A5G2RE39_PIG, tr|A0A5G2QSI0|A0A5G2QSI0_PIG, tr|A0A5G2R2Z3|A0A5G2R2Z3_PIG, tr|A0A5G2QWL3|A0A5G2QWL3_PIG, tr|A0A5G2QXA2|A0A5G2QXA2_PIG, tr|A0A5G2R3K0|A0A5G2R3K0_PIG, tr|A0A5G2QRY4|A0A5G2QRY4_PIG, tr|A0A5G2QB65|A0A5G2QB65_PIG, tr|A0A286ZTY1|A0A286ZTY1_PIG, tr|A0A5G2QP66|A0A5G2QP66_PIG, tr|A0A5G2R9G1|A0A5G2R9G1_PIG, tr|A0A5G2RJP8|A0A5G2RJP8_PIG, tr|A5Z0F5|A5Z0F5_PIG, tr|A0A5G2R236|A0A5G2R236_PIG, tr|A0A5G2RH22|A0A5G2RH22_PIG, tr|A0A5G2QE72|A0A5G2QE72_PIG, tr|A0A5G2QH41|A0A5G2QH41_PIG, tr|A0A5G2QXI5|A0A5G2QXI5_PIG, tr|A0A5G2R9X4|A0A5G2R9X4_PIG, tr|A0A5G2QYN5|A0A5G2QYN5_PIG, tr|A0A5G2QE19|A0A5G2QE19_PIG, tr|A0A5G2RDI7|A0A5G2RDI7_PIG, tr|A0A5G2R6G1|A0A5G2R6G1_PIG, tr|A0A5G2QJM7|A0A5G2QJM7_PIG, tr|A0A5G2RIE8|A0A5G2RIE8_PIG, tr|A0A5G2RE91|A0A5G2RE91_PIG, tr|A0A5G2QR38|A0A5G2QR38_PIG, tr|A0A5G2QWY9|A0A5G2QWY9_PIG, tr|A0A5G2R1V7|A0A5G2R1V7_PIG, tr|A0A5G2QR76|A0A5G2QR76_PIG, tr|A0A5G2R2U6|A0A5G2R2U6_PIG, tr|A0A5G2QUL7|A0A5G2QUL7_PIG, tr|A0A5G2QVB5|A0A5G2QVB5_PIG, tr|A0A5G2RC16|A0A5G2RC16_PIG, tr|A0A5G2QQ89|A0A5G2QQ89_PIG, tr|A0A5G2R6Z6|A0A5G2R6Z6_PIG, tr|A0A5G2QZ48|A0A5G2QZ48_PIG, tr|A0A5G2R8A3|A0A5G2R8A3_PIG, tr|A0A5G2R8K2|A0A5G2R8K2_PIG, tr|A0A5G2QA90|A0A5G2QA90_PIG, tr|A0A287ABJ9|A0A287ABJ9_PIG, tr|A0A5G2QK70|A0A5G2QK70_PIG, tr|A0A5G2QJR9|A0A5G2QJR9_PIG, tr|A0A5G2QJ16|A0A5G2QJ16_PIG, tr|A0A5G2R7Q1|A0A5G2R7Q1_PIG, tr|A0A5G2QVT5|A0A5G2QVT5_PIG, tr|A0A287BDV6|A0A287BDV6_PIG, tr|A0A5G2QKR4|A0A5G2QKR4_PIG, tr|A0A5G2QQQ4|A0A5G2QQQ4_PIG, tr|A0A5G2R379|A0A5G2R379_PIG, tr|A0A5G2QQ38|A0A5G2QQ38_PIG, tr|A0A5G2QRK3|A0A5G2QRK3_PIG, tr|A0A5G2R7F3|A0A5G2R7F3_PIG, tr|A0A286ZJ77|A0A286ZJ77_PIG, tr|A0A287AJ35|A0A287AJ35_PIG, tr|A0A5G2QGQ6|A0A5G2QGQ6_PIG, tr|A0A287A3R0|A0A287A3R0_PIG, tr|A0A5G2QFT2|A0A5G2QFT2_PIG, tr|A0A5G2QVP7|A0A5G2QVP7_PIG, tr|A0A5G2QGA5|A0A5G2QGA5_PIG, tr|A0A5G2R6D5|A0A5G2R6D5_PIG, tr|A0A5G2R2I0|A0A5G2R2I0_PIG, tr|A0A5G2QW13|A0A5G2QW13_PIG, tr|A0A5G2R7C7|A0A5G2R7C7_PIG, tr|A0A5G2RC82|A0A5G2RC82_PIG, tr|A0A5G2QRS1|A0A5G2QRS1_PIG, tr|A0A5G2R057|A0A5G2R057_PIG, tr|A0A5G2R071|A0A5G2R071_PIG, tr|A0A5G2QE83|A0A5G2QE83_PIG, tr|A0A5G2QXW3|A0A5G2QXW3_PIG, tr|A0A287BKN6|A0A287BKN6_PIG, tr|A0A5G2QJN2|A0A5G2QJN2_PIG, tr|A0A5G2QLR2|A0A5G2QLR2_PIG, tr|A0A5G2QLF7|A0A5G2QLF7_PIG, tr|A0A5G2RNJ9|A0A5G2RNJ9_PIG, tr|A0A5G2QQH8|A0A5G2QQH8_PIG, tr|A0A287A647|A0A287A647_PIG, tr|A0A5G2QPM0|A0A5G2QPM0_PIG, tr|A0A287A459|A0A287A459_PIG, tr|A0A5G2R867|A0A5G2R867_PIG, tr|A0A5G2RMQ7|A0A5G2RMQ7_PIG, tr|A0A5G2QEX9|A0A5G2QEX9_PIG, tr|A0A5G2RGI1|A0A5G2RGI1_PIG, tr|A0A5G2QU57|A0A5G2QU57_PIG
OG0000011	tr|Q8C6S1|Q8C6S1_MOUSE, tr|B1ARV6|B1ARV6_MOUSE, sp|Q99MW3|PRAL1_MOUSE, tr|Q9D2F1|Q9D2F1_MOUSE, tr|Q3UX49|Q3UX49_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|A2A958|A2A958_MOUSE, sp|E9Q5G7|OOG1_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, tr|A2A8N0|A2A8N0_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|L7MU96|L7MU96_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|L7N456|L7N456_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QN52|J3QN52_MOUSE	tr|A0A287A680|A0A287A680_PIG
OG0000017	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A5G2QMG7|A0A5G2QMG7_PIG, tr|A0A287AWD0|A0A287AWD0_PIG, tr|A0A5G2QEU4|A0A5G2QEU4_PIG, tr|A0A287AZH2|A0A287AZH2_PIG, tr|A0A287AD59|A0A287AD59_PIG
OG0000017	sp|Q60879|OLF3_MOUSE	tr|A0A287A3G3|A0A287A3G3_PIG, tr|A0A5G2RBY1|A0A5G2RBY1_PIG, tr|A0A287AEC7|A0A287AEC7_PIG, tr|A0A287BGZ9|A0A287BGZ9_PIG, tr|A0A5G2QSY0|A0A5G2QSY0_PIG, tr|A0A287ASD2|A0A287ASD2_PIG, tr|A0A5G2QM55|A0A5G2QM55_PIG, tr|A0A287AZS6|A0A287AZS6_PIG, tr|F1SLL7|F1SLL7_PIG, tr|A0A287B7P7|A0A287B7P7_PIG, tr|A0A5G2R2R3|A0A5G2R2R3_PIG, tr|A0A287BN47|A0A287BN47_PIG, tr|A0A5G2QUE5|A0A5G2QUE5_PIG, tr|A0A287BBH1|A0A287BBH1_PIG, tr|F1SKW8|F1SKW8_PIG, tr|A0A287BN14|A0A287BN14_PIG, tr|A0A5G2R4A4|A0A5G2R4A4_PIG, tr|A0A5G2R476|A0A5G2R476_PIG, tr|F1SLN9|F1SLN9_PIG, tr|A0A287AHE2|A0A287AHE2_PIG, tr|F1RV63|F1RV63_PIG, tr|A0A287BFF7|A0A287BFF7_PIG, tr|I3L8A5|I3L8A5_PIG, tr|A0A287BBW1|A0A287BBW1_PIG, tr|A0A286ZJM3|A0A286ZJM3_PIG, tr|A0A5G2R8X1|A0A5G2R8X1_PIG, tr|A0A287AMQ5|A0A287AMQ5_PIG, tr|A0A5G2QAA1|A0A5G2QAA1_PIG, tr|A0A286ZNP5|A0A286ZNP5_PIG, tr|A0A5G2RAS4|A0A5G2RAS4_PIG, tr|A0A5G2QU17|A0A5G2QU17_PIG, tr|A0A287BKL2|A0A287BKL2_PIG, tr|F1SKX0|F1SKX0_PIG, tr|A0A287A880|A0A287A880_PIG
OG0000025	tr|Q14C10|Q14C10_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N775|K7N775_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE	tr|A0A5G2QUY4|A0A5G2QUY4_PIG
OG0000026	sp|Q8VGR9|O1044_MOUSE	tr|A0A5G2QDC9|A0A5G2QDC9_PIG
OG0000026	tr|A2ARY0|A2ARY0_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, tr|Q7TR84|Q7TR84_MOUSE	tr|A0A5G2QJM8|A0A5G2QJM8_PIG
OG0000026	tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR80|Q7TR80_MOUSE	tr|A0A287BDX4|A0A287BDX4_PIG
OG0000028	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A287AY25|A0A287AY25_PIG, tr|I3LNM4|I3LNM4_PIG, tr|A0A287BB76|A0A287BB76_PIG, tr|A0A287BDN8|A0A287BDN8_PIG, tr|A0A287APN8|A0A287APN8_PIG, tr|F1SJW5|F1SJW5_PIG, tr|A0A287AW95|A0A287AW95_PIG, tr|A0A286ZUV7|A0A286ZUV7_PIG, tr|F1S7L1|F1S7L1_PIG, tr|A0A287AQ62|A0A287AQ62_PIG, tr|A0A5G2QSX0|A0A5G2QSX0_PIG, tr|F1S950|F1S950_PIG, tr|F1SJ98|F1SJ98_PIG, tr|F1S7L0|F1S7L0_PIG, tr|F1S930|F1S930_PIG, tr|A0A287AX27|A0A287AX27_PIG, tr|A0A287AN64|A0A287AN64_PIG, tr|A0A287B774|A0A287B774_PIG, tr|A0A287A492|A0A287A492_PIG, tr|A0A287A801|A0A287A801_PIG, tr|A0A287AYT5|A0A287AYT5_PIG, tr|A0A287A804|A0A287A804_PIG, tr|F1S7Q0|F1S7Q0_PIG, tr|F1S7G7|F1S7G7_PIG, tr|F1SJ96|F1SJ96_PIG, tr|A0A287BFV9|A0A287BFV9_PIG, tr|A0A287BLL6|A0A287BLL6_PIG, tr|A0A286ZNR1|A0A286ZNR1_PIG, tr|A0A287A8V3|A0A287A8V3_PIG, tr|A0A287AC31|A0A287AC31_PIG, tr|F1S7J5|F1S7J5_PIG, tr|F1SJ97|F1SJ97_PIG, tr|F1SBV3|F1SBV3_PIG
OG0000034	tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE	tr|F1RH26|F1RH26_PIG
