Orthogroup	Mus_musculus	Otolemur_garnettii
OG0000002	sp|Q571J5|Z354C_MOUSE	tr|H0X420|H0X420_OTOGA
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|H0XFN5|H0XFN5_OTOGA
OG0000002	sp|E9PYI1|ZN568_MOUSE	tr|H0WVC9|H0WVC9_OTOGA
OG0000002	sp|Q61967|ZFP90_MOUSE	tr|H0XT34|H0XT34_OTOGA, tr|H0XR07|H0XR07_OTOGA, tr|H0XVZ2|H0XVZ2_OTOGA, tr|H0XVQ3|H0XVQ3_OTOGA
OG0000002	sp|Q8BQC8|RBAK_MOUSE	tr|H0WV91|H0WV91_OTOGA
OG0000002	sp|Q7TSI0|ZNF12_MOUSE	tr|H0XSW0|H0XSW0_OTOGA
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|H0XLE3|H0XLE3_OTOGA, tr|H0WPC0|H0WPC0_OTOGA, tr|H0XJA9|H0XJA9_OTOGA, tr|H0XTW8|H0XTW8_OTOGA, tr|H0XWN5|H0XWN5_OTOGA, tr|H0WNW6|H0WNW6_OTOGA, tr|H0XYS6|H0XYS6_OTOGA
OG0000002	sp|B2RXC5|ZN382_MOUSE	tr|H0XNE8|H0XNE8_OTOGA, tr|H0XLH8|H0XLH8_OTOGA, tr|H0Y1M4|H0Y1M4_OTOGA
OG0000002	tr|A2AE21|A2AE21_MOUSE	tr|H0XHB8|H0XHB8_OTOGA, tr|H0XY24|H0XY24_OTOGA, tr|H0XML9|H0XML9_OTOGA, tr|H0WPM9|H0WPM9_OTOGA, tr|H0WXD4|H0WXD4_OTOGA, tr|H0Y236|H0Y236_OTOGA
OG0000002	tr|E9Q3R6|E9Q3R6_MOUSE	tr|H0WWT1|H0WWT1_OTOGA, tr|H0XEA4|H0XEA4_OTOGA, tr|H0XZ42|H0XZ42_OTOGA
OG0000005	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|H0XW32|H0XW32_OTOGA
OG0000005	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|H0XXI6|H0XXI6_OTOGA
OG0000005	tr|Q8VG45|Q8VG45_MOUSE	tr|H0XZI7|H0XZI7_OTOGA
OG0000005	tr|Q8VGI9|Q8VGI9_MOUSE	tr|H0XLQ3|H0XLQ3_OTOGA
OG0000005	tr|Q8K501|Q8K501_MOUSE	tr|H0XK65|H0XK65_OTOGA, tr|H0Y1H9|H0Y1H9_OTOGA
OG0000005	tr|Q8VGC4|Q8VGC4_MOUSE	tr|H0XPP6|H0XPP6_OTOGA, tr|H0XTV0|H0XTV0_OTOGA
OG0000005	tr|Q8VF26|Q8VF26_MOUSE	tr|H0XQZ0|H0XQZ0_OTOGA
