Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0000003	tr|Q8VGB8|Q8VGB8_MOUSE	tr|I3N5P2|I3N5P2_ICTTR
OG0000003	tr|Q7TQU8|Q7TQU8_MOUSE	tr|I3MS33|I3MS33_ICTTR, tr|I3N4W1|I3N4W1_ICTTR, tr|I3MX76|I3MX76_ICTTR, tr|I3NCR8|I3NCR8_ICTTR, tr|A0A287CUS3|A0A287CUS3_ICTTR, tr|I3N7H3|I3N7H3_ICTTR, tr|A0A287D613|A0A287D613_ICTTR, tr|A0A287D8G2|A0A287D8G2_ICTTR, tr|A0A287CW55|A0A287CW55_ICTTR, tr|A0A287D4Q9|A0A287D4Q9_ICTTR, tr|A0A287D925|A0A287D925_ICTTR, tr|A0A287D9K3|A0A287D9K3_ICTTR, tr|I3NAW2|I3NAW2_ICTTR, tr|I3NE12|I3NE12_ICTTR, tr|A0A287D6B0|A0A287D6B0_ICTTR, tr|I3NBH3|I3NBH3_ICTTR, tr|I3NE62|I3NE62_ICTTR, tr|I3N7Z8|I3N7Z8_ICTTR, tr|I3NEN3|I3NEN3_ICTTR, tr|I3NGG4|I3NGG4_ICTTR, tr|I3NDD7|I3NDD7_ICTTR, tr|I3NDE8|I3NDE8_ICTTR, tr|I3MTL1|I3MTL1_ICTTR, tr|I3NAH2|I3NAH2_ICTTR, tr|I3NDM3|I3NDM3_ICTTR, tr|I3MVH2|I3MVH2_ICTTR, tr|I3NHH8|I3NHH8_ICTTR, tr|I3N157|I3N157_ICTTR, tr|I3NHJ2|I3NHJ2_ICTTR, tr|I3N5Q6|I3N5Q6_ICTTR, tr|I3MST1|I3MST1_ICTTR, tr|I3NDE4|I3NDE4_ICTTR, tr|I3ND41|I3ND41_ICTTR, tr|I3NHV0|I3NHV0_ICTTR, tr|I3N0Y6|I3N0Y6_ICTTR, tr|I3N9T5|I3N9T5_ICTTR, tr|I3N513|I3N513_ICTTR, tr|I3NCI5|I3NCI5_ICTTR, tr|I3MZE9|I3MZE9_ICTTR, tr|I3MT86|I3MT86_ICTTR, tr|A0A287CTT1|A0A287CTT1_ICTTR, tr|I3MSH4|I3MSH4_ICTTR, tr|I3MWC5|I3MWC5_ICTTR, tr|A0A287D3S9|A0A287D3S9_ICTTR, tr|I3N938|I3N938_ICTTR, tr|I3NGZ4|I3NGZ4_ICTTR, tr|I3NHP8|I3NHP8_ICTTR, tr|I3NGJ5|I3NGJ5_ICTTR, tr|I3N0P9|I3N0P9_ICTTR, tr|I3N8L5|I3N8L5_ICTTR, tr|I3N0X0|I3N0X0_ICTTR, tr|I3MWA3|I3MWA3_ICTTR, tr|A0A287CWQ0|A0A287CWQ0_ICTTR, tr|I3NBU7|I3NBU7_ICTTR, tr|I3M9S3|I3M9S3_ICTTR, tr|I3N538|I3N538_ICTTR
OG0000014	tr|A0A0B4J1K4|A0A0B4J1K4_MOUSE, tr|A0A075B612|A0A075B612_MOUSE, tr|A0A0B4J1N7|A0A0B4J1N7_MOUSE, tr|A0A075B636|A0A075B636_MOUSE, tr|A0A075B607|A0A075B607_MOUSE, tr|A0A075B619|A0A075B619_MOUSE, tr|A0A0G2JF94|A0A0G2JF94_MOUSE, tr|A0A075B6A1|A0A075B6A1_MOUSE, tr|A0A075B604|A0A075B604_MOUSE, tr|A0A0G2JFX6|A0A0G2JFX6_MOUSE, tr|A0A075B620|A0A075B620_MOUSE, tr|A0A075B6C1|A0A075B6C1_MOUSE, tr|Q5R1H9|Q5R1H9_MOUSE, tr|A0A0G2JEV5|A0A0G2JEV5_MOUSE, tr|Q5R1I3|Q5R1I3_MOUSE, sp|P01739|TVA2_MOUSE, tr|Q5R1I1|Q5R1I1_MOUSE, tr|A0A075B6D1|A0A075B6D1_MOUSE, tr|A0A0B4J1N1|A0A0B4J1N1_MOUSE, tr|A0A075B633|A0A075B633_MOUSE, tr|A0A075B616|A0A075B616_MOUSE, tr|A0A075B641|A0A075B641_MOUSE, tr|Q5R1H8|Q5R1H8_MOUSE, tr|A0A087WRX6|A0A087WRX6_MOUSE, tr|A0A0B4J1J9|A0A0B4J1J9_MOUSE, tr|A0A0G2JG17|A0A0G2JG17_MOUSE, tr|A0A087WRQ3|A0A087WRQ3_MOUSE, tr|A0A075B642|A0A075B642_MOUSE, tr|A0A075B622|A0A075B622_MOUSE, tr|A0A075B652|A0A075B652_MOUSE, tr|Q5R1F6|Q5R1F6_MOUSE, tr|A0A075B5Z7|A0A075B5Z7_MOUSE, tr|A0A075B654|A0A075B654_MOUSE, tr|Q5R1I8|Q5R1I8_MOUSE, tr|A0A075B614|A0A075B614_MOUSE, tr|A0A075B6D8|A0A075B6D8_MOUSE	tr|I3N7N9|I3N7N9_ICTTR
OG0000015	tr|Q91XX0|Q91XX0_MOUSE	tr|A0A287D3P5|A0A287D3P5_ICTTR
OG0000015	tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, sp|O88689|PCDA4_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, tr|Q91Y09|Q91Y09_MOUSE	tr|I3MS22|I3MS22_ICTTR
OG0000018	tr|Q8VET0|Q8VET0_MOUSE	tr|I3NHI4|I3NHI4_ICTTR
OG0000018	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A287CYA7|A0A287CYA7_ICTTR
OG0000018	tr|A2AVW3|A2AVW3_MOUSE	tr|I3M466|I3M466_ICTTR, tr|A0A287CZ43|A0A287CZ43_ICTTR
OG0000018	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A287DCU5|A0A287DCU5_ICTTR
OG0000018	tr|F8VQB9|F8VQB9_MOUSE	tr|I3NAR8|I3NAR8_ICTTR
