Orthogroup	Homo_sapiens	Loxodonta_africana
OG0000001	sp|Q8NH19|O10AG_HUMAN	tr|G3TRB7|G3TRB7_LOXAF, tr|G3UIL5|G3UIL5_LOXAF, tr|G3U5G3|G3U5G3_LOXAF, tr|G3UNM1|G3UNM1_LOXAF, tr|G3UHM0|G3UHM0_LOXAF, tr|G3UGK1|G3UGK1_LOXAF, tr|G3U3B0|G3U3B0_LOXAF, tr|G3TVU8|G3TVU8_LOXAF, tr|G3U705|G3U705_LOXAF, tr|G3UGL6|G3UGL6_LOXAF, tr|G3UIC5|G3UIC5_LOXAF, tr|G3UBT1|G3UBT1_LOXAF, tr|G3TXJ4|G3TXJ4_LOXAF, tr|G3U195|G3U195_LOXAF, tr|G3TPH2|G3TPH2_LOXAF, tr|G3UM92|G3UM92_LOXAF, tr|G3U139|G3U139_LOXAF, tr|G3UMT8|G3UMT8_LOXAF, tr|G3U451|G3U451_LOXAF, tr|G3U4U5|G3U4U5_LOXAF, tr|G3T6C6|G3T6C6_LOXAF, tr|G3U8W7|G3U8W7_LOXAF, tr|G3TY48|G3TY48_LOXAF, tr|G3U179|G3U179_LOXAF, tr|G3UN32|G3UN32_LOXAF, tr|G3TUI1|G3TUI1_LOXAF, tr|G3UKF5|G3UKF5_LOXAF, tr|G3UCZ8|G3UCZ8_LOXAF, tr|G3U2T5|G3U2T5_LOXAF, tr|G3TWR5|G3TWR5_LOXAF, tr|G3TRK7|G3TRK7_LOXAF, tr|G3UJ28|G3UJ28_LOXAF, tr|G3T725|G3T725_LOXAF, tr|G3UN25|G3UN25_LOXAF, tr|G3TRB2|G3TRB2_LOXAF, tr|G3TV38|G3TV38_LOXAF, tr|G3U460|G3U460_LOXAF, tr|G3U7A4|G3U7A4_LOXAF, tr|G3U3K8|G3U3K8_LOXAF, tr|G3U454|G3U454_LOXAF, tr|G3U2I2|G3U2I2_LOXAF, tr|G3U8C1|G3U8C1_LOXAF, tr|G3UH11|G3UH11_LOXAF, tr|G3U731|G3U731_LOXAF, tr|G3TU32|G3TU32_LOXAF, tr|G3U4E8|G3U4E8_LOXAF, tr|G3UGN9|G3UGN9_LOXAF, tr|G3U9C9|G3U9C9_LOXAF, tr|G3TSF0|G3TSF0_LOXAF, tr|G3U3V8|G3U3V8_LOXAF, tr|G3U1T2|G3U1T2_LOXAF, tr|G3U4C0|G3U4C0_LOXAF, tr|G3TWK8|G3TWK8_LOXAF, tr|G3UFN1|G3UFN1_LOXAF, tr|G3U2J3|G3U2J3_LOXAF, tr|G3U1P1|G3U1P1_LOXAF, tr|G3TVM6|G3TVM6_LOXAF, tr|G3U8F4|G3U8F4_LOXAF, tr|G3UGG9|G3UGG9_LOXAF, tr|G3SQ85|G3SQ85_LOXAF, tr|G3U859|G3U859_LOXAF, tr|G3TVF8|G3TVF8_LOXAF, tr|G3UCZ1|G3UCZ1_LOXAF, tr|G3TX13|G3TX13_LOXAF, tr|G3UCW8|G3UCW8_LOXAF, tr|G3U4Q1|G3U4Q1_LOXAF, tr|G3TRJ1|G3TRJ1_LOXAF, tr|G3TZ85|G3TZ85_LOXAF, tr|G3U9P2|G3U9P2_LOXAF, tr|G3U057|G3U057_LOXAF, tr|G3U104|G3U104_LOXAF
OG0000004	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G3U938|G3U938_LOXAF, tr|G3TLS4|G3TLS4_LOXAF
OG0000004	sp|Q9H344|O51I2_HUMAN	tr|G3TTT4|G3TTT4_LOXAF
OG0000004	sp|Q9H343|O51I1_HUMAN	tr|G3U2G9|G3U2G9_LOXAF, tr|G3UMV8|G3UMV8_LOXAF, tr|G3TYT2|G3TYT2_LOXAF, tr|G3T4K2|G3T4K2_LOXAF
OG0000004	sp|Q8NGK0|O51G2_HUMAN	tr|G3U2W7|G3U2W7_LOXAF, tr|G3UL26|G3UL26_LOXAF, tr|G3UN77|G3UN77_LOXAF, tr|G3U9J8|G3U9J8_LOXAF, tr|G3UI81|G3UI81_LOXAF, tr|G3TQJ0|G3TQJ0_LOXAF
OG0000004	sp|Q8NGJ5|O51L1_HUMAN	tr|G3U1F9|G3U1F9_LOXAF, tr|G3TVW1|G3TVW1_LOXAF, tr|G3UH86|G3UH86_LOXAF, tr|G3UKD3|G3UKD3_LOXAF, tr|G3UJL9|G3UJL9_LOXAF, tr|G3U333|G3U333_LOXAF, tr|G3T414|G3T414_LOXAF
OG0000004	sp|Q8NH63|O51H1_HUMAN	tr|G3U7N6|G3U7N6_LOXAF, tr|G3U474|G3U474_LOXAF, tr|G3U1U5|G3U1U5_LOXAF, tr|G3UKV3|G3UKV3_LOXAF, tr|G3UK91|G3UK91_LOXAF, tr|G3U1H6|G3U1H6_LOXAF, tr|G3UHD1|G3UHD1_LOXAF, tr|G3UA28|G3UA28_LOXAF
OG0000004	sp|Q9H342|O51J1_HUMAN	tr|G3TX77|G3TX77_LOXAF, tr|G3TXL1|G3TXL1_LOXAF, tr|G3UBU5|G3UBU5_LOXAF, tr|G3TY52|G3TY52_LOXAF, tr|G3UB13|G3UB13_LOXAF, tr|G3TWJ5|G3TWJ5_LOXAF, tr|G3U6N2|G3U6N2_LOXAF
OG0000005	sp|Q8NGC9|O11H4_HUMAN	tr|G3UL17|G3UL17_LOXAF, tr|G3TXB6|G3TXB6_LOXAF, tr|G3TXP0|G3TXP0_LOXAF, tr|G3UDM0|G3UDM0_LOXAF
OG0000005	sp|Q8NGC8|O11H7_HUMAN	tr|G3TQB6|G3TQB6_LOXAF
