Orthogroup	Mus_musculus	Ornithorhynchus_anatinus
OG0000007	sp|Q61142|SPIN1_MOUSE, sp|Q8K1L2|SPIN4_MOUSE, tr|Q497R7|Q497R7_MOUSE, tr|Q5FWD5|Q5FWD5_MOUSE, tr|J3QPJ2|J3QPJ2_MOUSE, tr|J3QPZ4|J3QPZ4_MOUSE, tr|J3QM72|J3QM72_MOUSE, tr|J3KML6|J3KML6_MOUSE, tr|J3QN17|J3QN17_MOUSE, tr|Q62457|Q62457_MOUSE, tr|Q5FWD4|Q5FWD4_MOUSE, tr|A0A087WQ19|A0A087WQ19_MOUSE, tr|J3KMI7|J3KMI7_MOUSE, tr|Q78EE2|Q78EE2_MOUSE, tr|Q62458|Q62458_MOUSE, tr|A0A087WSM5|A0A087WSM5_MOUSE, tr|Q810R8|Q810R8_MOUSE, tr|Q62460|Q62460_MOUSE, tr|Q62461|Q62461_MOUSE, tr|J3QME2|J3QME2_MOUSE, tr|J3QK38|J3QK38_MOUSE, tr|J3QN84|J3QN84_MOUSE, tr|J3QMK7|J3QMK7_MOUSE, tr|J3KMI0|J3KMI0_MOUSE, tr|Q5FWB5|Q5FWB5_MOUSE, tr|Q149W4|Q149W4_MOUSE, tr|Q5M8R5|Q5M8R5_MOUSE, tr|J3QPK8|J3QPK8_MOUSE, tr|Q9D9T3|Q9D9T3_MOUSE, tr|J3QM67|J3QM67_MOUSE, tr|A0A0A6YXW2|A0A0A6YXW2_MOUSE, tr|J3QP49|J3QP49_MOUSE, sp|P13675|SSTY1_MOUSE, tr|Q3TTD8|Q3TTD8_MOUSE, tr|J3QMQ9|J3QMQ9_MOUSE, tr|J3QQ23|J3QQ23_MOUSE, tr|A0A0A6YXX7|A0A0A6YXX7_MOUSE, tr|A0A087WNM4|A0A087WNM4_MOUSE, tr|J3QNZ6|J3QNZ6_MOUSE, tr|A0A087WNP8|A0A087WNP8_MOUSE, tr|J3KMI9|J3KMI9_MOUSE, tr|A0A087WNV3|A0A087WNV3_MOUSE, sp|Q6NVE3|SPI2C_MOUSE, tr|B1B0R2|B1B0R2_MOUSE, tr|A0A0N4SW15|A0A0N4SW15_MOUSE, tr|E9PWJ8|E9PWJ8_MOUSE, tr|J3QPU0|J3QPU0_MOUSE, tr|A0A571BDE3|A0A571BDE3_MOUSE	tr|A0A6I8PC02|A0A6I8PC02_ORNAN
OG0000011	sp|Q8CJC7|KLRE1_MOUSE	tr|A0A6I8NS14|A0A6I8NS14_ORNAN
OG0000011	sp|O54709|NKG2D_MOUSE	tr|A0A6I8MXY5|A0A6I8MXY5_ORNAN, tr|A0A6I8NXS4|A0A6I8NXS4_ORNAN, tr|A0A6I8NXX2|A0A6I8NXX2_ORNAN, tr|A0A6I8NKZ3|A0A6I8NKZ3_ORNAN, tr|A0A6I8PM87|A0A6I8PM87_ORNAN, tr|F7F8T9|F7F8T9_ORNAN, tr|F6QZQ7|F6QZQ7_ORNAN, tr|A0A6I8NH30|A0A6I8NH30_ORNAN, tr|A0A6I8N8K6|A0A6I8N8K6_ORNAN, tr|F6SRS8|F6SRS8_ORNAN, tr|F6YT68|F6YT68_ORNAN, tr|F6PH29|F6PH29_ORNAN, tr|F6ZHW1|F6ZHW1_ORNAN, tr|F6RRQ2|F6RRQ2_ORNAN, tr|F7E328|F7E328_ORNAN, tr|F6RRL7|F6RRL7_ORNAN, tr|A0A6I8NXG0|A0A6I8NXG0_ORNAN, tr|F6TDE9|F6TDE9_ORNAN, tr|F7EQL0|F7EQL0_ORNAN, tr|A0A6I8N5L7|A0A6I8N5L7_ORNAN, tr|A0A6I8PG19|A0A6I8PG19_ORNAN, tr|A0A6I8N2E7|A0A6I8N2E7_ORNAN, tr|A0A6I8N4P9|A0A6I8N4P9_ORNAN, tr|A0A6I8NNZ3|A0A6I8NNZ3_ORNAN, tr|F6RYX7|F6RYX7_ORNAN
OG0000011	sp|O54707|KLRD1_MOUSE	tr|A0A6I8NLM3|A0A6I8NLM3_ORNAN, tr|F6SI08|F6SI08_ORNAN, tr|F6YMP9|F6YMP9_ORNAN, tr|A0A6I8PHV2|A0A6I8PHV2_ORNAN, tr|F6TLB7|F6TLB7_ORNAN, tr|F6PGB3|F6PGB3_ORNAN, tr|A0A6I8NHK6|A0A6I8NHK6_ORNAN, tr|A0A6I8NDX2|A0A6I8NDX2_ORNAN, tr|F6SVH9|F6SVH9_ORNAN, tr|A0A6I8PB99|A0A6I8PB99_ORNAN, tr|F6SRQ0|F6SRQ0_ORNAN, tr|A0A6I8NHX3|A0A6I8NHX3_ORNAN, tr|A0A6I8NSY5|A0A6I8NSY5_ORNAN, tr|F6VKX8|F6VKX8_ORNAN, tr|F6VLG7|F6VLG7_ORNAN, tr|A0A6I8N522|A0A6I8N522_ORNAN
OG0000013	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A6I8PEX2|A0A6I8PEX2_ORNAN, tr|A0A6I8PGF5|A0A6I8PGF5_ORNAN, tr|F6YSJ5|F6YSJ5_ORNAN, tr|F6YTL5|F6YTL5_ORNAN, tr|A0A6I8PP87|A0A6I8PP87_ORNAN, tr|A0A6I8N7R5|A0A6I8N7R5_ORNAN, tr|F6ZLD9|F6ZLD9_ORNAN, tr|A0A6I8PIP3|A0A6I8PIP3_ORNAN, tr|F7FSM4|F7FSM4_ORNAN, tr|F6S4J5|F6S4J5_ORNAN, tr|F7ETG5|F7ETG5_ORNAN, tr|A0A6I8NBM5|A0A6I8NBM5_ORNAN, tr|A0A6I8NUG8|A0A6I8NUG8_ORNAN, tr|F7FVS4|F7FVS4_ORNAN, tr|F6YT53|F6YT53_ORNAN, tr|F7ED81|F7ED81_ORNAN, tr|A0A6I8PIT1|A0A6I8PIT1_ORNAN, tr|F7A524|F7A524_ORNAN, tr|F6UCG1|F6UCG1_ORNAN, tr|F6RHL2|F6RHL2_ORNAN, tr|F6WR58|F6WR58_ORNAN, tr|F7AAQ7|F7AAQ7_ORNAN, tr|F7GD59|F7GD59_ORNAN, tr|F7CET8|F7CET8_ORNAN, tr|A0A6I8NSX7|A0A6I8NSX7_ORNAN, tr|F6WEQ2|F6WEQ2_ORNAN, tr|A0A6I8NL33|A0A6I8NL33_ORNAN, tr|A0A6I8N0K4|A0A6I8N0K4_ORNAN, tr|A0A6I8PHK1|A0A6I8PHK1_ORNAN, tr|F6Q2K7|F6Q2K7_ORNAN, tr|F6XGG8|F6XGG8_ORNAN, tr|F6Q2J7|F6Q2J7_ORNAN, tr|A0A6I8PQK0|A0A6I8PQK0_ORNAN, tr|F7G5R3|F7G5R3_ORNAN, tr|F7CFA7|F7CFA7_ORNAN, tr|F6Q2M6|F6Q2M6_ORNAN, tr|A0A6I8N207|A0A6I8N207_ORNAN, tr|F6TPE6|F6TPE6_ORNAN, tr|F7FD55|F7FD55_ORNAN, tr|F6Q2L6|F6Q2L6_ORNAN, tr|F7F7G7|F7F7G7_ORNAN, tr|F7F7G3|F7F7G3_ORNAN
OG0000019	tr|Q8VGE3|Q8VGE3_MOUSE, sp|Q60893|OL151_MOUSE, tr|Q8VGB4|Q8VGB4_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE, tr|Q9EQ98|Q9EQ98_MOUSE, tr|Q8VH09|Q8VH09_MOUSE, sp|Q60884|OL146_MOUSE, tr|J3KMV2|J3KMV2_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE	tr|F6QKB7|F6QKB7_ORNAN
OG0000020	sp|Q9JLN5|ERMAP_MOUSE	tr|A0A6I8PBE6|A0A6I8PBE6_ORNAN
OG0000020	sp|Q8BJE2|BTNL9_MOUSE	tr|F7AQR5|F7AQR5_ORNAN, tr|F7DI50|F7DI50_ORNAN
OG0000020	sp|Q9JK39|BTNLA_MOUSE	tr|A0A6I8N343|A0A6I8N343_ORNAN, tr|A0A6I8PQ38|A0A6I8PQ38_ORNAN, tr|F6WIH6|F6WIH6_ORNAN, tr|F6RHH8|F6RHH8_ORNAN, tr|F6YMH0|F6YMH0_ORNAN, tr|A0A6I8P8X9|A0A6I8P8X9_ORNAN, tr|A0A6I8PAV7|A0A6I8PAV7_ORNAN, tr|A0A6I8PES9|A0A6I8PES9_ORNAN, tr|A0A6I8P1Y0|A0A6I8P1Y0_ORNAN, tr|F6S7D2|F6S7D2_ORNAN, tr|A0A6I8P2D6|A0A6I8P2D6_ORNAN, tr|F6SV30|F6SV30_ORNAN, tr|F7CMQ1|F7CMQ1_ORNAN, tr|A0A6I8PCW6|A0A6I8PCW6_ORNAN
OG0000020	sp|Q8VH31|RFPLA_MOUSE	tr|F6UAL4|F6UAL4_ORNAN, tr|A0A6I8NNJ9|A0A6I8NNJ9_ORNAN, tr|F7CME7|F7CME7_ORNAN, tr|F6TC93|F6TC93_ORNAN
