Orthogroup	Homo_sapiens	Suricata_suricatta
OG0000000	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A673TTE3|A0A673TTE3_SURSU, tr|A0A673TQL1|A0A673TQL1_SURSU
OG0000000	sp|Q8N628|OR2C3_HUMAN	tr|A0A673TYS7|A0A673TYS7_SURSU, tr|A0A673STA2|A0A673STA2_SURSU, tr|A0A673STY9|A0A673STY9_SURSU, tr|A0A673STR6|A0A673STR6_SURSU, tr|A0A673STY0|A0A673STY0_SURSU, tr|A0A673TL48|A0A673TL48_SURSU
OG0000000	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A673TXZ2|A0A673TXZ2_SURSU, tr|A0A673TPW3|A0A673TPW3_SURSU, tr|A0A673SLN9|A0A673SLN9_SURSU, tr|A0A673TWP7|A0A673TWP7_SURSU, tr|A0A673STC9|A0A673STC9_SURSU, tr|A0A673TR31|A0A673TR31_SURSU, tr|A0A673TQD6|A0A673TQD6_SURSU, tr|A0A673TQB1|A0A673TQB1_SURSU, tr|A0A673TQI2|A0A673TQI2_SURSU, tr|A0A673T6M2|A0A673T6M2_SURSU, tr|A0A673T6S1|A0A673T6S1_SURSU, tr|A0A673T6H3|A0A673T6H3_SURSU, tr|A0A673STU1|A0A673STU1_SURSU, tr|A0A673T6W3|A0A673T6W3_SURSU, tr|A0A673T6T3|A0A673T6T3_SURSU, tr|A0A673TDY6|A0A673TDY6_SURSU, tr|A0A673TRM4|A0A673TRM4_SURSU, tr|A0A673U431|A0A673U431_SURSU
OG0000002	sp|Q8NH06|OR1P1_HUMAN	tr|A0A673VA37|A0A673VA37_SURSU
OG0000002	sp|Q15619|OR1C1_HUMAN	tr|A0A673TSU1|A0A673TSU1_SURSU, tr|A0A673VJV4|A0A673VJV4_SURSU, tr|A0A673UI66|A0A673UI66_SURSU, tr|A0A673TY07|A0A673TY07_SURSU
OG0000002	sp|Q6IFN5|O7E24_HUMAN	tr|A0A673TKS9|A0A673TKS9_SURSU, tr|A0A673TGF5|A0A673TGF5_SURSU, tr|A0A673TTQ2|A0A673TTQ2_SURSU, tr|A0A673TS54|A0A673TS54_SURSU, tr|A0A673TFY1|A0A673TFY1_SURSU, tr|A0A673TKD6|A0A673TKD6_SURSU, tr|A0A673TTF2|A0A673TTF2_SURSU, tr|A0A673V9G4|A0A673V9G4_SURSU, tr|A0A673V9I5|A0A673V9I5_SURSU, tr|A0A673TKI1|A0A673TKI1_SURSU, tr|A0A673STK3|A0A673STK3_SURSU, tr|A0A673TU34|A0A673TU34_SURSU, tr|A0A673TQ86|A0A673TQ86_SURSU, tr|A0A673TDV8|A0A673TDV8_SURSU, tr|A0A673V9X1|A0A673V9X1_SURSU, tr|A0A673VI50|A0A673VI50_SURSU, tr|A0A673VIA3|A0A673VIA3_SURSU, tr|A0A673VJD2|A0A673VJD2_SURSU, tr|A0A673VIS5|A0A673VIS5_SURSU, tr|A0A673VJG2|A0A673VJG2_SURSU, tr|A0A673VIH3|A0A673VIH3_SURSU, tr|A0A673U1Y5|A0A673U1Y5_SURSU, tr|A0A673U3N9|A0A673U3N9_SURSU, tr|A0A673U166|A0A673U166_SURSU, tr|A0A673U0A1|A0A673U0A1_SURSU, tr|A0A673TP44|A0A673TP44_SURSU, tr|A0A673U1K0|A0A673U1K0_SURSU, tr|A0A673U256|A0A673U256_SURSU, tr|A0A673U2N8|A0A673U2N8_SURSU, tr|A0A673TQL3|A0A673TQL3_SURSU, tr|A0A673U351|A0A673U351_SURSU, tr|A0A673U3B3|A0A673U3B3_SURSU
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A673TRW5|A0A673TRW5_SURSU
OG0000003	sp|Q9H341|O51M1_HUMAN	tr|A0A673UGY8|A0A673UGY8_SURSU
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A673TN69|A0A673TN69_SURSU, tr|A0A673UIS4|A0A673UIS4_SURSU, tr|A0A673ULV2|A0A673ULV2_SURSU, tr|A0A673UBU8|A0A673UBU8_SURSU, tr|A0A673U8H9|A0A673U8H9_SURSU
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A673TX65|A0A673TX65_SURSU, tr|A0A673TX32|A0A673TX32_SURSU, tr|A0A673SYY3|A0A673SYY3_SURSU, tr|A0A673U508|A0A673U508_SURSU, tr|A0A673TS46|A0A673TS46_SURSU, tr|A0A673U4N5|A0A673U4N5_SURSU
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|A0A673UQL3|A0A673UQL3_SURSU, tr|A0A673U125|A0A673U125_SURSU, tr|A0A673TZZ6|A0A673TZZ6_SURSU
