Orthogroup	Mus_musculus	Dipodomys_ordii
OG0000002	tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N226|L7N226_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|L7N293|L7N293_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|L7N273|L7N273_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|L7N227|L7N227_MOUSE, tr|L7N270|L7N270_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|K7N701|K7N701_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|K7N731|K7N731_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE	tr|A0A1S3GPR4|A0A1S3GPR4_DIPOR
OG0000003	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01638|KV5A6_MOUSE, sp|P01637|KV5A5_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, sp|P01641|KV5A8_MOUSE, sp|P01639|KV5A7_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, sp|P01661|KV3A9_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01671|KV3AJ_MOUSE	tr|A0A1S3GT70|A0A1S3GT70_DIPOR
OG0000007	tr|E9PWP1|E9PWP1_MOUSE	tr|A0A1S3F588|A0A1S3F588_DIPOR, tr|A0A1S3F5Z7|A0A1S3F5Z7_DIPOR, tr|A0A1S3GKQ4|A0A1S3GKQ4_DIPOR, tr|A0A1S3GVD3|A0A1S3GVD3_DIPOR, tr|A0A1S3GSY6|A0A1S3GSY6_DIPOR, tr|A0A1S3GCS3|A0A1S3GCS3_DIPOR, tr|A0A1S3FYQ8|A0A1S3FYQ8_DIPOR, tr|A0A1S3F446|A0A1S3F446_DIPOR, tr|A0A1S3GTV6|A0A1S3GTV6_DIPOR, tr|A0A1S3EP92|A0A1S3EP92_DIPOR, tr|A0A1S3GXM1|A0A1S3GXM1_DIPOR, tr|A0A1S3GSU4|A0A1S3GSU4_DIPOR, tr|A0A1S3GVZ3|A0A1S3GVZ3_DIPOR, tr|A0A1S3GWH9|A0A1S3GWH9_DIPOR, tr|A0A1S3GTC9|A0A1S3GTC9_DIPOR, tr|A0A1S3GR34|A0A1S3GR34_DIPOR, tr|A0A1S3FV92|A0A1S3FV92_DIPOR, tr|A0A1S3GR98|A0A1S3GR98_DIPOR, tr|A0A1S3GT28|A0A1S3GT28_DIPOR, tr|A0A1S3GTZ1|A0A1S3GTZ1_DIPOR, tr|A0A1S3GTM7|A0A1S3GTM7_DIPOR, tr|A0A1S3GTP8|A0A1S3GTP8_DIPOR, tr|A0A1S3GTL7|A0A1S3GTL7_DIPOR, tr|A0A1S3GV53|A0A1S3GV53_DIPOR, tr|A0A1S3GS54|A0A1S3GS54_DIPOR, tr|A0A1S3GU84|A0A1S3GU84_DIPOR, tr|A0A1S3GTL2|A0A1S3GTL2_DIPOR, tr|A0A1S3GXQ0|A0A1S3GXQ0_DIPOR, tr|A0A1S3GW10|A0A1S3GW10_DIPOR, tr|A0A1S3GUK6|A0A1S3GUK6_DIPOR, tr|A0A1S3GW19|A0A1S3GW19_DIPOR, tr|A0A1S3GSH5|A0A1S3GSH5_DIPOR, tr|A0A1S3GVW7|A0A1S3GVW7_DIPOR, tr|A0A1S3F5T0|A0A1S3F5T0_DIPOR, tr|A0A1S3GUS0|A0A1S3GUS0_DIPOR, tr|A0A1S3GVM8|A0A1S3GVM8_DIPOR, tr|A0A1S3GT81|A0A1S3GT81_DIPOR, tr|A0A1S3GTV1|A0A1S3GTV1_DIPOR, tr|A0A1S3F6G5|A0A1S3F6G5_DIPOR, tr|A0A1S3F4K9|A0A1S3F4K9_DIPOR, tr|A0A1S3EME7|A0A1S3EME7_DIPOR, tr|A0A1S3FS84|A0A1S3FS84_DIPOR, tr|A0A1S3GTK3|A0A1S3GTK3_DIPOR, tr|A0A1S3GPG7|A0A1S3GPG7_DIPOR, tr|A0A1S3F658|A0A1S3F658_DIPOR, tr|A0A1S3GVE5|A0A1S3GVE5_DIPOR, tr|A0A1S3GNS9|A0A1S3GNS9_DIPOR, tr|A0A1S3GYM3|A0A1S3GYM3_DIPOR, tr|A0A1S3GW88|A0A1S3GW88_DIPOR
OG0000022	tr|A0A075B6B9|A0A075B6B9_MOUSE, tr|A0A075B6D4|A0A075B6D4_MOUSE, tr|A0A075B621|A0A075B621_MOUSE, tr|A0A0B4J1K2|A0A0B4J1K2_MOUSE, tr|A0A075B695|A0A075B695_MOUSE, tr|A0A075B647|A0A075B647_MOUSE, sp|P01738|TVA1_MOUSE, tr|A0A075B631|A0A075B631_MOUSE, tr|A0A075B685|A0A075B685_MOUSE, tr|A0A075B6A9|A0A075B6A9_MOUSE, tr|A0A075B699|A0A075B699_MOUSE, tr|A0A075B601|A0A075B601_MOUSE, tr|A0A087WQ87|A0A087WQ87_MOUSE, tr|A0A0G2JDX5|A0A0G2JDX5_MOUSE, sp|P06323|TVA3_MOUSE, tr|A0N8N6|A0N8N6_MOUSE, tr|A0A075B626|A0A075B626_MOUSE, tr|A0A075B605|A0A075B605_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B648|A0A075B648_MOUSE, tr|A0A075B6A4|A0A075B6A4_MOUSE, tr|A0A075B623|A0A075B623_MOUSE, tr|A0A075B603|A0A075B603_MOUSE, tr|A0A075B6D2|A0A075B6D2_MOUSE, tr|A0A075B6D6|A0A075B6D6_MOUSE, tr|A0A075B5Z9|A0A075B5Z9_MOUSE, tr|A0A075B5Z8|A0A075B5Z8_MOUSE, tr|A0A075B6D0|A0A075B6D0_MOUSE, tr|A0A075B6D3|A0A075B6D3_MOUSE, tr|A0A075B639|A0A075B639_MOUSE, tr|A0A075B6A6|A0A075B6A6_MOUSE, tr|A0A075B6B0|A0A075B6B0_MOUSE	tr|A0A1S3GQI1|A0A1S3GQI1_DIPOR
OG0000024	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A1S3FXU4|A0A1S3FXU4_DIPOR, tr|A0A1S3FXV4|A0A1S3FXV4_DIPOR
OG0000024	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A1S3FXU9|A0A1S3FXU9_DIPOR, tr|A0A1S3FXV0|A0A1S3FXV0_DIPOR, tr|A0A1S3FXT4|A0A1S3FXT4_DIPOR, tr|A0A1S3FZB1|A0A1S3FZB1_DIPOR, tr|A0A1S3GVJ3|A0A1S3GVJ3_DIPOR, tr|A0A1S3G2B1|A0A1S3G2B1_DIPOR, tr|A0A1S3GE74|A0A1S3GE74_DIPOR, tr|A0A1S3G067|A0A1S3G067_DIPOR, tr|A0A1S3GBV1|A0A1S3GBV1_DIPOR, tr|A0A1S3G0K0|A0A1S3G0K0_DIPOR, tr|A0A1S3G037|A0A1S3G037_DIPOR, tr|A0A1S3G288|A0A1S3G288_DIPOR, tr|A0A1S3G045|A0A1S3G045_DIPOR, tr|A0A1S3G042|A0A1S3G042_DIPOR, tr|A0A1S3G285|A0A1S3G285_DIPOR, tr|A0A1S3FZX5|A0A1S3FZX5_DIPOR, tr|A0A1S3FZW7|A0A1S3FZW7_DIPOR, tr|A0A1S3FXS9|A0A1S3FXS9_DIPOR, tr|A0A1S3FXU0|A0A1S3FXU0_DIPOR, tr|A0A1S3FZA1|A0A1S3FZA1_DIPOR, tr|A0A1S3FZA6|A0A1S3FZA6_DIPOR, tr|A0A1S3GPG8|A0A1S3GPG8_DIPOR, tr|A0A1S3G0K4|A0A1S3G0K4_DIPOR, tr|A0A1S3G1K7|A0A1S3G1K7_DIPOR, tr|A0A1S3G292|A0A1S3G292_DIPOR, tr|A0A1S3G047|A0A1S3G047_DIPOR
OG0000026	sp|P01735|TVB86_MOUSE, sp|P06321|TVB8_MOUSE, tr|A0A0B4J1G9|A0A0B4J1G9_MOUSE, tr|A0A0B4J1G8|A0A0B4J1G8_MOUSE, tr|A0A075B5I2|A0A075B5I2_MOUSE	tr|A0A1S3FKC2|A0A1S3FKC2_DIPOR
OG0000026	tr|A0A140T8P8|A0A140T8P8_MOUSE, tr|A0A075B5I3|A0A075B5I3_MOUSE, tr|A0A140T8N6|A0A140T8N6_MOUSE, tr|A0A0B4J1H2|A0A0B4J1H2_MOUSE, sp|P04213|TVB5_MOUSE, tr|A0A0G2LB96|A0A0G2LB96_MOUSE, sp|P01736|TVB3_MOUSE, sp|P04212|TVB4_MOUSE, tr|A0A0B4J1H4|A0A0B4J1H4_MOUSE, tr|A0A075B5J0|A0A075B5J0_MOUSE, sp|P01734|TVB1_MOUSE, tr|A0A075B5I9|A0A075B5I9_MOUSE, tr|A0A075B5I8|A0A075B5I8_MOUSE, tr|A0A0B4J1H0|A0A0B4J1H0_MOUSE, tr|A0A0B4J1H1|A0A0B4J1H1_MOUSE, tr|A0A0B4J1H3|A0A0B4J1H3_MOUSE, sp|P06320|TVB7_MOUSE, tr|A0A0A6YYE3|A0A0A6YYE3_MOUSE, tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE, tr|A0A140T8L9|A0A140T8L9_MOUSE	tr|A0A1S3FLY0|A0A1S3FLY0_DIPOR
OG0000027	sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE	tr|A0A1S3GH85|A0A1S3GH85_DIPOR
OG0000027	tr|E9Q6J4|E9Q6J4_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE	tr|A0A1S3GH59|A0A1S3GH59_DIPOR
