Orthogroup	Homo_sapiens	Marmota_monax
OG0000002	sp|Q6IFN5|O7E24_HUMAN	tr|A0A5E4CPY5|A0A5E4CPY5_MARMO, tr|A0A5E4AVW9|A0A5E4AVW9_MARMO, tr|A0A5E4D5E4|A0A5E4D5E4_MARMO, tr|A0A5E4AWL3|A0A5E4AWL3_MARMO, tr|A0A5E4CZA8|A0A5E4CZA8_MARMO, tr|A0A5E4D539|A0A5E4D539_MARMO, tr|A0A5E4AYC9|A0A5E4AYC9_MARMO, tr|A0A5E4AVM1|A0A5E4AVM1_MARMO, tr|A0A5E4D6K1|A0A5E4D6K1_MARMO, tr|A0A5E4AVY0|A0A5E4AVY0_MARMO, tr|A0A5E4AVP7|A0A5E4AVP7_MARMO, tr|A0A5E4B6B9|A0A5E4B6B9_MARMO, tr|A0A5E4D6D1|A0A5E4D6D1_MARMO, tr|A0A5E4D702|A0A5E4D702_MARMO, tr|A0A5E4DAK7|A0A5E4DAK7_MARMO, tr|A0A5E4D5M0|A0A5E4D5M0_MARMO, tr|A0A5E4D7W1|A0A5E4D7W1_MARMO, tr|A0A5E4DCN4|A0A5E4DCN4_MARMO, tr|A0A5E4CXK9|A0A5E4CXK9_MARMO, tr|A0A5E4D540|A0A5E4D540_MARMO, tr|A0A5E4DC96|A0A5E4DC96_MARMO, tr|A0A5E4D5C4|A0A5E4D5C4_MARMO, tr|A0A5E4D570|A0A5E4D570_MARMO, tr|A0A5E4CXR7|A0A5E4CXR7_MARMO, tr|A0A5E4D275|A0A5E4D275_MARMO, tr|A0A5E4CXT2|A0A5E4CXT2_MARMO, tr|A0A5E4D226|A0A5E4D226_MARMO, tr|A0A5E4C4Q2|A0A5E4C4Q2_MARMO, tr|A0A5E4CZ96|A0A5E4CZ96_MARMO, tr|A0A5E4AWK3|A0A5E4AWK3_MARMO, tr|A0A5E4D4G5|A0A5E4D4G5_MARMO, tr|A0A5E4CQX6|A0A5E4CQX6_MARMO, tr|A0A5E4D294|A0A5E4D294_MARMO, tr|A0A5E4D5K7|A0A5E4D5K7_MARMO, tr|A0A5E4AVN2|A0A5E4AVN2_MARMO, tr|A0A5E4D2A1|A0A5E4D2A1_MARMO, tr|A0A5E4AVV8|A0A5E4AVV8_MARMO, tr|A0A5E4CQB7|A0A5E4CQB7_MARMO, tr|A0A5E4D889|A0A5E4D889_MARMO, tr|A0A5E4AYI5|A0A5E4AYI5_MARMO, tr|A0A5E4CXM1|A0A5E4CXM1_MARMO, tr|A0A5E4CXQ8|A0A5E4CXQ8_MARMO, tr|A0A5E4CZZ1|A0A5E4CZZ1_MARMO, tr|A0A5E4D854|A0A5E4D854_MARMO, tr|A0A5E4AXF6|A0A5E4AXF6_MARMO, tr|A0A5E4AXU5|A0A5E4AXU5_MARMO, tr|A0A5E4AVU3|A0A5E4AVU3_MARMO, tr|A0A5E4C489|A0A5E4C489_MARMO, tr|A0A5E4AVN5|A0A5E4AVN5_MARMO, tr|A0A5E4D248|A0A5E4D248_MARMO, tr|A0A5E4AYG5|A0A5E4AYG5_MARMO, tr|A0A5E4AXT5|A0A5E4AXT5_MARMO, tr|A0A5E4AYB9|A0A5E4AYB9_MARMO, tr|A0A5E4D611|A0A5E4D611_MARMO, tr|A0A5E4AYH5|A0A5E4AYH5_MARMO, tr|A0A5E4D5C3|A0A5E4D5C3_MARMO, tr|A0A5E4AYF4|A0A5E4AYF4_MARMO, tr|A0A5E4AVL0|A0A5E4AVL0_MARMO, tr|A0A5E4D4Y1|A0A5E4D4Y1_MARMO, tr|A0A5E4D9M5|A0A5E4D9M5_MARMO, tr|A0A5E4D3J8|A0A5E4D3J8_MARMO, tr|A0A5E4AXG7|A0A5E4AXG7_MARMO, tr|A0A5E4AVV1|A0A5E4AVV1_MARMO, tr|A0A5E4D8D1|A0A5E4D8D1_MARMO, tr|A0A5E4D719|A0A5E4D719_MARMO
OG0000005	sp|Q9GZK4|OR2H1_HUMAN	tr|A0A5E4DBI9|A0A5E4DBI9_MARMO
OG0000005	sp|O95918|OR2H2_HUMAN	tr|A0A5E4C971|A0A5E4C971_MARMO
OG0000005	sp|O95371|OR2C1_HUMAN	tr|A0A5E4DAB2|A0A5E4DAB2_MARMO, tr|A0A5E4CYN6|A0A5E4CYN6_MARMO, tr|A0A5E4DDM4|A0A5E4DDM4_MARMO, tr|A0A5E4D381|A0A5E4D381_MARMO, tr|A0A5E4AZJ1|A0A5E4AZJ1_MARMO
OG0000005	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A5E4D0W9|A0A5E4D0W9_MARMO, tr|A0A5E4CR18|A0A5E4CR18_MARMO, tr|A0A5E4AB13|A0A5E4AB13_MARMO, tr|A0A5E4D0X4|A0A5E4D0X4_MARMO, tr|A0A5E4D0X3|A0A5E4D0X3_MARMO, tr|A0A5E4ADQ7|A0A5E4ADQ7_MARMO, tr|A0A5E4B2R4|A0A5E4B2R4_MARMO, tr|A0A5E4D0X6|A0A5E4D0X6_MARMO, tr|A0A5E4B373|A0A5E4B373_MARMO, tr|A0A5E4DD95|A0A5E4DD95_MARMO, tr|A0A5E4BUW9|A0A5E4BUW9_MARMO, tr|A0A5E4CJR2|A0A5E4CJR2_MARMO, tr|A0A5E4CC95|A0A5E4CC95_MARMO, tr|A0A5E4D297|A0A5E4D297_MARMO, tr|A0A5E4CH12|A0A5E4CH12_MARMO, tr|A0A5E4D6N7|A0A5E4D6N7_MARMO, tr|A0A5E4CTY2|A0A5E4CTY2_MARMO, tr|A0A5E4D8Q9|A0A5E4D8Q9_MARMO, tr|A0A5E4D0U3|A0A5E4D0U3_MARMO, tr|A0A5E4BXL3|A0A5E4BXL3_MARMO, tr|A0A5E4CN49|A0A5E4CN49_MARMO, tr|A0A5E4CN10|A0A5E4CN10_MARMO, tr|A0A5E4CLG5|A0A5E4CLG5_MARMO, tr|A0A5E4CLA9|A0A5E4CLA9_MARMO, tr|A0A5E4CN21|A0A5E4CN21_MARMO, tr|A0A5E4CLJ3|A0A5E4CLJ3_MARMO
OG0000007	sp|Q8TDU5|VNRL4_HUMAN, sp|Q7Z5H4|VN1R5_HUMAN	tr|A0A5E4DAA4|A0A5E4DAA4_MARMO, tr|A0A5E4DCS0|A0A5E4DCS0_MARMO, tr|A0A5E4DEF0|A0A5E4DEF0_MARMO, tr|A0A5E4DCB7|A0A5E4DCB7_MARMO, tr|A0A5E4CC20|A0A5E4CC20_MARMO, tr|A0A5E4D6L3|A0A5E4D6L3_MARMO, tr|A0A5E4AW39|A0A5E4AW39_MARMO, tr|A0A5E4D447|A0A5E4D447_MARMO, tr|A0A5E4CYB1|A0A5E4CYB1_MARMO, tr|A0A5E4D6K2|A0A5E4D6K2_MARMO, tr|A0A5E4DAA8|A0A5E4DAA8_MARMO, tr|A0A5E4D7E3|A0A5E4D7E3_MARMO, tr|A0A5E4D0J4|A0A5E4D0J4_MARMO, tr|A0A5E4CYA5|A0A5E4CYA5_MARMO, tr|A0A5E4C9U0|A0A5E4C9U0_MARMO, tr|A0A5E4D0Q8|A0A5E4D0Q8_MARMO, tr|A0A5E4DDP7|A0A5E4DDP7_MARMO, tr|A0A5E4CAD6|A0A5E4CAD6_MARMO, tr|A0A5E4D610|A0A5E4D610_MARMO, tr|A0A5E4D8R9|A0A5E4D8R9_MARMO, tr|A0A5E4CA44|A0A5E4CA44_MARMO, tr|A0A5E4D5Z3|A0A5E4D5Z3_MARMO, tr|A0A5E4CY60|A0A5E4CY60_MARMO, tr|A0A5E4CZW0|A0A5E4CZW0_MARMO, tr|A0A5E4D7C2|A0A5E4D7C2_MARMO, tr|A0A5E4DC48|A0A5E4DC48_MARMO, tr|A0A5E4D1E8|A0A5E4D1E8_MARMO, tr|A0A5E4DDX2|A0A5E4DDX2_MARMO, tr|A0A5E4CYC2|A0A5E4CYC2_MARMO, tr|A0A5E4D1K8|A0A5E4D1K8_MARMO, tr|A0A5E4DAQ3|A0A5E4DAQ3_MARMO, tr|A0A5E4D0M3|A0A5E4D0M3_MARMO, tr|A0A5E4CGY0|A0A5E4CGY0_MARMO, tr|A0A5E4D3W8|A0A5E4D3W8_MARMO, tr|A0A5E4ATG8|A0A5E4ATG8_MARMO, tr|A0A5E4AY98|A0A5E4AY98_MARMO, tr|A0A5E4D554|A0A5E4D554_MARMO, tr|A0A5E4BJU5|A0A5E4BJU5_MARMO, tr|A0A5E4CY97|A0A5E4CY97_MARMO, tr|A0A5E4D851|A0A5E4D851_MARMO, tr|A0A5E4D8R2|A0A5E4D8R2_MARMO, tr|A0A5E4C9T9|A0A5E4C9T9_MARMO, tr|A0A5E4D7K5|A0A5E4D7K5_MARMO, tr|A0A5E4CAH1|A0A5E4CAH1_MARMO, tr|A0A5E4D0M5|A0A5E4D0M5_MARMO, tr|A0A5E4CHH7|A0A5E4CHH7_MARMO, tr|A0A5E4D761|A0A5E4D761_MARMO, tr|A0A5E4CY54|A0A5E4CY54_MARMO
OG0000009	sp|Q15643|TRIPB_HUMAN	tr|A0A5E4D5H2|A0A5E4D5H2_MARMO, tr|A0A5E4CCQ9|A0A5E4CCQ9_MARMO, tr|A0A5E4DEH6|A0A5E4DEH6_MARMO, tr|A0A5E4C1M7|A0A5E4C1M7_MARMO, tr|A0A5E4BLJ1|A0A5E4BLJ1_MARMO, tr|A0A5E4D686|A0A5E4D686_MARMO, tr|A0A5E4CPT1|A0A5E4CPT1_MARMO, tr|A0A5E4AVB2|A0A5E4AVB2_MARMO, tr|A0A5E4BIM4|A0A5E4BIM4_MARMO, tr|A0A5E4CP15|A0A5E4CP15_MARMO, tr|A0A5E4D914|A0A5E4D914_MARMO, tr|A0A5E4CXC3|A0A5E4CXC3_MARMO, tr|A0A5E4D6V3|A0A5E4D6V3_MARMO, tr|A0A5E4DDH9|A0A5E4DDH9_MARMO, tr|A0A5E4CWA7|A0A5E4CWA7_MARMO, tr|A0A5E4BJ67|A0A5E4BJ67_MARMO, tr|A0A5E4BL88|A0A5E4BL88_MARMO, tr|A0A5E4CV76|A0A5E4CV76_MARMO, tr|A0A5E4CJW7|A0A5E4CJW7_MARMO, tr|A0A5E4BDC5|A0A5E4BDC5_MARMO, tr|A0A5E4DBC6|A0A5E4DBC6_MARMO, tr|A0A5E4D2F7|A0A5E4D2F7_MARMO, tr|A0A5E4AN63|A0A5E4AN63_MARMO, tr|A0A5E4BBD5|A0A5E4BBD5_MARMO, tr|A0A5E4D6X3|A0A5E4D6X3_MARMO, tr|A0A5E4D906|A0A5E4D906_MARMO, tr|A0A5E4CXA9|A0A5E4CXA9_MARMO, tr|A0A5E4DJL6|A0A5E4DJL6_MARMO, tr|A0A5E4D7U9|A0A5E4D7U9_MARMO, tr|A0A5E4AY53|A0A5E4AY53_MARMO, tr|A0A5E4CP96|A0A5E4CP96_MARMO, tr|A0A5E4CPS3|A0A5E4CPS3_MARMO, tr|A0A5E4CFX5|A0A5E4CFX5_MARMO, tr|A0A5E4CXY4|A0A5E4CXY4_MARMO, tr|A0A5E4BM72|A0A5E4BM72_MARMO, tr|A0A5E4CJX6|A0A5E4CJX6_MARMO, tr|A0A5E4BAH1|A0A5E4BAH1_MARMO, tr|A0A5E4CPR7|A0A5E4CPR7_MARMO, tr|A0A5E4AXE6|A0A5E4AXE6_MARMO, tr|A0A5E4BA58|A0A5E4BA58_MARMO, tr|A0A5E4ADT3|A0A5E4ADT3_MARMO
OG0000010	sp|Q9H343|O51I1_HUMAN	tr|A0A5E4CYR5|A0A5E4CYR5_MARMO
OG0000010	sp|Q9H344|O51I2_HUMAN	tr|A0A5E4CY05|A0A5E4CY05_MARMO
OG0000010	sp|Q8NH61|O51F2_HUMAN	tr|A0A5E4CH08|A0A5E4CH08_MARMO
