Orthogroup	Mus_musculus	Balaenoptera_musculus
OG0000004	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A8B8Y4H5|A0A8B8Y4H5_BALMU
OG0000004	tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A8B8Y5T8|A0A8B8Y5T8_BALMU
OG0000004	tr|F8VPJ8|F8VPJ8_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|K7N6B3|K7N6B3_MOUSE	tr|A0A8B8Y5E2|A0A8B8Y5E2_BALMU
OG0000004	tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRS6|Q7TRS6_MOUSE, tr|E9Q546|E9Q546_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|E9Q545|E9Q545_MOUSE	tr|A0A8B8Y4H1|A0A8B8Y4H1_BALMU
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A8B8VJL1|A0A8B8VJL1_BALMU
OG0000005	sp|Q80W31|ZN569_MOUSE	tr|A0A8B8VWV1|A0A8B8VWV1_BALMU, tr|A0A8B8WI61|A0A8B8WI61_BALMU, tr|A0A8B8WHT8|A0A8B8WHT8_BALMU, tr|A0A8B8VUR3|A0A8B8VUR3_BALMU, tr|A0A8B8XX55|A0A8B8XX55_BALMU, tr|A0A8B8X3A8|A0A8B8X3A8_BALMU, tr|A0A8B8VWL9|A0A8B8VWL9_BALMU, tr|A0A8B8VVE7|A0A8B8VVE7_BALMU, tr|A0A8B8VVB9|A0A8B8VVB9_BALMU
OG0000005	sp|Q6P560|ZN182_MOUSE	tr|A0A8B8VAT1|A0A8B8VAT1_BALMU, tr|A0A8B8X6P7|A0A8B8X6P7_BALMU, tr|A0A8C0D0V0|A0A8C0D0V0_BALMU, tr|A0A8B8YX80|A0A8B8YX80_BALMU, tr|A0A8B8WKM4|A0A8B8WKM4_BALMU
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8B8V383|A0A8B8V383_BALMU, tr|A0A8B8V365|A0A8B8V365_BALMU, tr|A0A8B8Z8I7|A0A8B8Z8I7_BALMU, tr|A0A8B8VWN8|A0A8B8VWN8_BALMU, tr|A0A8B8VWR6|A0A8B8VWR6_BALMU, tr|A0A8B8VX36|A0A8B8VX36_BALMU, tr|A0A8B8VWN2|A0A8B8VWN2_BALMU, tr|A0A8B8VWZ7|A0A8B8VWZ7_BALMU, tr|A0A8B8VXQ6|A0A8B8VXQ6_BALMU, tr|A0A8B8VXP8|A0A8B8VXP8_BALMU, tr|A0A8B8VX29|A0A8B8VX29_BALMU, tr|A0A8B8VWQ0|A0A8B8VWQ0_BALMU, tr|A0A8B8VWS2|A0A8B8VWS2_BALMU, tr|A0A8B8Z6C2|A0A8B8Z6C2_BALMU, tr|A0A8B8V549|A0A8B8V549_BALMU
OG0000010	tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A8B8Y5R9|A0A8B8Y5R9_BALMU
OG0000010	tr|Q8VGZ6|Q8VGZ6_MOUSE	tr|A0A8B8Y7W3|A0A8B8Y7W3_BALMU
