Orthogroup	Homo_sapiens	Felis_catus
OG0000000	sp|Q9H606|PRORY_HUMAN	tr|A0A5F5Y109|A0A5F5Y109_FELCA
OG0000000	sp|O00370|LORF2_HUMAN	tr|A0A5F5Y5V6|A0A5F5Y5V6_FELCA, tr|A0A5F5Y6V3|A0A5F5Y6V3_FELCA, tr|A0A5F5XXP8|A0A5F5XXP8_FELCA, tr|A0A5F5XXU4|A0A5F5XXU4_FELCA, tr|A0A5F5XJL6|A0A5F5XJL6_FELCA, tr|A0A5F5XPI5|A0A5F5XPI5_FELCA, tr|A0A5F5XLP3|A0A5F5XLP3_FELCA, tr|A0A5F5XCN2|A0A5F5XCN2_FELCA, tr|A0A5F5Y0N4|A0A5F5Y0N4_FELCA, tr|A0A5F5XK42|A0A5F5XK42_FELCA, tr|A0A5F5XGJ2|A0A5F5XGJ2_FELCA, tr|A0A5F5Y5Z5|A0A5F5Y5Z5_FELCA, tr|A0A5F5XVQ2|A0A5F5XVQ2_FELCA, tr|A0A2I2U1S5|A0A2I2U1S5_FELCA, tr|A0A5F5XW43|A0A5F5XW43_FELCA, tr|A0A5F5XGY2|A0A5F5XGY2_FELCA, tr|A0A5F5XS00|A0A5F5XS00_FELCA, tr|A0A5F5Y6R1|A0A5F5Y6R1_FELCA, tr|A0A5F5Y609|A0A5F5Y609_FELCA, tr|A0A5F5XU90|A0A5F5XU90_FELCA, tr|A0A5F5XEV1|A0A5F5XEV1_FELCA, tr|A0A5F5Y7E4|A0A5F5Y7E4_FELCA, tr|A0A5F5Y1A7|A0A5F5Y1A7_FELCA, tr|A0A5F5XIX8|A0A5F5XIX8_FELCA, tr|A0A5F5XH33|A0A5F5XH33_FELCA, tr|A0A5F5XCW4|A0A5F5XCW4_FELCA, tr|A0A5F5XUU6|A0A5F5XUU6_FELCA, tr|A0A5F5XGL1|A0A5F5XGL1_FELCA, tr|A0A5F5XW71|A0A5F5XW71_FELCA, tr|A0A5F5XSR4|A0A5F5XSR4_FELCA, tr|A0A5F5XMY3|A0A5F5XMY3_FELCA, tr|A0A5F5XTU6|A0A5F5XTU6_FELCA, tr|A0A337SH97|A0A337SH97_FELCA, tr|A0A5F5Y3N7|A0A5F5Y3N7_FELCA, tr|A0A5F5XN34|A0A5F5XN34_FELCA, tr|A0A5F5XMF7|A0A5F5XMF7_FELCA, tr|A0A5F5XP16|A0A5F5XP16_FELCA, tr|A0A5F5XST1|A0A5F5XST1_FELCA, tr|A0A5F5XZK8|A0A5F5XZK8_FELCA, tr|A0A5F5XLA3|A0A5F5XLA3_FELCA, tr|A0A5F5XGW2|A0A5F5XGW2_FELCA, tr|A0A5F5XGL4|A0A5F5XGL4_FELCA, tr|A0A5F5XNF0|A0A5F5XNF0_FELCA, tr|A0A5F5XTL7|A0A5F5XTL7_FELCA, tr|A0A5F5Y501|A0A5F5Y501_FELCA, tr|A0A5F5XEM2|A0A5F5XEM2_FELCA, tr|A0A5F5XLF8|A0A5F5XLF8_FELCA, tr|A0A5F5Y4J2|A0A5F5Y4J2_FELCA, tr|A0A5F5Y4E8|A0A5F5Y4E8_FELCA, tr|A0A5F5XQY2|A0A5F5XQY2_FELCA, tr|A0A5F5XXU8|A0A5F5XXU8_FELCA, tr|A0A5F5XZY8|A0A5F5XZY8_FELCA, tr|A0A5F5XGM7|A0A5F5XGM7_FELCA, tr|A0A5F5XTP9|A0A5F5XTP9_FELCA, tr|A0A5F5Y0W7|A0A5F5Y0W7_FELCA, tr|A0A5F5XPL2|A0A5F5XPL2_FELCA, tr|A0A5F5XQ62|A0A5F5XQ62_FELCA, tr|A0A337SLD3|A0A337SLD3_FELCA, tr|A0A5F5XN70|A0A5F5XN70_FELCA
OG0000002	sp|Q8NH72|OR4C6_HUMAN	tr|M3W1V4|M3W1V4_FELCA, tr|M3WQ35|M3WQ35_FELCA
OG0000002	sp|A6NMZ5|O4C45_HUMAN	tr|M3X7V0|M3X7V0_FELCA, tr|A0A337SQ71|A0A337SQ71_FELCA
OG0000002	sp|Q8NGB2|OR4C5_HUMAN	tr|M3WVI2|M3WVI2_FELCA
OG0000002	sp|Q8NGF9|OR4X2_HUMAN	tr|M3WYM3|M3WYM3_FELCA
OG0000002	sp|Q8NH49|OR4X1_HUMAN	tr|M3WUH8|M3WUH8_FELCA
OG0000002	sp|Q8NGF8|OR4B1_HUMAN	tr|M3X3F9|M3X3F9_FELCA, tr|M3XCB4|M3XCB4_FELCA, tr|M3WWZ8|M3WWZ8_FELCA
OG0000002	sp|Q8NH73|OR4S2_HUMAN	tr|M3X309|M3X309_FELCA, tr|M3WRL6|M3WRL6_FELCA
OG0000002	sp|Q8NGL7|OR4P4_HUMAN	tr|M3X8X9|M3X8X9_FELCA, tr|A0A5F5XT60|A0A5F5XT60_FELCA, tr|A0A337SNS0|A0A337SNS0_FELCA, tr|M3X6H0|M3X6H0_FELCA
