Orthogroup	Homo_sapiens	Pipistrellus_kuhlii
OG0000000	sp|Q8N127|O5AS1_HUMAN	tr|A0A7J7X102|A0A7J7X102_PIPKU
OG0000000	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A7J7X100|A0A7J7X100_PIPKU
OG0000000	sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN	tr|A0A7J7X1M9|A0A7J7X1M9_PIPKU
OG0000000	sp|Q96RC9|OR8B4_HUMAN	tr|A0A7J7UGX8|A0A7J7UGX8_PIPKU
OG0000000	sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A7J7UG32|A0A7J7UG32_PIPKU
OG0000000	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A7J8B395|A0A7J8B395_PIPKU
OG0000000	sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P47883|OR3A4_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47881|OR3A1_HUMAN	tr|A0A7J7SMF5|A0A7J7SMF5_PIPKU
OG0000000	sp|Q8N162|OR8H2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A7J7X191|A0A7J7X191_PIPKU
OG0000000	sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN	tr|A0A7J7X0Z4|A0A7J7X0Z4_PIPKU
OG0000002	sp|Q9UN81|LORF1_HUMAN	tr|A0A7J7RMC9|A0A7J7RMC9_PIPKU, tr|A0A7J7ZJ85|A0A7J7ZJ85_PIPKU, tr|A0A7J7ZIS2|A0A7J7ZIS2_PIPKU, tr|A0A7J7TXL3|A0A7J7TXL3_PIPKU, tr|A0A7J7V0K0|A0A7J7V0K0_PIPKU, tr|A0A7J8B238|A0A7J8B238_PIPKU, tr|A0A7J7YWW6|A0A7J7YWW6_PIPKU, tr|A0A7J8A981|A0A7J8A981_PIPKU, tr|A0A7J7YMX0|A0A7J7YMX0_PIPKU, tr|A0A7J7YM51|A0A7J7YM51_PIPKU, tr|A0A7J8B1X1|A0A7J8B1X1_PIPKU, tr|A0A7J7ZJC0|A0A7J7ZJC0_PIPKU, tr|A0A7J8A8G1|A0A7J8A8G1_PIPKU, tr|A0A7J7ZKI6|A0A7J7ZKI6_PIPKU, tr|A0A7J7VVL0|A0A7J7VVL0_PIPKU, tr|A0A7J7V5U1|A0A7J7V5U1_PIPKU, tr|A0A7J7ZJ14|A0A7J7ZJ14_PIPKU, tr|A0A7J7XB01|A0A7J7XB01_PIPKU, tr|A0A7J7YN92|A0A7J7YN92_PIPKU, tr|A0A7J7U875|A0A7J7U875_PIPKU, tr|A0A7J8B2A4|A0A7J8B2A4_PIPKU, tr|A0A7J8A7Y9|A0A7J8A7Y9_PIPKU, tr|A0A7J8A8J5|A0A7J8A8J5_PIPKU, tr|A0A7J7SVD3|A0A7J7SVD3_PIPKU, tr|A0A7J7Y9A4|A0A7J7Y9A4_PIPKU, tr|A0A7J7ZJU0|A0A7J7ZJU0_PIPKU, tr|A0A7J7X037|A0A7J7X037_PIPKU, tr|A0A7J7YMK1|A0A7J7YMK1_PIPKU, tr|A0A7J7T0X6|A0A7J7T0X6_PIPKU, tr|A0A7J8A7G2|A0A7J8A7G2_PIPKU, tr|A0A7J7WLZ1|A0A7J7WLZ1_PIPKU, tr|A0A7J7ZJI7|A0A7J7ZJI7_PIPKU, tr|A0A7J7ZL36|A0A7J7ZL36_PIPKU, tr|A0A7J8A7L5|A0A7J8A7L5_PIPKU, tr|A0A7J7SFY3|A0A7J7SFY3_PIPKU, tr|A0A7J7SNT6|A0A7J7SNT6_PIPKU, tr|A0A7J7ZJU6|A0A7J7ZJU6_PIPKU, tr|A0A7J8B2C8|A0A7J8B2C8_PIPKU, tr|A0A7J7SNS7|A0A7J7SNS7_PIPKU, tr|A0A7J7ZJP7|A0A7J7ZJP7_PIPKU, tr|A0A7J7RRI9|A0A7J7RRI9_PIPKU, tr|A0A7J7ZKX7|A0A7J7ZKX7_PIPKU, tr|A0A7J7V650|A0A7J7V650_PIPKU, tr|A0A7J8B1Y0|A0A7J8B1Y0_PIPKU, tr|A0A7J7RDW2|A0A7J7RDW2_PIPKU, tr|A0A7J8A7Q9|A0A7J8A7Q9_PIPKU, tr|A0A7J8B1T1|A0A7J8B1T1_PIPKU, tr|A0A7J7SNH2|A0A7J7SNH2_PIPKU, tr|A0A7J8A9B2|A0A7J8A9B2_PIPKU, tr|A0A7J7ZKP5|A0A7J7ZKP5_PIPKU, tr|A0A7J7T2G1|A0A7J7T2G1_PIPKU, tr|A0A7J7ULY1|A0A7J7ULY1_PIPKU, tr|A0A7J8B2C6|A0A7J8B2C6_PIPKU, tr|A0A7J8A9A1|A0A7J8A9A1_PIPKU, tr|A0A7J7T191|A0A7J7T191_PIPKU, tr|A0A7J8A7Y6|A0A7J8A7Y6_PIPKU, tr|A0A7J7T1J1|A0A7J7T1J1_PIPKU
