Orthogroup	Homo_sapiens	Panthera_leo
OG0000001	sp|Q9H606|PRORY_HUMAN	tr|A0A8C9D7V7|A0A8C9D7V7_PANLE
OG0000001	sp|O00370|LORF2_HUMAN	tr|A0A8C8WYQ4|A0A8C8WYQ4_PANLE, tr|A0A8C8WD19|A0A8C8WD19_PANLE, tr|A0A8C8X412|A0A8C8X412_PANLE, tr|A0A8C8WJ25|A0A8C8WJ25_PANLE, tr|A0A8C9D000|A0A8C9D000_PANLE, tr|A0A8C8YER5|A0A8C8YER5_PANLE, tr|A0A8C8WYA1|A0A8C8WYA1_PANLE, tr|A0A8C8WY90|A0A8C8WY90_PANLE, tr|A0A8C8Y4E3|A0A8C8Y4E3_PANLE, tr|A0A8C9DCL1|A0A8C9DCL1_PANLE, tr|A0A8C9D7D9|A0A8C9D7D9_PANLE, tr|A0A8C9D145|A0A8C9D145_PANLE, tr|A0A8C8WS16|A0A8C8WS16_PANLE, tr|A0A8C8WDT9|A0A8C8WDT9_PANLE, tr|A0A8C8Y261|A0A8C8Y261_PANLE, tr|A0A8C8WW97|A0A8C8WW97_PANLE, tr|A0A8C8XZI7|A0A8C8XZI7_PANLE, tr|A0A8C8WFK4|A0A8C8WFK4_PANLE, tr|A0A8C9DBB4|A0A8C9DBB4_PANLE, tr|A0A8C8Y4S8|A0A8C8Y4S8_PANLE, tr|A0A8C8XAJ7|A0A8C8XAJ7_PANLE, tr|A0A8C8XA48|A0A8C8XA48_PANLE, tr|A0A8C8W8Z5|A0A8C8W8Z5_PANLE, tr|A0A8C8WC49|A0A8C8WC49_PANLE, tr|A0A8C8WPQ4|A0A8C8WPQ4_PANLE, tr|A0A8C9CUM9|A0A8C9CUM9_PANLE, tr|A0A8C8Y7Y9|A0A8C8Y7Y9_PANLE, tr|A0A8C8Y0S0|A0A8C8Y0S0_PANLE, tr|A0A8C8WI68|A0A8C8WI68_PANLE, tr|A0A8C8WT12|A0A8C8WT12_PANLE, tr|A0A8C8WIS5|A0A8C8WIS5_PANLE, tr|A0A8C8WPK7|A0A8C8WPK7_PANLE, tr|A0A8C8WYI5|A0A8C8WYI5_PANLE, tr|A0A8C8WAI4|A0A8C8WAI4_PANLE, tr|A0A8C9D8G8|A0A8C9D8G8_PANLE, tr|A0A8C8WPB8|A0A8C8WPB8_PANLE, tr|A0A8C8WGX5|A0A8C8WGX5_PANLE, tr|A0A8C8Y9N7|A0A8C8Y9N7_PANLE, tr|A0A8C8WUF5|A0A8C8WUF5_PANLE, tr|A0A8C9DAG9|A0A8C9DAG9_PANLE, tr|A0A8C8Y4Z7|A0A8C8Y4Z7_PANLE, tr|A0A8C8XCN8|A0A8C8XCN8_PANLE, tr|A0A8C9CZI3|A0A8C9CZI3_PANLE, tr|A0A8C8WR71|A0A8C8WR71_PANLE, tr|A0A8C8WP48|A0A8C8WP48_PANLE, tr|A0A8C8WP90|A0A8C8WP90_PANLE
OG0000002	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A8C8W9I8|A0A8C8W9I8_PANLE, tr|A0A8C8XUP5|A0A8C8XUP5_PANLE, tr|A0A8C9DAG6|A0A8C9DAG6_PANLE, tr|A0A8C8Y2M5|A0A8C8Y2M5_PANLE, tr|A0A8C8XV83|A0A8C8XV83_PANLE, tr|A0A8C8XYD4|A0A8C8XYD4_PANLE, tr|A0A8C8XTE8|A0A8C8XTE8_PANLE, tr|A0A8C8Y3W4|A0A8C8Y3W4_PANLE, tr|A0A8C9DCH5|A0A8C9DCH5_PANLE, tr|A0A8C8YDQ0|A0A8C8YDQ0_PANLE, tr|A0A8C8XW26|A0A8C8XW26_PANLE, tr|A0A8C8XUV2|A0A8C8XUV2_PANLE, tr|A0A8C8Y6T3|A0A8C8Y6T3_PANLE, tr|A0A8C8XXI7|A0A8C8XXI7_PANLE, tr|A0A8C8XP11|A0A8C8XP11_PANLE, tr|A0A8C8XSC9|A0A8C8XSC9_PANLE, tr|A0A8C8W9H8|A0A8C8W9H8_PANLE, tr|A0A8C8W9S6|A0A8C8W9S6_PANLE, tr|A0A8C9CUU3|A0A8C9CUU3_PANLE, tr|A0A8C8XGH8|A0A8C8XGH8_PANLE, tr|A0A8C8WZZ0|A0A8C8WZZ0_PANLE, tr|A0A8C8XE88|A0A8C8XE88_PANLE, tr|A0A8C8XUT2|A0A8C8XUT2_PANLE, tr|A0A8C8X5F9|A0A8C8X5F9_PANLE, tr|A0A8C9CUM5|A0A8C9CUM5_PANLE, tr|A0A8C8W9K4|A0A8C8W9K4_PANLE, tr|A0A8C8WXP0|A0A8C8WXP0_PANLE, tr|A0A8C8WU87|A0A8C8WU87_PANLE, tr|A0A8C8XV23|A0A8C8XV23_PANLE, tr|A0A8C8W929|A0A8C8W929_PANLE, tr|A0A8C8XYP9|A0A8C8XYP9_PANLE, tr|A0A8C8XXM7|A0A8C8XXM7_PANLE, tr|A0A8C8XW45|A0A8C8XW45_PANLE, tr|A0A8C8Y1M4|A0A8C8Y1M4_PANLE, tr|A0A8C8Y6Q9|A0A8C8Y6Q9_PANLE, tr|A0A8C9D929|A0A8C9D929_PANLE, tr|A0A8C8XTH0|A0A8C8XTH0_PANLE, tr|A0A8C8XXC7|A0A8C8XXC7_PANLE
OG0000003	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A8C8XU41|A0A8C8XU41_PANLE, tr|A0A8C8XVQ6|A0A8C8XVQ6_PANLE
OG0000003	sp|Q96RD2|O52B2_HUMAN	tr|A0A8C9D186|A0A8C9D186_PANLE
OG0000003	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A8C9D410|A0A8C9D410_PANLE
OG0000003	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A8C9D408|A0A8C9D408_PANLE
OG0000003	sp|Q8NH55|O52E5_HUMAN	tr|A0A8C8XTP6|A0A8C8XTP6_PANLE
OG0000003	sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN	tr|A0A8C8XZU5|A0A8C8XZU5_PANLE
OG0000003	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8C8XRY2|A0A8C8XRY2_PANLE
