Orthogroup	Homo_sapiens	Chlorocebus_sabaeus
OG0000000	sp|P0C7N5|OR8U9_HUMAN	tr|A0A0D9SCW4|A0A0D9SCW4_CHLSB
OG0000000	sp|Q8NH85|OR5R1_HUMAN	tr|A0A0D9R0S2|A0A0D9R0S2_CHLSB
OG0000000	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A0D9SCW7|A0A0D9SCW7_CHLSB
OG0000000	sp|Q8NH51|OR8K3_HUMAN	tr|A0A0D9SCW9|A0A0D9SCW9_CHLSB, tr|A0A0D9SCW8|A0A0D9SCW8_CHLSB
OG0000000	sp|Q8NGI9|OR5A2_HUMAN	tr|A0A0D9SCV3|A0A0D9SCV3_CHLSB
OG0000000	sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A0D9SCV2|A0A0D9SCV2_CHLSB
OG0000000	sp|Q8NGL3|OR5DE_HUMAN	tr|A0A0D9R0R5|A0A0D9R0R5_CHLSB
OG0000000	tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN	tr|A0A0D9SCX2|A0A0D9SCX2_CHLSB
OG0000000	sp|Q13606|OR5I1_HUMAN	tr|A0A0D9SCX1|A0A0D9SCX1_CHLSB
OG0000000	sp|Q8NH18|OR5J2_HUMAN	tr|A0A0D9SDF1|A0A0D9SDF1_CHLSB
OG0000000	sp|Q8NH69|OR5W2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN	tr|A0A0D9R0T6|A0A0D9R0T6_CHLSB
OG0000000	sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN	tr|A0A0D9R0R9|A0A0D9R0R9_CHLSB
OG0000000	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A0D9R0T1|A0A0D9R0T1_CHLSB
OG0000000	sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN	tr|A0A0D9SCW1|A0A0D9SCW1_CHLSB
OG0000000	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A0D9S982|A0A0D9S982_CHLSB
OG0000000	sp|Q96RC9|OR8B4_HUMAN	tr|A0A0D9S464|A0A0D9S464_CHLSB
OG0000000	sp|Q15620|OR8B8_HUMAN	tr|A0A0D9S981|A0A0D9S981_CHLSB
OG0000000	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A0D9S465|A0A0D9S465_CHLSB
OG0000000	sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN	tr|A0A0D9S462|A0A0D9S462_CHLSB
OG0000000	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A0D9S977|A0A0D9S977_CHLSB
OG0000000	sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN	tr|A0A0D9R0R6|A0A0D9R0R6_CHLSB
OG0000000	sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN	tr|A0A0D9SCW5|A0A0D9SCW5_CHLSB
OG0000001	sp|O95780|ZN682_HUMAN	tr|A0A0D9QYB3|A0A0D9QYB3_CHLSB, tr|A0A0D9R9I4|A0A0D9R9I4_CHLSB, tr|A0A0D9R7N8|A0A0D9R7N8_CHLSB, tr|A0A0D9RUD6|A0A0D9RUD6_CHLSB, tr|A0A0D9S0B9|A0A0D9S0B9_CHLSB, tr|A0A0D9RRI6|A0A0D9RRI6_CHLSB, tr|A0A0D9RRJ3|A0A0D9RRJ3_CHLSB, tr|A0A0D9RRJ5|A0A0D9RRJ5_CHLSB, tr|A0A0D9QY54|A0A0D9QY54_CHLSB, tr|A0A0D9QY95|A0A0D9QY95_CHLSB, tr|A0A0D9QY85|A0A0D9QY85_CHLSB, tr|A0A0D9QY77|A0A0D9QY77_CHLSB, tr|A0A0D9RUH0|A0A0D9RUH0_CHLSB, tr|A0A0D9QY59|A0A0D9QY59_CHLSB, tr|A0A0D9QY98|A0A0D9QY98_CHLSB, tr|A0A0D9QYA6|A0A0D9QYA6_CHLSB, tr|A0A0D9QY56|A0A0D9QY56_CHLSB, tr|A0A0D9QY47|A0A0D9QY47_CHLSB, tr|A0A0D9QXZ7|A0A0D9QXZ7_CHLSB, tr|A0A0D9RUE6|A0A0D9RUE6_CHLSB, tr|A0A0D9QY82|A0A0D9QY82_CHLSB, tr|A0A0D9QXZ4|A0A0D9QXZ4_CHLSB, tr|A0A0D9QYA5|A0A0D9QYA5_CHLSB, tr|A0A0D9QY52|A0A0D9QY52_CHLSB, tr|A0A0D9QVZ7|A0A0D9QVZ7_CHLSB, tr|A0A0D9RUF9|A0A0D9RUF9_CHLSB, tr|A0A0D9QXX8|A0A0D9QXX8_CHLSB, tr|A0A0D9QY75|A0A0D9QY75_CHLSB, tr|A0A0D9QXZ0|A0A0D9QXZ0_CHLSB, tr|A0A0D9QY62|A0A0D9QY62_CHLSB, tr|A0A0D9QXY9|A0A0D9QXY9_CHLSB, tr|A0A0D9QYC6|A0A0D9QYC6_CHLSB, tr|A0A0D9QYC5|A0A0D9QYC5_CHLSB, tr|A0A0D9QYB8|A0A0D9QYB8_CHLSB, tr|A0A0D9QYB0|A0A0D9QYB0_CHLSB, tr|A0A0D9QZU8|A0A0D9QZU8_CHLSB, tr|A0A0D9QY26|A0A0D9QY26_CHLSB, tr|A0A0D9QY38|A0A0D9QY38_CHLSB, tr|A0A0D9QXY3|A0A0D9QXY3_CHLSB, tr|A0A0D9QXY6|A0A0D9QXY6_CHLSB, tr|A0A0D9QY17|A0A0D9QY17_CHLSB, tr|A0A0D9QY05|A0A0D9QY05_CHLSB, tr|A0A0D9QY10|A0A0D9QY10_CHLSB, tr|A0A0D9RUG5|A0A0D9RUG5_CHLSB, tr|A0A0D9QY92|A0A0D9QY92_CHLSB, tr|A0A0D9QY68|A0A0D9QY68_CHLSB
OG0000003	sp|Q96MW7|TIGD1_HUMAN	tr|A0A0D9R2B9|A0A0D9R2B9_CHLSB
OG0000003	sp|B2RD01|CENP1_HUMAN	tr|A0A0D9R1T8|A0A0D9R1T8_CHLSB, tr|A0A0D9RJQ6|A0A0D9RJQ6_CHLSB, tr|A0A0D9S804|A0A0D9S804_CHLSB, tr|A0A0D9RBN5|A0A0D9RBN5_CHLSB, tr|A0A0D9RWM1|A0A0D9RWM1_CHLSB, tr|A0A0D9RYG5|A0A0D9RYG5_CHLSB, tr|A0A0D9RRR5|A0A0D9RRR5_CHLSB, tr|A0A0D9R3R8|A0A0D9R3R8_CHLSB, tr|A0A0D9S1G4|A0A0D9S1G4_CHLSB, tr|A0A0D9S4A0|A0A0D9S4A0_CHLSB, tr|A0A0D9RYK0|A0A0D9RYK0_CHLSB, tr|A0A0D9RNJ6|A0A0D9RNJ6_CHLSB, tr|A0A0D9RQI2|A0A0D9RQI2_CHLSB, tr|A0A0D9RXX2|A0A0D9RXX2_CHLSB, tr|A0A0D9S877|A0A0D9S877_CHLSB, tr|A0A0D9RKC2|A0A0D9RKC2_CHLSB, tr|A0A0D9RBC0|A0A0D9RBC0_CHLSB, tr|A0A0D9RT28|A0A0D9RT28_CHLSB, tr|A0A0D9R2B0|A0A0D9R2B0_CHLSB, tr|A0A0D9R440|A0A0D9R440_CHLSB, tr|A0A0D9RGX8|A0A0D9RGX8_CHLSB, tr|A0A0D9S6M0|A0A0D9S6M0_CHLSB, tr|A0A0D9QY81|A0A0D9QY81_CHLSB, tr|A0A0D9RTD4|A0A0D9RTD4_CHLSB, tr|A0A0D9RQS2|A0A0D9RQS2_CHLSB, tr|A0A0D9RVA7|A0A0D9RVA7_CHLSB, tr|A0A0D9RS35|A0A0D9RS35_CHLSB, tr|A0A0D9RXZ8|A0A0D9RXZ8_CHLSB, tr|A0A0D9RQQ9|A0A0D9RQQ9_CHLSB, tr|A0A0D9RXD0|A0A0D9RXD0_CHLSB, tr|A0A0D9R3W2|A0A0D9R3W2_CHLSB, tr|A0A0D9R3B8|A0A0D9R3B8_CHLSB, tr|A0A0D9RQC1|A0A0D9RQC1_CHLSB
OG0000004	sp|P17024|ZNF20_HUMAN	tr|A0A0D9R2X6|A0A0D9R2X6_CHLSB
OG0000004	sp|P15621|ZNF44_HUMAN	tr|A0A0D9R2X1|A0A0D9R2X1_CHLSB
OG0000004	sp|Q9H7R0|ZN442_HUMAN	tr|A0A0D9R2W9|A0A0D9R2W9_CHLSB
OG0000004	sp|Q8TA94|ZN563_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN	tr|A0A0D9R2W5|A0A0D9R2W5_CHLSB
OG0000004	sp|Q8TBZ8|ZN564_HUMAN	tr|A0A0D9R2V2|A0A0D9R2V2_CHLSB
OG0000004	sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN	tr|A0A0D9R2T3|A0A0D9R2T3_CHLSB
OG0000004	sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN	tr|A0A0D9R316|A0A0D9R316_CHLSB
OG0000005	sp|Q8NH64|O51A7_HUMAN	tr|A0A0D9SDC4|A0A0D9SDC4_CHLSB
OG0000005	sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN	tr|A0A0D9SDC3|A0A0D9SDC3_CHLSB
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A0D9SDC9|A0A0D9SDC9_CHLSB
OG0000005	sp|Q8NH61|O51F2_HUMAN	tr|A0A0D9SDC7|A0A0D9SDC7_CHLSB
OG0000005	sp|Q9H342|O51J1_HUMAN, sp|Q8TCB6|O51E1_HUMAN	tr|A0A0D9SDD1|A0A0D9SDD1_CHLSB
OG0000005	sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN	tr|A0A0D9SDB3|A0A0D9SDB3_CHLSB
OG0000005	sp|Q9H339|O51B5_HUMAN	tr|A0A0D9SDB6|A0A0D9SDB6_CHLSB
OG0000005	sp|Q9Y5P1|O51B2_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9H340|O51B6_HUMAN	tr|A0A0D9SDB5|A0A0D9SDB5_CHLSB
OG0000005	sp|Q9H2C8|O51V1_HUMAN	tr|A0A0D9SDB9|A0A0D9SDB9_CHLSB
OG0000005	sp|Q9H341|O51M1_HUMAN	tr|A0A0D9SDB4|A0A0D9SDB4_CHLSB
OG0000005	sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NH63|O51H1_HUMAN	tr|A0A0D9SDC2|A0A0D9SDC2_CHLSB
OG0000006	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A0D9SDF3|A0A0D9SDF3_CHLSB
OG0000006	sp|O76001|OR2J3_HUMAN	tr|A0A0D9SCJ2|A0A0D9SCJ2_CHLSB
OG0000006	sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN	tr|A0A0D9SCJ1|A0A0D9SCJ1_CHLSB, tr|A0A0D9SCJ3|A0A0D9SCJ3_CHLSB
OG0000006	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A0D9SDE3|A0A0D9SDE3_CHLSB
OG0000006	sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN	tr|A0A0D9SCJ4|A0A0D9SCJ4_CHLSB
OG0000006	sp|Q8NH19|O10AG_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A0D9SD83|A0A0D9SD83_CHLSB
OG0000006	sp|Q8N628|OR2C3_HUMAN	tr|A0A0D9SDE4|A0A0D9SDE4_CHLSB
OG0000006	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A0D9R9D6|A0A0D9R9D6_CHLSB
OG0000006	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A0D9SDG3|A0A0D9SDG3_CHLSB
OG0000006	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A0D9SDE6|A0A0D9SDE6_CHLSB
OG0000008	sp|Q8NGK4|O52K1_HUMAN	tr|A0A0D9S938|A0A0D9S938_CHLSB
OG0000008	sp|Q8NGK5|O52M1_HUMAN	tr|A0A0D9SDD3|A0A0D9SDD3_CHLSB
OG0000008	sp|Q8NH60|O52J3_HUMAN	tr|A0A0D9SDC1|A0A0D9SDC1_CHLSB
OG0000008	sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN	tr|A0A0D9SDC0|A0A0D9SDC0_CHLSB
OG0000008	sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN	tr|A0A0D9SDB1|A0A0D9SDB1_CHLSB
OG0000009	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN	tr|A0A0D9SBX6|A0A0D9SBX6_CHLSB
OG0000012	sp|Q9P275|UBP36_HUMAN	tr|A0A0D9S483|A0A0D9S483_CHLSB
OG0000012	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A0D9RYQ6|A0A0D9RYQ6_CHLSB
OG0000013	sp|Q9Y5H4|PCDG1_HUMAN	tr|A0A0D9RJ98|A0A0D9RJ98_CHLSB
