Orthogroup	Mus_musculus	Callithrix_jacchus
OG0000002	sp|Q587J6|LITD1_MOUSE	tr|A0A8I3W756|A0A8I3W756_CALJA
OG0000002	sp|P11260|LORF1_MOUSE	tr|A0A5F4WEP7|A0A5F4WEP7_CALJA, tr|A0A5F4WJ93|A0A5F4WJ93_CALJA, tr|A0A5F4WN01|A0A5F4WN01_CALJA, tr|A0A8I3WBC8|A0A8I3WBC8_CALJA, tr|A0A8I3W3Y3|A0A8I3W3Y3_CALJA, tr|A0A5F4WMR8|A0A5F4WMR8_CALJA, tr|A0A8I3WPQ3|A0A8I3WPQ3_CALJA, tr|A0A8I3XAD7|A0A8I3XAD7_CALJA, tr|A0A8I3X4I3|A0A8I3X4I3_CALJA, tr|A0A8I4A269|A0A8I4A269_CALJA, tr|A0A8I3W0Y2|A0A8I3W0Y2_CALJA, tr|A0A5F4W4A8|A0A5F4W4A8_CALJA, tr|A0A5F4W127|A0A5F4W127_CALJA, tr|A0A8I4A4R9|A0A8I4A4R9_CALJA, tr|A0A8I3X3C0|A0A8I3X3C0_CALJA, tr|A0A8I3WIH8|A0A8I3WIH8_CALJA, tr|A0A8I3W8T2|A0A8I3W8T2_CALJA, tr|A0A8I3WXP5|A0A8I3WXP5_CALJA, tr|A0A8I3XB99|A0A8I3XB99_CALJA, tr|A0A8I4A5V0|A0A8I4A5V0_CALJA, tr|A0A5F4VX70|A0A5F4VX70_CALJA, tr|A0A8I3WB90|A0A8I3WB90_CALJA, tr|A0A8I4A6C1|A0A8I4A6C1_CALJA, tr|A0A8I3WK78|A0A8I3WK78_CALJA, tr|A0A8I3X2G4|A0A8I3X2G4_CALJA, tr|A0A8I3VYY5|A0A8I3VYY5_CALJA, tr|A0A5F4VWN1|A0A5F4VWN1_CALJA, tr|A0A8I3W1I7|A0A8I3W1I7_CALJA, tr|A0A8I3X1L9|A0A8I3X1L9_CALJA, tr|A0A5F4W1Z4|A0A5F4W1Z4_CALJA, tr|A0A5F4VRQ9|A0A5F4VRQ9_CALJA, tr|A0A5F4W2I5|A0A5F4W2I5_CALJA, tr|A0A8I3WYC3|A0A8I3WYC3_CALJA, tr|A0A8I4A3H0|A0A8I4A3H0_CALJA, tr|A0A8I3X178|A0A8I3X178_CALJA, tr|A0A8I3VWC4|A0A8I3VWC4_CALJA, tr|A0A5F4WMI1|A0A5F4WMI1_CALJA, tr|A0A8I3X172|A0A8I3X172_CALJA, tr|A0A8I3W0K5|A0A8I3W0K5_CALJA, tr|A0A8I3WBW3|A0A8I3WBW3_CALJA, tr|A0A8I3W5A7|A0A8I3W5A7_CALJA, tr|A0A8I4A1C1|A0A8I4A1C1_CALJA, tr|A0A8I3WNL9|A0A8I3WNL9_CALJA, tr|A0A8I3WE41|A0A8I3WE41_CALJA, tr|A0A8I3X0I3|A0A8I3X0I3_CALJA, tr|A0A5F4VSE8|A0A5F4VSE8_CALJA, tr|A0A8I3WL07|A0A8I3WL07_CALJA, tr|A0A8I3W2A8|A0A8I3W2A8_CALJA, tr|A0A8I3XBF5|A0A8I3XBF5_CALJA, tr|A0A5F4W1G0|A0A5F4W1G0_CALJA, tr|A0A5F4W2K9|A0A5F4W2K9_CALJA, tr|A0A8I3WY86|A0A8I3WY86_CALJA, tr|A0A8I3WNC4|A0A8I3WNC4_CALJA, tr|A0A8I3WDM4|A0A8I3WDM4_CALJA, tr|A0A8I3W3T6|A0A8I3W3T6_CALJA, tr|A0A8I3WY69|A0A8I3WY69_CALJA, tr|A0A5F4VTJ8|A0A5F4VTJ8_CALJA, tr|A0A8I3WX89|A0A8I3WX89_CALJA, tr|A0A5F4W0G3|A0A5F4W0G3_CALJA, tr|A0A8I3WYY3|A0A8I3WYY3_CALJA, tr|A0A5F4WGG1|A0A5F4WGG1_CALJA, tr|A0A8I4A4U3|A0A8I4A4U3_CALJA, tr|A0A8I3WHT0|A0A8I3WHT0_CALJA, tr|A0A8I3WL53|A0A8I3WL53_CALJA, tr|A0A5F4W4G6|A0A5F4W4G6_CALJA, tr|A0A8I3WPR6|A0A8I3WPR6_CALJA, tr|A0A8I3X5C3|A0A8I3X5C3_CALJA, tr|A0A8I3WKN9|A0A8I3WKN9_CALJA, tr|A0A8I4A348|A0A8I4A348_CALJA, tr|A0A5F4WAJ5|A0A5F4WAJ5_CALJA, tr|A0A8I3WXL6|A0A8I3WXL6_CALJA, tr|A0A8I3WPD8|A0A8I3WPD8_CALJA, tr|A0A8I3WWW4|A0A8I3WWW4_CALJA, tr|A0A8I3WZ40|A0A8I3WZ40_CALJA, tr|A0A8I4A2K6|A0A8I4A2K6_CALJA, tr|A0A8I3WIC4|A0A8I3WIC4_CALJA, tr|A0A8I3WHH4|A0A8I3WHH4_CALJA, tr|A0A8I4A472|A0A8I4A472_CALJA, tr|A0A8I3WHS2|A0A8I3WHS2_CALJA, tr|A0A8I4A2R2|A0A8I4A2R2_CALJA, tr|A0A8I3WB36|A0A8I3WB36_CALJA, tr|A0A8I4A0D0|A0A8I4A0D0_CALJA, tr|A0A8I4A067|A0A8I4A067_CALJA, tr|A0A8I3WEV5|A0A8I3WEV5_CALJA, tr|A0A8I3VWK6|A0A8I3VWK6_CALJA, tr|A0A8I3WTE6|A0A8I3WTE6_CALJA, tr|A0A8I3W4S3|A0A8I3W4S3_CALJA, tr|A0A8I3WIG6|A0A8I3WIG6_CALJA, tr|A0A8I3VWD1|A0A8I3VWD1_CALJA, tr|A0A5F4WI91|A0A5F4WI91_CALJA, tr|A0A8I3XB32|A0A8I3XB32_CALJA, tr|A0A8I4A622|A0A8I4A622_CALJA, tr|A0A8I3WIS4|A0A8I3WIS4_CALJA, tr|A0A8I3WZL8|A0A8I3WZL8_CALJA, tr|A0A5F4VUH0|A0A5F4VUH0_CALJA, tr|A0A8I3W7L6|A0A8I3W7L6_CALJA, tr|A0A8I3W0D9|A0A8I3W0D9_CALJA, tr|A0A8I3VXM5|A0A8I3VXM5_CALJA, tr|A0A8I3WHC1|A0A8I3WHC1_CALJA, tr|A0A8I3WKS4|A0A8I3WKS4_CALJA, tr|A0A8I3WNQ7|A0A8I3WNQ7_CALJA, tr|A0A8I3WXI8|A0A8I3WXI8_CALJA, tr|A0A8I3X491|A0A8I3X491_CALJA, tr|A0A8I3WLR3|A0A8I3WLR3_CALJA, tr|A0A8I3W7N3|A0A8I3W7N3_CALJA, tr|A0A8I4A223|A0A8I4A223_CALJA, tr|A0A5F4W7Y9|A0A5F4W7Y9_CALJA, tr|A0A8I3W0R9|A0A8I3W0R9_CALJA, tr|A0A8I3WKZ3|A0A8I3WKZ3_CALJA, tr|A0A8I3W1B2|A0A8I3W1B2_CALJA, tr|A0A8I3VYZ8|A0A8I3VYZ8_CALJA, tr|A0A8I4A2U5|A0A8I4A2U5_CALJA, tr|A0A8I4A182|A0A8I4A182_CALJA, tr|A0A8I3W2G1|A0A8I3W2G1_CALJA, tr|A0A8I3WG45|A0A8I3WG45_CALJA, tr|A0A5F4W273|A0A5F4W273_CALJA, tr|A0A8I4A2H3|A0A8I4A2H3_CALJA, tr|A0A8I4A4V3|A0A8I4A4V3_CALJA, tr|A0A5F4W190|A0A5F4W190_CALJA, tr|A0A5F4VT10|A0A5F4VT10_CALJA, tr|A0A8I3WZS9|A0A8I3WZS9_CALJA, tr|A0A8I3VXS1|A0A8I3VXS1_CALJA, tr|A0A8I3W7P4|A0A8I3W7P4_CALJA, tr|A0A8I3X5P6|A0A8I3X5P6_CALJA, tr|A0A8I4A594|A0A8I4A594_CALJA, tr|A0A8I3WP62|A0A8I3WP62_CALJA, tr|A0A8I3WU76|A0A8I3WU76_CALJA, tr|A0A8I3W1X7|A0A8I3W1X7_CALJA, tr|A0A8I3WJJ5|A0A8I3WJJ5_CALJA, tr|A0A8I4A3X8|A0A8I4A3X8_CALJA, tr|A0A8I4A1T6|A0A8I4A1T6_CALJA, tr|A0A8I3WNR3|A0A8I3WNR3_CALJA, tr|A0A8I3ZZ77|A0A8I3ZZ77_CALJA, tr|A0A8I3W1W3|A0A8I3W1W3_CALJA, tr|A0A8I3W9D6|A0A8I3W9D6_CALJA, tr|A0A8I3WTA9|A0A8I3WTA9_CALJA, tr|A0A8I3W8Y5|A0A8I3W8Y5_CALJA, tr|A0A8I3X2K3|A0A8I3X2K3_CALJA, tr|A0A8I3WHA5|A0A8I3WHA5_CALJA, tr|A0A8I3WBL4|A0A8I3WBL4_CALJA, tr|A0A8I3WJH0|A0A8I3WJH0_CALJA, tr|A0A8I3W8C0|A0A8I3W8C0_CALJA, tr|A0A8I4A4Q5|A0A8I4A4Q5_CALJA, tr|A0A8I3WYU7|A0A8I3WYU7_CALJA, tr|A0A8I3WAY4|A0A8I3WAY4_CALJA, tr|A0A8I3W987|A0A8I3W987_CALJA, tr|A0A8I3WJJ0|A0A8I3WJJ0_CALJA, tr|A0A8I3WDD5|A0A8I3WDD5_CALJA, tr|A0A8I3WDZ9|A0A8I3WDZ9_CALJA, tr|A0A8I3WDR3|A0A8I3WDR3_CALJA, tr|A0A8I3X2W0|A0A8I3X2W0_CALJA, tr|A0A8I3WIC7|A0A8I3WIC7_CALJA, tr|A0A8I4A450|A0A8I4A450_CALJA, tr|A0A8I3VW54|A0A8I3VW54_CALJA, tr|A0A8I3WYW2|A0A8I3WYW2_CALJA, tr|A0A8I3WXY6|A0A8I3WXY6_CALJA, tr|A0A8I3VVZ3|A0A8I3VVZ3_CALJA, tr|A0A8I3WSU6|A0A8I3WSU6_CALJA, tr|A0A8I3WIA9|A0A8I3WIA9_CALJA, tr|A0A8I3WBQ4|A0A8I3WBQ4_CALJA, tr|A0A8I4A3E8|A0A8I4A3E8_CALJA, tr|A0A8I4A1L1|A0A8I4A1L1_CALJA, tr|A0A8I4A543|A0A8I4A543_CALJA, tr|A0A8I3WXQ2|A0A8I3WXQ2_CALJA, tr|A0A8I4A0I9|A0A8I4A0I9_CALJA, tr|A0A8I3W5Z1|A0A8I3W5Z1_CALJA, tr|A0A8I3W7C2|A0A8I3W7C2_CALJA, tr|A0A5F4WKE5|A0A5F4WKE5_CALJA, tr|A0A8I3WL99|A0A8I3WL99_CALJA, tr|A0A8I3ZZ10|A0A8I3ZZ10_CALJA, tr|A0A8I4A429|A0A8I4A429_CALJA, tr|A0A8I3WK47|A0A8I3WK47_CALJA, tr|A0A8I4A4T0|A0A8I4A4T0_CALJA, tr|A0A8I3W3X7|A0A8I3W3X7_CALJA, tr|A0A8I3WX35|A0A8I3WX35_CALJA, tr|A0A8I3WJ97|A0A8I3WJ97_CALJA, tr|A0A8I3W6P2|A0A8I3W6P2_CALJA, tr|A0A8I3WI96|A0A8I3WI96_CALJA, tr|A0A8I3WN30|A0A8I3WN30_CALJA, tr|A0A8I4A3J7|A0A8I4A3J7_CALJA, tr|A0A8I3WK06|A0A8I3WK06_CALJA, tr|A0A8I3WM75|A0A8I3WM75_CALJA, tr|A0A8I3WCW7|A0A8I3WCW7_CALJA, tr|A0A8I3W9E5|A0A8I3W9E5_CALJA, tr|A0A8I3WEX7|A0A8I3WEX7_CALJA, tr|A0A8I3X6S0|A0A8I3X6S0_CALJA, tr|A0A8I3WF55|A0A8I3WF55_CALJA, tr|A0A8I4A0N7|A0A8I4A0N7_CALJA, tr|A0A8I3WGN8|A0A8I3WGN8_CALJA, tr|A0A8I4A3B8|A0A8I4A3B8_CALJA, tr|A0A8I3W649|A0A8I3W649_CALJA, tr|A0A8I3WN49|A0A8I3WN49_CALJA, tr|A0A8I3WWM3|A0A8I3WWM3_CALJA, tr|A0A8I3WHX7|A0A8I3WHX7_CALJA, tr|A0A8I3ZZB5|A0A8I3ZZB5_CALJA, tr|A0A8I3VXI3|A0A8I3VXI3_CALJA, tr|A0A8I4A1K6|A0A8I4A1K6_CALJA, tr|A0A8I3WH69|A0A8I3WH69_CALJA, tr|A0A8I3WMD8|A0A8I3WMD8_CALJA, tr|A0A8I3X2B6|A0A8I3X2B6_CALJA, tr|A0A8I3WVA6|A0A8I3WVA6_CALJA, tr|A0A8I3WRY4|A0A8I3WRY4_CALJA, tr|A0A8I3WQT4|A0A8I3WQT4_CALJA, tr|A0A8I4A0Y9|A0A8I4A0Y9_CALJA, tr|A0A8I3X252|A0A8I3X252_CALJA, tr|A0A8I3WEA1|A0A8I3WEA1_CALJA, tr|A0A8I3X6I1|A0A8I3X6I1_CALJA, tr|A0A8I3W3S2|A0A8I3W3S2_CALJA, tr|A0A8I3X714|A0A8I3X714_CALJA, tr|A0A8I4A0M8|A0A8I4A0M8_CALJA, tr|A0A8I3WJ76|A0A8I3WJ76_CALJA, tr|A0A8I4A4G6|A0A8I4A4G6_CALJA, tr|A0A8I3W113|A0A8I3W113_CALJA, tr|A0A8I3WFR1|A0A8I3WFR1_CALJA, tr|A0A8I3X8Z5|A0A8I3X8Z5_CALJA, tr|A0A8I4A0K2|A0A8I4A0K2_CALJA, tr|A0A8I3WXV6|A0A8I3WXV6_CALJA, tr|A0A8I3VX71|A0A8I3VX71_CALJA, tr|A0A8I3X0B9|A0A8I3X0B9_CALJA, tr|A0A8I3W185|A0A8I3W185_CALJA, tr|A0A8I3X320|A0A8I3X320_CALJA, tr|A0A8I3X6N6|A0A8I3X6N6_CALJA, tr|A0A8I3WCA9|A0A8I3WCA9_CALJA, tr|A0A8I3WNC9|A0A8I3WNC9_CALJA, tr|A0A8I3WFY8|A0A8I3WFY8_CALJA, tr|A0A8I3X222|A0A8I3X222_CALJA, tr|A0A8I3WZV6|A0A8I3WZV6_CALJA, tr|A0A8I3ZYP7|A0A8I3ZYP7_CALJA, tr|A0A8I3WF95|A0A8I3WF95_CALJA, tr|A0A8I3W0W5|A0A8I3W0W5_CALJA, tr|A0A8I3W989|A0A8I3W989_CALJA, tr|A0A8I4A2S7|A0A8I4A2S7_CALJA, tr|A0A8I3W9T5|A0A8I3W9T5_CALJA, tr|A0A8I3X2B2|A0A8I3X2B2_CALJA, tr|A0A8I3W839|A0A8I3W839_CALJA, tr|A0A8I3WPW0|A0A8I3WPW0_CALJA, tr|A0A8I3WQW5|A0A8I3WQW5_CALJA, tr|A0A8I3WKH6|A0A8I3WKH6_CALJA, tr|A0A8I3W4X3|A0A8I3W4X3_CALJA, tr|A0A8I4A4D1|A0A8I4A4D1_CALJA, tr|A0A8I3X8U1|A0A8I3X8U1_CALJA, tr|A0A8I3WCM0|A0A8I3WCM0_CALJA, tr|A0A8I3W9H4|A0A8I3W9H4_CALJA, tr|A0A8I4A2T7|A0A8I4A2T7_CALJA, tr|A0A8I3X9B2|A0A8I3X9B2_CALJA, tr|A0A8I3X0H9|A0A8I3X0H9_CALJA, tr|A0A8I3W790|A0A8I3W790_CALJA, tr|A0A8I3WPE5|A0A8I3WPE5_CALJA, tr|A0A8I3ZZ91|A0A8I3ZZ91_CALJA, tr|A0A8I3WE23|A0A8I3WE23_CALJA, tr|A0A8I4A4R3|A0A8I4A4R3_CALJA, tr|A0A8I3W9P8|A0A8I3W9P8_CALJA, tr|A0A8I3WHT2|A0A8I3WHT2_CALJA, tr|A0A8I3W8N1|A0A8I3W8N1_CALJA, tr|A0A8I3X642|A0A8I3X642_CALJA, tr|A0A8I3WPP9|A0A8I3WPP9_CALJA, tr|A0A8I3WK64|A0A8I3WK64_CALJA, tr|A0A8I4A0V6|A0A8I4A0V6_CALJA, tr|A0A8I3W665|A0A8I3W665_CALJA, tr|A0A8I3W3J8|A0A8I3W3J8_CALJA, tr|A0A8I3W8M2|A0A8I3W8M2_CALJA, tr|A0A8I4A5V2|A0A8I4A5V2_CALJA, tr|A0A8I3W1H5|A0A8I3W1H5_CALJA, tr|A0A8I3WR00|A0A8I3WR00_CALJA, tr|A0A8I4A2E7|A0A8I4A2E7_CALJA, tr|A0A8I4A2C8|A0A8I4A2C8_CALJA, tr|A0A8I4A5H5|A0A8I4A5H5_CALJA, tr|A0A8I3WQ12|A0A8I3WQ12_CALJA, tr|A0A8I3W6C4|A0A8I3W6C4_CALJA, tr|A0A8I3WLL7|A0A8I3WLL7_CALJA, tr|A0A8I3W8W2|A0A8I3W8W2_CALJA, tr|A0A8I3X816|A0A8I3X816_CALJA, tr|A0A8I3ZYZ5|A0A8I3ZYZ5_CALJA, tr|A0A8I3WR01|A0A8I3WR01_CALJA, tr|A0A8I3VZ81|A0A8I3VZ81_CALJA, tr|A0A8I3W1F2|A0A8I3W1F2_CALJA, tr|A0A8I4A003|A0A8I4A003_CALJA, tr|A0A8I3X3W5|A0A8I3X3W5_CALJA, tr|A0A8I3VXD6|A0A8I3VXD6_CALJA, tr|A0A8I3W5K4|A0A8I3W5K4_CALJA, tr|A0A8I4A2B6|A0A8I4A2B6_CALJA, tr|A0A8I3WQ85|A0A8I3WQ85_CALJA, tr|A0A8I4A172|A0A8I4A172_CALJA, tr|A0A8I3WTW1|A0A8I3WTW1_CALJA, tr|A0A8I3WQ68|A0A8I3WQ68_CALJA, tr|A0A8I4A2C4|A0A8I4A2C4_CALJA, tr|A0A8I3WBX0|A0A8I3WBX0_CALJA, tr|A0A8I3W4U0|A0A8I3W4U0_CALJA, tr|A0A8I3WB85|A0A8I3WB85_CALJA, tr|A0A8I3WA17|A0A8I3WA17_CALJA, tr|A0A8I3X9M3|A0A8I3X9M3_CALJA, tr|A0A8I3WZE1|A0A8I3WZE1_CALJA, tr|A0A8I3W6F7|A0A8I3W6F7_CALJA, tr|A0A8I3WR77|A0A8I3WR77_CALJA, tr|A0A8I3WXH2|A0A8I3WXH2_CALJA, tr|A0A8I3WF43|A0A8I3WF43_CALJA, tr|A0A8I3WQX4|A0A8I3WQX4_CALJA, tr|A0A5F4VVU0|A0A5F4VVU0_CALJA, tr|A0A8I3WTF9|A0A8I3WTF9_CALJA, tr|A0A8I4A0P5|A0A8I4A0P5_CALJA, tr|A0A8I4A4T7|A0A8I4A4T7_CALJA, tr|A0A8I3W1D4|A0A8I3W1D4_CALJA, tr|A0A8I3WTW3|A0A8I3WTW3_CALJA, tr|A0A8I3XCF4|A0A8I3XCF4_CALJA, tr|A0A8I3XAL3|A0A8I3XAL3_CALJA, tr|A0A8I4A5M2|A0A8I4A5M2_CALJA, tr|A0A8I3WYH3|A0A8I3WYH3_CALJA, tr|A0A8I3WDM3|A0A8I3WDM3_CALJA, tr|A0A8I3WPF9|A0A8I3WPF9_CALJA, tr|A0A8I3WZN6|A0A8I3WZN6_CALJA, tr|A0A8I3W1V3|A0A8I3W1V3_CALJA, tr|A0A8I3WVC2|A0A8I3WVC2_CALJA, tr|A0A8I3WGZ2|A0A8I3WGZ2_CALJA, tr|A0A8I3WDZ2|A0A8I3WDZ2_CALJA, tr|A0A8I4A1T7|A0A8I4A1T7_CALJA, tr|A0A8I3ZZ21|A0A8I3ZZ21_CALJA, tr|A0A8I3WBC3|A0A8I3WBC3_CALJA, tr|A0A8I3WBJ7|A0A8I3WBJ7_CALJA, tr|A0A8I3VW04|A0A8I3VW04_CALJA, tr|A0A8I3WB16|A0A8I3WB16_CALJA, tr|A0A8I3WFM8|A0A8I3WFM8_CALJA, tr|A0A8I3W682|A0A8I3W682_CALJA, tr|A0A8I3WLQ2|A0A8I3WLQ2_CALJA, tr|A0A8I3WDW6|A0A8I3WDW6_CALJA, tr|A0A8I3WF98|A0A8I3WF98_CALJA, tr|A0A8I3X349|A0A8I3X349_CALJA, tr|A0A8I3WLY8|A0A8I3WLY8_CALJA, tr|A0A8I3X4T6|A0A8I3X4T6_CALJA, tr|A0A8I3WRJ0|A0A8I3WRJ0_CALJA, tr|A0A8I3XD51|A0A8I3XD51_CALJA, tr|A0A8I3W3D6|A0A8I3W3D6_CALJA, tr|A0A8I3WR76|A0A8I3WR76_CALJA, tr|A0A8I3XD39|A0A8I3XD39_CALJA, tr|A0A8I3WJG7|A0A8I3WJG7_CALJA, tr|A0A8I3ZYK9|A0A8I3ZYK9_CALJA, tr|A0A8I3WE49|A0A8I3WE49_CALJA, tr|A0A8I3WKV2|A0A8I3WKV2_CALJA, tr|A0A8I3WUM4|A0A8I3WUM4_CALJA, tr|A0A8I3WUU8|A0A8I3WUU8_CALJA, tr|A0A8I3WAI1|A0A8I3WAI1_CALJA, tr|A0A8I3WJQ1|A0A8I3WJQ1_CALJA, tr|A0A8I3WX96|A0A8I3WX96_CALJA, tr|A0A8I3X086|A0A8I3X086_CALJA
OG0000012	tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE	tr|F7FFB5|F7FFB5_CALJA
OG0000012	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE	tr|A0A8I3X9U1|A0A8I3X9U1_CALJA
OG0000013	tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE	tr|A0A8I3WZU4|A0A8I3WZU4_CALJA
OG0000013	tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|F7I2F8|F7I2F8_CALJA
OG0000013	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A8I3XBG3|A0A8I3XBG3_CALJA
OG0000013	tr|Q8VGW2|Q8VGW2_MOUSE	tr|B0VXC7|B0VXC7_CALJA
OG0000013	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|Q8VF06|Q8VF06_MOUSE	tr|F7FDX9|F7FDX9_CALJA
OG0000014	tr|E9Q1L8|E9Q1L8_MOUSE	tr|A0A5F4WN52|A0A5F4WN52_CALJA, tr|A0A2R8NC66|A0A2R8NC66_CALJA, tr|A0A2R8MCC5|A0A2R8MCC5_CALJA, tr|A0A8I3X3G4|A0A8I3X3G4_CALJA, tr|F7I4T0|F7I4T0_CALJA, tr|A0A5F4W7S0|A0A5F4W7S0_CALJA, tr|A0A8I4A3W7|A0A8I4A3W7_CALJA, tr|A0A8I3WIA6|A0A8I3WIA6_CALJA, tr|F6WJH3|F6WJH3_CALJA, tr|A0A2R8P5Z1|A0A2R8P5Z1_CALJA, tr|F6UK90|F6UK90_CALJA, tr|A0A5F4VWE2|A0A5F4VWE2_CALJA, tr|H9KWC0|H9KWC0_CALJA, tr|A0A5F4W9K8|A0A5F4W9K8_CALJA, tr|A0A5F4WEZ6|A0A5F4WEZ6_CALJA, tr|A0A5F4VWV9|A0A5F4VWV9_CALJA, tr|H9KX06|H9KX06_CALJA, tr|F7INN3|F7INN3_CALJA, tr|F7ILK0|F7ILK0_CALJA, tr|F7HB28|F7HB28_CALJA, tr|A0A5F4W4M3|A0A5F4W4M3_CALJA, tr|A0A5F4VX44|A0A5F4VX44_CALJA, tr|A0A5F4VY64|A0A5F4VY64_CALJA, tr|A0A8I3W6M8|A0A8I3W6M8_CALJA, tr|A0A5F4WI37|A0A5F4WI37_CALJA, tr|H9KXJ5|H9KXJ5_CALJA, tr|A0A8I3W519|A0A8I3W519_CALJA, tr|H9KXM6|H9KXM6_CALJA, tr|A0A5F4VT70|A0A5F4VT70_CALJA, tr|F7I915|F7I915_CALJA, tr|F7HB14|F7HB14_CALJA, tr|H9KWS5|H9KWS5_CALJA, tr|F7GSU9|F7GSU9_CALJA, tr|A0A5F4WKU1|A0A5F4WKU1_CALJA, tr|F7GW80|F7GW80_CALJA, tr|F6SLR6|F6SLR6_CALJA, tr|A0A8I3WL49|A0A8I3WL49_CALJA, tr|A0A2R8N077|A0A2R8N077_CALJA, tr|A0A5F4WAB4|A0A5F4WAB4_CALJA, tr|A0A5F4VTK8|A0A5F4VTK8_CALJA, tr|A0A2R8M443|A0A2R8M443_CALJA, tr|A0A5F4W4C2|A0A5F4W4C2_CALJA, tr|A0A8I3WDR8|A0A8I3WDR8_CALJA, tr|A0A5F4VUN5|A0A5F4VUN5_CALJA, tr|A0A2R8MX30|A0A2R8MX30_CALJA, tr|A0A2R8NE77|A0A2R8NE77_CALJA, tr|A0A2R8MUV0|A0A2R8MUV0_CALJA, tr|F7FZL8|F7FZL8_CALJA, tr|A0A2R8NFN8|A0A2R8NFN8_CALJA
