Orthogroup	Mus_musculus	Pan_paniscus
OG0000004	sp|Q61967|ZFP90_MOUSE	tr|A0A2R9B6S3|A0A2R9B6S3_PANPA
OG0000004	tr|A2AE21|A2AE21_MOUSE	tr|A0A2R8ZRL4|A0A2R8ZRL4_PANPA
OG0000004	tr|Q640N4|Q640N4_MOUSE	tr|A0A2R9AT15|A0A2R9AT15_PANPA, tr|A0A2R8ZDT2|A0A2R8ZDT2_PANPA, tr|A0A2R9A7S9|A0A2R9A7S9_PANPA, tr|A0A2R9BRL3|A0A2R9BRL3_PANPA, tr|A0A2R9AZW3|A0A2R9AZW3_PANPA, tr|A0A2R9BXM1|A0A2R9BXM1_PANPA, tr|A0A2R9BFE9|A0A2R9BFE9_PANPA
OG0000004	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2R8ZGP1|A0A2R8ZGP1_PANPA, tr|A0A2R9A3E5|A0A2R9A3E5_PANPA
OG0000004	sp|B2RXC5|ZN382_MOUSE	tr|A0A2R8ZQG9|A0A2R8ZQG9_PANPA, tr|A0A2R9BQ76|A0A2R9BQ76_PANPA, tr|A0A2R9ASL8|A0A2R9ASL8_PANPA
OG0000004	sp|Q80W31|ZN569_MOUSE	tr|A0A2R9B3Q0|A0A2R9B3Q0_PANPA, tr|A0A2R9AZ54|A0A2R9AZ54_PANPA
OG0000010	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2R9B6T1|A0A2R9B6T1_PANPA
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|A0A2R9AKC8|A0A2R9AKC8_PANPA
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2R9AN39|A0A2R9AN39_PANPA
OG0000010	sp|P10755|ZFP14_MOUSE	tr|A0A2R8ZQ22|A0A2R8ZQ22_PANPA, tr|A0A2R9BS37|A0A2R9BS37_PANPA, tr|A0A2R9AX73|A0A2R9AX73_PANPA, tr|A0A2R9BGW8|A0A2R9BGW8_PANPA, tr|A0A2R9APT9|A0A2R9APT9_PANPA, tr|A0A2R9C1J6|A0A2R9C1J6_PANPA, tr|A0A2R9BY12|A0A2R9BY12_PANPA
OG0000010	tr|Q5U406|Q5U406_MOUSE	tr|A0A2R8Z6X5|A0A2R8Z6X5_PANPA
OG0000010	sp|Q3V080|ZN583_MOUSE	tr|A0A2R9C2R2|A0A2R9C2R2_PANPA
OG0000010	tr|Q9D654|Q9D654_MOUSE	tr|A0A2R9C003|A0A2R9C003_PANPA
OG0000010	tr|Q8C393|Q8C393_MOUSE	tr|A0A2R9BFS7|A0A2R9BFS7_PANPA, tr|A0A2R9BG73|A0A2R9BG73_PANPA, tr|A0A2R9CF94|A0A2R9CF94_PANPA, tr|A0A2R8Z8N5|A0A2R8Z8N5_PANPA, tr|A0A2R9BFA1|A0A2R9BFA1_PANPA, tr|A0A2R9AUF1|A0A2R9AUF1_PANPA, tr|A0A2R9BD65|A0A2R9BD65_PANPA, tr|A0A2R9BFS3|A0A2R9BFS3_PANPA
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2R9CHL1|A0A2R9CHL1_PANPA
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2R9B3L5|A0A2R9B3L5_PANPA, tr|A0A2R9AFZ1|A0A2R9AFZ1_PANPA
OG0000010	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2R9A954|A0A2R9A954_PANPA
OG0000016	tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE	tr|A0A2R9A5R4|A0A2R9A5R4_PANPA
OG0000018	tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE	tr|A0A2R8ZQ61|A0A2R8ZQ61_PANPA
OG0000022	sp|P03977|KV3A4_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01672|KV3AK_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE	tr|A0A2R9AL19|A0A2R9AL19_PANPA
OG0000023	tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE	tr|A0A2R8ZXD3|A0A2R8ZXD3_PANPA
OG0000023	tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE	tr|A0A2R8ZNE4|A0A2R8ZNE4_PANPA
OG0000025	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2R8ZN32|A0A2R8ZN32_PANPA
OG0000025	tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE	tr|A0A2R9BSF3|A0A2R9BSF3_PANPA
OG0000025	tr|E9Q542|E9Q542_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2R8ZG75|A0A2R8ZG75_PANPA
OG0000025	tr|Q8VG78|Q8VG78_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A2R8ZRU3|A0A2R8ZRU3_PANPA
OG0000032	tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, tr|Q8VGV7|Q8VGV7_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE	tr|A0A2R9B6R9|A0A2R9B6R9_PANPA
OG0000036	tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR79|Q7TR79_MOUSE	tr|A0A2R9AMX8|A0A2R9AMX8_PANPA
