Orthogroup	Homo_sapiens	Lynx_canadensis
OG0000001	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A667G9T4|A0A667G9T4_LYNCA
OG0000001	sp|Q8NH49|OR4X1_HUMAN	tr|A0A667GDN2|A0A667GDN2_LYNCA
OG0000001	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A667GTE2|A0A667GTE2_LYNCA
OG0000001	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A667GTL4|A0A667GTL4_LYNCA, tr|A0A667G8F1|A0A667G8F1_LYNCA, tr|A0A667G8D6|A0A667G8D6_LYNCA
OG0000001	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A667GWY6|A0A667GWY6_LYNCA, tr|A0A667GA39|A0A667GA39_LYNCA, tr|A0A667GA53|A0A667GA53_LYNCA, tr|A0A667GF71|A0A667GF71_LYNCA, tr|A0A667GVE3|A0A667GVE3_LYNCA, tr|A0A667GXB0|A0A667GXB0_LYNCA, tr|A0A667HLT3|A0A667HLT3_LYNCA
OG0000001	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A667GUN3|A0A667GUN3_LYNCA, tr|A0A667HL09|A0A667HL09_LYNCA, tr|A0A667HL23|A0A667HL23_LYNCA, tr|A0A667GWL6|A0A667GWL6_LYNCA, tr|A0A667G9M4|A0A667G9M4_LYNCA, tr|A0A667GWQ8|A0A667GWQ8_LYNCA, tr|A0A667HLK6|A0A667HLK6_LYNCA
OG0000004	tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01602|KV105_HUMAN	tr|A0A667HSM2|A0A667HSM2_LYNCA
OG0000004	sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P06312|KV401_HUMAN	tr|A0A667HQP8|A0A667HQP8_LYNCA
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|A0A667H4B8|A0A667H4B8_LYNCA
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|A0A667H4F3|A0A667H4F3_LYNCA, tr|A0A667GP71|A0A667GP71_LYNCA
