Orthogroup	Mus_musculus	Molossus_molossus
OG0000002	tr|D3Z445|D3Z445_MOUSE	tr|A0A7J8J402|A0A7J8J402_MOLMO, tr|A0A7J8GU41|A0A7J8GU41_MOLMO
OG0000002	sp|Q61967|ZFP90_MOUSE	tr|A0A7J8CCE4|A0A7J8CCE4_MOLMO, tr|A0A7J8CCK2|A0A7J8CCK2_MOLMO
OG0000002	sp|Q7TSH9|ZN184_MOUSE	tr|A0A7J8EIC1|A0A7J8EIC1_MOLMO, tr|A0A7J8CRL4|A0A7J8CRL4_MOLMO
OG0000002	sp|A2A761|ZFP69_MOUSE	tr|A0A7J8CCU5|A0A7J8CCU5_MOLMO, tr|A0A7J8C0M7|A0A7J8C0M7_MOLMO, tr|A0A7J8CCH9|A0A7J8CCH9_MOLMO, tr|A0A7J8CCE8|A0A7J8CCE8_MOLMO, tr|A0A7J8FD45|A0A7J8FD45_MOLMO, tr|A0A7J8FD47|A0A7J8FD47_MOLMO
OG0000002	sp|P10078|ZFP28_MOUSE	tr|A0A7J8CCD8|A0A7J8CCD8_MOLMO
OG0000002	tr|Q5U406|Q5U406_MOUSE	tr|A0A7J8CCP3|A0A7J8CCP3_MOLMO, tr|A0A7J8CCT1|A0A7J8CCT1_MOLMO
OG0000002	sp|P17141|ZFP37_MOUSE	tr|A0A7J8J8V8|A0A7J8J8V8_MOLMO, tr|A0A7J8EI81|A0A7J8EI81_MOLMO
OG0000002	tr|A2AE21|A2AE21_MOUSE	tr|A0A7J8IEF6|A0A7J8IEF6_MOLMO, tr|A0A7J8B8J5|A0A7J8B8J5_MOLMO, tr|A0A7J8CCH2|A0A7J8CCH2_MOLMO, tr|A0A7J8JA77|A0A7J8JA77_MOLMO, tr|A0A7J8J9R3|A0A7J8J9R3_MOLMO, tr|A0A7J8FD90|A0A7J8FD90_MOLMO, tr|A0A7J8GP03|A0A7J8GP03_MOLMO
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|A0A7J8CCR3|A0A7J8CCR3_MOLMO, tr|A0A7J8CCZ5|A0A7J8CCZ5_MOLMO, tr|A0A7J8CD23|A0A7J8CD23_MOLMO, tr|A0A7J8CCQ6|A0A7J8CCQ6_MOLMO, tr|A0A7J8CCW0|A0A7J8CCW0_MOLMO, tr|A0A7J8CCX0|A0A7J8CCX0_MOLMO, tr|A0A7J8CD09|A0A7J8CD09_MOLMO, tr|A0A7J8CCP6|A0A7J8CCP6_MOLMO, tr|A0A7J8CD33|A0A7J8CD33_MOLMO, tr|A0A7J8CCJ9|A0A7J8CCJ9_MOLMO, tr|A0A7J8CD02|A0A7J8CD02_MOLMO, tr|A0A7J8CCW6|A0A7J8CCW6_MOLMO, tr|A0A7J8CCX2|A0A7J8CCX2_MOLMO, tr|A0A7J8C0R9|A0A7J8C0R9_MOLMO, tr|A0A7J8C0R0|A0A7J8C0R0_MOLMO, tr|A0A7J8CCU8|A0A7J8CCU8_MOLMO
OG0000002	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A7J8EI15|A0A7J8EI15_MOLMO, tr|A0A7J8DS12|A0A7J8DS12_MOLMO
OG0000002	sp|Q7TNU6|ZN250_MOUSE	tr|A0A7J8IEG4|A0A7J8IEG4_MOLMO, tr|A0A7J8C0P6|A0A7J8C0P6_MOLMO, tr|A0A7J8IDR0|A0A7J8IDR0_MOLMO, tr|A0A7J8DBE1|A0A7J8DBE1_MOLMO, tr|A0A7J8CCI5|A0A7J8CCI5_MOLMO, tr|A0A7J8C8Z1|A0A7J8C8Z1_MOLMO, tr|A0A7J8DEG7|A0A7J8DEG7_MOLMO, tr|A0A7J8DEU5|A0A7J8DEU5_MOLMO, tr|A0A7J8BBC9|A0A7J8BBC9_MOLMO
OG0000007	sp|Q8VFK1|O1009_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE	tr|A0A7J8ERB2|A0A7J8ERB2_MOLMO
